Sr. No.,Category,States/UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Protection of Civil Rights Act - Total,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,SC/ST (Prev.) of Atrocities Act - Total,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
23,State,Sikkim,66.7,75,NA,100,NA,50,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,96.5
24,State,Tamil Nadu,39.4,62.3,97.8,NA,64.2,68.2,94.4,84.6,71.9,30,NA,30,63.5,76.2,100,NA,49.3,NA,47.7,73.6,NA,24.5,100,24.8,NA,83.5,79.2
25,State,Tripura,38.7,25.8,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29.6
26,State,Uttar Pradesh,71.7,72,80.7,85.5,NA,57.1,81.3,96.7,100,59,NA,59,100,59,100,NA,55.1,NA,NA,73.7,NA,42.7,38.1,42.7,79.1,89.6,88.4
27,State,Uttaranchal,84.9,81.3,90.4,90.9,NA,50,NA,100,0,NA,NA,NA,NA,20,NA,NA,0,NA,NA,69.6,NA,50,100,51.4,81.6,99.9,99.4
28,State,West Bengal,29.1,14.8,32,72.4,0,29.8,75.8,0,91.7,NA,NA,NA,42.1,28.3,NA,38.9,66.7,50,NA,32.6,NA,0,NA,0,0,41.4,51
State,State,Total (States),62.9,62.9,84.7,77.3,47.6,44.3,79,78.6,90.9,15.5,2.8,14.1,66.9,26.3,16.9,25.6,27.3,34.1,88,38.2,0,23.6,25.1,23.8,75.7,92.2,84.1
29,Union Territory,A & N Islands,NA,NA,100,100,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.6,99.9
30,Union Territory,Chandigarh,90.9,89.1,99.3,96.7,NA,100,50,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,66.7,NA,0,NA,0,NA,96.8,96.2
31,Union Territory,D & N Haveli,0,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,16.7
32,Union Territory,Daman & Diu,100,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,20
33,Union Territory,Delhi,38.6,66.2,61.7,45.9,NA,65.7,59.3,NA,36.8,NA,NA,NA,40.9,58.8,NA,NA,28,NA,NA,36.2,NA,40,NA,40,NA,34,44.1
34,Union Territory,Lakshadweep,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
35,Union Territory,Pondicherry,93.8,0,100,NA,NA,NA,100,NA,NA,16.7,NA,16.7,NA,95.3,NA,NA,33.3,NA,NA,22.2,NA,NA,NA,NA,NA,99.6,97.1
Union Territory,Union Territory,Total (UTs),39.9,67.3,72,78.4,100,61.5,60,0,36.8,16.7,0,16.7,40.9,72.9,0,0,29,0,0,35.5,0,33.3,0,33.3,0,70.6,62.8
Total (All-India),Total (All-India),Total (All-India),60.6,63,84.6,77.3,47.6,44.5,78.1,78.6,90.5,15.5,2.8,14.1,65.3,28.1,16.9,25.6,27.3,34.1,88,38,0,23.6,25.1,23.8,75.7,92.2,84
