Sr. No.,Category,States/UTs/Cities,"No. of Vehicles Motor Cycles, Scooters - S","No. of Vehicles Motor Cycles, Scooters - R","No. of Vehicles Motor Cycles, Scooters - C",No. of Vehicles Motor Car / Taxi / Jeep - S,No. of Vehicles Motor Car / Taxi / Jeep - R,No. of Vehicles Motor Car / Taxi / Jeep - C,No. of Vehicles Buses - S,No. of Vehicles Buses - R,No. of Vehicles Buses - C,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles Other Motor Vehicles - S,No. of Vehicles Other Motor Vehicles - R,No. of Vehicles Other Motor Vehicles - C,No. of Vehicles Total Motor Vehicles - S,No. of Vehicles Total Motor Vehicles - R,No. of Vehicles Total Motor Vehicles - C
12,State,Karnataka,4808,1046,82,503,126,11,15,4,0,62,34,2,618,193,1,6006,1403,96
13,State,Kerala,1200,328,17,519,107,2,15,6,0,133,52,2,152,52,0,2019,545,21
14,State,Madhya Pradesh,6771,1843,147,384,145,13,0,0,0,0,0,0,496,189,11,7651,2177,171
15,State,Maharashtra,10104,3008,833,2252,541,312,46,20,7,267,108,38,145,80,29,12814,3757,1219
16,State,Manipur,103,6,0,9,0,0,0,0,0,0,0,0,7,2,0,119,8,0
17,State,Meghalaya,56,9,0,66,6,0,0,0,0,0,0,0,13,5,0,135,20,0
18,State,Mizoram,37,30,0,24,14,0,1,1,0,1,1,0,5,3,0,68,49,0
19,State,Nagaland,50,34,5,43,16,13,0,0,0,1,0,0,61,25,0,155,75,18
20,State,Orissa,1410,508,174,96,35,15,0,0,0,4,3,0,61,10,0,1571,556,189
21,State,Punjab,844,352,301,518,142,145,2,2,0,106,56,32,75,39,28,1545,591,506
22,State,Rajasthan,5716,1055,331,1035,225,39,24,12,0,91,32,0,111,36,0,6977,1360,370
23,State,Sikkim,1,1,0,5,5,0,0,0,0,2,2,0,0,0,0,8,8,0
24,State,Tamil Nadu,2784,2423,2183,131,93,87,0,0,0,17,17,17,77,72,69,3009,2605,2356
25,State,Tripura,15,3,0,12,3,0,0,0,0,0,0,0,1,1,0,28,7,0
26,State,Uttar Pradesh,6571,1605,28,1458,390,6,68,36,0,50,23,1,202,75,0,8349,2129,35
27,State,Uttaranchal,374,92,0,101,29,0,0,0,0,12,6,0,12,4,0,499,131,0
28,State,West Bengal,2303,304,22,298,92,14,1,0,0,44,14,0,68,18,0,2714,428,36
State,State,Total (States),64758,18968,4777,10601,2969,772,256,133,13,1285,562,103,3893,1463,183,80793,24095,5848
29,Union Territory,A & N Islands,5,5,0,0,0,0,0,0,0,0,0,0,1,1,0,6,6,0
30,Union Territory,Chandigarh,361,117,0,158,50,0,0,0,0,2,1,0,8,7,0,529,175,0
31,Union Territory,D & N Haveli,12,7,0,3,1,0,0,0,0,0,0,0,0,0,0,15,8,0
32,Union Territory,Daman & Diu,19,3,0,14,4,0,0,0,0,0,0,0,0,0,0,33,7,0
33,Union Territory,Delhi,4627,953,105,4066,620,88,5,1,0,164,10,7,540,476,12,9402,2060,212
34,Union Territory,Lakshadweep,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
35,Union Territory,Pondicherry,304,111,0,5,1,0,0,0,0,9,8,0,2,2,0,320,122,0
Union Territory,Union Territory,Total (UTs),5330,1197,105,4246,676,88,5,1,0,175,19,7,551,486,12,10307,2379,212
Total (All-India),Total (All-India),Total (All-India),70088,20165,4882,14847,3645,860,261,134,13,1460,581,110,4444,1949,195,91100,26474,6060
36,City,Agra,712,101,0,113,10,0,10,4,0,0,0,0,6,3,0,841,118,0
37,City,Ahmedabad,2051,266,0,148,31,0,0,0,0,0,0,0,118,14,0,2317,311,0
38,City,Allahabad,156,28,3,25,8,0,1,1,0,1,1,0,1,1,0,184,39,3
39,City,Amritsar,59,31,77,98,13,24,1,1,0,7,4,0,4,2,2,169,51,103
40,City,Asansol,21,6,0,1,0,0,1,0,0,6,0,0,5,2,0,34,8,0
41,City,Bangalore,2796,437,0,339,61,0,15,4,0,27,14,0,151,50,0,3328,566,0
42,City,Bhopal,676,243,0,56,37,0,0,0,0,8,5,0,0,0,0,740,285,0
43,City,Chennai,299,197,197,22,15,15,0,0,0,6,6,6,24,20,20,351,238,238
44,City,Coimbatore,201,173,173,8,4,4,0,0,0,0,0,0,2,2,2,211,179,179
45,City,Delhi (city),4353,908,95,3977,598,83,5,1,0,162,9,5,380,455,9,8877,1971,192
46,City,Dhanbad,89,21,0,7,1,0,0,0,0,3,0,0,0,0,0,99,22,0
47,City,Faridabad,668,138,0,191,87,0,5,3,0,59,19,0,32,7,0,955,254,0
48,City,Hyderabad,1384,185,51,239,61,17,0,0,0,0,0,0,0,0,0,1623,246,68
49,City,Indore,1854,255,0,55,12,0,0,0,0,26,5,0,0,0,0,1935,272,0
50,City,Jabalpur,325,167,0,6,2,0,0,0,0,3,2,0,96,27,0,430,198,0
51,City,Jaipur,1217,242,45,666,217,27,8,2,0,12,8,0,23,10,0,1926,479,72
52,City,Jamshedpur,182,35,0,0,0,0,0,0,0,0,0,0,0,0,0,182,35,0
53,City,Kanpur,413,81,0,122,16,0,0,0,0,7,2,0,12,3,0,554,102,0
54,City,Kochi,85,17,4,15,2,0,0,0,0,0,0,0,9,3,0,109,22,4
55,City,Kolkata,406,52,0,162,59,0,0,0,0,13,3,0,0,0,0,581,114,0
56,City,Lucknow,963,264,0,201,63,0,2,2,0,3,1,0,18,11,0,1187,341,0
57,City,Ludhiana,180,76,76,110,32,32,0,0,0,15,5,5,21,11,11,326,124,124
58,City,Madurai,86,80,0,3,1,0,0,0,0,0,0,0,2,2,0,91,83,0
59,City,Meerut,440,75,0,67,7,0,0,0,0,2,1,0,3,2,0,512,85,0
60,City,Mumbai,2250,583,404,1276,260,218,31,12,1,21,13,14,45,39,16,3623,907,653
61,City,Nagpur,810,236,73,47,7,2,0,0,0,21,15,11,10,4,1,888,262,87
62,City,Nasik,329,99,0,36,6,0,0,0,0,3,1,0,0,0,0,368,106,0
63,City,Patna,682,49,0,16,12,0,0,0,0,0,0,0,190,7,0,888,68,0
64,City,Pune,1920,628,156,194,53,24,2,0,0,21,8,4,44,20,8,2181,709,192
65,City,Rajkot,401,89,9,23,10,0,0,0,0,0,0,0,0,0,0,424,99,9
66,City,Surat,1354,260,0,49,6,0,0,0,0,0,0,0,54,15,0,1457,281,0
67,City,Vadodara,577,212,212,72,15,15,0,0,0,4,0,0,25,12,12,678,239,239
68,City,Varanasi,436,32,0,51,6,0,3,0,0,0,0,0,0,0,0,490,38,0
69,City,Vijayawada,397,118,0,1,0,0,0,0,0,0,0,0,26,19,0,424,137,0
70,City,Vishakhapatnam,320,115,0,17,12,0,0,0,0,0,0,0,19,15,2,356,142,2
City,City,Total (Cities),29092,6499,1575,8413,1724,461,84,30,1,430,122,45,1320,756,83,39339,9131,2165
