State/UT/All-India,District,Murder (Sec.302 &303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. not Amounting to Murder (Sec.304 &308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 –402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 – 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","CounterFeiting (Sec.231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Bihar,Darbhanga,70,74,6,74,0,74,68,17,51,25,2,26,73,270,8,262,191,88,93,7,37,87,33,54,3,76,4,70,1804,3235
Bihar,Gaya,158,178,28,25,0,25,68,50,18,72,37,100,128,443,72,371,326,59,39,7,92,498,168,0,0,9,0,215,774,3424
Bihar,Gopalganj,72,46,10,23,0,23,55,34,21,25,2,40,77,206,31,175,188,22,42,0,3,55,32,16,0,94,0,74,1275,2357
Bihar,Jamalpur,4,0,0,0,0,0,0,0,0,7,1,5,0,100,11,89,4,0,1,0,0,0,0,0,0,0,0,1,45,168
Bihar,Jamui,69,82,12,29,0,29,28,14,14,25,4,61,42,112,5,107,166,13,18,0,19,179,15,7,2,19,0,4,650,1556
Bihar,Jehanabad,39,14,1,10,0,10,20,1,19,16,0,15,22,96,13,83,71,11,12,0,6,22,15,5,0,5,0,13,694,1087
Bihar,Katihar,59,46,3,82,0,82,57,31,26,8,1,10,50,150,20,130,114,27,37,2,14,245,35,33,6,29,0,34,715,1757
Bihar,Katihar Rly.,10,0,0,3,0,3,6,4,2,9,1,8,7,278,5,273,10,2,16,0,0,0,1,1,0,0,0,0,151,503
Bihar,Khagaria,53,148,1,22,0,22,47,0,47,15,0,31,10,130,6,124,224,8,6,0,5,190,15,6,0,12,0,133,656,1712
Bihar,Kishanganj,20,3,1,81,0,81,84,69,15,8,0,9,39,79,19,60,110,0,44,1,0,90,9,0,0,57,0,26,425,1086
Bihar,Lakhisarai,48,111,6,12,0,12,30,17,13,6,0,14,22,65,6,59,67,8,18,0,8,70,14,10,0,5,0,50,407,971
Bihar,Madhepura,60,24,2,10,0,10,16,10,6,15,1,41,18,111,11,100,123,7,11,0,15,102,12,4,0,7,0,25,568,1172
Bihar,Madhubani,62,89,10,58,0,58,76,12,64,50,23,31,122,94,0,94,358,4,12,0,0,0,10,14,0,14,0,0,169,1196
Bihar,Motihari,119,142,13,22,0,22,100,38,62,42,6,56,162,436,45,391,368,77,64,0,25,985,51,11,0,37,5,195,1330,4246
Bihar,Munger,73,35,1,13,0,13,53,0,53,19,1,47,44,197,29,168,208,16,56,2,10,284,7,10,0,40,0,26,704,1846
Bihar,Muzaffarpur,134,24,6,48,0,48,148,23,125,48,4,104,283,930,12,918,413,9,203,5,33,673,65,7,0,75,0,60,2212,5484
Bihar,Muzaffarpur Rly.,20,3,1,3,0,3,14,0,14,16,2,23,13,352,22,330,12,1,22,1,0,21,0,1,0,3,0,1,200,709
Bihar,Nalanda,143,91,7,31,0,31,76,35,41,30,2,57,79,348,14,334,184,52,58,7,14,813,63,45,0,90,0,86,697,2973
Bihar,Naugachia,36,13,0,8,0,8,12,4,8,4,0,15,17,43,5,38,118,0,11,0,0,10,1,0,0,17,0,88,521,914
Bihar,Nawadah,80,131,3,20,0,20,36,15,21,11,1,24,68,112,5,107,170,16,35,0,15,239,24,9,2,18,2,76,474,1566
Bihar,Patna,338,88,83,54,0,54,309,84,225,87,13,535,665,1558,978,580,440,4,265,7,8,53,54,13,2,239,0,275,7646,12736
Bihar,Patna Rly.,16,15,3,1,0,1,7,3,4,17,2,30,1,621,26,595,7,2,21,3,0,0,3,7,0,1,0,0,215,972
Bihar,Purnea,57,23,5,41,0,41,44,27,17,21,1,70,60,229,31,198,136,6,18,0,7,9,14,5,0,13,0,72,1572,2403
Bihar,Rohtas,102,88,5,17,0,17,45,20,25,16,1,37,137,282,18,264,136,18,19,8,30,744,36,9,0,25,0,254,1029,3038
Bihar,Saharsa,44,97,2,33,0,33,41,4,37,1,1,35,50,106,9,97,240,61,71,1,15,138,12,21,0,24,0,13,781,1787
Bihar,Samastipur,102,195,37,53,0,53,109,11,98,22,19,50,83,371,45,326,293,39,39,0,41,295,47,11,5,33,27,166,1296,3333
Bihar,Saran,134,290,18,48,0,48,104,70,34,41,2,80,135,318,50,268,228,27,126,1,32,1324,74,49,0,102,0,98,295,3526
Bihar,Sheikhpura,24,8,4,5,0,5,9,4,5,7,0,16,12,68,1,67,75,2,22,0,3,8,11,4,0,18,0,13,281,590
Bihar,Sheohar,16,28,1,2,0,2,19,13,6,3,0,3,8,36,1,35,78,10,13,0,4,32,3,2,0,18,0,9,203,488
Bihar,Sitamarhi,45,30,4,27,0,27,61,45,16,34,2,33,85,241,28,213,190,53,25,4,23,286,13,19,2,76,1,28,1266,2548
Bihar,Siwan,93,72,8,18,0,18,103,88,15,36,3,99,89,224,49,175,173,35,61,15,20,243,41,12,1,75,0,63,954,2438
Bihar,Supaul,31,45,2,24,0,24,31,19,12,7,1,24,26,90,13,77,175,28,14,0,4,30,8,0,0,10,0,16,736,1302
Bihar,Vaishali,99,39,9,14,0,14,101,49,52,21,3,59,143,476,101,375,283,70,52,5,55,484,77,7,0,43,0,123,1572,3735
Bihar,Total,3249,3303,326,1232,0,1232,2619,1084,1535,1001,140,2169,3531,11752,2023,9729,8259,1054,2171,97,785,12674,1188,530,53,1689,42,2860,39941,100665
Chhattisgarh,Balrampur,38,23,0,45,0,45,1,1,0,10,1,16,41,21,2,19,19,1,6,0,3,170,0,40,0,9,0,20,139,603
Chhattisgarh,Bilaspur,95,62,1,68,0,68,27,27,0,5,0,55,492,701,265,436,147,11,52,2,25,1301,23,192,13,120,0,227,1682,5301
Chhattisgarh,Bizapur,139,181,1,6,0,6,7,0,7,43,2,2,3,7,0,7,19,1,7,0,11,17,0,3,0,1,0,9,63,522
Chhattisgarh,Dantewara,88,85,0,14,0,14,16,9,7,17,0,1,65,55,5,50,28,6,5,0,18,47,1,11,1,4,0,32,290,784
Chhattisgarh,Dhamtari,21,11,0,27,0,27,4,4,0,0,0,5,116,129,20,109,32,1,18,3,6,103,0,62,10,16,0,85,814,1463
Chhattisgarh,Durg,71,54,6,108,0,108,33,18,15,5,1,63,484,880,290,590,51,21,116,3,29,753,19,241,27,102,0,321,3550,6938
Chhattisgarh,Grp Raipur,4,1,0,1,0,1,0,0,0,1,0,6,9,230,11,219,1,1,0,0,0,19,0,3,2,3,0,1,104,386
Chhattisgarh,Jagdalpur,62,38,0,71,0,71,14,13,1,5,5,19,191,156,33,123,61,1,12,0,8,220,4,55,0,18,0,112,1145,2197
Chhattisgarh,Janjgir,47,43,0,40,0,40,12,9,3,1,1,22,232,255,44,211,104,7,29,3,8,243,10,109,10,90,0,115,1470,2851
Chhattisgarh,Jashpur,47,10,1,62,0,62,8,7,1,6,1,32,60,66,24,42,20,3,12,3,12,148,1,46,3,11,0,63,359,974
Chhattisgarh,Kabirdham,14,10,0,36,0,36,1,0,1,0,0,3,75,88,21,67,15,0,4,0,6,408,1,67,8,35,0,41,359,1171
Chhattisgarh,Kanker,36,40,1,23,0,23,9,6,3,9,1,13,65,84,15,69,33,0,5,4,11,60,2,20,5,13,0,63,520,1017
Chhattisgarh,Korba,43,17,0,40,0,40,5,4,1,8,4,25,145,297,110,187,44,1,29,2,5,480,5,86,6,27,0,147,895,2311
Chhattisgarh,Koriya,35,27,0,51,0,51,7,5,2,11,0,12,126,103,17,86,14,2,12,0,15,432,0,64,2,27,0,62,366,1368
Chhattisgarh,Mahasamund,21,16,0,32,0,32,3,2,1,3,1,12,131,198,51,147,21,1,16,1,7,202,2,64,3,20,0,113,650,1517
Chhattisgarh,Narayanpur,23,43,0,2,0,2,5,0,5,1,0,1,3,5,0,5,0,0,0,0,6,21,0,3,0,0,0,3,40,156
Chhattisgarh,Raigarh,54,21,0,38,0,38,7,7,0,14,3,23,213,358,83,275,67,15,17,1,18,348,4,92,9,22,0,152,893,2369
Chhattisgarh,Raipur,106,66,2,130,0,130,54,42,12,6,0,48,662,1155,502,653,126,44,97,9,39,1374,25,228,34,98,0,443,3186,7932
Chhattisgarh,Rajnandgaon,50,31,1,69,0,69,10,9,1,2,0,19,168,231,71,160,24,11,24,1,13,96,5,83,7,40,1,104,1579,2569
Chhattisgarh,Sarguja,56,26,2,75,0,75,11,11,0,5,3,38,114,148,49,99,37,6,27,0,7,100,0,72,1,29,0,62,747,1566
Chhattisgarh,Surajpur,48,20,0,57,0,57,5,4,1,8,1,24,112,95,10,85,42,4,19,1,15,180,1,57,2,32,0,64,395,1182
Chhattisgarh,Total,1098,825,15,995,0,995,239,178,61,160,24,439,3507,5262,1623,3639,905,137,507,33,262,6722,103,1598,143,717,1,2239,19246,45177
Goa,North Goa,24,8,1,8,0,8,9,5,4,3,0,10,151,288,133,155,27,22,28,8,9,98,0,8,3,8,0,124,362,1199
Goa,South Goa,15,9,0,13,0,13,7,5,2,4,0,7,101,206,90,116,36,13,27,1,29,72,0,10,4,6,0,109,336,1005
Goa,Total,39,17,1,21,0,21,16,10,6,7,0,17,252,494,223,271,63,35,55,9,38,170,0,18,7,14,0,233,698,2204
Gujarat,Ahmedabad Commr.,99,60,7,46,0,46,182,146,36,23,3,172,802,5388,2317,3071,128,266,297,10,5,1371,4,72,22,956,0,227,9098,19238
Gujarat,Ahmedabad Rural,47,4,1,10,0,10,28,27,1,9,1,28,82,273,55,218,39,40,14,2,15,285,0,31,0,92,0,292,1727,3020
Gujarat,Ahwa-dang,7,1,0,3,0,3,0,0,0,2,0,1,2,16,0,16,11,0,1,0,2,22,0,6,0,11,0,16,179,280
Gujarat,Amreli,20,11,3,15,0,15,31,30,1,2,0,14,109,169,39,130,30,17,17,10,7,312,3,20,0,112,0,96,1434,2432
Gujarat,Anand,26,6,1,14,0,14,33,30,3,7,0,11,114,367,148,219,13,62,12,6,14,295,0,30,5,141,0,203,1693,3053
Gujarat,Bharuch,37,9,1,7,0,7,7,6,1,10,0,8,121,312,107,205,18,49,13,6,15,269,0,8,0,66,0,210,1452,2618
Gujarat,Bhavnagar,59,40,1,26,0,26,128,116,12,47,0,170,457,1347,331,1016,155,101,188,23,30,99,7,101,61,285,0,7,5125,8457
Gujarat,Dahod,30,18,0,0,0,0,21,19,2,15,1,23,50,82,37,45,27,6,8,1,14,188,0,11,0,39,0,0,1191,1725
Gujarat,Gandhinagar,23,13,0,14,0,14,24,20,4,6,0,17,102,403,129,274,39,5,36,10,6,234,0,17,6,119,0,187,1580,2841
Gujarat,Himatnagar,35,4,2,11,0,11,32,32,0,6,1,13,115,211,53,158,41,29,26,4,12,235,0,25,0,151,0,236,5336,6525
Gujarat,Jamnagar,29,11,0,13,0,13,21,18,3,5,0,22,180,361,152,209,37,22,23,5,11,386,0,14,11,206,0,4,2542,3903
Gujarat,Junagadh,54,19,0,6,0,6,52,44,8,15,0,34,185,470,143,327,80,60,33,13,12,495,3,38,4,415,0,199,2496,4683
Gujarat,Kheda North,37,9,0,17,0,17,36,34,2,12,0,9,148,333,86,247,47,34,45,5,12,315,0,22,0,204,0,226,3039,4550
Gujarat,Kutch,39,23,0,19,0,19,52,41,11,18,0,55,315,532,193,339,63,56,48,3,18,405,3,37,0,343,0,271,3707,6007
Gujarat,Mehsana,24,22,0,6,0,6,41,36,5,14,0,52,274,617,115,502,76,36,70,4,12,491,3,28,0,219,0,149,2511,4649
Gujarat,Narmada,11,8,0,2,0,2,6,6,0,2,0,1,25,30,10,20,10,4,3,1,4,100,0,6,0,10,0,47,373,643
Gujarat,Navsari,16,6,0,2,0,2,8,7,1,2,0,5,76,106,50,56,17,32,12,3,2,68,0,4,0,38,0,0,780,1177
Gujarat,Palanpur,42,18,0,22,0,22,37,35,2,7,0,21,150,419,39,380,54,28,15,4,11,1292,1,43,0,188,0,180,2486,5018
Gujarat,Panchmahal,62,13,0,6,0,6,44,42,2,5,0,19,115,205,81,124,37,27,24,2,20,300,0,24,0,101,0,0,2417,3421
