Sr. No.,Category,States/ UTs,"Murder (Sec. 302,303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Others,Rape (Sec. 376 IPC) - Total,"Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - of Women","Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - of Others","Kidnapping and Abduction (Sec. 363-369,371-373 IPC) - Total",Dacoity (Sec. 395- 398 IPC),Preparation and Assembly for Dacoity (Sec. 399-402 IPC),"Robbery (Sec.392- 394, 397,398 IPC)","Burglary (Sec. 449-452, 454, 455, 457-460 IPC)",Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,Theft (Sec. 379-382 IPC) - Total,"Riots (Sec. 143- 145,147- 151, 153, 153A,153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419,420 IPC)","Counterfeiting (Sec. 231- 254,489A, 489D IPC)","Arson (Sec. 435, 436, 438 IPC)","Hurt (Sec. 323- 333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
11,State,Jharkhand,72.4,90,70.4,100,92.4,92.4,80.9,84.7,82,58,71.1,47.1,21.9,15.4,31.8,28.5,90,82,77.7,52.2,50.8,91.8,87.2,93,90.3,91.8,100,63.2,79.7,69.1
12,State,Karnataka,87.8,94.4,92.3,NA,96.7,96.7,82.2,77,80,69.7,99.6,71.6,37.9,28.8,42.2,37.3,92.2,74.9,60.9,6.3,62.3,95.6,96.4,97.2,94.3,97.5,NA,97.5,92.9,81.2
13,State,Kerala,90,91.2,98.9,NA,94.1,94.1,95.5,89.1,93.1,80.3,100,74.6,42.3,35,59,49.8,95.8,91.6,83.9,66.7,54,95.7,91.3,98.2,96.7,97.6,NA,90.9,94,89.1
14,State,Madhya Pradesh,90.7,94.2,97,NA,98.8,98.8,87.7,84.2,86.8,81.8,100,66.9,32.1,24.9,44.8,37.8,94.2,87.9,87.8,66.7,83.3,98.4,99.1,99.5,99.1,98.7,NA,83.8,94.9,85.2
15,State,Maharashtra,86.1,95.6,91.6,100,97.9,97.9,82.9,73.9,80.4,75.4,99,67,36.9,26.7,39.3,35.9,95.8,78.9,69.1,37,71.4,96.3,100,98.5,97.6,99.4,100,77,87.8,71.3
16,State,Manipur,3.5,1.5,0,NA,14.3,14.3,0,7.7,1.3,0,NA,0,2.1,2.5,3.4,3.1,0,0,4.3,33.3,0,0,NA,4,NA,0,NA,0,13.9,7.9
17,State,Meghalaya,42.4,56.8,100,NA,62.5,62.5,62.5,40,50,37.1,66.7,33,22.8,12.8,39.3,31.5,20,73.1,48.2,100,42.2,49.6,75,61.8,NA,60,NA,62.4,61.9,45.7
18,State,Mizoram,88.5,72,60,NA,88.5,88.5,100,71.4,75,100,NA,100,79.2,86,87.7,87.6,75,87.1,97.4,100,90.3,91,NA,100,66.7,NA,NA,100,95.9,88
19,State,Nagaland,50,75.8,66.7,NA,100,100,100,81.8,85.7,66.7,NA,53.8,53,51.3,83.8,68.7,0,92.9,95.5,80,37.5,96.8,NA,100,100,100,NA,67.6,78.8,69.3
20,State,Orissa,95.7,98,97.5,NA,98.9,98.9,93.8,88.4,92.9,90.4,100,80.2,56,50.3,70.4,65.1,96,96.3,95.1,42.1,77.6,95.5,99.1,97.8,100,98.7,NA,89.7,95.1,88.6
21,State,Punjab,88.8,87.8,82.4,NA,92.8,92.8,73.6,71,72.8,92,96.4,91.5,57.1,60.5,68,65,27.3,81.6,91.3,94.4,62,85.3,96.4,87.6,89.6,84.7,NA,79.7,81.5,80.5
22,State,Rajasthan,89.5,98,94,NA,98.7,98.7,77.2,87.1,79.8,90.2,100,73.2,36,20.3,36.1,29.4,97.6,83.9,79.9,66.7,74.4,99.1,99.7,98.1,100,98.1,100,88.4,93.9,82.2
23,State,Sikkim,93.8,83.3,NA,NA,100,100,80,100,83.3,NA,NA,90,49.1,100,57.7,59.8,75,100,94.7,NA,0,83,NA,100,NA,100,NA,47.1,83.1,76
24,State,Tamil Nadu,94.8,97.3,100,NA,97.9,97.9,77.8,72.2,76.7,95.8,100,93.7,88.7,83.2,96.6,93.6,91.8,84.1,81.3,59.6,74.6,91.7,97.7,95.2,97.4,94.1,NA,91,95.2,93.9
25,State,Tripura,73.1,49,NA,NA,92.7,92.7,55.1,62.3,58.8,57.1,100,55,46.7,25.5,44.4,42.2,76.4,55.9,73.1,53.8,44.4,80,68.8,73.9,NA,93,NA,90.5,69.6,71.5
26,State,Uttar Pradesh,91,87.7,91.1,NA,92.5,92.5,75.9,77.9,76.3,91.4,100,76.2,38.2,26.1,50.8,39,86,63.4,69.9,84.6,72.3,87.6,89.3,95.7,99.6,80.2,NA,83.7,86.7,77
27,State,Uttaranchal,83.2,82.4,87.1,NA,91.4,91.4,76,52.8,72,70.3,100,64.5,37.2,30.8,44.3,40.1,72.4,56.6,64.4,100,57.6,82.7,85,96.6,100,78.8,NA,82.7,82,69.6
28,State,West Bengal,76.6,80.4,87.5,NA,94.4,94.4,78.2,66.2,76.7,67.3,98.5,50.2,25.2,12,29.8,26.1,89.6,77.9,60.3,72.4,76.9,91.6,97,81.8,87.9,94.9,36.7,78.7,85.6,75
State,State,Total (States),85.1,89.1,89.5,100,94.9,94.9,79.2,76.5,78.4,71.4,98.1,66.3,41.2,31.9,50.8,44.8,90.5,76,77.7,43.4,69.2,94.4,93.9,96.1,98.3,94.1,72,82.8,90.9,81.1
29,Union Territory,A & N Islands,70,100,100,NA,100,100,100,NA,100,NA,NA,100,34.1,100,56.7,59.4,76.9,33.3,58.1,NA,60,84.9,NA,86.7,80,80,NA,50,86.9,74.5
30,Union Territory,Chandigarh,84.6,100,100,NA,95.2,95.2,87.1,100,89.5,NA,100,95.5,52.5,17.5,59.9,41.9,64.3,51.9,57.3,100,66.7,96.4,100,100,100,63.5,NA,100,78.7,61
31,Union Territory,D & N Haveli,75,66.7,100,NA,100,100,81.8,100,84.6,100,NA,50,41.9,50,73.3,68.4,100,100,100,0,100,94.3,NA,100,100,100,NA,100,92.5,83.6
32,Union Territory,Daman & Diu,60,NA,NA,NA,100,100,100,NA,100,100,NA,0,28.6,15,63.6,32.3,88.9,100,NA,0,50,85.7,100,100,NA,100,NA,64.3,95.5,64.7
33,Union Territory,Delhi,94.3,96.4,85.6,NA,98.4,98.4,49.6,53.2,50.8,95.2,100,77.6,32.9,15.3,38,25,98,64.9,78.7,84.3,73.6,93.6,93.7,95.9,93.4,94.4,NA,72.8,85.3,66.5
34,Union Territory,Lakshadweep,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,16.7,16.7,80,NA,NA,NA,0,60,NA,NA,NA,NA,NA,NA,58.3,63.8
35,Union Territory,Pondicherry,96,100,75,NA,100,100,100,83.3,92.9,100,NA,50,60.6,41.8,79.7,55.2,99.4,100,90.9,100,35,98.7,100,100,100,100,NA,96.9,98.5,92.3
Union Territory,Union Territory,Total (UTs),93,96.5,86.4,0,98.4,98.4,53.8,55.5,54.3,96.2,100,78,35.7,16.2,41.2,27.2,94.8,64,76.9,75,62.8,95,94.4,96.1,94.9,92.1,0,77.5,85.8,67.8
Total (All-India),Total (All-India),Total (All-India),85.2,89.4,89.5,100,95,95,78.1,75.4,77.3,71.5,98.2,66.7,41.1,30,50.4,43.6,90.6,75.5,77.7,44.2,69.2,94.4,94,96.1,98.2,94.1,72,82.7,90.7,80.6
