SL. No.,Category,State/UT/City,Gain - Murder,Gain - Culpable Homicide Not Amounting To Murder (C.H.),Property Dispute - Muder,Property Dispute - Culpable Homicide Not Amounting To Murder (C.H.),Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - Culpable Homicide Not Amounting To Murder (C.H.),Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - Culpable Homicide Not Amounting To Murder (C.H.),Dowry - Murder,Dowry - Culpable Homicide Not Amounting To Murder (C.H.),Lunacy - Murder,Lunacy - Culpable Homicide Not Amounting To Murder (C.H.),Communalism - Murder,Communalism - Culpable Homicide Not Amounting To Murder (C.H.),Casteism - Murder,Casteism - Culpable Homicide Not Amounting To Murder (C.H.),Class Conflict - Murder,Class Conflict - Culpable Homicide Not Amounting To Murder (C.H.),Other Motives - Murder,Other Motives - Culpable Homicide Not Amounting To Murder (C.H.),Total - Murder,Total - Culpable Homicide Not Amounting To Murder (C.H.)
28,UT,D & N Haveli,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0
29,UT,Daman & Diu,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0
30,UT,Delhi,57,0,72,27,68,8,31,11,11,0,0,0,0,0,0,0,0,0,281,34,520,80
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,2,0,0,0,11,2,1,1,0,0,0,0,0,0,0,0,0,0,7,0,21,3
Total (UTs),UT,Total (UTs),60,0,75,28,87,13,37,12,12,0,1,0,0,0,0,0,0,0,312,39,584,92
Total (All-India),Total (All-India),Total (All-India),1757,125,3967,266,5688,253,2521,90,838,275,127,2,98,0,101,1,234,4,22133,2814,37464,3830
33,City,Ahmedabad ,3,0,4,0,14,0,13,0,1,0,0,0,0,0,0,0,4,0,79,1,118,1
34,City,Bangalore ,16,0,3,0,17,0,10,0,6,0,0,0,0,0,0,0,0,0,160,4,212,4
35,City,Bhopal,2,0,2,0,14,0,3,0,6,0,0,0,0,0,0,0,0,0,21,0,48,0
36,City,Bombay,49,0,8,0,34,1,19,0,9,0,0,0,0,0,0,0,1,0,237,2,357,3
37,City,Calcutta,11,0,2,0,6,5,2,0,1,0,0,0,0,0,0,0,0,0,61,11,83,16
38,City,Coimbatore,1,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,16,0
39,City,Delhi,49,0,61,25,56,4,28,5,8,0,0,0,0,0,0,0,0,0,211,20,413,54
40,City,Hyderabad,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,3,92,3
41,City,Indore,0,0,4,0,17,0,4,0,1,0,0,0,0,0,0,0,0,0,60,2,86,2
42,City,Jaipur,0,0,1,0,6,0,2,0,12,0,0,0,0,0,0,0,0,0,39,3,60,3
43,City,Kanpur,20,0,5,0,36,1,15,1,0,0,0,1,0,0,0,0,0,0,128,16,204,19
44,City,Kochi,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,17,4
45,City,Lucknow,10,0,4,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,94,18,132,18
46,City,Ludhiana,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,34,5,42,5
47,City,Madras,5,0,4,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,45,0,88,0
48,City,Madurai,4,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,26,0
49,City,Nagpur,0,0,0,0,17,1,14,0,2,0,2,0,0,0,0,0,0,0,58,0,93,1
50,City,Patna,0,0,115,8,21,5,8,0,0,0,0,0,0,0,0,0,0,0,51,5,195,18
51,City,Pune,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,77,0,86,0
52,City,Surat,0,0,3,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,59,0,82,0
53,City,Vadodra,8,0,2,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,23,0,44,0
54,City,Varanasi,7,0,20,1,21,2,6,0,0,0,0,0,0,0,0,0,0,0,29,8,83,11
55,City,Vishakhapatnam,1,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,1,0,4,0,14,0
