SL. No.,Category,States/U.Ts,Estimated Mid-Year Population (in Lakhs) ,Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Cotribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Cotribution to All-India (P),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Dowry Deaths - Percentage Cotribution to All-India (P),(Torture) Cruelty by Husband & His Relatives - Incidence (I),(Torture) Cruelty by Husband & His Relatives - Rate (R),(Torture) Cruelty by Husband & His Relatives - Percentage Cotribution to All-India (P),Molestration - Incidence (I),Molestration - Rate (R),Molestration - Percentage Cotribution to All-India (P),Eve-Teasing - Incidence (I),Eve-Teasing - Rate (R),Eve-Teasing - Percentage Cotribution to All-India (P),Total - Incidence (I),Total- Rate (R),Total - Percentage Cotribution to All-India (P)
21,State,Sikkim ,4.4,4,0.9,0,6,1.4,0.1,0,0,0,0,0,0,18,4.1,0.1,0,0,0,28,6.4,0
22,State,Tamil Nadu,571.9,186,0.3,1.7,330,0.6,2.8,79,0.1,1.4,254,0.4,1.2,680,1.2,3.2,942,1.6,7.8,2471,4.3,2.9
23,State,Tripura,29.1,69,2.4,0.6,51,1.8,0.4,5,0.2,0.1,41,1.4,0.2,100,3.4,0.5,0,0,0,266,9.1,0.3
24,State,Uttar Pradesh,1450.6,1754,1.2,15.6,2403,1.7,20.3,1952,1.3,33.6,2905,2,13.2,2416,1.7,11.5,2618,1.8,21.8,14048,9.7,16.7
25,State,West Bengal ,708.7,740,1,6.6,709,1,6,256,0.4,4.4,2187,3.1,9.9,1074,1.5,5.1,12,0,0.1,4978,7,5.9
Total (States),State,Total (States),8714.3,10971,1.3,97.6,11156,1.3,94.2,5706,0.7,98.1,21916,2.5,99.3,20664,2.4,98.5,9363,1.1,78,79776,9.2,95
26,UT,A & N Islands,3.1,3,1,0,4,1.3,0,0,0,0,14,4.5,0.1,27,8.7,0.1,9,2.9,0.1,57,18.4,0.1
27,UT,Chandigarh,7.1,4,0.6,0,27,3.8,0.2,3,0.4,0.1,11,1.5,0,14,2,0.1,23,3.2,0.2,82,11.5,0.1
28,UT,D & N Haveli,1.5,0,0,0,2,1.3,0,1,0.7,0,4,2.7,0,3,2,0,0,0,0,10,6.7,0
29,UT,Daman & Diu,1.1,1,0.9,0,1,0.9,0,0,0,0,3,2.7,0,1,0.9,0,0,0,0,6,5.5,0
30,UT,Delhi,102.2,255,2.5,2.3,641,6.3,5.4,107,1,1.8,113,1.1,0.5,259,2.5,1.2,2107,20.6,17.5,3482,34.1,4.1
31,UT,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,8.5,8,0.9,0.1,6,0.7,0.1,0,0,0,3,0.4,0,17,2,0.1,507,59.6,4.2,541,63.6,0.6
Total (UTs),UT,Total (UTs),124,271,2.2,2.4,681,5.5,5.8,111,0.9,1.9,148,1.2,0.7,321,2.6,1.5,2646,21.3,22,4178,33.7,5
Total (All-India),Total (All-India),Total (All-India),8838.3,11242,1.3,100,11837,1.3,100,5817,0.7,100,22064,2.5,100,20985,2.4,100,12009,1.4,100,83954,9.5,100
