SL. No.,Category,States/U.Ts,Estimated Mid-Year Population (in Lakhs) ,Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Dowry Deaths - Percentage Contribution to All-India (P),Torture (Cruelty by Husband & His Relatives) - Incidence (I),Torture (Cruelty by Husband & His Relatives) - Rate (R),Torture (Cruelty by Husband & His Relatives) - Percentage Contribution to All-India (P),Molestation - Incidence (I),Molestation - Rate (R),Molestation - Percentage Contribution to All-India (P),Eve-Teasing - Incidence (I),Eve-Teasing - Rate (R),Eve-Teasing - Percentage Contribution to All-India (P),Importing of Girls (Upto 21 Years) - Incidence (I),Importing of Girls (Upto 21 Years) - Rate (R),Importing of Girls (Upto 21 Years) - Percentage Contribution to All-India (P),Sati Prevention Act - Incidence (I),Sati Prevention Act - Rate (R),Sati Prevention Act - Percentage Contribution to All-India (P),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R),Immoral Traffic (Prevention) Act - Percentage Contribution to All-India (P),Indecent Representation of Women (Prohibition) Act - Incidence (I),Indecent Representation of Women (Prohibition) Act - Rate (R),Indecent Representation of Women (Prohibition) Act - Percentage Contribution to All-India (P),Total - Incidence (I),Total- Rate (R),Total - Percentage Contribution to All-India (P)
11,State,Kerala,304.9,193,0.6,1.6,105,0.3,0.8,9,0,0.2,550,1.8,2.1,679,2.2,2.8,3,0,0,0,0,0,0,0,0,54,0.2,0.7,16,0.1,4.1,1609,5.3,1.6
12,State,Madhya Pradesh,707.8,2801,4,22.7,971,1.4,7.5,354,0.5,7.2,1815,2.6,7,6362,9,26.4,1158,1.6,11,23,0,13.8,0,0,0,4,0,0.1,21,0,5.4,13509,19.1,13.7
13,State,Maharashtra,842.7,1275,1.5,10.3,912,1.1,7,519,0.6,10.5,7105,8.4,27.4,3007,3.6,12.5,541,0.6,5.2,41,0,24.6,0,0,0,163,0.2,2.2,5,0,1.3,13568,16.1,13.7
14,State,Manipur,19.8,6,0.3,0,67,3.4,0.5,0,0,0,1,0.1,0,8,0.4,0,0,0,0,0,0,0,0,0,0,4,0.2,0.1,0,0,0,86,4.3,0.1
15,State,Meghalaya,19.2,32,1.7,0.3,14,0.7,0.1,0,0,0,0,0,0,11,0.6,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,58,3,0.1
16,State,Mizoram,7.7,37,4.9,0.3,8,1.1,0.1,0,0,0,1,0.1,0,32,4.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,10.3,0.1
17,State,Nagaland,13.4,1,0.1,0,2,0.1,0,2,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.4,0
18,State,Orissa,336.6,364,1.1,2.9,221,0.7,1.7,169,0.5,3.4,361,1.1,1.4,955,2.8,4,122,0.4,1.2,2,0,1.2,0,0,0,8,0,0.1,11,0,2.8,2213,6.6,2.2
19,State,Punjab,213.1,108,0.5,0.9,112,0.5,0.9,117,0.5,2.4,87,0.4,0.3,60,0.3,0.2,8,0,0.1,21,0.1,12.6,1,0,50,1,0,0,5,0,1.3,520,2.4,0.5
20,State,Rajasthan,472.5,1002,2.1,8.1,2276,4.8,17.5,298,0.6,6,2277,4.8,8.8,1505,3.2,6.2,49,0.1,0.5,28,0.1,16.8,0,0,0,26,0.1,0.3,1,0,0.3,7462,15.8,7.5
21,State,Sikkim ,4.5,8,1.8,0.1,4,0.9,0,0,0,0,0,0,0,31,6.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,9.6,0
22,State,Tamil Nadu,577.4,265,0.5,2.1,441,0.8,3.4,83,0.1,1.7,247,0.4,1,935,1.6,3.9,1195,2.1,11.4,3,0,1.8,0,0,0,4825,8.4,63.9,17,0,4.4,8011,13.9,8.1
23,State,Tripura,29.8,61,2,0.5,32,1.1,0.2,6,0.2,0.1,45,1.5,0.2,95,3.2,0.4,0,0,0,1,0,0.6,0,0,0,0,0,0,0,0,0,240,8.1,0.2
24,State,Uttar Pradesh,1476,2021,1.4,16.4,2860,1.9,22,1977,1.3,40.1,3943,2.7,15.2,2891,2,12,2216,1.5,21.1,0,0,0,0,0,0,6,0,0.1,0,0,0,15914,10.8,16.1
25,State,West Bengal ,720.8,743,1,6,773,1.1,5.9,85,0.1,1.7,3037,4.2,11.7,1295,1.8,5.4,17,0,0.2,0,0,0,0,0,0,34,0,0.5,0,0,0,5984,8.3,6
Total (States),State,Total (States),8871.4,12070,1.4,97.7,12201,1.4,93.9,4795,0.5,97.2,25783,2.9,99.4,23772,2.7,98.6,9968,1.1,95,166,0,99.4,2,0,100,7430,0.8,98.4,389,0,100,96576,10.9,97.6
26,UT,A & N Islands,3.2,4,1.3,0,4,1.3,0,1,0.3,0,3,0.9,0,18,5.6,0.1,5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,35,10.9,0
27,UT,Chandigarh,7.4,9,1.2,0.1,41,5.5,0.3,3,0.4,0.1,14,1.9,0.1,17,2.3,0.1,40,5.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,124,16.8,0.1
28,UT,D & N Haveli,1.5,2,1.3,0,5,3.3,0,0,0,0,7,4.7,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0
29,UT,Daman & Diu,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,105.9,261,2.5,2.1,741,7,5.7,132,1.2,2.7,136,1.3,0.5,291,2.7,1.2,116,1.1,1.1,1,0,0,0,0,0,102,1,1.4,0,0,0,1780,16.8,1.8
31,UT,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,8.6,5,0.6,0,6,0.7,0,4,0.5,0.1,3,0.3,0,18,2.1,0.1,367,42.7,3.5,0,0,0,0,0,0,15,1.7,0.2,0,0,0,418,48.6,0.4
Total (UTs),UT,Total (UTs),128.3,281,2.2,2.3,797,6.2,6.1,140,1.1,2.8,163,1.3,0.6,345,2.7,1.4,528,4.1,5,1,0,0.6,0,0,0,117,0.9,1.6,0,0,0,2372,18.5,2.4
Total (All-India),Total (All-India),Total (All-India),8999.7,12351,1.4,100,12998,1.4,100,4935,0.5,100,25946,2.9,100,24117,2.7,100,10496,1.2,100,167,0,100,2,0,100,7547,0.8,100,389,0,100,98948,11,100
