SI.No. ,Category,State/UT/City                             ,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence ,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence ,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence ,Registration of Foreigners Act - Rate,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activites Act - Incidence,Terrorist & Disruptive Activites Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P)Act - Incidence,Indecent Representation of Women (P)Act - Rate,Copy Right Act - Incidence,Copy Right Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev. Of Atrocities ) Act - Incidence,SC/ST (Prev. Of Atrocities ) Act - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes under SLL - Incidence,Total Cognizable Crimes under SLL - Rate
11,State,Kerala,171,0.6,306,1,1137,3.7,248,0.8,726,2.3,179,0.6,39,0.1,14,0,14,0,40,0.1,13,0,42,0.1,0,0,0,0,9,0,2,0,16,0.1,6,0,0,0,335,1.1,59,0.2,4002,12.9,7358,23.8
12,State,Madhya Pradesh,7232,10,1472,2,18154,25.2,18866,26.2,4,0,444,0.6,16,0,12644,17.5,38,0.1,153,0.2,5,0,245,0.3,0,0,0,0,78,0.1,1,0,1,0,38,0.1,0,0,1326,1.8,140,0.2,207031,287,267888,371.3
13,State,Maharashtra,1423,1.7,768,0.9,21128,24.6,0,0,117573,136.9,104,0.1,560,0.7,4925,5.7,59,0.1,355,0.4,443,0.5,678,0.8,9,0,2,0,11,0,9,0,109,0.1,269,0.3,0,0,705,0.8,27,0,240350,279.8,389507,453.4
14,State,Manipur,45,2.2,65,3.2,60,3,1449,71.4,0,0,5,0.2,1,0,0,0,1,0,0,0,8,0.4,18,0.9,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,17.9,2036,100.3
15,State,Meghalaya,53,2.7,20,1,90,4.6,74,3.8,0,0,5,0.3,0,0,0,0,0,0,0,0,2,0.1,0,0,5,0.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,3.4,316,16.1
16,State,Mizoram,33,4.2,67,8.5,0,0,0,0,0,0,18,2.3,0,0,0,0,66,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7.2,241,30.5
17,State,Nagaland,35,2.5,115,8.3,0,0,56,4,31,2.2,7,5,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,26.5,627,45.1
18,State,Orissa,255,0.7,193,0.6,818,2.4,1916,5.6,13,0,117,0.3,23,0.1,12,0,0,0,3,0,0,0,64,0.2,0,0,0,0,249,0.7,0,0,0,0,4,0,0,0,307,0.9,0,0,2357,6.9,6331,18.5
19,State,Punjab,1160,5.4,1483,6.9,1498,6.9,12285,56.9,0,0,22,0.1,5,0,172,0.8,1,0,0,0,52,0.2,122,0.6,0,0,0,0,0,0,0,0,2,0,16,0.1,0,0,2,0,0,0,137,0.6,16957,78.5
20,State,Rajasthan,1475,3.1,649,1.3,3146,6.5,3952,8.2,0,0,196,0.4,46,0.1,1405,2.9,27,0.1,12,0,57,0.1,219,0.5,7,0,3,0,2,0,9,0,0,0,39,0.1,0,0,3815,7.9,829,1.7,3874,8,19762,41
21,State,Sikkim ,3,0.6,16,3.4,0,0,0,0,0,0,0,0,1,0.2,0,0,16,3.4,0,0,0,0,12,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,128.5,652,138.7
22,State,Tamil Nadu,197,0.3,2212,3.8,18846,32.3,0,0,354792,608.7,463,0.8,5110,8.8,427,0.7,2,0,284,0.5,30,0.1,16,0,0,0,1,0,319,0.5,0,0,2,0,16,0,0,0,356,0.6,24,0,351829,603.6,734926,1260.8
23,State,Tripura,61,2,5,0.2,7,0.2,0,0,0,0,4,0.1,1,0,0,0,0,0,0,0,0,0,42,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,2.8,204,6.7
24,State,Uttar Pradesh,39512,26.3,8935,6,6144,4.1,22739,15.1,0,0,1316,0.9,19,0,1941,1.3,9,0,1361,0.9,5,0,294,0.2,0,0,1,0,653,0.4,0,0,9,0,49,0,0,0,8729,5.8,2180,1.5,229191,152.7,323087,215.2
25,State,West Bengal ,1045,1.4,335,0.5,835,1.1,1630,2.2,1,0,123,0.2,24,0,6291,8.6,1179,1.6,0,0,6,0,1022,1.4,0,0,3,0,4,0,0,0,0,0,102,0.1,0,0,0,0,1,0,491824,671.2,504425,688.4
Total (States),State,Total (States),60751,6.7,19376,2.1,135081,15,107209,11.9,645485,71.5,5070,0.6,8303,0.9,32058,3.6,1578,0.2,3173,0.4,775,0.1,4252,0.5,1302,0.1,69,0,2804,0.3,33,0,496,0.1,635,0.1,26,0,17484,1.9,4095,0.5,3229238,357.7,4279293,474
26,UT,A & N Islands,0,0,3,0.9,22,6.7,1141,345.8,71,21.5,5,1.5,0,0,0,0,3,0.9,0,0,0,0,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,161.2,1782,540
27,UT,Chandigarh,9,1.2,12,1.5,0,0,7,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.9,60,7.7
28,UT,D & N Haveli,0,0,0,0,0,0,16,10,0,0,2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.3,0,0,13,8.1,33,20.6
29,UT,Daman & DIU,0,0,0,0,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.6,6,5.5
30,UT,Delhi,3568,32.5,797,7.3,2614,23.8,5982,54.5,0,0,36,0.3,125,1.1,47,0.4,28,0.3,1,0,0,0,84,0.8,2,0,0,0,10,0.1,0,0,3,0,51,0.5,0,0,3,0,0,0,576,5.3,13927,127
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.7
32,UT,Pondicherry,3,0.3,6,0.7,18,2,0,0,0,0,0,0,19,2.2,0,0,2,0.2,22,2.5,0,0,52,5.9,0,0,0,0,0,0,0,0,4,0.5,1,0.1,0,0,0,0,0,0,2247,255.3,2374,269.8
Total (UTs),UT,Total (UTs),3580,26.9,818,6.2,2656,20,7146,53.8,72,0.5,43,0.3,144,1.1,47,0.4,33,0.2,23,0.2,0,0,150,1.1,2,0,0,0,10,0.1,0,0,7,0.1,52,0.4,0,0,5,0,0,0,3395,25.5,18183,136.8
Total (All-India),Total (All-India),Total (All-India),64331,7,20194,2.2,137737,15,114355,12.5,645557,70.5,5113,0.6,8447,0.9,32105,3.5,1611,0.2,3196,0.3,775,0.1,4402,0.5,1304,0.1,69,0,2814,0.3,33,0,503,0.1,687,0.1,26,0,17489,1.9,4095,0.4,3232633,352.9,4297476,469.2
33,City,Ahmedabad ,54,1.5,28,0.8,1654,44.6,0,0,9972,268.8,3,0.1,0,0,1,0,1,0,0,0,1,0,238,6.4,0,0,0,0,0,0,1,0,0,0,12,0.3,0,0,9,0.2,1,0,8657,233.3,20632,556.1
34,City,Bangalore ,27,0.6,61,1.3,404,8.4,162,3.4,0,0,9,0.2,511,10.6,0,0,6,0.1,61,1.3,3,0.1,13,0.3,0,0,0,0,178,3.7,0,0,0,0,22,0.5,0,0,61,1.3,144,3,599312,12485.7,600974,12520.3
35,City,Bhopal,399,30,55,4.1,588,44.2,359,27,0,0,8,0.6,1,0.1,0,0,0,0,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1914,143.9,3330,250.4
36,City,Calcutta,177,1.2,158,1,2826,18.7,0,0,5031,33.2,1,0,530,3.5,0,0,23,0.2,5,0,433,2.9,54,0.4,9,0.1,0,0,0,0,0,0,106,0.7,107,0.7,0,0,1,0,0,0,214175,1414.6,223636,1477.1
37,City,Chennai,86,0.7,140,1.2,395,3.3,1557,13.1,0,0,24,0.2,22,0.2,26,0.2,0,0,0,0,0,0,46,0.4,0,0,0,0,0,0,0,0,0,0,35,0.3,0,0,0,0,0,0,486560,4081.9,488891,4101.4
38,City,Coimbatore,1,0.1,125,10.5,270,22.7,0,0,430,36.1,0,0,329,27.6,0,0,0,0,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17382,1460.7,18542,1558.2
39,City,Delhi,3314,33.3,781,7.8,2486,25,5303,53.3,0,0,27,0.3,123,1.2,47,0.5,27,0.3,1,0,0,0,74,0.7,2,0,0,0,9,0.1,0,0,3,0,51,0.5,0,0,3,0,0,0,536,5.4,12787,128.5
40,City,Hyderabad,96,1.8,39,0.7,844,15.4,670,12.2,249,4.5,15,0.3,67,1.2,0,0,16,0.3,4,0.1,7,0.1,0,0,0,0,10,0.2,19,0.3,0,0,0,0,21,0.4,0,0,0,0,0,0,414394,7561.9,416451,7599.5
41,City,Indore,424,33.7,31,2.5,349,27.7,357,28.3,0,0,20,1.6,6,0.5,0,0,35,2.8,0,0,0,0,20,1.6,0,0,0,0,0,0,0,0,0,0,15,1.2,0,0,75,6,0,0,0,0,1332,105.7
42,City,Jaipur,141,7.8,15,0.8,224,12.4,373,20.6,0,0,0,0,2,0.1,0,0,1,0.1,74,4.1,0,0,11,0.6,3,0.2,0,0,0,0,0,0,0,0,7,0.4,0,0,20,1.1,1,0.1,286,15.8,1158,64
43,City,Kanpur,1816,81.4,852,38.2,181,8.1,537,24.1,0,0,127,5.7,1,0,2,0.1,2,0.1,0,0,0,0,8,0.4,0,0,0,0,5,0.2,0,0,0,0,1,0,0,0,252,11.3,2,0.1,25373,1137.8,29159,1307.6
44,City,Kochi,5,0.4,33,2.3,19,1.3,0,0,22,1.5,2,0.1,4,0.3,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.8,0,0,70,4.9,168,11.8
45,City,Lucknow,1736,83.5,309,14.9,107,5.1,409,19.7,0,0,17,0.8,1,0,0,0,0,0,19,0.9,0,0,1,0,0,0,0,0,5,0.2,0,0,7,0.3,2,0.1,0,0,157,7.5,5,0.2,1298,62.4,4073,195.8
46,City,Ludhiana,286,21.7,87,6.6,212,16.1,479,36.3,0,0,4,0.3,1,0.1,18,1.4,0,0,0,0,0,0,9,0.7,0,0,0,0,0,0,0,0,2,0.2,11,0.8,0,0,0,0,0,0,5,0.4,1114,84.4
47,City,Madurai,1,0,307,5.1,2452,40.9,0,0,7204,120.1,2,0,338,5.6,0,0,2,0,0,0,0,0,1,0,0,0,0,0,26,0.4,0,0,0,0,0,0,0,0,0,0,0,0,76558,1276,86891,1448.2
48,City,Mumbai,98,8.4,140,12,377,32.2,0,0,1468,125.5,8,0.7,139,11.9,0,0,0,0,10,0.9,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,3,0.3,0,0,0,0,0,0,50581,4323.2,52827,4515.1
49,City,Nagpur,412,22.3,48,2.6,1263,68.3,0,0,3276,177.1,1,0.1,1,0.1,0,0,0,0,13,0.7,0,0,22,1.2,0,0,0,0,1,0.1,1,0.1,0,0,3,0.2,0,0,0,0,0,0,1685,91.1,6726,363.6
50,City,Patna,171,14.4,0,0,63,5.3,125,10.5,0,0,18,1.5,1,0.1,0,0,2,0.2,0,0,0,0,1,0.1,0,0,0,0,40,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,3.2,459,38.6
51,City,Pune,20,0.7,34,1.1,174,5.9,0,0,5129,173.3,0,0,3,0.1,0,0,35,1.2,2,0.1,0,0,6,0.2,0,0,0,0,0,0,0,0,0,0,25,0.8,0,0,5,0.2,2,0.1,3155,106.6,8590,290.2
52,City,Surat,58,3.1,9,0.5,497,26.3,0,0,27362,1447.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,79,4.2,11,0.6,0,0,14,0.7,0,0,5663,299.6,33695,1782.8
53,City,Vadodra,12,0.9,16,1.2,336,24.9,0,0,6703,496.5,1,0.1,1,0.1,11,0.8,0,0,0,0,0,0,16,1.2,0,0,0,0,0,0,0,0,51,3.8,0,0,0,0,4,0.3,0,0,2143,158.7,9294,688.4
54,City,Varanasi,724,53.7,494,41.9,69,5.9,178,13.6,0,0,43,5.1,1,0,0,0,0,0,0,0.5,0,0,3,0,0,0,0,0,7,0.6,0,0,0,0,1,0,0,0,49,0,6,0,793,52.6,2361,174
55,City,Vishakhapatnam,1,0.1,2,0.1,2658,196.9,44,3.3,119,8.8,2,0.1,17,1.3,0,0,1,0.1,2,0.1,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,4,0.3,0,0,40360,2989.6,43215,3201.1
