SL. No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Arson,Hurt/ Grievous Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Madhya Pradesh,Bhilai (Durg),17,34,4,24,13,10,3,0,1,39,250,542,18,4,30,0,6,657,2,53,6,5,928,2633
2,Madhya Pradesh,Bhopal,48,115,0,62,26,21,5,6,0,102,536,1433,68,21,110,17,32,802,9,298,18,69,4552,8324
3,Madhya Pradesh,Gwalior,47,76,21,30,22,15,7,5,3,66,457,848,115,33,62,4,8,512,21,83,6,54,3724,6197
4,Madhya Pradesh,Indore,86,173,2,25,53,53,0,2,1,105,766,2561,95,33,126,0,27,93,14,120,0,136,5165,9583
5,Madhya Pradesh,Jabalpur,51,135,18,40,27,0,27,0,0,105,561,1085,38,22,74,0,0,85,15,120,45,75,3580,6076
6,Madhya Pradesh,Raipur,33,75,0,38,14,14,0,3,0,49,314,729,39,11,52,5,2,23,1,142,96,81,1962,3669
1,Maharashtra,Aurangabad,32,7,3,13,25,21,4,9,1,52,502,899,130,22,94,4,10,435,11,47,11,168,793,3268
2,Maharashtra,Bombay,357,195,3,210,231,141,90,131,51,757,2958,15555,202,710,1382,39,22,5997,25,402,44,400,11441,40512
3,Maharashtra,Nagpur,93,55,1,56,61,54,7,10,2,267,970,2664,130,74,152,14,29,1087,1,97,0,188,2936,8887
4,Maharashtra,Nasik,22,21,0,14,8,6,2,1,1,14,265,455,41,41,79,0,1,194,7,13,6,89,816,2088
5,Maharashtra,New Bombay,28,29,0,24,21,10,11,32,10,62,384,700,77,61,57,2,7,314,2,34,13,35,982,2874
6,Maharashtra,Pune,86,31,0,66,36,26,10,7,4,99,838,2013,1444,65,173,13,21,1183,9,92,128,176,2975,9459
7,Maharashtra,Solapur,28,17,2,11,11,9,2,4,0,24,142,345,6,7,32,0,1,254,1,14,8,32,803,1803
8,Maharashtra,Thane,116,72,4,49,64,36,28,23,5,128,901,1371,284,90,150,3,10,1531,12,92,27,115,726,5773
1,Punjab,Amritsar,15,5,2,4,13,12,1,0,0,0,45,93,0,13,28,1,0,17,5,1,1,9,179,431
2,Punjab,Jalandhar,28,12,4,3,21,16,5,2,0,3,99,142,0,8,35,0,2,94,5,0,0,9,407,874
3,Punjab,Ludhiana,42,41,5,11,28,13,15,0,12,2,73,179,0,14,40,2,3,63,11,1,0,14,330,871
1,Rajasthan,Ajmer,9,44,0,3,51,51,0,2,0,19,140,268,156,9,138,5,0,134,5,12,1,92,770,1858
2,Rajasthan,Bharatpur,19,9,3,2,14,8,6,2,0,12,37,229,142,5,61,1,1,4,6,7,0,13,582,1149
3,Rajasthan,Bikaner,25,96,1,23,42,42,0,0,0,4,191,301,146,7,84,1,7,96,13,53,0,122,2207,3419
4,Rajasthan,Jaipur,60,48,3,22,233,210,23,0,0,67,975,2881,1527,204,788,169,32,161,24,99,5,193,5121,12612
5,Rajasthan,Jodhpur,16,27,0,18,46,37,9,0,0,24,211,582,273,33,177,10,18,693,14,32,0,131,870,3175
6,Rajasthan,Kota,33,190,5,35,124,124,0,6,0,59,441,758,315,29,166,13,15,158,10,75,0,142,1835,4409
7,Rajasthan,Udaipur,7,27,0,7,46,36,10,0,0,19,176,414,222,32,124,4,8,49,6,12,5,46,1082,2286
1,Tamil Nadu,Coimbatore,16,13,0,1,4,1,3,4,0,15,183,1044,126,20,32,92,0,57,2,1,0,8,1401,3019
2,Tamil Nadu,Madras,88,294,0,11,13,13,0,5,0,69,481,2593,41,182,412,90,0,429,3,14,0,23,1094,5842
3,Tamil Nadu,Madurai,26,49,0,7,29,29,0,7,0,41,140,938,126,15,103,60,8,229,10,12,3,10,1830,3643
4,Tamil Nadu,Salem,21,15,0,1,11,11,0,3,0,9,133,219,65,1,5,29,11,393,0,22,93,9,1301,2341
5,Tamil Nadu,Trichy,44,23,0,3,9,9,0,0,0,2,118,415,50,6,10,12,0,241,1,57,3,3,105,1102
1,Uttar Pradesh,Agra,60,56,17,17,84,55,29,26,2,83,316,907,113,106,126,3,27,238,33,54,0,100,1167,3535
2,Uttar Pradesh,Aligarh,12,71,8,13,93,78,15,5,0,39,126,307,79,32,3,1,22,233,29,39,46,64,340,1562
3,Uttar Pradesh,Allahabad,93,114,3,7,54,54,0,4,0,126,222,716,87,74,105,0,34,402,21,43,0,58,709,2872
4,Uttar Pradesh,Bareilly,69,75,16,15,58,50,8,5,0,55,86,684,75,47,83,0,10,138,7,32,0,85,735,2275
5,Uttar Pradesh,Gorakhpur,50,69,16,4,4,4,0,7,2,70,176,309,98,59,39,0,0,142,0,0,0,4,280,1329
6,Uttar Pradesh,Kanpur,204,154,19,44,171,112,59,36,4,181,476,1369,189,239,240,42,21,424,54,49,0,171,1653,5740
7,Uttar Pradesh,Lucknow,132,149,18,29,93,86,7,8,9,184,653,2411,219,199,229,1,13,365,22,34,0,144,1489,6401
8,Uttar Pradesh,Meerut,80,117,5,14,66,35,31,20,7,55,235,940,102,69,108,1,14,145,12,61,0,172,649,2872
9,Uttar Pradesh,Moradabad,43,62,17,17,39,23,16,9,1,42,15,329,39,34,51,0,31,209,10,30,0,49,562,1589
10,Uttar Pradesh,Varanasi,83,111,11,4,34,21,13,5,0,69,164,355,81,56,54,1,3,115,9,7,0,16,729,1907
1,West Bengal,Calcutta,83,145,16,54,114,82,32,35,31,155,169,4957,357,228,573,30,0,1343,9,140,13,111,3108,11671
1,Delhi (UT),Delhi (City),413,490,54,305,1071,209,862,30,18,491,1757,16116,172,592,1547,60,79,2056,160,520,223,95,16510,42759
