SL. No. ,Category, State/UT,Estimated Mid-Year Population,Murder - Incidence (I),Murder - Rate (R),Murder - Percentage Contribution to All-India (P),Hurt - Incidence (I),Hurt - Rate (R),Hurt - Percentage Contribution to All-India (P),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dacoity - Incidence (I),Dacoity - Rate (R),Dacoity - Percentage Contribution to All-India (P),Robbery - Incidence (I),Robbery - Rate (R),Robbery - Percentage Contribution to All-India (P),Arson - Incidence (I),Arson - Rate (R),Arson - Percentage Contribution to All-India (P),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Rate (R),Protection of Civil Rights Act - Percentage Contribution to All-India (P),SC & ST (Prev. of Atrocities) Act - Incidence (I),SC & ST (Prev. of Atrocities) Act - Rate (R),SC & ST (Prev. of Atrocities) Act - Percentage Contribution to All-India (P),Others Offences - Incidence (I),Others Offences - Rate (R),Others Offences - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
14,State,Manipur,19.8,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0
15,State,Meghalaya,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Mizoram,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Nagaland,13.4,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
18,State,Orissa,336.6,14,0,2.6,100,0.3,2.2,27,0.1,2.7,9,0,3.6,0,0,0,4,0,1.5,10,0,1.9,12,0,0.7,161,0.5,1.1,160,0.5,1.6,497,1.5,1.5
19,State,Punjab,213.1,2,0,0.4,2,0,0,2,0,0.2,3,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
20,State,Rajasthan,472.5,25,0.1,4.6,333,0.7,7.3,100,0.2,10.1,13,0,5.2,1,0,1.3,7,0,2.7,32,0.1,6,49,0.1,2.8,2486,5.3,16.6,1751,3.7,17.4,4797,10.2,14.1
21,State,Sikkim ,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4.7,0.2,21,4.7,0.1
22,State,Tamil Nadu,577.4,8,0,1.5,990,1.7,21.8,5,0,0.5,6,0,2.4,0,0,0,0,0,0,2,0,0.4,232,0.4,13.4,117,0.2,0.8,89,0.2,0.9,1449,2.5,4.3
23,State,Tripura,29.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,1476,319,0.2,58.4,1229,0.8,27.1,370,0.3,37.3,136,0.1,54.2,58,0,74.4,185,0.1,71.4,346,0.2,64.9,137,0.1,7.9,10076,6.8,67.5,3310,2.2,33,16166,11,47.7
25,State,West Bengal ,720.8,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Total (States),State,Total (States),8871.4,546,0.1,100,4527,0.5,99.7,991,0.1,99.9,251,0,100,78,0,100,259,0,100,532,0.1,99.8,1714,0.2,99,14936,1.7,100,10034,1.1,100,33868,3.8,99.9
26,UT,A & N Islands,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,7.4,0,0,0,13,1.8,0.3,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.9,0
28,UT,D & N Haveli,1.5,0,0,0,1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.3,0,0,0,0,3,2,0
29,UT,Daman & Diu,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,105.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2,3,0,0.2,0,0,0,2,0,0,7,0.1,0
31,UT,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1.6,0.8,0,0,0,2,0.2,0,16,1.9,0
Total (UTs),UT,Total (UTs),128.3,0,0,0,15,0.1,0.3,1,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0.2,17,0.1,1,2,0,0,4,0,0,40,0.3,0.1
Total (All-India),Total (All-India),Total (All-India),8999.7,546,0.1,100,4542,0.5,100,992,0.1,100,251,0,100,78,0,100,259,0,100,533,0.1,100,1731,0.2,100,14938,1.7,100,10038,1.1,100,33908,3.8,100
