SI.No. ,Category,State/UT/City                            ,Murder - 1994,Murder - 1995,Murder - Percentage Variation ,Attempt to Commit Murder - 1994,Attempt to Commit Murder - 1995,Attempt to Commit Murder - Percentage Variation ,C.H.Not Amounting to Murder - 1994,C.H.Not Amounting to Murder - 1995,C.H.Not Amounting to Murder - Percentage Variation,Rape - 1994,Rape - 1995,Rape - Percentage Variation ,Kidnaping & Abduction - Total - 1994,Kidnaping & Abduction - Total - 1995 ,Kidnaping & Abduction - Total - Percentage Variation ,Kidnaping & Abduction - of Women & Girls - 1994,Kidnaping & Abduction - of Women & Girls - 1995 ,Kidnaping & Abduction - of Women & Girls - Percentage Variation ,Kidnaping & Abduction - of Others -1994 ,Kidnaping & Abduction - of Others - 1995,Kidnaping & Abduction - of Others - Percentage Variation ,Dacoity - 1994 ,Dacoity - 1995,Dacoity - Percentage Variation ,Preperation & Assembly for Dacoity - 1994,Preperation & Assembly for Dacoity - 1995,Preperation & Assembly for Dacoity - Percentage Variation,Robbery - 1994 ,Robbery - 1995,Robbery - Percentage Variation ,Burglary - 1994,Burglary - 1995,Burglary - Percentage Variation ,Theft - 1994, Theft - 1995, Theft - Percentage Variation ,Riots - 1994,Riots - 1995,Riots - Percentage Variation ,Criminal Breach of Trust - 1994,Criminal Breach of Trust - 1995,Criminal Breach of Trust - Percentage Variation ,Cheating - 1994,Cheating - 1995,Cheating - Percentage Variation ,Counterfeiting - 1994 ,Counterfeiting - 1995,Counterfeiting - Percentage Variation  ,Arson - 1994,Arson - 1995,Arson - Percentage Variation ,Hurt/Grievious Hurt - 1994,Hurt/Grievious Hurt - 1995,Hurt/Grievious Hurt - Percentage Variation ,Dowry Deaths - 1994,Dowry Deaths - 1995,Dowry Deaths - Percentage Variation ,Molestation - 1994,Molestation - 1995,Molestation - Percentage Variation  ,Sexual Harassment - 1994,Sexual Harassment - 1995,Sexual Harassment - Percentage Variation ,Cruelty By Husband or  Relatives - 1994,Cruelty By Husband or  Relatives - 1995,Cruelty By Husband or  Relatives - Percentage Variation,Other IPC  Crimes - 1994,Other IPC  Crimes - 1995,Other IPC  Crimes - Percentage Variation  ,Total Cognizable Crimes Under IPC - 1994,Total Cognizable Crimes Under IPC - 1995,Total Cognizable Crimes Under IPC - Percentage Variation 
11,State,Kerala,509,490,-3.7,385,484,25.7,33,33,0,197,266,35,180,159,-11.7,120,110,-8.3,60,49,-18.3,102,97,-4.9,19,16,-15.8,217,239,10.1,4545,4414,-2.9,3706,3275,-11.6,7324,6747,-7.9,325,303,-6.8,1415,1724,21.8,71,83,16.9,*,551,NA,*,17268,NA,*,21,NA,*,810,NA,*,14,NA,*,787,NA,64832,49481,-23.7,83860,87262,4.1
12,State,Madhya Pradesh,3331,3416,2.6,3188,3289,3.2,325,287,-11.7,2929,3119,6.5,1264,1142,-9.7,1155,1028,-11,109,114,4.6,265,160,-39.6,112,90,-19.6,2146,1894,-11.7,19856,18073,-9,31934,30607,-4.2,3961,3918,-1.1,873,731,-16.3,1527,1543,1,60,89,48.3,*,1324,NA,*,30637,NA,*,417,NA,*,7355,NA,*,765,NA,*,2640,NA,116254,85949,-26.1,188025,197445,5
13,State,Maharashtra,2787,2900,4.1,1325,1336,0.8,136,125,-8.1,1304,1362,4.4,1171,1163,-0.7,799,782,-2.1,372,381,2.4,693,698,0.7,84,101,20.2,3180,3130,-1.6,15900,16304,2.5,47668,49323,3.5,4422,6183,39.8,1844,1928,4.6,3179,3282,3.2,239,162,-32.2,*,1314,NA,*,33930,NA,*,471,NA,*,3475,NA,*,808,NA,*,8760,NA,97711,57408,-41.2,181643,194163,6.9
14,State,Manipur,241,257,6.6,144,125,-13.2,7,6,-14.3,5,12,140,115,108,-6.1,78,64,-17.9,37,44,18.9,26,26,0,0,0,NA,49,30,-38.8,94,111,18.1,273,321,17.6,58,46,-20.7,13,29,123.1,92,49,-46.7,11,11,0,*,68,NA,*,251,NA,*,0,NA,*,24,NA,*,0,NA,*,0,NA,1284,1122,-12.6,2412,2596,7.6
15,State,Meghalaya,119,128,7.6,22,16,-27.3,6,4,-33.3,34,17,-50,26,22,-15.4,17,8,-52.9,9,14,55.6,70,84,20,1,3,200,101,79,-21.8,195,157,-19.5,514,451,-12.3,44,55,25,22,17,-22.7,30,29,-3.3,7,8,14.3,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,774,703,-9.2,1965,1773,-9.8
16,State,Mizoram,35,37,5.7,25,32,28,0,5,@,44,41,-6.8,7,9,28.6,0,0,NA,7,9,28.6,153,9,-94.1,0,2,@,10,18,80,212,324,52.8,563,864,53.5,2,0,-100,23,29,26.1,53,76,43.4,4,12,200,*,34,NA,*,88,NA,*,0,NA,*,59,NA,*,0,NA,*,0,NA,588,757,28.7,1719,2396,39.4
17,State,Nagaland,137,155,13.1,57,43,-24.6,4,9,125,12,16,33.3,40,35,-12.5,15,11,-26.7,25,24,-4,35,37,5.7,0,0,NA,117,102,-12.8,221,243,10,274,278,1.5,9,6,-33.3,38,24,-36.5,50,24,-52,6,3,-50,*,0,NA,*,27,NA,*,0,NA,*,0,NA,*,0,NA,*,0,NA,499,393,-21.2,1499,1395,-6.9
18,State,Orissa,821,917,11.7,1117,1212,8.5,94,99,5.3,436,553,26.8,455,463,1.8,455,463,1.8,0,0,NA,373,284,-23.9,0,0,NA,883,965,9.3,4537,4477,-1.3,8640,8100,-6.3,1863,1947,4.5,402,344,-14.4,413,461,11.6,27,20,-25.9,*,593,NA,*,3350,NA,*,196,NA,*,1446,NA,*,109,NA,*,554,NA,28228,24905,-11.8,48289,50995,5.6
19,State,Punjab,662,679,2.6,390,322,-17.4,99,75,-24.2,108,96,-11.1,220,233,5.9,135,140,3.7,85,93,9.4,10,12,20,15,14,-6.7,46,47,2.2,989,1017,2.8,1275,1374,7.8,7,6,-14.3,147,155,5.4,532,570,7.1,11,9,-18.2,*,41,NA,*,2114,NA,*,130,NA,*,73,NA,*,8,NA,*,133,NA,6120,4037,-34,10631,11145,4.8
20,State,Rajasthan,1499,1386,-7.5,1761,1988,12.9,124,97,-21.8,1002,1036,3.4,2531,2822,11.5,2110,2579,22.2,421,243,-42.3,88,88,0,8,6,-25,1137,1150,1.1,8327,8340,0.2,15517,16139,4,18741,20386,8.8,846,889,5.1,5549,4972,-10.4,287,411,43.2,*,1117,NA,*,12872,NA,*,369,NA,*,2121,NA,*,65,NA,*,3202,NA,75602,68810,-9,133019,148266,11.5
21,State,Sikkim ,6,12,100,4,9,125,0,1,@,9,3,-66.7,14,14,0,2,4,100,12,10,-16.7,5,3,-40,0,0,NA,9,5,-44.4,123,89,-27.6,160,125,-21.9,55,26,-52.7,5,9,80,7,25,257.1,2,1,-50,*,4,NA,*,95,NA,*,0,NA,*,37,NA,*,0,NA,*,0,NA,428,175,-59.1,827,633,-23.5
22,State,Tamil Nadu,1742,1959,12.5,1754,1599,-8.8,44,17,-61.4,237,268,13.1,576,815,41.5,550,661,20.2,26,154,492.3,124,134,8.1,0,1,@,401,529,31.9,6348,5998,-5.5,19986,18906,-5.4,7343,7423,1.1,650,504,-22.5,1178,1204,2.2,567,534,-5.8,*,1327,NA,*,19559,NA,*,94,NA,*,1212,NA,*,1078,NA,*,345,NA,78121,63255,-19,119071,126761,6.5
23,State,Tripura,284,251,-11.6,61,62,1.6,1,0,-100,61,75,23,114,194,70.2,33,40,21.2,81,154,90.1,154,183,18.8,0,5,@,177,144,-18.6,408,375,-8.1,607,576,-5.1,283,246,-13.1,13,14,7.7,19,23,21.1,11,3,-72.7,*,111,NA,*,614,NA,*,7,NA,*,80,NA,*,1,NA,*,57,NA,1604,710,-55.7,3797,3731,-1.7
24,State,Uttar Pradesh,10776,8784,-18.5,9541,8523,-10.7,1371,1383,0.9,2078,1808,-13,4798,3842,-19.9,2796,2337,-16.4,2002,1505,-24.8,1740,1327,-23.7,238,190,-20.2,6506,5348,-17.8,16822,13383,-20.4,43143,36209,-16.1,9594,7918,-17.5,3615,3142,-13.1,3722,3167,-14.9,284,193,-32,*,1643,NA,*,20100,NA,*,1850,NA,*,26.1,NA,*,154,NA,*,3165,NA,90475,53232,-41.2,204703,177992,-13
25,State,West Bengal ,1817,1788,-1.6,560,535,-4.5,646,620,-4,743,787,5.9,1128,934,-17.2,783,811,3.6,345,123,-64.3,553,481,-13,138,250,81.2,791,861,8.8,945,826,-12.6,22068,21099,-4.4,6147,6111,-0.6,610,484,-20.7,1249,1161,-7,67,58,-13.4,*,105,NA,*,4396,NA,*,89,NA,*,1314,NA,*,26,NA,*,3319,NA,31480,24169,-23.2,68942,69413,0.7
Total (States),State,Total (States),38014,36880,-3,29497,28933,-1.9,3857,3738,-3.1,12882,13367,3.8,19854,19114,-3.7,13302,13694,2.9,6552,5420,-17.3,9249,8292,-10.3,932,939,0.8,23536,21861,-7.1,119443,114074,-4.5,288143,275584,-4.4,94002,96119,2.3,15899,14784,-7,29699,28934,-2.6,2739,2134,-22.1,*,11926,NA,*,200816,NA,*,4483,NA,*,26294,NA,*,4460,NA,*,28458,NA,903029,701172,-22.4,1590775,1642362,3.2
26,UT,A & N Islands,14,14,0,4,8,100,0,0,NA,4,5,25,4,4,0,3,4,33.3,1,0,-100,0,0,NA,0,0,NA,1,2,100,68,57,-16.2,61,55,-9.8,21,19,-9.5,8,6,-25,6,6,0,0,0,NA,*,4,NA,*,78,NA,*,0,NA,*,13,NA,*,1,NA,*,2,NA,356,190,-46.6,547,464,-15.2
27,UT,Chandigarh,22,14,-36.4,15,34,126.7,5,9,80,6,5,-16.7,55,39,-29.1,45,26,-42.2,10,13,30,0,1,NA,0,0,NA,8,10,25,178,189,6.2,967,816,-15.6,46,62,34.8,27,50,85.2,99,90,-9.1,0,2,@,*,4,NA,*,98,NA,*,1,NA,*,10,NA,*,2,NA,*,18,NA,671,578,-13.9,2099,2032,-3.2
28,UT,D & N Haveli,7,10,42.9,3,4,33.3,0,0,NA,2,1,-50,6,5,-16.7,5,5,0,1,0,-100,1,1,0,0,0,NA,4,5,25,24,29,20.8,61,56,-8.2,30,29,-3.3,5,7,40,0,2,@,0,0,NA,*,2,NA,*,57,NA,*,1,NA,*,5,NA,*,0,NA,*,5,NA,345,217,-37.1,488,436,-10.7
29,UT,Daman & DIU,3,5,66.7,2,3,50,0,0,NA,1,2,100,1,3,200,0,0,NA,1,3,200,2,4,100,0,0,NA,3,5,66.7,37,30,-18.9,33,85,75.8,24,37,54.2,4,5,25,4,11,175,2,0,-100,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,107,120,12.1,223,283,26.9
30,UT,Delhi,492,520,5.7,479,577,20.5,84,80,-4.8,309,372,20.4,1055,1252,18.7,713,330,-53.7,342,922,169.6,19,36,89.5,14,22,57.1,377,555,47.2,1660,2039,22.8,13490,17267,28,172,210,22.1,578,644,11.4,1383,1624,17.4,99,63,-36.4,*,79,NA,*,2421,NA,*,160,NA,*,520,NA,*,223,NA,*,95,NA,18012,18927,5.1,38223,47686,24.8
31,UT,Lakshadeep,0,0,-,0,0,-,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,3,3,0,20,12,-40,8,1,-87.5,1,3,200,0,0,NA,0,0,NA,*,0,NA,*,5,NA,*,0,NA,*,0,NA,*,0,NA,*,0,NA,20,7,-65,52,31,-40.4
32,UT,Pondicherry,25,21,-16,20,12,-40,0,3,@,4,2,-50,8,9,12.5,7,4,-42.9,1,5,400,0,1,@,0,0,NA,4,5,25,123,86,-30.1,789,458,-42,41,43,4.9,1,4,300,16,11,-31.3,11,4,-63.6,*,13,NA,*,337,NA,*,3,NA,*,14,NA,*,3,NA,*,1,NA,1802,1372,-23.9,2844,2402,-15.5
Total (UTs),UT,Total (UTs),563,584,3.7,523,638,22,89,92,3.4,326,387,18.7,1129,1312,16.2,773,369,-52.3,356,943,164.9,22,43,95.5,14,22,57.1,397,582,46.6,2093,2433,16.2,15421,18722,21.4,342,401,17.3,624,719,15.2,1508,1744,15.6,112,69,-38.4,*,102,NA,*,2996,NA,*,165,NA,*,562,NA,*,229,NA,*,121,NA,21313,21411,0.5,44476,53334,19.9
Total (All -India),Total (All -India),Total (All -India),38577,37464,-2.9,30020,29571,-1.5,3946,3830,-2.9,13208,13754,4.1,20983,20426,-2.7,14075,14063,-0.1,6908,6363,-7.9,9271,8335,-10.1,946,961,1.6,23933,22443,-6.2,121536,116507,-4.1,303564,294306,-3,94344,96520,2.3,16523,15503,-6.2,31207,30678,-1.7,2851,2203,-22.7,*,12028,NA,*,203812,NA,*,4648,NA,*,26856,NA,*,4689,NA,*,28579,NA,924342,722583,-21.8,1635251,1695696,3.7
33,City,Ahmedabad ,101,118,16.8,65,80,23.1,1,1,0,20,3,-85,113,146,29.2,85,112,31.8,28,34,21.4,17,27,58.8,0,0,NA,134,138,3,868,984,13.4,4554,4674,2.6,143,200,39.9,110,133,20.9,160,183,14.4,19,9,-52.6,*,18,NA,*,1486,NA,*,17,NA,*,35,NA,*,18,NA,*,282,NA,4896,6920,41.3,11201,15472,38.1
34,City,Bangalore ,213,212,-0.5,275,322,17.1,7,4,-42.9,61,42,-31.1,152,141,-7.2,68,72,5.9,84,69,-17.9,90,36,-60,1,2,100,576,524,-9,2547,2660,4.4,8965,8387,-6.4,1041,419,-59.8,245,302,23.3,1013,1016,0.3,367,34,-90.7,*,150,NA,*,3683,NA,*,57,NA,*,181,NA,*,50,NA,*,207,NA,14387,10470,-27.2,29940,28899,-3.5
35,City,Bhopal,51,48,-5.9,138,115,-16.7,2,0,-100,62,62,0,30,26,13.3,30,21,-30,0,5,@,2,6,200,2,0,-100,132,102,-22.7,634,536,-15.5,1402,1433,2.2,58,68,17.2,16,21,31.3,79,110,39.2,7,17,142.9,*,32,NA,*,802,NA,*,9,NA,*,298,NA,*,18,NA,*,69,NA,5105,4552,-10.8,7720,8324,7.8
36,City,Calcutta,354,357,0.8,229,195,-14.8,5,3,-40,150,210,40,234,231,-1.3,146,141,-3.4,88,90,2.3,113,131,15.9,57,51,-10.5,754,757,0.4,2707,2958,9.3,13484,15555,15.4,233,202,-13.3,565,710,25.7,1243,1382,11.2,57,39,-31.6,*,22,NA,*,5397,NA,*,25,NA,*,402,NA,*,44,NA,*,400,NA,15190,11441,-24.7,35375,40512,14.5
37,City,Chennai,77,83,7.8,124,145,16.9,22,16,-27.3,36,54,50,90,114,26.7,71,82,15.5,19,32,68.4,35,35,0,33,31,-6.1,154,155,0.6,174,169,-2.9,4897,4957,1.2,413,357,-13.6,257,228,-11.3,630,573,-9,34,30,-11.8,*,0,NA,*,1343,NA,*,9,NA,*,140,NA,*,13,NA,*,111,NA,4425,3108,-29.8,11401,11671,2.4
38,City,Coimbatore,23,16,-30.4,21,13,-38.1,0,0,NA,1,1,0,5,4,-20,3,1,-66.7,2,3,50,0,4,NA,0,0,NA,15,15,0,230,183,-20.4,778,1044,34.2,229,126,-45,8,20,150,20,32,60,93,92,-1.1,*,0,NA,*,57,NA,*,2,NA,*,1,NA,*,0,NA,*,8,NA,1663,1401,-15.8,3086,3019,-2.2
39,City,Delhi,396,413,4.3,393,490,24.7,62,54,-12.9,252,305,21,916,1071,16.9,619,209,-66.2,297,862,190.2,11,30,172.7,12,18,50,328,491,49.7,1442,1757,21.8,12654,16116,27.4,149,172,15.4,527,592,12.3,1338,1547,15.6,95,60,-36.8,*,79,NA,*,2056,NA,*,160,NA,*,520,NA,*,223,NA,*,95,NA,15903,16510,3.8,34478,42759,24
40,City,Hyderabad,99,92,-7.1,31,77,148.4,2,3,50,49,41,-16.3,108,76,-29.6,67,42,-37.3,41,34,-17.1,7,9,28.6,0,0,NA,72,51,-29.2,1327,1196,-9.9,3243,2897,-10.7,173,252,45.7,84,107,27.4,586,535,-8.7,12,3,-75,*,9,NA,*,583,NA,*,36,NA,*,38,NA,*,8,NA,*,241,NA,4063,2943,-27.6,9856,9197,-6.7
41,City,Indore,89,86,-3.4,134,173,29.1,1,2,100,29,25,-13.8,33,53,60.6,31,49,58.1,2,4,100,2,1,-50,1,2,100,80,105,31.3,745,766,2.8,2499,2561,2.5,67,95,41.8,37,33,-10.8,113,126,11.5,0,0,NA,*,27,NA,*,1330,NA,*,13,NA,*,120,NA,*,20,NA,*,136,NA,5139,3909,-23.9,8969,9583,6.8
42,City,Jaipur,63,60,-4.8,36,48,33.3,1,3,200,22,22,0,145,233,60.7,125,174,39.2,20,59,195,4,0,-100,0,0,NA,64,67,4.7,771,975,26.5,2489,2881,15.7,1216,1527,25.6,164,204,24.4,810,788,-2.7,118,169,43.2,*,32,NA,*,161,NA,*,24,NA,*,99,NA,*,5,NA,*,193,NA,4905,5121,4.4,10808,12612,16.7
43,City,Kanpur,297,204,-31.3,216,154,-28.7,25,19,-24,31,44,41.9,211,171,-19,117,112,-4.3,94,59,-37.2,36,36,0,6,4,-33.3,193,181,-6.2,415,476,14.7,1593,1369,-14.1,203,189,-6.9,300,239,-20.3,254,240,-5.5,109,42,-61.5,*,21,NA,*,424,NA,*,54,NA,*,49,NA,*,0,NA,*,171,NA,2687,1653,-38.5,6576,5740,-12.7
44,City,Kochi,25,17,-32,8,12,50,3,4,33.3,7,7,0,7,4,-42.9,6,2,-66.7,1,2,100,4,6,50,0,0,NA,10,6,-40,227,235,3.5,262,219,-16.4,212,184,-13.2,12,12,0,113,93,-17.7,3,2,-33.3,*,17,NA,*,493,NA,*,1,NA,*,21,NA,*,0,NA,*,16,NA,3227,3269,1.3,4120,4618,12.1
45,City,Lucknow,177,132,-25.4,194,149,-23.2,16,18,12.5,33,29,-12.1,142,93,-34.5,116,86,-25.9,26,7,-73.1,32,8,-75,12,9,-25,222,184,-17.1,994,653,-34.3,3096,2411,-22.1,290,219,-24.5,257,199,-22.6,277,229,-17.3,2,1,50,*,13,NA,*,365,NA,*,22,NA,*,34,NA,*,0,NA,*,144,NA,2533,1489,-41.2,8277,6401,-22.7
46,City,Ludhiana,40,42,5,30,41,36.7,6,5,-16.7,11,11,0,25,28,12,10,13,30,15,15,0,0,0,NA,7,12,71.4,7,2,-71.4,112,73,-34.8,155,179,15.5,4,1,75,13,14,7.7,41,40,-2.4,2,2,0,*,1,NA,*,63,NA,*,11,NA,*,1,NA,*,0,NA,*,14,NA,398,331,-16.8,851,871,2.4
47,City,Madurai,94,88,-6.4,256,294,14.8,10,0,-100,14,11,-21.4,25,13,-48,25,13,-48,0,0,NA,4,5,25,0,0,NA,63,69,9.5,453,481,6.2,2829,2593,-8.3,68,41,-39.7,267,182,-31.8,364,412,13.2,68,90,32.4,*,0,NA,*,429,NA,*,3,NA,*,14,NA,*,0,NA,*,23,NA,1472,1094,-25.7,5987,5842,-2.4
48,City,Mumbai,26,26,0,80,49,-38.8,0,0,NA,4,7,75,12,29,141.7,12,29,141.7,0,0,NA,4,7,75,0,0,NA,42,41,-2.4,171,140,-18.1,977,938,-4,157,126,-19.7,30,15,-50,99,103,4,93,60,-35.5,*,8,NA,*,229,NA,*,10,NA,*,12,NA,*,3,NA,*,10,NA,2142,1830,-14.6,3837,3643,-5.1
49,City,Nagpur,87,93,6.9,60,55,-8.3,3,1,-66.7,46,56,21.7,61,61,0,44,54,22.7,17,7,-58.8,8,10,25,0,2,@,276,267,-3.3,864,970,12.3,2648,2664,0.6,127,130,2.4,69,74,7.2,135,152,12.6,12,14,16.7,*,29,NA,*,1087,NA,*,1,NA,*,97,NA,*,0,NA,*,188,NA,4211,2936,-30.3,8607,8887,3.3
50,City,Patna,224,195,-12.9,240,292,21.7,19,18,-5.3,25,26,4,122,113,-7.4,10,27,170,112,86,-23.2,63,74,17.5,24,8,-66.7,175,157,-10.3,471,331,-29.7,1763,1354,-23.2,312,227,-27.2,179,197,10.1,113,141,24.8,0,12,@,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,NA,1555,1958,25.9,5285,5103,-3.4
51,City,Pune,92,86,-6.5,37,31,-16.2,3,0,-100,52,66,26.9,54,36,-33.3,34,26,-23.5,20,10,-50,15,7,-53.3,0,4,@,102,99,-2.9,839,838,-0.1,2035,2013,-1.1,78,1444,1751.3,63,65,3.2,172,173,0.6,18,13,-27.8,*,21,NA,*,1183,NA,*,9,NA,*,92,NA,*,128,NA,*,176,NA,5284,2975,-43.7,8844,9459,7
52,City,Surat,93,82,-11.8,54,52,-3.7,0,0,NA,10,16,60,39,60,53.8,26,45,73.1,13,15,15.4,17,40,135.3,0,0,NA,66,76,15.2,456,522,14.5,1683,1712,1.7,134,133,-0.7,103,85,-17.5,195,232,19,4,5,25,*,12,NA,*,629,NA,*,6,NA,*,16,NA,*,4,NA,*,105,NA,1918,1477,-23,4772,5264,10.3
53,City,Vadodra,35,44,25.7,13,23,76.9,1,0,-100,13,7,-46.2,41,41,0,37,37,0,4,4,0,7,9,28.6,0,0,NA,26,24,-7.7,364,412,13.2,1305,1377,5.5,265,193,-27.2,107,126,17.8,249,284,14.1,5,12,140,*,3,NA,*,313,NA,*,3,NA,*,10,NA,*,4,NA,*,51,NA,2413,2563,6.2,4844,5499,13.5
