SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. not Ampunting to Murder - Male,C.H. not Ampunting to Murder - Female,C.H. not Ampunting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male,Kidnapping & Abduction - Of Women & Girls - Female,Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male,Kidnapping & Abduction - Of Others - Female,Kidnapping & Abduction - Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt/ Grievous Hurt - Male,Hurt/ Grievous Hurt - Female,Hurt/ Grievous Hurt - Total,Dowry Death - Male,Dowry Death - Female,Dowry Death - Total,Molestation - Male,Molestation - Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty by Husband or Relatives - Male,Cruelty by Husband or Relatives - Female,Cruelty by Husband or Relatives - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
Total (All-India),Total (All-India),Total (All-India),79862,2926,82788,76239,1693,77932,7660,403,8063,18574,274,18848,25742,1255,26997,16270,1036,17306,9472,219,9691,25319,297,25616,5175,25,5200,28877,168,29045,74802,1267,76069,177051,4236,181287,490380,22112,512492,14537,270,14807,26920,806,27726,861,7,868,13741,269,14010,341966,15459,357425,10437,2409,12846,32166,214,32380,5816,78,5894,52675,10224,62899,972860,41687,1014547,2481660,106079,2587739
33,City,Ahmedabad ,194,30,224,256,22,278,1,0,1,4,0,4,172,9,181,109,9,118,63,0,63,62,0,62,0,0,0,163,6,169,377,38,415,1704,38,1742,1077,52,1129,122,1,123,203,7,210,0,0,0,20,0,20,2710,212,2922,29,5,34,34,10,44,24,0,24,495,148,643,6314,305,6619,13961,883,14844
34,City,Bangalore ,420,19,439,647,24,671,2,0,2,69,3,72,117,16,133,64,12,76,53,4,57,104,0,104,12,0,12,479,2,481,796,20,816,2045,62,2107,1500,175,1675,118,2,120,456,26,482,14,1,15,35,0,35,1156,253,1409,3,3,6,84,0,84,0,0,0,118,15,133,5308,231,5539,13483,852,14335
35,City,Bhopal,142,13,155,293,5,298,0,0,0,113,5,118,19,0,19,17,0,17,2,0,2,62,0,62,0,0,0,144,0,144,291,10,301,626,15,641,2488,16,2504,26,0,26,102,9,111,0,0,0,39,0,39,3096,11,3107,20,7,27,306,0,306,22,0,22,65,13,78,6975,266,7241,14829,370,15199
36,City,Bombay,701,35,736,384,7,391,5,0,5,265,26,291,233,8,241,129,7,136,104,1,105,282,3,285,174,0,174,665,2,667,1085,17,1102,4257,135,4392,1582,104,1686,487,14,501,845,46,891,7,2,9,7,0,7,7249,238,7487,52,24,76,430,6,436,42,0,42,674,226,900,11053,569,11622,30479,1462,31941
37,City,Calcutta,121,3,124,77,2,79,13,0,13,61,0,61,97,4,101,72,3,75,25,1,26,83,0,83,78,0,78,229,0,229,131,0,131,2478,17,2495,876,0,876,87,0,87,213,0,213,2,0,2,0,0,0,1841,0,1841,10,2,12,114,0,114,10,0,10,84,24,108,2427,45,2472,9032,97,9129
38,City,Coimbatore,41,1,42,38,0,38,0,0,0,0,0,0,5,0,5,1,0,1,4,0,4,10,0,10,0,0,0,20,0,20,124,0,124,800,16,816,530,78,608,6,0,6,19,0,19,0,0,0,0,0,0,101,1,102,1,1,2,2,0,2,0,0,0,2,2,4,1884,10,1894,3583,109,3692
39,City,Delhi,719,26,745,819,13,832,87,3,90,377,4,381,572,8,580,370,8,378,202,0,202,131,3,134,35,0,35,707,20,727,835,36,871,4758,198,4956,1327,18,1345,466,32,498,1473,69,1542,9,0,9,49,0,49,3591,0,3591,366,39,405,704,0,704,485,0,485,217,99,316,14858,904,15762,32585,1472,34057
40,City,Hyderabad,151,0,151,35,0,35,3,0,3,53,0,53,60,0,60,32,0,32,28,0,28,32,0,32,0,0,0,55,0,55,438,40,478,940,106,1046,570,0,570,22,0,22,206,0,206,0,0,0,9,0,9,730,0,730,0,13,13,19,0,19,5,0,5,79,25,104,4104,1116,5220,7511,1300,8811
41,City,Indore,206,0,206,438,6,444,2,0,2,35,0,35,91,5,96,87,5,92,4,0,4,7,0,7,11,0,11,129,4,133,182,4,186,643,4,647,546,5,551,28,0,28,142,0,142,0,0,0,39,0,39,2407,0,2407,37,3,40,154,0,154,30,0,30,384,4,388,4903,2,4905,10414,37,10451
42,City,Jaipur,70,0,70,50,0,50,2,0,2,27,0,27,139,4,143,101,4,105,38,0,38,0,0,0,0,0,0,77,0,77,273,9,282,572,41,613,3020,147,3167,56,2,58,258,16,274,0,0,0,14,0,14,226,8,234,32,2,34,88,0,88,5,0,5,270,25,295,4755,144,4899,9934,398,10332
43,City,Kanpur,399,3,402,349,1,350,37,1,38,74,0,74,210,10,220,164,10,174,46,0,46,95,0,95,22,0,22,189,0,189,448,1,449,484,3,487,783,10,793,175,0,175,293,1,294,1,0,1,17,0,17,855,17,872,161,60,221,46,0,46,0,0,0,364,84,448,2421,71,2492,7423,262,7685
44,City,Kochi,31,1,32,44,0,44,4,0,4,10,0,10,1,0,1,1,0,1,0,0,0,9,0,9,0,0,0,5,0,5,104,0,104,153,2,155,866,86,952,15,0,15,51,0,51,0,0,0,10,0,10,768,52,820,0,0,0,38,0,38,0,0,0,10,3,13,3122,0,3122,5241,144,5385
45,City,Lucknow,230,2,232,256,0,256,29,0,29,39,0,39,117,9,126,104,9,113,13,0,13,27,0,27,37,0,37,163,0,163,128,3,131,379,7,386,956,11,967,72,1,73,83,4,87,1,0,1,11,0,11,529,5,534,47,32,79,44,0,44,0,0,0,321,10,331,1323,33,1356,4792,117,4909
46,City,Ludhiana,37,10,47,54,5,59,12,0,12,12,6,18,27,3,30,15,3,18,12,0,12,0,0,0,60,0,60,5,0,5,22,0,22,97,0,97,5,0,5,1,0,1,14,3,17,0,0,0,0,1,1,101,0,101,18,14,32,1,0,1,0,0,0,24,12,36,224,0,224,714,54,768
47,City,Madras,323,5,328,522,1,523,0,0,0,21,0,21,31,1,32,31,1,32,0,0,0,13,0,13,0,0,0,123,0,123,213,9,222,1564,42,1606,1350,6,1356,34,2,36,53,9,62,0,0,0,0,0,0,795,45,840,5,4,9,14,0,14,0,0,0,32,19,51,3054,142,3196,8147,285,8432
48,City,Madurai,56,0,56,283,3,286,0,0,0,12,0,12,23,0,23,23,0,23,0,0,0,34,0,34,0,0,0,63,0,63,80,0,80,482,43,525,532,95,627,4,0,4,78,1,79,8,0,8,3,0,3,386,0,386,9,7,16,14,0,14,3,0,3,14,5,19,2736,176,2912,4820,330,5150
49,City,Nagpur,134,2,136,82,0,82,1,0,1,56,0,56,39,1,40,33,1,34,6,0,6,40,0,40,10,0,10,169,0,169,163,3,166,477,9,486,713,6,719,48,0,48,104,0,104,0,0,0,27,0,27,1162,0,1162,3,0,3,95,0,95,0,0,0,201,10,211,2693,3,2696,6217,34,6251
50,City,Patna,591,0,591,867,0,867,31,0,31,39,0,39,124,37,161,0,37,37,124,0,124,234,0,234,51,0,51,481,0,481,344,0,344,1402,0,1402,1149,0,1149,241,0,241,167,0,167,14,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2188,4,2192,7923,41,7964
51,City,Pune,151,13,164,62,4,66,0,0,0,78,7,85,42,5,47,36,4,40,6,1,7,25,2,27,22,0,22,147,0,147,626,29,655,1133,73,1206,3119,1302,4421,61,1,62,230,12,242,0,0,0,12,2,14,1918,150,2068,14,10,24,96,6,102,142,0,142,294,156,450,2761,198,2959,10933,1970,12903
52,City,Surat,158,7,165,84,2,86,0,0,0,17,0,17,56,5,61,38,3,41,18,2,20,55,0,55,0,0,0,128,0,128,401,0,401,833,16,849,1016,63,1079,29,3,32,104,5,109,3,0,3,6,0,6,1116,25,1141,20,5,25,19,0,19,4,0,4,253,40,293,1122,118,1240,5424,289,5713
53,City,Vadodara,82,2,84,83,6,89,0,0,0,10,0,10,36,2,38,31,2,33,5,0,5,6,0,6,0,0,0,32,2,34,160,3,163,440,32,472,506,73,579,152,18,170,343,33,376,7,1,8,8,0,8,508,56,564,6,3,9,17,0,17,4,0,4,84,31,115,2663,175,2838,5147,437,5584
54,City,Varanasi,217,0,217,237,0,237,30,0,30,6,0,6,42,0,42,24,0,24,18,0,18,5,0,5,0,0,0,71,0,71,88,0,88,132,2,134,365,0,365,86,0,86,85,2,87,1,0,1,3,0,3,227,0,227,31,7,38,8,0,8,0,0,0,14,0,14,1021,11,1032,2669,22,2691
55,City,Vishakhapatnam,17,3,20,16,0,16,0,0,0,7,1,8,8,0,8,6,0,6,2,0,2,8,0,8,0,0,0,6,0,6,166,0,166,563,21,584,107,7,114,8,0,8,65,2,67,0,0,0,3,0,3,747,40,787,3,2,5,22,0,22,239,0,239,112,33,145,374,34,408,2471,143,2614
