SI.No ,State/UT,District ,Murder ,Attempt to Commit Murder ,C.H. Not Amounting to Murder ,Rape ,Kidnapping & Abduction - Total ,Kidnapping & Abduction - of Women & Girls  ,Kidnapping & Abduction - Of Others ,Dacoity ,Preparation and Assembly for Dacoity ,Robbery ,Burglary ,Theft,Riots ,Criminal Breach of Trust ,Cheating ,Counterfeiting ,Arson ,Hurt/Grievous Hurt,Dowry Death,Molestation ,Sexual Harassment ,Cruelty by Husband and Relatives ,Others IPC Crimes ,Total Cog. Under IPC 
17,Andhra Pradesh,Nizambad,96,68,6,30,48,32,16,55,5,67,224,406,158,13,69,0,28,694,26,74,16,241,1572,3896
18,Andhra Pradesh,Prakasham,118,61,4,29,31,28,3,11,1,13,149,281,234,18,53,5,53,779,3,145,23,64,2732,4807
19,Andhra Pradesh,Ranga Reddy,108,49,4,31,71,53,18,26,0,61,525,718,125,26,85,0,600,697,28,47,0,78,1473,4752
20,Andhra Pradesh,Srikakulam,46,23,3,19,34,30,4,2,0,3,97,251,131,31,42,3,7,594,4,44,6,31,965,2336
21,Andhra Pradesh,Visakha Rural,65,21,1,31,34,26,8,7,0,30,389,1038,65,52,149,12,19,1131,6,141,296,117,1223,4827
22,Andhra Pradesh,Vizianagaram,25,21,1,12,11,7,4,7,0,8,99,268,52,15,35,6,0,892,7,68,28,108,810,2473
23,Andhra Pradesh,Warangal,124,76,12,45,34,4,30,45,0,39,238,465,307,12,67,7,0,296,32,192,0,197,2026,4214
24,Andhra Pradesh,Guntakal Rly.,2,0,0,1,0,0,0,1,0,1,0,162,2,0,2,1,0,6,0,0,0,0,84,262
25,Andhra Pradesh,Secunderabad Rly.,4,0,0,0,2,2,0,1,0,7,1,295,6,0,2,3,0,19,2,0,0,1,22,365
26,Andhra Pradesh,Vijyawada Rly.,1,1,0,0,0,0,0,0,0,4,0,233,2,0,5,0,0,20,0,2,0,0,11,279
Andhra Pradesh,Andhra Pradesh,Total,2472,1316,94,856,1064,676,388,555,10,854,6454,15055,4690,571,2330,136,1450,21139,362,2677,769,2829,39333,105016
1,Arunachal Pradesh,Changlang,8,2,0,5,14,11,3,3,0,2,17,24,0,3,4,0,0,0,0,0,0,0,79,161
2,Arunachal Pradesh,Dibang Valley,11,2,0,0,2,0,2,4,0,5,5,16,2,2,0,0,0,0,0,0,0,0,78,127
3,Arunachal Pradesh,Kameng East,1,2,0,0,0,0,0,0,0,1,11,8,1,0,0,0,1,48,0,1,0,0,17,91
4,Arunachal Pradesh,Kameng West,6,3,0,0,3,1,2,4,0,1,11,23,3,1,1,0,0,0,0,0,0,0,64,120
5,Arunachal Pradesh,Lohit,8,2,0,1,3,2,1,3,0,6,7,37,3,3,2,0,0,0,0,0,0,0,99,174
6,Arunachal Pradesh,Papum Pare,7,3,0,5,8,3,5,5,0,11,22,71,0,2,8,1,0,0,0,0,0,0,183,326
7,Arunachal Pradesh,Siang East,4,1,0,6,5,5,0,1,0,13,9,41,4,6,4,0,0,0,0,0,0,0,133,227
8,Arunachal Pradesh,Siang Upper,1,0,0,1,1,0,1,3,0,0,5,5,0,0,0,0,1,11,0,3,0,0,22,53
9,Arunachal Pradesh,Siang West,7,3,0,4,4,4,0,1,0,6,15,23,4,3,2,1,2,18,0,2,0,1,97,193
10,Arunachal Pradesh,Subansiri Lower,7,4,0,1,2,2,0,0,0,3,5,12,2,5,1,0,0,0,0,0,0,0,60,102
11,Arunachal Pradesh,Subansiri Upper,4,4,0,1,1,0,1,1,0,1,9,15,0,0,0,0,0,0,0,0,0,0,93,129
12,Arunachal Pradesh,Tawang,2,0,0,0,0,0,0,0,0,0,6,7,0,1,0,0,1,12,0,4,0,0,15,48
13,Arunachal Pradesh,Tirap,6,1,2,1,4,3,1,12,0,1,9,31,2,0,0,0,2,12,0,1,0,0,72,156
Arunachal Pradesh,Arunachal Pradesh,Total,72,27,2,25,47,31,16,37,0,50,131,313,21,26,22,2,7,101,0,11,0,1,1012,1907
1,Assam,Barpeta,77,15,0,34,54,32,22,29,2,75,140,232,314,20,25,2,24,59,0,34,9,29,464,1638
2,Assam,Bongaigaon,44,6,1,15,34,28,6,24,1,26,102,235,113,10,7,0,9,63,1,17,0,6,219,933
3,Assam,Cachar,48,12,0,30,87,87,0,21,0,14,260,515,385,27,30,4,62,180,7,47,0,64,925,2718
4,Assam,Darrang,85,14,2,24,32,23,9,41,0,61,133,205,69,10,15,2,14,144,2,32,0,10,215,1110
5,Assam,Dhenaji,25,14,1,18,38,28,10,15,0,18,41,109,27,9,6,0,16,176,0,28,0,11,102,654
6,Assam,Dhubri,38,6,1,39,46,41,5,18,0,10,95,195,421,12,24,0,23,208,1,40,0,52,250,1479
7,Assam,Dibrugarh,122,20,2,28,66,60,6,19,2,66,110,416,18,23,16,1,25,314,0,60,0,16,510,1834
8,Assam,Goalpara,28,2,2,14,29,24,5,29,0,24,93,137,184,10,9,0,4,35,0,1,0,23,233,857
9,Assam,Golaghat,61,17,2,27,48,40,8,15,0,44,106,237,49,11,21,0,25,208,0,21,0,12,192,1096
10,Assam,Hailakandi,22,15,0,20,29,29,0,6,0,3,90,184,256,15,17,0,30,49,0,11,0,25,304,1076
11,Assam,Jorhat,41,9,1,27,68,47,21,7,2,53,140,384,77,22,22,0,13,73,0,8,3,30,483,1463
12,Assam,Kamrup,95,31,6,55,154,118,36,112,3,190,513,1599,679,109,149,11,8,539,2,41,0,34,1904,6234
13,Assam,Karbi Anglong,45,7,1,8,34,16,18,33,0,76,79,183,94,6,19,0,32,62,0,20,0,2,161,862
14,Assam,Karimaganj,18,21,0,27,27,25,2,9,3,5,142,204,315,3,13,5,33,131,1,4,0,61,65,1087
15,Assam,Kokrajhar,78,18,0,14,30,25,5,42,0,31,56,215,78,7,9,0,2,31,0,23,0,6,229,869
16,Assam,Lakhimpur,35,10,1,38,92,90,2,15,0,26,122,188,104,22,23,0,16,127,0,4,1,15,422,1261
17,Assam,Morigaon,18,11,0,13,34,34,0,20,0,20,75,117,86,5,20,0,20,74,3,35,1,29,241,822
18,Assam,N.C. Hills,21,2,1,1,6,5,1,16,0,25,21,27,10,1,0,0,11,13,0,4,0,0,43,202
19,Assam,Nagaon,76,21,2,39,119,108,11,120,2,105,454,485,492,31,40,1,46,157,0,56,0,12,1118,3376
20,Assam,Nalbari,40,4,1,8,39,39,0,71,0,30,135,179,74,3,0,3,11,100,0,5,0,4,250,957
21,Assam,Sibsagar,75,9,0,41,90,90,0,21,0,46,114,380,78,22,22,0,28,414,0,15,1,14,518,1888
22,Assam,Sonitpur,82,47,2,41,86,80,6,82,1,75,321,511,144,28,28,1,22,348,24,20,0,2,456,2321
23,Assam,Tinsukia,99,13,2,27,51,50,1,9,0,53,132,421,55,30,21,0,34,291,3,46,0,28,442,1757
Assam,Assam,Total,1273,324,28,588,1293,1119,174,774,16,1076,3474,7358,4122,436,536,30,508,3796,44,572,15,485,9746,36494
1,Bihar,Araria,59,20,12,26,37,7,30,33,6,22,130,199,273,24,14,0,NA,NA,NA,NA,NA,NA,910,1765
2,Bihar,Aurangabad,62,33,3,3,13,3,10,49,5,27,143,172,224,30,20,0,NA,NA,NA,NA,NA,NA,991,1775
3,Bihar,Banka,80,36,5,13,24,6,18,35,2,42,72,143,273,0,6,0,NA,NA,NA,NA,NA,NA,568,1299
4,Bihar,Begusarai,110,48,3,10,52,17,35,9,0,28,110,247,310,22,5,0,NA,NA,NA,NA,NA,NA,1687,2641
5,Bihar,Bettiah,103,114,12,25,101,22,79,34,1,20,99,216,315,30,21,0,NA,NA,NA,NA,NA,NA,507,1598
6,Bihar,Bhabhua,33,43,2,9,24,7,17,42,3,18,58,158,196,19,7,0,NA,NA,NA,NA,NA,NA,620,1232
7,Bihar,Bhagalpur,150,86,9,14,55,13,42,40,5,80,160,331,218,31,31,2,NA,NA,NA,NA,NA,NA,1353,2565
8,Bihar,Bhojpur,107,142,0,14,37,0,37,38,0,38,140,326,230,0,0,0,NA,NA,NA,NA,NA,NA,1813,2885
9,Bihar,Bokaro,66,67,8,23,43,23,20,49,4,64,169,559,275,40,20,0,NA,NA,NA,NA,NA,NA,1037,2424
10,Bihar,Buxar,54,19,7,14,50,11,39,81,2,34,94,208,230,10,9,1,NA,NA,NA,NA,NA,NA,761,1574
11,Bihar,Chaibasa,175,86,41,44,26,16,10,23,9,32,59,253,29,13,91,0,NA,NA,NA,NA,NA,NA,821,1702
12,Bihar,Chapra,115,275,27,28,83,35,48,100,0,100,196,484,307,25,74,0,NA,NA,NA,NA,NA,NA,2676,4490
13,Bihar,Chatra,29,40,0,8,4,3,1,10,0,14,31,36,51,10,6,0,NA,NA,NA,NA,NA,NA,194,433
14,Bihar,Darbhanga,100,152,24,46,53,13,40,34,6,78,211,505,429,53,40,1,NA,NA,NA,NA,NA,NA,1315,3047
15,Bihar,Deoghar,50,18,3,20,18,4,14,41,3,10,184,182,147,13,43,0,NA,NA,NA,NA,NA,NA,691,1423
16,Bihar,Dhanbad,92,31,14,38,58,47,11,77,18,87,345,842,343,20,16,12,NA,NA,NA,NA,NA,NA,2171,4164
17,Bihar,Dumka,84,33,15,45,28,2,26,48,2,28,152,240,154,21,5,0,NA,NA,NA,NA,NA,NA,821,1676
18,Bihar,Garhwa,36,83,7,15,8,0,8,29,3,18,20,41,91,10,10,0,NA,NA,NA,NA,NA,NA,306,677
19,Bihar,Gaya,143,104,11,19,36,16,20,169,2,107,210,339,317,26,27,0,NA,NA,NA,NA,NA,NA,1921,3431
20,Bihar,Giridih,62,8,29,42,25,14,11,61,4,25,115,254,304,27,32,0,NA,NA,NA,NA,NA,NA,1207,2195
21,Bihar,Godda,63,66,4,19,18,11,7,25,0,25,40,272,44,8,4,0,NA,NA,NA,NA,NA,NA,384,972
22,Bihar,Gopalganj,96,57,7,12,22,9,13,29,3,31,132,178,112,58,17,0,NA,NA,NA,NA,NA,NA,0,754
23,Bihar,Gumla,141,55,8,50,29,29,0,13,0,45,58,142,50,6,14,0,NA,NA,NA,NA,NA,NA,568,1179
24,Bihar,Hazaribagh,148,22,9,39,50,28,22,73,8,88,224,580,269,24,40,0,NA,NA,NA,NA,NA,NA,1168,2742
25,Bihar,Jamshedpur,64,34,6,51,41,11,30,9,5,19,230,671,124,38,36,0,NA,NA,NA,NA,NA,NA,1561,2889
26,Bihar,Jamui,55,75,11,11,14,9,5,37,3,26,47,78,153,1,13,0,NA,NA,NA,NA,NA,NA,548,1072
27,Bihar,Jehanabad,67,67,10,16,17,6,11,72,0,27,80,166,161,0,37,0,NA,NA,NA,NA,NA,NA,742,1462
28,Bihar,Katihar,81,52,8,55,29,27,2,44,2,43,108,239,314,19,22,1,NA,NA,NA,NA,NA,NA,929,1946
29,Bihar,Khagaria,73,58,0,4,17,6,11,16,1,8,29,318,374,0,2,0,NA,NA,NA,NA,NA,NA,644,1544
30,Bihar,Kishanganj,24,3,1,47,15,10,5,43,3,10,58,105,198,10,9,0,NA,NA,NA,NA,NA,NA,505,1031
31,Bihar,Lakhisaraj,96,130,1,1,26,8,18,42,4,28,49,154,19,7,10,0,NA,NA,NA,NA,NA,NA,366,933
32,Bihar,Loharadagga,35,18,2,12,5,3,2,14,0,13,24,73,16,5,5,0,NA,NA,NA,NA,NA,NA,184,406
33,Bihar,Medhepura,40,37,8,12,21,8,13,9,2,13,51,88,233,9,22,0,NA,NA,NA,NA,NA,NA,0,545
34,Bihar,Madhubani,68,79,8,12,43,19,24,40,3,30,125,265,404,15,21,0,NA,NA,NA,NA,NA,NA,1674,2787
35,Bihar,Motihari,102,221,7,41,52,33,19,26,8,39,180,270,341,44,29,2,NA,NA,NA,NA,NA,NA,1734,3096
36,Bihar,Munger,112,238,7,11,40,13,27,25,0,65,44,354,95,16,25,0,NA,NA,NA,NA,NA,NA,688,1720
37,Bihar,Muzaffarpur,126,76,17,45,85,36,49,87,2,125,260,371,328,82,147,2,NA,NA,NA,NA,NA,NA,2285,4038
38,Bihar,Nalanda,188,166,10,17,63,30,33,89,5,50,148,423,199,36,38,4,NA,NA,NA,NA,NA,NA,2109,3545
39,Bihar,Naugachia,64,25,14,4,20,7,13,7,3,30,16,37,112,7,5,0,NA,NA,NA,NA,NA,NA,228,572
40,Bihar,Nawadah,73,54,15,13,27,15,12,27,1,22,43,96,247,30,25,0,NA,NA,NA,NA,NA,NA,809,1482
41,Bihar,Pakur,31,32,7,23,10,10,0,16,2,12,9,97,34,7,2,1,NA,NA,NA,NA,NA,NA,260,543
42,Bihar,Palamau,105,54,10,22,24,4,20,37,5,32,75,185,211,8,9,2,NA,NA,NA,NA,NA,NA,1059,1838
43,Bihar,Patna,393,605,28,46,186,37,149,160,13,247,500,1902,692,239,167,14,NA,NA,NA,NA,NA,NA,3487,8679
44,Bihar,Purnea ,112,199,17,85,62,43,19,68,7,53,192,382,488,41,26,0,NA,NA,NA,NA,NA,NA,1190,2933
45,Bihar,Ranchi,325,151,21,68,67,22,45,61,10,241,293,797,136,59,55,4,NA,NA,NA,NA,NA,NA,1699,3987
46,Bihar,Rohtas,100,85,8,27,45,17,28,75,6,71,181,472,406,51,40,4,NA,NA,NA,NA,NA,NA,1281,2852
47,Bihar,Saharsa,33,57,4,5,30,7,23,24,0,35,58,106,258,18,31,0,NA,NA,NA,NA,NA,NA,837,1496
48,Bihar,Sahebganj,52,48,3,13,13,13,0,28,0,19,46,181,71,17,16,2,NA,NA,NA,NA,NA,NA,412,921
49,Bihar,Samastipur,115,145,41,34,11,0,11,62,8,44,147,207,354,30,51,0,NA,NA,NA,NA,NA,NA,1279,2528
50,Bihar,Sheikhpura,20,15,5,1,5,0,5,21,0,7,18,67,124,4,7,0,NA,NA,NA,NA,NA,NA,123,417
51,Bihar,Sheohar,8,14,1,2,9,0,9,3,0,1,7,27,41,2,2,0,NA,NA,NA,NA,NA,NA,216,333
52,Bihar,Sitamarhi,55,10,11,13,46,44,2,29,1,48,93,190,325,23,36,0,NA,NA,NA,NA,NA,NA,1213,2093
53,Bihar,Siwan,97,161,6,6,40,8,32,76,2,65,211,253,152,27,6,1,NA,NA,NA,NA,NA,NA,1444,2547
54,Bihar,Supaul,30,6,14,15,32,13,19,36,1,31,73,160,286,16,25,0,NA,NA,NA,NA,NA,NA,781,1506
55,Bihar,Vaishali,85,30,58,16,64,37,27,46,12,61,127,231,219,44,70,0,NA,NA,NA,NA,NA,NA,1684,2747
56,Bihar,Dhanbad Rly.,5,0,0,0,0,0,0,17,0,22,4,96,10,0,1,0,NA,NA,NA,NA,NA,NA,57,212
57,Bihar,Jamalpur Rly.,1,0,0,1,2,0,2,5,0,4,6,148,6,1,4,0,NA,NA,NA,NA,NA,NA,101,279
58,Bihar,Jamshedpur Rly.,11,1,1,0,2,0,2,19,3,22,4,218,4,1,4,1,NA,NA,NA,NA,NA,NA,107,398
59,Bihar,Katihar Rly.,15,0,0,2,3,0,3,14,2,11,11,180,12,0,7,0,NA,NA,NA,NA,NA,NA,113,370
60,Bihar,Muzaffarpur Rly.,12,4,2,1,7,0,7,6,0,18,22,216,16,5,9,0,NA,NA,NA,NA,NA,NA,98,416
61,Bihar,Patna Rly.,19,9,0,4,3,0,3,34,3,25,7,514,14,8,6,0,NA,NA,NA,NA,NA,NA,157,803
Bihar,Bihar,Total,5050,4597,622,1312,2070,832,1238,2566,203,2678,6728,17244,12368,1440,1572,54,NA,NA,NA,NA,NA,NA,57094,115598
1,Goa,North Goa,18,3,3,11,14,10,4,2,0,14,367,675,165,22,32,5,29,146,1,16,3,12,688,2226
2,Goa,South Goa,18,1,0,8,7,4,3,2,0,9,248,444,59,18,23,7,19,111,1,11,3,1,329,1319
Goa,Goa,Total,36,4,3,19,21,14,7,4,0,23,615,1119,224,40,55,12,48,257,2,27,6,13,1017,3545
1,Gujarat,Ahmedabad Commr.,118,80,1,3,146,112,34,27,0,138,984,4674,200,133,183,9,NA,NA,NA,NA,NA,NA,8776,15472
2,Gujarat,Ahmedabad Rural,46,24,2,8,56,45,11,14,0,37,114,384,91,92,98,7,NA,NA,NA,NA,NA,NA,3430,4403
3,Gujarat,Ahwa- Dang,6,0,0,1,2,2,0,0,0,1,8,10,9,2,0,1,NA,NA,NA,NA,NA,NA,91,131
4,Gujarat,Amreli,36,23,0,7,19,17,2,2,0,26,121,200,43,19,7,4,NA,NA,NA,NA,NA,NA,1707,2214
5,Gujarat,Anand,53,19,3,21,42,39,3,6,0,31,263,768,46,162,145,8,NA,NA,NA,NA,NA,NA,3839,5406
6,Gujarat,Banaskantha,54,23,2,16,49,47,2,11,0,80,258,752,121,64,148,4,NA,NA,NA,NA,NA,NA,4250,5832
7,Gujarat,Bharuch,80,37,0,26,41,35,6,36,0,61,323,771,123,140,228,9,NA,NA,NA,NA,NA,NA,4871,6746
8,Gujarat,Bhavnagar,59,24,1,13,49,41,8,6,0,34,215,518,80,173,79,12,NA,NA,NA,NA,NA,NA,3211,4474
9,Gujarat,Gandhinagar,12,9,0,5,14,12,2,8,0,9,108,516,28,8,32,5,NA,NA,NA,NA,NA,NA,1319,2073
10,Gujarat,Jamnagar,46,20,2,22,35,29,6,0,2,40,180,388,36,64,181,9,NA,NA,NA,NA,NA,NA,3812,4837
11,Gujarat,Junagadh,65,39,0,17,39,31,8,4,0,53,291,479,72,75,107,9,NA,NA,NA,NA,NA,NA,3460,4710
12,Gujarat,Kheda North,41,14,0,5,59,59,0,4,0,30,243,589,76,85,152,5,NA,NA,NA,NA,NA,NA,2869,4172
13,Gujarat,Kutch,28,22,0,10,27,24,3,3,0,15,178,336,76,29,76,5,NA,NA,NA,NA,NA,NA,2557,3362
14,Gujarat,Meshana,51,29,0,4,74,72,2,11,0,68,356,1068,179,144,126,11,NA,NA,NA,NA,NA,NA,4280,6401
15,Gujarat,Panchmahals,100,110,0,20,85,85,0,36,0,112,324,550,149,254,193,7,NA,NA,NA,NA,NA,NA,5650,7590
16,Gujarat,Patan,24,20,0,11,19,15,4,7,0,28,112,491,77,74,75,5,NA,NA,NA,NA,NA,NA,2044,2987
17,Gujarat,Porbandar,14,8,1,1,13,6,7,0,0,10,54,144,1,65,23,4,NA,NA,NA,NA,NA,NA,941,1279
18,Gujarat,Rajkot Commr.,25,14,0,6,43,33,10,2,0,45,258,691,81,243,120,8,NA,NA,NA,NA,NA,NA,2607,4143
19,Gujarat,Rajkot Rural,64,87,0,10,43,34,9,9,1,40,204,550,60,124,112,3,NA,NA,NA,NA,NA,NA,3895,5202
20,Gujarat,Sabarkantha,49,15,0,20,39,36,3,4,0,21,222,346,103,112,135,4,NA,NA,NA,NA,NA,NA,3426,4496
21,Gujarat,Surat Commr.,82,52,0,16,60,45,15,40,0,76,522,1712,133,85,232,5,NA,NA,NA,NA,NA,NA,2249,5264
22,Gujarat,Surat Rural,71,5,4,4,13,12,1,21,1,26,67,207,66,38,96,5,NA,NA,NA,NA,NA,NA,2445,3069
23,Gujarat,Surendranagar,41,30,0,17,16,14,2,3,0,16,148,296,75,60,41,7,NA,NA,NA,NA,NA,NA,2649,3399
24,Gujarat,Vadodara Commr.,44,23,0,7,41,37,4,9,0,24,412,1377,193,126,284,12,NA,NA,NA,NA,NA,NA,2947,5499
25,Gujarat,Vadodara Rural,102,13,2,18,58,58,0,19,0,34,170,505,61,82,124,1,NA,NA,NA,NA,NA,NA,3101,4290
26,Gujarat,Valsad,99,23,1,18,29,29,0,23,0,36,286,511,80,76,115,5,NA,NA,NA,NA,NA,NA,3101,4403
27,Gujarat,W.Rly,22,4,0,3,9,5,4,4,0,21,16,1109,7,12,2,2,NA,NA,NA,NA,NA,NA,449,1660
Gujarat,Gujarat,Total,1432,767,19,309,1120,974,146,309,4,1112,6437,19942,2266,2541,3114,166,NA,NA,NA,NA,NA,NA,83976,123514
1,Haryana,Ambala,26,5,6,8,24,16,8,2,1,12,187,311,1,17,45,2,2,211,10,19,0,55,715,1659
2,Haryana,Bhiwani,35,13,5,24,17,11,6,1,0,17,160,151,89,13,22,5,26,238,21,26,2,15,931,1811
3,Haryana,Faridabad,80,56,18,48,77,56,21,10,11,46,391,767,106,50,128,8,20,408,26,61,148,89,2556,5104
4,Haryana,Gurgaon,75,35,5,17,33,22,11,12,3,23,238,465,47,26,44,7,18,1151,7,26,0,25,744,3001
5,Haryana,Hissar,65,49,11,27,42,24,18,2,1,17,199,318,37,21,57,4,12,933,49,17,52,0,1452,3365
6,Haryana,Jind,27,11,3,16,9,9,0,4,0,8,115,191,19,12,68,0,9,194,17,26,35,17,899,1680
7,Haryana,Kaithal,25,18,5,8,9,5,4,0,0,15,88,109,0,9,12,0,15,170,14,22,0,13,306,838
8,Haryana,Karnal ,42,28,4,29,36,25,11,7,0,3,223,376,36,28,46,0,18,856,9,50,0,23,225,2039
9,Haryana,Kurukshetra,26,9,4,17,13,11,2,2,1,7,155,204,0,6,34,0,4,31,5,29,0,15,894,1456
10,Haryana,Mahendragarh,18,6,4,7,5,3,2,3,0,4,73,80,38,10,17,2,5,482,5,19,0,12,278,1068
11,Haryana,Panchkula,13,2,0,10,14,9,5,1,0,1,117,154,10,3,23,0,2,6,0,17,0,10,349,732
12,Haryana,Panipat,42,22,4,23,21,16,5,8,2,16,225,260,24,6,29,0,8,138,12,13,27,0,678,1558
13,Haryana,Rewari,23,4,3,15,9,5,4,2,0,9,94,160,22,22,21,7,25,366,8,16,0,7,224,1037
14,Haryana,Rohtak,86,63,41,25,40,29,11,5,0,33,314,431,65,46,60,11,52,236,0,53,0,60,1225,2846
15,Haryana,Sirsa,33,25,3,13,13,10,3,1,0,8,113,90,24,12,35,0,2,402,8,33,0,27,471,1313
16,Haryana,Sonipat,62,32,11,13,35,18,17,7,1,37,215,239,14,3,22,7,4,454,17,22,32,29,682,1938
17,Haryana,Yamunanagar,26,14,5,11,35,28,7,4,1,8,160,255,93,18,54,1,7,182,6,26,0,29,683,1618
18,Haryana,GRP,12,2,1,0,1,0,1,0,0,2,2,147,10,3,1,0,0,6,24,8,0,0,561,760
Haryana,Haryana,Total,716,394,133,311,433,297,136,71,21,266,3069,4708,635,305,718,54,229,6464,218,483,296,426,13873,33823
1,Himachal Pradesh,Bilaspur,8,6,0,7,9,7,2,0,0,2,52,64,67,13,12,0,23,75,1,24,3,20,348,734
2,Himachal Pradesh,Chamba,10,4,0,14,11,9,2,0,0,3,105,57,5,2,3,0,15,46,0,10,2,4,235,526
3,Himachal Pradesh,Hamirpur,7,5,1,4,8,3,5,1,0,0,40,32,33,10,5,2,6,185,0,12,2,30,199,582
4,Himachal Pradesh,Kangra,34,15,3,15,31,27,4,1,0,4,208,158,100,12,22,0,27,318,3,40,1,38,1167,2197
5,Himachal Pradesh,Kinnaur,1,2,0,8,9,6,3,0,0,1,42,24,19,4,2,0,0,16,0,11,0,9,99,247
6,Himachal Pradesh,Kullu,5,3,1,10,6,4,2,0,0,1,62,38,15,5,10,3,8,53,0,13,1,6,361,601
7,Himachal Pradesh,Lahaul-Spiti,1,0,0,0,1,0,1,0,0,0,2,2,2,2,0,0,0,3,0,3,0,1,33,60
8,Himachal Pradesh,Mandi,21,11,0,8,21,18,3,0,0,0,121,112,51,14,18,0,40,214,1,61,1,39,969,1702
9,Himachal Pradesh,Shimla,19,15,1,21,24,23,1,0,0,4,187,206,139,26,42,0,17,104,1,46,1,10,971,1834
10,Himachal Pradesh,Sirmur,8,13,0,13,21,14,7,0,0,1,74,75,58,6,11,0,12,0,0,0,0,53,507,852
11,Himachal Pradesh,Solan,5,5,1,9,16,12,4,0,0,4,117,113,40,18,21,0,12,376,0,63,1,0,301,1102
12,Himachal Pradesh,UNA,8,4,0,7,5,2,3,0,0,0,37,33,37,3,5,1,0,40,0,13,2,9,508,712
13,Himachal Pradesh,G.R.P.,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,3,8
Himachal Pradesh,Himachal Pradesh,Total,127,83,7,116,162,125,37,2,0,20,1047,916,568,115,151,6,160,1431,6,296,14,219,5701,11147
1,Jammu Kashmir,Anantnag,179,26,2,4,55,33,22,6,0,31,194,81,79,2,14,0,179,19,0,16,2,0,207,1096
2,Jammu Kashmir,Badgam,30,6,0,0,15,15,0,3,0,0,42,102,31,0,3,0,18,3,0,20,6,0,78,357
3,Jammu Kashmir,Baramulla,218,104,3,7,46,16,30,5,0,24,198,316,70,5,11,0,117,23,0,29,0,0,315,1491
4,Jammu Kashmir,Doda,18,21,1,7,14,14,0,0,0,13,58,58,20,3,6,0,42,20,0,6,3,0,433,723
5,Jammu Kashmir,Jammu,31,133,1,17,50,45,5,0,0,8,321,636,123,29,26,0,17,124,5,32,88,15,2282,3938
6,Jammu Kashmir,Kargil,2,3,0,4,2,2,0,0,0,0,3,5,17,5,0,0,0,0,0,3,0,0,57,101
7,Jammu Kashmir,Kathua,12,34,0,15,24,23,1,3,0,4,93,106,18,2,5,0,19,48,0,15,0,4,555,957
8,Jammu Kashmir,Kupwara,138,92,1,3,15,12,3,2,0,2,47,42,37,2,9,0,98,15,0,40,1,0,134,678
