SL. No.,State/UT/City,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Child Mariage Restaint Act - Male,Child Mariage Restaint Act - Female,Child Mariage Restaint Act - Total,Indecent Representation of Women (Prohibition) Act - Male,Indecent Representation of Women (Prohibition) Act - Female,Indecent Representation of Women (Prohibition) Act - Total,Copy Right Act - Male,Copy Right Act - Female,Copy Right Act - Total,Sati Prevention Act - Male,Sati Prevention Act - Female,Sati Prevention Act - Total,SC/ST (Prevention of Atrocities) Act - Male,SC/ST (Prevention of Atrocities) Act - Female,SC/ST (Prevention of Atrocities) Act - Total,Forest Act - Male,Forest Act - Female,Forest Act - Total,Other SLL Crimes - Male,Other SLL Crimes - Female,Other SLL Crimes - Total,Total Cognizable Crimes Under SLL - Male,Total Cognizable Crimes Under SLL - Female,Total Cognizable Crimes Under SLL - Total
11,State,Kerala,310,0,310,326,13,339,7762,0,7762,224,14,238,851,24,875,260,1,261,99,84,183,51,0,51,113,5,118,51,5,56,4,0,4,62,1,63,0,0,0,0,0,0,14,1,15,2,0,2,34,0,34,5,0,5,0,0,0,511,13,524,62,0,62,3366,84,3450,14107,245,14352
12,State,Madhya Pradesh,7375,1,7376,1612,35,1647,57253,1,57254,18105,1018,19123,2,0,2,491,0,491,52,142,194,13021,90,13111,49,0,49,171,15,186,0,0,0,321,0,321,0,0,0,0,0,0,178,38,216,6,0,6,2,0,2,50,0,50,0,0,0,1770,32,1802,476,9,485,179653,1137,180790,280587,2518,283105
13,State,Maharashtra,1586,4,1590,911,90,1001,50445,41,50486,0,0,0,112345,10301,122646,162,0,162,498,261,759,4902,3,4905,49,14,63,539,31,570,493,26,519,1014,3,1017,51,0,51,2,0,2,19,1,20,49,13,62,134,6,140,425,2,427,0,0,0,1074,75,1149,47,0,47,196207,20849,217056,370952,31720,402672
14,State,Manipur,52,4,56,46,22,68,131,11,142,906,561,1467,0,0,0,10,1,11,0,1,1,0,0,0,1,0,1,0,0,0,15,3,18,19,14,33,52,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,68,401,1565,690,2255
15,State,Meghalaya,85,0,85,32,0,32,116,7,123,23,51,74,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,10,0,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,2,91,369,60,429
16,State,Mizoram,30,0,30,70,12,82,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,182,14,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,2,150,439,28,467
17,State,Nagaland,56,1,57,137,15,152,0,0,0,48,7,55,42,8,50,14,0,14,0,0,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,12,400,703,43,746
18,State,Orissa,394,0,394,186,7,193,3536,0,3536,1858,93,1951,18,0,18,191,0,191,24,40,64,5,0,5,0,0,0,6,0,60,0,0,0,95,0,95,0,0,0,0,0,0,539,131,670,0,0,0,0,0,0,8,0,8,0,0,0,704,8,712,0,0,0,2564,7,2571,10128,286,10414
19,State,Punjab,1171,2,1173,1458,106,1564,3235,3,3238,12058,464,12522,0,0,0,21,0,21,5,7,12,203,0,203,2,0,2,0,0,0,102,2,104,149,0,149,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,18,1,19,0,0,0,1,0,1,0,0,0,216,0,216,18641,585,19226
20,State,Rajasthan,1455,2,1487,910,31,941,6764,0,6764,3815,71,3886,0,0,0,255,0,255,54,58,112,1591,0,1591,4,0,4,336,30,366,65,0,65,211,0,211,10,0,10,0,0,0,0,0,0,11,0,11,0,0,0,43,0,43,0,0,0,3138,160,3298,1032,0,1032,4840,158,4998,24534,510,25044
21,State,Sikkim ,2,0,2,18,1,19,0,0,0,0,0,0,0,0,0,1,0,1,7,3,10,0,0,0,27,2,29,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,19,464,516,25,541
22,State,Tamil Nadu,227,0,227,1860,363,2223,22653,93,22746,0,0,0,267026,78868,345894,571,4,575,23,5296,5319,366,0,366,2,0,2,403,0,403,37,0,37,20,0,20,0,0,0,0,0,0,332,117,449,0,0,0,2,0,2,16,1,17,0,0,0,407,30,437,24,0,24,416883,23143,440026,710852,107915,818767
23,State,Tripura,77,0,77,6,0,6,9,0,9,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,134,0,134
24,State,Uttar Pradesh,39640,31,39671,8857,127,8984,21097,13,21110,23324,346,23670,0,0,0,1337,4,1341,49,86,135,2050,0,2050,8,0,8,3029,61,3090,8,0,8,291,1,292,0,0,0,2,0,2,1702,289,1991,0,0,0,10,0,10,54,0,54,0,0,0,19970,483,20453,5388,97,5485,242165,98,242263,368981,1636,370617
25,State,West Bengal ,1323,3,1326,543,19,562,3164,0,3164,1682,27,1709,4,0,4,173,0,173,44,66,110,8467,405,8872,1571,24,1595,0,0,0,8,0,8,1676,30,1706,0,0,0,3,0,3,19,2,21,0,0,0,0,0,0,138,0,138,0,0,0,0,0,0,3,0,3,697981,1255,699236,716799,1831,718630
Total (States),State,Total (States),63111,59,63170,20319,1006,21325,277339,220,277559,114633,4740,119373,509452,141254,650706,5794,35,5829,1576,9605,11181,35354,538,35892,2469,88,2557,7437,265,7702,1182,51,1233,5813,54,5867,1272,6,1278,81,0,81,6049,1352,7401,96,19,115,486,73,559,884,16,900,0,0,0,32650,1060,33710,8598,157,8755,3294161,67617,3361778,4388756,228215,4616971
26,UT,A & N Islands,0,0,0,3,0,3,149,0,149,824,356,1180,82,0,82,7,0,7,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,0,542,1630,356,1986
27,UT,Chandigarh,10,0,10,12,2,14,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,75,2,77
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,19,1,20,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,35,1,36
29,UT,Daman & Diu,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,7,12,2,14
30,UT,Delhi,3557,0,3557,832,41,873,6845,0,6845,6241,642,6883,0,0,0,36,0,36,103,164,267,84,1,85,27,0,27,1,0,1,0,0,0,112,5,117,2,0,2,0,0,0,23,8,31,0,0,0,3,0,3,54,0,54,0,0,0,6,0,6,0,0,0,848,26,874,18774,887,19661
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,10,0,10,5,2,7,39,0,39,0,0,0,0,0,0,0,0,0,22,80,102,0,0,0,5,0,5,41,3,44,0,0,0,47,11,58,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,2293,2,2295,2469,98,2567
Total (UTs),UT,Total (UTs),3577,0,3577,852,45,897,7040,0,7040,7091,999,8090,82,0,82,45,0,45,125,244,369,84,1,85,50,0,50,42,3,45,0,0,0,177,16,193,2,0,2,0,0,0,23,8,31,0,0,0,7,0,7,57,0,57,0,0,0,6,0,6,0,0,0,3735,30,3765,22995,1346,24341
Total (All-India),Total (All-India),Total (All-India),66688,59,66747,21171,1051,22222,284379,220,284599,121724,5739,127463,509534,141254,650788,5839,35,5874,1701,9849,11550,35438,539,35977,2519,88,2607,7479,268,7747,1182,51,1233,5990,70,6060,1274,6,1280,81,0,81,6072,1360,7432,96,19,115,493,73,566,941,16,957,0,0,0,32656,1060,33716,8598,157,8755,3297896,67647,3365543,4411751,229561,4641312
33,City,Ahmedabad ,166,0,166,41,1,42,5783,1,5784,0,0,0,9177,841,10018,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,247,1,248,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,21,0,21,0,0,0,14,0,14,5,0,5,8825,993,9818,24284,1838,26122
34,City,Bangalore ,25,0,25,78,5,83,1766,1,1767,206,13,219,0,0,0,25,4,29,92,679,771,0,0,0,4,1,5,82,6,88,2,0,2,12,0,12,0,0,0,0,0,0,254,124,378,0,0,0,0,0,0,9,0,9,0,0,0,7,0,7,405,0,405,583949,2663,586612,586916,3496,590412
35,City,Bhopal,399,0,399,185,0,185,2545,0,2545,352,7,359,0,0,0,8,0,8,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,14,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1906,5,1911,5417,14,5431
36,City,Bombay,212,0,212,190,42,232,8248,12,8260,0,0,0,3824,387,4211,1,0,1,480,209,689,0,0,0,23,4,27,5,2,7,423,26,449,99,2,101,51,0,51,0,0,0,0,0,0,0,0,0,126,6,132,126,0,126,0,0,0,3,0,3,0,0,0,165797,19565,185362,179608,20255,199863
37,City,Calcutta,86,0,86,162,13,175,1044,0,1044,1554,15,1569,0,0,0,22,0,22,38,66,104,35,0,35,0,0,0,0,0,0,0,0,0,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,690282,1194,691476,693307,1288,694595
38,City,Coimbatore,0,0,0,122,4,126,785,0,785,0,0,0,431,0,431,0,0,0,5,340,345,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18831,159,18990,20176,503,20679
39,City,Delhi,3297,0,3297,755,38,793,6310,0,6310,4695,588,5283,0,0,0,30,0,30,100,164,264,84,1,85,25,0,25,0,0,0,0,0,0,94,4,98,2,0,2,0,0,0,20,7,27,0,0,0,3,0,3,54,0,54,0,0,0,6,0,6,0,0,0,692,22,714,16167,824,16991
40,City,Hyderabad,90,0,90,26,0,26,2121,0,2121,773,36,809,278,0,278,19,0,19,58,200,258,0,0,0,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,3,2,5,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,415632,1111,416743,419045,1349,420394
41,City,Indore,430,0,430,45,0,45,1333,0,1333,420,6,426,0,0,0,26,0,26,11,20,31,0,0,0,35,0,35,0,0,0,0,0,0,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,83,2,85,0,0,0,0,0,0,2431,28,2459
42,City,Jaipur,141,0,141,16,1,17,539,0,539,414,0,414,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,52,1,53,0,0,0,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,21,0,21,1,0,1,306,5,311,1516,7,1523
43,City,Kanpur,1825,1,1826,838,21,859,890,0,890,542,12,554,0,0,0,132,1,133,6,2,8,6,0,6,2,0,2,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,11,5,16,0,0,0,0,0,0,1,0,1,0,0,0,469,10,479,4,0,4,25339,47,25386,30072,99,30171
44,City,Kochi,3,0,3,34,2,36,162,0,162,0,0,0,22,4,26,8,0,8,13,10,23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,79,0,79,329,16,345
45,City,Lucknow,1734,1,1735,309,1,310,512,0,512,399,13,412,0,0,0,21,0,21,2,2,4,0,0,0,0,0,0,35,1,36,0,0,0,2,0,2,0,0,0,0,0,0,13,0,13,0,0,0,9,0,9,2,0,2,0,0,0,270,0,270,17,0,17,1716,0,1716,5041,18,5059
46,City,Ludhiana,286,0,286,95,1,96,517,2,519,539,0,539,0,0,0,3,0,3,1,2,3,18,0,18,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,11,0,11,0,0,0,0,0,0,0,0,0,12,0,12,1495,5,1500
47,City,Madras,3,0,3,256,67,323,2911,72,2983,0,0,0,5889,1427,7316,2,0,2,5,480,485,0,0,0,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,37,23,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64868,7194,72062,73976,9263,83239
48,City,Madurai,98,0,98,140,0,140,377,0,377,0,0,0,1441,27,1468,6,0,6,0,139,139,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,49258,1285,50543,51325,1451,52776
49,City,Nagpur,412,0,412,46,12,58,4224,0,4224,0,0,0,3544,0,3544,1,0,1,0,3,3,0,0,0,0,0,0,16,0,16,0,0,0,19,0,19,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1670,0,1670,9938,15,9953
50,City,Patna,181,0,181,0,0,0,321,0,321,140,5,145,0,0,0,31,0,31,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,51,10,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,2,47,772,18,790
51,City,Pune,24,0,24,34,4,38,529,3,532,0,0,0,4220,1172,5392,0,0,0,7,2,9,0,0,0,26,10,36,1,0,1,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,56,0,0,0,7,0,7,4,0,4,3135,55,3190,8054,1247,9301
52,City,Surat,80,0,80,14,1,15,2008,0,2008,0,0,0,14361,15286,29647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,107,0,107,188,0,188,0,0,0,52,4,56,0,0,0,6836,387,7223,23652,15680,39332
53,City,Vadodara,13,0,13,20,2,22,1149,0,1149,0,0,0,6343,906,7249,1,0,1,8,0,8,22,0,22,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,51,0,51,0,0,0,0,0,0,6,0,6,0,0,0,2227,196,2423,9863,1104,10967
54,City,Varanasi,724,0,724,489,5,494,185,0,185,178,0,178,0,0,0,45,0,45,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,110,0,110,6,0,6,593,18,611,2337,26,2363
55,City,Vishakhapatnam,1,0,1,2,0,2,2666,22,2688,11,4,15,164,13,177,2,0,2,15,31,46,0,0,0,2,0,2,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,0,0,0,39808,572,40380,42684,642,43326
