SL. No.,Category,State/UT/City,Residental Premises - Number,Residental Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
37,City,Calcutta,5,18.9,13,27.6,0,0,0,0,0,0,11,57.7,6,21.9,35,126.1
38,City,Coimbatore,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4
39,City,Delhi,22,14.9,2,2.8,0,0,1,1,0,0,1,0.1,4,2.9,30,21.6
40,City,Hyderabad,9,11.5,0,0,0,0,0,0,0,0,0,0,0,0,9,11.5
41,City,Indore,0,0,0,0,0,0,0,0,0,0,1,0.3,0,0,1,0.3
42,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,City,Kanpur,24,2.5,7,1.4,0,0,0,0,0,0,4,2.1,1,0,36,6
44,City,Kochi,0,0,2,0.1,0,0,0,0,0,0,0,0,4,2.9,6,3
45,City,Lucknow,6,0.5,2,2.7,0,0,0,0,0,0,0,0,0,0,8,3.1
46,City,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,City,Madras,0,0,0,0,0,0,0,0,0,0,4,1.3,1,6.2,5,7.4
48,City,Madurai,0,0,0,0,0,0,0,0,0,0,1,0.1,6,9.8,7,9.9
49,City,Nagpur,3,0.4,0,0,0,0,0,0,0,0,4,0.2,3,8.4,10,9
50,City,Patna,49,3.2,9,1.1,0,0,14,1.6,2,2.9,0,0,0,0,74,8.8
51,City,Pune,3,1.3,0,0,0,0,0,0,0,0,2,3,2,0.1,7,4.4
52,City,Surat,17,25.7,1,0,0,0,0,0,0,0,12,121.8,10,6.9,40,154.4
53,City,Vadodra,6,0.6,0,0,0,0,0,0,0,0,0,0,3,10.6,9,11.2
54,City,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7,5,1.7
55,City,Vishakhapatnam,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1
