Category,States/ UTs/Cities,Estimated Mid-Year Population (In Lakhs)@,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Dowry Deaths - Incidence,Dowry Deaths - Rate,Dowry Deaths - Percentage Share,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Cruelty by Husband and Relatives - Percentage Share,Molestation - Incidence,Molestation - Rate,Molestation - Percentage Share,Eve-Teasing (Sexual Harassment) - Incidence,Eve-Teasing (Sexual Harassment) - Rate,Eve-Teasing (Sexual Harassment) - Percentage Share,Importation of Girls - Incidence,Importation of Girls - Rate,Importation of Girls - Percentage Share,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,Sati Prevention Act - Percentage Share,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate,Immoral Traffic (P) Act - Percentage Share,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Indecent Representation of Women (P) Act - Percentage Share,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Dowry Prohibition Act - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share,,,,,,,,,,,,,
City,Bangalore,56.87,34,0.6,2.6,11,0.2,0.6,34,0.6,6.4,213,3.7,2.7,213,3.7,7.9,39,0.7,1.3,0,0,0,0,0,0,417,7.3,25.1,0,0,0,266,4.7,67.5,1227,21.6,6.3,,,,,,0,0,6,4.7,7.5,227,21.6,6.3
City,Bhopal,14.55,58,4,4.4,42,2.9,2.2,11,0.8,2.1,120,8.2,1.5,168,11.5,6.2,15,1,0.5,0,0,0,0,0,0,6,0.4,0.4,0,0,0,5,0.3,1.3,425,29.2,2.2,,,,,,0,0,5,0.3,1.3,425,29.2,2.2
City,Chennai,64.25,38,0.6,2.9,0,0,0,18,0.3,3.4,159,2.5,2,90,1.4,3.3,212,3.3,7.2,0,0,0,0,0,0,378,5.9,22.7,0,0,0,0,0,0,895,13.9,4.6,,,,,,0,0,0,0,0,895,13.9,4.6
City,Coimbatore,14.46,4,0.3,0.3,1,0.1,0.1,1,0.1,0.2,24,1.7,0.3,18,1.2,0.7,6,0.4,0.2,0,0,0,0,0,0,230,15.9,13.8,1,0.1,0.4,0,0,0,285,19.7,1.5,,,,,,0.1,0.4,0,0,0,285,19.7,1.5
City,Delhi (CITY),127.91,406,3.2,30.5,673,5.3,35,100,0.8,18.8,1163,9.1,14.8,406,3.2,15,81,0.6,2.7,0,0,0,0,0,0,45,0.4,2.7,0,0,0,14,0.1,3.6,2888,22.6,14.8,,,,,,,,,,,,,
City,Dhanbad,10.64,21,2,1.6,22,2.1,1.1,11,1,2.1,2,0.2,0,5,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2.2,5.8,84,7.9,0.4,,,,,,0,0,14,0.1,3.6,8,,
City,Faridabad,10.55,15,1.4,1.1,34,3.2,1.8,4,0.4,0.8,76,7.2,1,7,0.7,0.3,778,73.7,26.3,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,916,86.8,4.7,,,,,,0,0,3,2.2,5.8,84,7.9,0.4
City,Hyderabad,55.34,57,1,4.3,64,1.2,3.3,42,0.8,7.9,1082,19.6,13.8,165,3,6.1,296,5.3,10,0,0,0,0,0,0,32,0.6,1.9,207,3.7,92.8,0,0,0,1945,35.1,9.9,,,,,,26,6,1,,,,,
City,Indore,16.39,54,3.3,4.1,34,2.1,1.8,15,0.9,2.8,226,13.8,2.9,161,9.8,6,62,3.8,2.1,0,0,0,0,0,0,3,0.2,0.2,0,0,0,0,0,0,555,33.9,2.8,,,,,,288,22.6,14.8,,,,,
City,Jabalpur,11.17,61,5.5,4.6,18,1.6,0.9,21,1.9,4,71,6.4,0.9,139,12.4,5.1,102,9.1,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,36.9,2.1,,,,,,2,,,,,,,
City,Jaipur,23.24,35,1.5,2.6,137,5.9,7.1,14,0.6,2.6,347,14.9,4.4,95,4.1,3.5,0,0,0,0,0,0,0,0,0,6,0.3,0.4,0,0,0,0,0,0,634,27.3,3.2,,,,,,0,0,0,0,0,916,86.8,4.7
City,Jamshedpur,11.02,48,4.4,3.6,40,3.6,2.1,16,1.5,3,73,6.6,0.9,27,2.5,1,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,6,0.5,1.5,211,19.1,1.1,,,,,,3.7,0,0,0,5,35.1,9.9,
City,Kanpur,26.9,24,0.9,1.8,58,2.2,3,43,1.6,8.1,106,3.9,1.4,39,1.4,1.4,144,5.4,4.9,0,0,0,0,0,0,2,0.1,0.1,0,0,0,29,1.1,7.4,445,16.5,2.3,,,,,,0,0,0,0,0,555,33.9,2.8
City,Kochi,13.55,11,0.8,0.8,5,0.4,0.3,0,0,0,54,4,0.7,77,5.7,2.8,7,0.5,0.2,0,0,0,0,0,0,6,0.4,0.4,0,0,0,0,0,0,160,11.8,0.8,,,,,,0,0,0,0,0,412,36.9,2.1
City,Kolkata,132.17,36,0.3,2.7,85,0.6,4.4,16,0.1,3,222,1.7,2.8,185,1.4,6.8,57,0.4,1.9,0,0,0,0,0,0,124,0.9,7.5,0,0,0,0,0,0,725,5.5,3.7,,,,,,0,0,0,0,0,634,27.3,3.2
City,Lucknow,22.67,20,0.9,1.5,64,2.8,3.3,19,0.8,3.6,194,8.6,2.5,36,1.6,1.3,267,11.8,9,0,0,0,0,0,0,3,0.1,0.2,0,0,0,0,0,0,603,26.6,3.1,,,,,,0,0,6,0.5,1.5,211,19.1,1.1
City,Ludhiana,13.95,33,2.4,2.5,46,3.3,2.4,5,0.4,0.9,111,8,1.4,70,5,2.6,159,11.4,5.4,0,0,0,0,0,0,3,0.2,0.2,1,0.1,0.4,0,0,0,428,30.7,2.2,,,,,,0,0,1.1,7.4,445,16.5,2.3,
City,Madurai,11.95,7,0.6,0.5,16,1.3,0.8,10,0.8,1.9,35,2.9,0.4,29,2.4,1.1,49,4.1,1.7,0,0,0,0,0,0,112,9.4,6.7,0,0,0,0,0,0,258,21.6,1.3,,,,,,0,0,0,0,0,160,0.8,
City,Meerut,11.67,14,1.2,1.1,28,2.4,1.5,10,0.9,1.9,141,12.1,1.8,13,1.1,0.5,153,13.1,5.2,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,363,31.1,1.9,,,,,,0,0,0,0,0,725,5.5,3.7
City,Mumbai,163.68,133,0.8,10,85,0.5,4.4,8,0,1.5,199,1.2,2.5,282,1.7,10.4,44,0.3,1.5,0,0,0,0,0,0,130,0.8,7.8,0,0,0,0,0,0,881,5.4,4.5,,,,,,0,0,0,0,0,603,26.6,3.1
City,Nagpur,21.23,26,1.2,2,29,1.4,1.5,4,0.2,0.8,136,6.4,1.7,36,1.7,1.3,36,1.7,1.2,0,0,0,0,0,0,1,0,0.1,0,0,0,2,0.1,0.5,270,12.7,1.4,,,,,,0.1,0.4,0,0,0,428,30.7,2.2
City,Nasik,11.52,11,1,0.8,12,1,0.6,4,0.3,0.8,116,10.1,1.5,18,1.6,0.7,14,1.2,0.5,0,0,0,0,0,0,3,0.3,0.2,0,0,0,0,0,0,178,15.5,0.9,,,,,,0,0,0,0,0,258,21.6,1.3
City,Patna,17.07,15,0.9,1.1,11,0.6,0.6,35,2.1,6.6,80,4.7,1,31,1.8,1.1,0,0,0,0,0,0,0,0,0,4,0.2,0.2,0,0,0,20,1.2,5.1,196,11.5,1,,,,,,0,0,0,0,0,363,1.9,
City,Pune,37.56,40,1.1,3,27,0.7,1.4,2,0.1,0.4,166,4.4,2.1,61,1.6,2.3,92,2.4,3.1,0,0,0,0,0,0,25,0.7,1.5,0,0,0,0,0,0,413,11,2.1,,,,,,0,0,0,0,0,881,5.4,4.5
City,Rajkot,10.02,5,0.5,0.4,30,3,1.6,5,0.5,0.9,158,15.8,2,8,0.8,0.3,13,1.3,0.4,0,0,0,0,0,0,2,0.2,0.1,0,0,0,0,0,0,221,22.1,1.1,,,,,,0,0,2,0.1,0.5,270,12.7,1.4
City,Surat,28.11,25,0.9,1.9,40,1.4,2.1,19,0.7,3.6,126,4.5,1.6,17,0.6,0.6,2,0.1,0.1,0,0,0,0,0,0,48,1.7,2.9,0,0,0,0,0,0,277,9.9,1.4,,,,,,0,0,0,0,0,178,15.5,0.9
City,Vadodara,14.92,8,0.5,0.6,31,2.1,1.6,0,0,0,136,9.1,1.7,17,1.1,0.6,5,0.3,0.2,0,0,0,0,0,0,4,0.3,0.2,0,0,0,0,0,0,201,13.5,1,,,,,,0,0,1.2,5.1,196,11.5,1,
City,Varanasi,12.12,4,0.3,0.3,6,0.5,0.3,10,0.8,1.9,14,1.2,0.2,2,0.2,0.1,58,4.8,2,0,0,0,0,0,0,2,0.2,0.1,0,0,0,5,0.4,1.3,101,8.3,0.5,,,,,,0,0,0,0,0,413,11,2.1
City,Vijayawada,10.11,27,2.7,2,45,4.5,2.3,7,0.7,1.3,1208,119.5,15.4,170,16.8,6.3,146,14.4,4.9,0,0,0,0,0,0,29,2.9,1.7,0,0,0,19,1.9,4.8,1651,163.3,8.4,,,,,,92.8,194,,,,,,
City,Vishakhapatnam,13.29,9,0.7,0.7,20,1.5,1,3,0.2,0.6,146,11,1.9,11,0.8,0.4,30,2.3,1,0,0,0,0,0,0,22,1.7,1.3,0,0,0,1,0.1,0.3,242,18.2,1.2,,,,,,29,,,,,,,
City,Total (Cities),1078.8,1329,1.2,100,1921,1.8,100,531,0.5,100,7847,7.3,100,2705,2.5,100,2960,2.7,100,0,0,0,0,0,0,1663,1.5,100,223,0.2,100,394,0.4,100,19573,18.1,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,221,1.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,277,9.9,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,201,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5,0.4,1.3,101,8.3,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.9,4.8,1,3,8.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,165,163,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0.1,0.3,242,18.2,1.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,100,394,0.4,100,19573,18.1,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,,,,,
