Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
State,Jharkhand,98.4,100,100,85.4,100,86,100,100,NA,NA,NA,NA,NA,90.2,75.6,NA,93.7,NA,NA,100,NA,91,88.9,95.5,100,94.6,94.1
State,Karnataka,90.1,98.7,100,66.5,NA,95.7,99.8,75,91.7,100,100,100,96.6,90.8,NA,100,96.9,NA,NA,92.7,NA,93,92.6,97.8,88,96.7,96.5
State,Kerala,91.9,97.5,100,NA,94.8,73.6,97.4,55.6,100,NA,NA,NA,94.4,97.3,NA,NA,100,100,100,97.6,NA,92.9,93.5,83.3,0,92.7,93.3
State,Madhya Pradesh,99.9,98.6,100,99.9,NA,94.7,100,99.8,100,100,100,NA,NA,92.5,NA,NA,100,100,NA,99.4,NA,98.2,97.4,99.6,100,99.7,99.8
State,Maharashtra,98.9,93.5,100,NA,99.8,80.4,99.4,98.8,100,100,100,NA,98,99.4,NA,100,100,100,100,99.5,NA,93.4,92.7,96.1,94.7,99,99.7
State,Manipur,16.7,74.7,100,NA,NA,28.6,NA,NA,66.7,NA,NA,NA,0,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,20.2
State,Meghalaya,68,83.3,100,100,NA,100,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,64.7,86.7
State,Mizoram,100,100,100,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
State,Nagaland,100,97.1,NA,96.7,100,100,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2,93.6
State,Orissa,97.3,99.1,99.5,100,NA,94.9,100,100,100,100,100,NA,NA,96.8,NA,NA,97,NA,NA,92.9,NA,96.4,97.4,94,100,96.2,99.5
State,Punjab,97.6,94.7,98.1,99.4,100,40,100,96.6,100,0,0,NA,94.9,86.2,NA,NA,100,100,100,97.2,NA,81.8,81.8,NA,NA,85.1,98
State,Rajasthan,99.5,96.2,100,99.1,NA,97.3,100,98.2,100,NA,NA,NA,72.7,97.5,NA,100,100,100,100,99.8,NA,98.9,98.6,100,100,97.2,99.1
State,Sikkim,100,100,NA,100,NA,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,95.9
State,Tamil Nadu,96.5,97.6,100,NA,88,98.1,99.9,67.3,100,98.3,98.2,100,92.9,80,NA,NA,97.6,100,100,99.9,NA,93.8,93.8,100,0,67.7,78.5
State,Tripura,92,70.6,100,NA,NA,57.1,NA,NA,NA,NA,NA,NA,NA,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,82.4
State,Uttar Pradesh,99,99.8,100,99.9,NA,97.6,97.9,98.6,98.7,98.1,98.1,NA,100,67.3,100,100,84.9,100,NA,98.8,NA,93.2,93.2,100,98.8,99.7,99.6
State,Uttaranchal,97.5,99.7,99.8,99.7,NA,62.5,NA,81.4,NA,NA,NA,NA,100,81.8,NA,NA,100,NA,NA,100,NA,66.7,66.2,100,88.8,99.9,99.7
State,West Bengal,94.3,90,77.8,97.3,84.6,75.4,99.1,85.7,99.2,NA,NA,NA,96.6,99,NA,76.5,0,NA,NA,96.5,NA,100,100,100,NA,100,99.9
State,Total (States),97.9,97.8,99.8,99.3,94.2,86.1,99.7,98.4,98.9,97.7,97.9,94.7,96.3,96.2,55.1,75,91.7,98.2,99.7,98.9,76.9,93.9,93.2,97.7,96.2,96.9,96.8
Union Territory,A & N Islands,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,99.7,100
Union Territory,Chandigarh,66.7,96.6,99.6,99.6,NA,100,100,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,95.8,98.9
Union Territory,D & N Haveli,100,NA,NA,100,NA,50,100,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,100,96.8
Union Territory,Daman & Diu,0,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,0,40
Union Territory,Delhi,99.8,99.6,100,99.9,NA,75,100,100,100,NA,NA,NA,100,100,NA,NA,100,100,NA,99.1,NA,100,100,NA,NA,96.3,99.5
Union Territory,Lakshadweep,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100
Union Territory,Pondicherry,100,100,100,NA,NA,0,100,NA,100,100,100,NA,100,100,NA,NA,100,NA,NA,100,NA,100,100,NA,NA,99.4,99.4
Union Territory,Total (UTs),99.7,99.4,99.9,99.9,100,75,100,100,100,100,100,0,100,100,0,0,100,100,0,99.2,0,100,100,100,0,97.7,99.6
Total (All-India),Total (All-India),98.1,97.8,99.8,99.4,94.2,86,99.7,98.4,98.9,97.7,97.9,94.7,96.4,96.2,55.1,75,91.7,98.3,99.7,98.9,76.9,93.9,93.2,97.7,96.2,96.9,96.8
