Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Railways Other Railways - Number,Railways Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2
City,Jamshedpur,21,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5.8
City,Kanpur,6,6.5,1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.3
City,Kochi,3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,8,1,15,8.3,26,12.7
City,Kolkata,7,14.1,0,0,0,0,0,0,0,0,0,0,2,90.3,7,17.6,17,21.1,33,143.1
City,Lucknow,2,2.4,1,5,0,0,0,0,0,0,0,0,0,0,2,77.3,0,0,5,84.8
City,Ludhiana,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
City,Madurai,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,3,4.4,5,5.6
City,Meerut,2,23,0,0,0,0,0,0,0,0,0,0,0,0,2,8.8,0,0,4,31.8
City,Mumbai,2,2.2,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,26,229.2,30,233.8
City,Nagpur,4,2.1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,7,6.9,16,9.3
City,Nasik,5,4.8,1,1.4,0,0,0,0,0,0,0,0,0,0,2,1.7,5,2.6,13,10.4
City,Patna,25,25,14,9.6,0,0,0,0,0,0,0,0,1,1,10,8.1,9,1.5,59,45.3
City,Pune,6,7,0,0,0,0,0,0,0,0,0,0,0,0,3,12.7,2,0.3,11,20
City,Rajkot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.3,7,0.3
City,Surat,10,100.6,0,0,0,0,0,0,0,0,0,0,2,0,2,0.1,2,3,16,103.8
City,Vadodara,1,0.5,1,0.1,0,0,0,0,0,0,0,0,0,0,3,18.3,1,10,6,28.9
City,Varanasi,2,1.5,1,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11.3
City,Vijayawada,4,14,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5,14.1
City,Vishakhapatnam,4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.4
