Category,States/ UTs/Cities,Murder - Incidence,Murder - Rate,Attempt to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H. not Amounting to Murder - Incidence,C.H. not Amounting to Murder - Rate,Rape Total - Incidence,Rape Total - Rate,Rape Custodial - Incidence,Rape Custodial - Rate,Rape Others - Incidence,Rape Others - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft Total - Incidence,Theft Total - Rate,Theft Auto Theft - Incidence,Theft Auto Theft - Rate,Theft Other Theft - Incidence,Theft Other Theft - Rate,Riots - Incidence,Riots - Rate,Criminal Breach of Trust - Incidence,Criminal Breach of Trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeiting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty by Husband and Relatives - Incidence,Cruelty by Husband and Relatives - Rate,Importation of Girls - Incidence,Importation of Girls - Rate,Causing Death by Negligence - Incidence,Causing Death by Negligence - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
State,Jharkhand,1482,5.3,957,3.4,109,0.4,712,2.5,0,0,712,2.5,487,1.7,262,0.9,225,0.8,702,2.5,37,0.1,864,3.1,1468,5.2,4155,14.8,564,2,3591,12.8,2481,8.9,265,0.9,479,1.7,5,0,147,0.5,3062,10.9,262,0.9,424,1.5,2,0,559,2,0,0,642,2.3,12902,46.1,32203,115
State,Karnataka,1506,2.8,1241,2.3,58,0.1,321,0.6,0,0,321,0.6,531,1,244,0.4,287,0.5,220,0.4,65,0.1,861,1.6,6055,11.1,14180,26.1,4296,7.9,9884,18.2,5784,10.6,495,0.9,2752,5.1,126,0.2,415,0.8,21913,40.3,194,0.4,1585,2.9,84,0.2,1704,3.1,0,0,172,0.3,52143,95.9,112405,206.7
State,Kerala,435,1.3,448,1.4,343,1.1,394,1.2,0,0,394,1.2,189,0.6,102,0.3,87,0.3,142,0.4,19,0.1,634,1.9,4409,13.5,4891,15,1668,5.1,3223,9.9,6798,20.8,323,1,3061,9.4,129,0.4,413,1.3,17696,54.2,33,0.1,1947,6,68,0.2,2930,9,0,0,35,0.1,53487,164,98824,303
State,Madhya Pradesh,2227,3.5,2413,3.8,203,0.3,2738,4.3,0,0,2738,4.3,887,1.4,608,1,279,0.4,153,0.2,141,0.2,1578,2.5,12884,20.3,20422,32.2,5262,8.3,15160,23.9,2729,4.3,549,0.9,1222,1.9,38,0.1,868,1.4,29358,46.3,648,1,6848,10.8,705,1.1,2938,4.6,0,0,3778,6,97751,154.3,191078,301.5
State,Maharashtra,2772,2.8,1412,1.4,113,0.1,1268,1.3,0,0,1268,1.3,926,0.9,626,0.6,300,0.3,514,0.5,249,0.2,2096,2.1,13892,13.8,37098,37,9271,9.2,27827,27.7,5714,5.7,1561,1.6,5005,5,261,0.3,1188,1.2,29205,29.1,368,0.4,2661,2.7,682,0.7,5452,5.4,0,0,9378,9.3,42491,42.4,164306,163.8
State,Manipur,150,6.1,199,8,6,0.2,18,0.7,0,0,18,0.7,120,4.8,71,2.9,49,2,3,0.1,0,0,6,0.2,68,2.7,252,10.2,124,5,128,5.2,73,2.9,16,0.6,76,3.1,7,0.3,47,1.9,324,13.1,0,0,44,1.8,0,0,4,0.2,0,0,4,0.2,1120,45.2,2537,102.4
State,Meghalaya,175,7.3,60,2.5,17,0.7,40,1.7,0,0,40,1.7,49,2.1,10,0.4,39,1.6,83,3.5,1,0,133,5.6,160,6.7,360,15.1,108,4.5,252,10.5,5,0.2,12,0.5,34,1.4,4,0.2,16,0.7,106,4.4,0,0,13,0.5,1,0,4,0.2,0,0,41,1.7,355,14.9,1669,69.8
State,Mizoram,46,5,36,3.9,3,0.3,54,5.9,0,0,54,5.9,8,0.9,2,0.2,6,0.7,5,0.5,0,0,21,2.3,487,52.8,1303,141.2,57,6.2,1246,135,3,0.3,19,2.1,60,6.5,12,1.3,23,2.5,142,15.4,0,0,88,9.5,0,0,3,0.3,0,0,11,1.2,1132,122.6,3456,374.4
State,Nagaland,91,4.4,34,1.6,8,0.4,14,0.7,0,0,14,0.7,38,1.8,3,0.1,35,1.7,19,0.9,0,0,92,4.4,95,4.6,221,10.7,37,1.8,184,8.9,8,0.4,3,0.1,11,0.5,7,0.3,5,0.2,48,2.3,0,0,4,0.2,2,0.1,0,0,1,0,41,2,234,11.3,976,47
State,Orissa,1044,2.8,1214,3.2,188,0.5,725,1.9,0,0,725,1.9,477,1.3,373,1,104,0.3,178,0.5,30,0.1,875,2.3,2961,7.8,5359,14.2,1076,2.8,4283,11.3,1408,3.7,254,0.7,937,2.5,11,0,337,0.9,4759,12.6,279,0.7,1669,4.4,188,0.5,1289,3.4,0,0,2497,6.6,20602,54.5,47281,125
State,Punjab,731,2.9,644,2.6,89,0.4,380,1.5,0,0,380,1.5,464,1.8,295,1.2,169,0.7,30,0.1,117,0.5,108,0.4,2094,8.3,3198,12.7,1375,5.5,1823,7.3,0,0,343,1.4,3123,12.4,56,0.2,71,0.3,4124,16.4,110,0.4,346,1.4,199,0.8,987,3.9,0,0,2226,8.9,9316,37.1,28756,114.5
State,Rajasthan,1262,2.1,1977,3.3,61,0.1,1050,1.8,0,0,1050,1.8,2238,3.8,1750,2.9,488,0.8,36,0.1,41,0.1,655,1.1,6072,10.2,16456,27.7,5491,9.3,10965,18.5,4052,6.8,902,1.5,7225,12.2,58,0.1,784,1.3,26173,44.1,389,0.7,2715,4.6,33,0.1,5733,9.7,1,0,5074,8.6,62592,105.5,145579,245.4
State,Sikkim,14,2.5,7,1.2,3,0.5,10,1.8,0,0,10,1.8,0,0,0,0,0,0,2,0.4,0,0,3,0.5,48,8.6,65,11.6,3,0.5,62,11.1,10,1.8,7,1.2,12,2.1,3,0.5,2,0.4,56,10,0,0,25,4.5,0,0,1,0.2,0,0,18,3.2,157,28,443,79
State,Tamil Nadu,1591,2.5,1843,2.9,28,0,557,0.9,1,0,556,0.9,879,1.4,632,1,247,0.4,95,0.1,43,0.1,514,0.8,4849,7.6,18213,28.6,4581,7.2,13632,21.4,3706,5.8,307,0.5,1904,3,63,0.1,791,1.2,30228,47.5,220,0.3,2022,3.2,881,1.4,1555,2.4,1,0,9112,14.3,77784,122.3,157186,247.2
State,Tripura,254,7.7,87,2.6,0,0,114,3.5,0,0,114,3.5,146,4.4,29,0.9,117,3.6,36,1.1,0,0,69,2.1,167,5.1,276,8.4,10,0.3,266,8.1,274,8.3,3,0.1,25,0.8,3,0.1,83,2.5,534,16.2,20,0.6,127,3.9,0,0,247,7.5,0,0,109,3.3,940,28.5,3514,106.7
State,Uttar Pradesh,5284,3,3793,2.2,1525,0.9,911,0.5,0,0,911,0.5,2208,1.3,1499,0.9,709,0.4,317,0.2,196,0.1,1988,1.1,4016,2.3,15751,9,5605,3.2,10146,5.8,2251,1.3,1746,1,2911,1.7,226,0.1,297,0.2,7760,4.5,1322,0.8,1098,0.6,4970,2.9,2626,1.5,0,0,4428,2.5,29449,16.9,95073,54.5
State,Uttaranchal,268,3,236,2.7,31,0.4,107,1.2,0,0,107,1.2,171,1.9,134,1.5,37,0.4,26,0.3,3,0,160,1.8,557,6.3,1368,15.5,400,4.5,968,11,392,4.4,138,1.6,379,4.3,8,0.1,33,0.4,687,7.8,93,1.1,136,1.5,98,1.1,317,3.6,0,0,362,4.1,2353,26.7,7923,89.8
State,West Bengal,1425,1.7,400,0.5,484,0.6,1002,1.2,0,0,1002,1.2,902,1.1,801,1,101,0.1,217,0.3,883,1.1,598,0.7,342,0.4,12613,15.2,2581,3.1,10032,12.1,2596,3.1,378,0.5,1534,1.9,153,0.2,87,0.1,4172,5,329,0.4,1186,1.4,71,0.1,4948,6,1,0,2300,2.8,24553,29.6,61174,73.9
State,Total (States),32143,3.1,25476,2.4,3961,0.4,15327,1.5,1,0,15326,1.5,18776,1.8,12451,1.2,6325,0.6,5260,0.5,2194,0.2,17034,1.6,90455,8.6,227713,21.7,60971,5.8,166742,15.9,56978,5.4,12938,1.2,45124,4.3,2001,0.2,9268,0.9,258465,24.6,6075,0.6,32366,3.1,12187,1.2,49385,4.7,46,0,60073,5.7,676866,64.4,1660111,158
Union Territory,A & N Islands,21,5.6,4,1.1,1,0.3,2,0.5,0,0,2,0.5,2,0.5,2,0.5,0,0,2,0.5,0,0,7,1.9,56,15,60,16.1,3,0.8,57,15.3,19,5.1,3,0.8,13,3.5,0,0,8,2.1,110,29.5,0,0,9,2.4,2,0.5,7,1.9,0,0,0,0,318,85.3,644,172.7
Union Territory,Chandigarh,21,2.2,15,1.6,2,0.2,18,1.9,0,0,18,1.9,32,3.4,28,2.9,4,0.4,3,0.3,1,0.1,12,1.3,204,21.4,1238,129.6,552,57.8,686,71.8,46,4.8,32,3.4,209,21.9,2,0.2,4,0.4,71,7.4,1,0.1,11,1.2,4,0.4,93,9.7,0,0,8,0.8,779,81.6,2806,293.8
Union Territory,D & N Haveli,11,4.7,5,2.1,0,0,1,0.4,0,0,1,0.4,7,3,4,1.7,3,1.3,4,1.7,0,0,6,2.6,41,17.6,61,26.2,15,6.4,46,19.7,17,7.3,8,3.4,13,5.6,2,0.9,4,1.7,22,9.4,0,0,4,1.7,0,0,2,0.9,0,0,1,0.4,129,55.4,338,145.1
Union Territory,Daman & Diu,6,3.6,3,1.8,0,0,5,3,0,0,5,3,1,0.6,1,0.6,0,0,4,2.4,0,0,1,0.6,41,24.4,46,27.4,25,14.9,21,12.5,31,18.5,8,4.8,8,4.8,6,3.6,1,0.6,14,8.3,1,0.6,3,1.8,0,0,0,0,0,0,6,3.6,84,50,269,160.1
Union Territory,Delhi,485,3.3,407,2.7,65,0.4,490,3.3,0,0,490,3.3,1156,7.8,797,5.4,359,2.4,28,0.2,107,0.7,441,3,1898,12.8,15544,104.8,7445,50.2,8099,54.6,80,0.5,431,2.9,2079,14,43,0.3,60,0.4,1708,11.5,130,0.9,489,3.3,105,0.7,1211,8.2,0,0,402,2.7,20045,135.2,47404,319.7
Union Territory,Lakshadweep,0,0,0,0,0,0,2,3.2,0,0,2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,6,9.5,8,12.7,1,1.6,7,11.1,4,6.3,0,0,0,0,0,0,2,3.2,1,1.6,0,0,1,1.6,0,0,1,1.6,0,0,0,0,6,9.5,31,49.2
Union Territory,Pondicherry,29,2.9,32,3.2,0,0,2,0.2,0,0,2,0.2,18,1.8,13,1.3,5,0.5,2,0.2,0,0,11,1.1,126,12.5,567,56.4,295,29.4,272,27.1,159,15.8,12,1.2,32,3.2,1,0.1,18,1.8,1053,104.8,1,0.1,56,5.6,27,2.7,4,0.4,0,0,182,18.1,2185,217.4,4517,449.5
Union Territory,Total (UTs),573,3.3,466,2.6,68,0.4,520,3,0,0,520,3,1216,6.9,845,4.8,371,2.1,43,0.2,108,0.6,478,2.7,2372,13.5,17524,99.4,8336,47.3,9188,52.1,356,2,494,2.8,2354,13.4,54,0.3,97,0.6,2979,16.9,133,0.8,573,3.3,138,0.8,1318,7.5,0,0,599,3.4,23546,133.6,56009,317.8
Total (All-India),Total (All-India),32716,3.1,25942,2.4,4029,0.4,15847,1.5,1,0,15846,1.5,19992,1.9,13296,1.2,6696,0.6,5303,0.5,2302,0.2,17512,1.6,92827,8.7,245237,23,69307,6.5,175930,16.5,57334,5.4,13432,1.3,47478,4.4,2055,0.2,9365,0.9,261444,24.5,6208,0.6,32939,3.1,12325,1.2,50703,4.7,46,0,60672,5.7,700412,65.6,1716120,160.7
City,Agra,61,4.6,53,4,19,1.4,11,0.8,0,0,11,0.8,65,4.9,53,4,12,0.9,16,1.2,0,0,30,2.3,149,11.3,582,44.1,375,28.4,207,15.7,83,6.3,58,4.4,94,7.1,21,1.6,1,0.1,213,16.1,26,2,30,2.3,44,3.3,140,10.6,0,0,30,2.3,501,37.9,2227,168.6
City,Ahmedabad,90,2,68,1.5,3,0.1,18,0.4,0,0,18,0.4,157,3.5,96,2.1,61,1.3,31,0.7,6,0.1,365,8.1,959,21.2,5377,119,2287,50.6,3090,68.4,212,4.7,294,6.5,394,8.7,6,0.1,10,0.2,1371,30.3,3,0.1,50,1.1,30,0.7,595,13.2,0,0,173,3.8,5987,132.5,16199,358.5
City,Allahabad,49,4.7,39,3.7,7,0.7,2,0.2,0,0,2,0.2,21,2,18,1.7,3,0.3,8,0.8,0,0,20,1.9,70,6.7,232,22.1,151,14.4,81,7.7,27,2.6,28,2.7,71,6.8,4,0.4,3,0.3,31,3,8,0.8,3,0.3,14,1.3,37,3.5,0,0,66,6.3,332,31.6,1072,102.1
City,Amritsar,41,4.1,22,2.2,3,0.3,11,1.1,0,0,11,1.1,32,3.2,29,2.9,3,0.3,0,0,5,0.5,14,1.4,126,12.5,144,14.2,81,8,63,6.2,2,0.2,19,1.9,144,14.2,4,0.4,1,0.1,139,13.7,3,0.3,7,0.7,4,0.4,43,4.3,0,0,30,3,349,34.5,1143,113.1
City,Asansol,28,2.6,5,0.5,5,0.5,8,0.7,0,0,8,0.7,11,1,11,1,0,0,2,0.2,73,6.7,9,0.8,8,0.7,75,6.9,15,1.4,60,5.5,37,3.4,1,0.1,20,1.8,1,0.1,0,0,100,9.2,4,0.4,19,1.7,1,0.1,128,11.7,0,0,64,5.9,728,66.7,1327,121.6
City,Bangalore,216,3.8,280,4.9,1,0,34,0.6,0,0,34,0.6,132,2.3,11,0.2,121,2.1,46,0.8,46,0.8,311,5.5,1713,30.1,7123,125.3,2682,47.2,4441,78.1,273,4.8,241,4.2,1780,31.3,87,1.5,0,0,3847,67.6,34,0.6,213,3.7,39,0.7,213,3.7,0,0,84,1.5,12547,220.6,29260,514.5
City,Bhopal,39,2.7,88,6,0,0,58,4,0,0,58,4,48,3.3,42,2.9,6,0.4,1,0.1,3,0.2,87,6,814,55.9,1449,99.6,660,45.4,789,54.2,62,4.3,28,1.9,89,6.1,16,1.1,16,1.1,557,38.3,11,0.8,168,11.5,15,1,120,8.2,0,0,124,8.5,7987,548.9,11780,809.6
City,Chennai,71,1.1,279,4.3,4,0.1,38,0.6,1,0,37,0.6,34,0.5,0,0,34,0.5,6,0.1,0,0,74,1.2,649,10.1,3779,58.8,959,14.9,2820,43.9,43,0.7,19,0.3,627,9.8,8,0.1,1,0,749,11.7,18,0.3,90,1.4,212,3.3,159,2.5,0,0,547,8.5,1173,18.3,8580,133.5
City,Coimbatore,22,1.5,17,1.2,0,0,4,0.3,0,0,4,0.3,6,0.4,1,0.1,5,0.3,3,0.2,0,0,29,2,173,12,993,68.7,374,25.9,619,42.8,106,7.3,27,1.9,69,4.8,3,0.2,1,0.1,115,8,1,0.1,18,1.2,6,0.4,24,1.7,0,0,159,11,1411,97.6,3187,220.4
City,Delhi (CITY),401,3.1,330,2.6,50,0.4,406,3.2,0,0,406,3.2,968,7.6,673,5.3,295,2.3,22,0.2,102,0.8,372,2.9,1566,12.2,14322,112,6886,53.8,7436,58.1,59,0.5,389,3,1962,15.3,43,0.3,54,0.4,1495,11.7,100,0.8,406,3.2,81,0.6,1163,9.1,0,0,348,2.7,17322,135.4,41961,328.1
City,Dhanbad,36,3.4,10,0.9,2,0.2,21,2,0,0,21,2,25,2.3,22,2.1,3,0.3,14,1.3,3,0.3,21,2,82,7.7,231,21.7,28,2.6,203,19.1,102,9.6,2,0.2,32,3,0,0,0,0,307,28.9,11,1,5,0.5,0,0,2,0.2,0,0,0,0,1023,96.1,1929,181.3
City,Faridabad,29,2.7,14,1.3,1,0.1,15,1.4,0,0,15,1.4,41,3.9,34,3.2,7,0.7,2,0.2,12,1.1,5,0.5,189,17.9,498,47.2,356,33.7,142,13.5,48,4.5,74,7,30,2.8,5,0.5,0,0,123,11.7,4,0.4,7,0.7,778,73.7,76,7.2,0,0,6,0.6,2030,192.4,3987,377.9
City,Hyderabad,124,2.2,132,2.4,5,0.1,57,1,0,0,57,1,155,2.8,64,1.2,91,1.6,18,0.3,1,0,91,1.6,1875,33.9,6574,118.8,2195,39.7,4379,79.1,231,4.2,158,2.9,2093,37.8,21,0.4,68,1.2,4595,83,42,0.8,165,3,296,5.3,1082,19.6,0,0,489,8.8,1980,35.8,20252,366
City,Indore,53,3.2,99,6,3,0.2,54,3.3,0,0,54,3.3,48,2.9,34,2.1,14,0.9,4,0.2,7,0.4,128,7.8,826,50.4,2494,152.2,1386,84.6,1108,67.6,95,5.8,48,2.9,111,6.8,5,0.3,30,1.8,785,47.9,15,0.9,161,9.8,62,3.8,226,13.8,0,0,205,12.5,6827,416.5,12286,749.6
City,Jabalpur,65,5.8,92,8.2,0,0,61,5.5,0,0,61,5.5,24,2.1,18,1.6,6,0.5,2,0.2,0,0,82,7.3,531,47.5,944,84.5,408,36.5,536,48,79,7.1,19,1.7,75,6.7,2,0.2,5,0.4,2538,227.2,21,1.9,139,12.4,102,9.1,71,6.4,0,0,0,0,2138,191.4,6990,625.8
City,Jaipur,50,2.2,88,3.8,7,0.3,35,1.5,0,0,35,1.5,158,6.8,137,5.9,21,0.9,2,0.1,1,0,42,1.8,675,29,2553,109.9,1213,52.2,1340,57.7,918,39.5,192,8.3,1147,49.4,17,0.7,18,0.8,862,37.1,14,0.6,95,4.1,0,0,347,14.9,0,0,344,14.8,4014,172.7,11579,498.2
City,Jamshedpur,71,6.4,112,10.2,2,0.2,48,4.4,0,0,48,4.4,43,3.9,40,3.6,3,0.3,21,1.9,4,0.4,47,4.3,157,14.2,553,50.2,122,11.1,431,39.1,145,13.2,25,2.3,91,8.3,0,0,3,0.3,352,31.9,16,1.5,27,2.5,0,0,73,6.6,0,0,153,13.9,607,55.1,2550,231.4
City,Kanpur,187,7,107,4,38,1.4,24,0.9,0,0,24,0.9,84,3.1,58,2.2,26,1,7,0.3,3,0.1,67,2.5,167,6.2,830,30.9,588,21.9,242,9,61,2.3,71,2.6,119,4.4,5,0.2,7,0.3,328,12.2,43,1.6,39,1.4,144,5.4,106,3.9,0,0,260,9.7,921,34.2,3618,134.5
City,Kochi,21,1.5,28,2.1,7,0.5,11,0.8,0,0,11,0.8,11,0.8,5,0.4,6,0.4,26,1.9,0,0,66,4.9,304,22.4,486,35.9,145,10.7,341,25.2,220,16.2,19,1.4,290,21.4,1,0.1,15,1.1,531,39.2,0,0,77,5.7,7,0.5,54,4,0,0,1,0.1,4654,343.5,6829,504
City,Kolkata,52,0.4,123,0.9,13,0.1,36,0.3,0,0,36,0.3,108,0.8,85,0.6,23,0.2,33,0.2,60,0.5,173,1.3,144,1.1,3684,27.9,929,7,2755,20.8,200,1.5,222,1.7,990,7.5,95,0.7,0,0,1225,9.3,16,0.1,185,1.4,57,0.4,222,1.7,0,0,447,3.4,2629,19.9,10714,81.1
City,Lucknow,103,4.5,69,3,18,0.8,20,0.9,0,0,20,0.9,81,3.6,64,2.8,17,0.7,5,0.2,1,0,93,4.1,301,13.3,962,42.4,118,5.2,844,37.2,77,3.4,144,6.4,266,11.7,11,0.5,6,0.3,48,2.1,19,0.8,36,1.6,267,11.8,194,8.6,0,0,233,10.3,1323,58.4,4277,188.7
City,Ludhiana,58,4.2,58,4.2,5,0.4,33,2.4,0,0,33,2.4,80,5.7,46,3.3,34,2.4,1,0.1,18,1.3,12,0.9,336,24.1,722,51.8,358,25.7,364,26.1,0,0,45,3.2,330,23.7,8,0.6,9,0.6,260,18.6,5,0.4,70,5,159,11.4,111,8,0,0,173,12.4,1763,126.4,4256,305.1
City,Madurai,27,2.3,39,3.3,1,0.1,7,0.6,0,0,7,0.6,24,2,16,1.3,8,0.7,5,0.4,0,0,12,1,83,6.9,468,39.2,82,6.9,386,32.3,64,5.4,5,0.4,115,9.6,2,0.2,6,0.5,224,18.7,10,0.8,29,2.4,49,4.1,35,2.9,0,0,84,7,1964,164.4,3253,272.2
City,Meerut,74,6.3,58,5,3,0.3,14,1.2,0,0,14,1.2,46,3.9,28,2.4,18,1.5,4,0.3,10,0.9,42,3.6,116,9.9,485,41.6,274,23.5,211,18.1,36,3.1,42,3.6,71,6.1,11,0.9,1,0.1,19,1.6,10,0.9,13,1.1,153,13.1,141,12.1,0,0,159,13.6,133,11.4,1641,140.6
City,Mumbai,242,1.5,115,0.7,8,0,133,0.8,0,0,133,0.8,150,0.9,85,0.5,65,0.4,30,0.2,53,0.3,239,1.5,2550,15.6,9793,59.8,2883,17.6,6910,42.2,131,0.8,392,2.4,1178,7.2,73,0.4,7,0,3562,21.8,8,0,282,1.7,44,0.3,199,1.2,0,0,632,3.9,5865,35.8,25686,156.9
City,Nagpur,104,4.9,40,1.9,0,0,26,1.2,0,0,26,1.2,36,1.7,29,1.4,7,0.3,16,0.8,37,1.7,172,8.1,1079,50.8,2022,95.2,722,34,1300,61.2,165,7.8,46,2.2,151,7.1,16,0.8,14,0.7,783,36.9,4,0.2,36,1.7,36,1.7,136,6.4,0,0,224,10.6,2214,104.3,7357,346.5
City,Nasik,27,2.3,20,1.7,1,0.1,11,1,0,0,11,1,14,1.2,12,1,2,0.2,13,1.1,3,0.3,31,2.7,375,32.6,705,61.2,241,20.9,464,40.3,86,7.5,25,2.2,101,8.8,2,0.2,4,0.3,233,20.2,4,0.3,18,1.6,14,1.2,116,10.1,0,0,153,13.3,586,50.9,2542,220.7
City,Patna,260,15.2,384,22.5,25,1.5,15,0.9,0,0,15,0.9,150,8.8,11,0.6,139,8.1,59,3.5,25,1.5,594,34.8,377,22.1,1367,80.1,654,38.3,713,41.8,127,7.4,150,8.8,312,18.3,23,1.3,31,1.8,173,10.1,35,2.1,31,1.8,0,0,80,4.7,0,0,148,8.7,2179,127.7,6545,383.4
