Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
State,Jharkhand,24.4,15.2,15.5,24.9,NA,24.9,20.5,21.7,17.5,10.8,12.5,18.9,12.7,18.9,23.1,18.5,15.7,21.6,21.4,10.5,17.3,26.3,28.1,11.8,0,15.1,NA,12.6,18.2,18.8
State,Karnataka,18.8,7.3,2.4,13.6,NA,13.6,3.6,0.7,8.1,9.2,13.6,12,9.6,8.2,7.3,8.4,2.3,9.8,6.1,3,2.5,3.1,14.8,8.8,39.1,4.3,NA,0,62.4,37.1
State,Kerala,44.7,25.8,10.1,19.6,NA,19.6,11.1,12.1,9.5,15.9,0,21.2,29.5,32.6,29.8,33.2,9.8,23.6,14.9,30.8,8.5,12.7,36.4,14,22,6.9,NA,0,64.4,49.1
State,Madhya Pradesh,37.7,34.4,37.8,22.3,NA,22.3,19.5,19.9,17.8,28.1,15.7,19.6,23.3,32,34.3,31.7,32,25.5,22.6,38.5,24.5,38.9,32.7,40.8,42.4,35.1,NA,33.5,53.7,44.4
State,Maharashtra,27.5,18.2,9.5,16,NA,16,6.9,6.9,6.9,9.5,12.7,13.5,15.9,23.3,20.7,23.6,6.9,9.6,13.2,16.7,7.4,8.3,20.3,11.3,7.5,4.2,NA,8.2,12.2,12.5
State,Manipur,31.3,0,NA,33.3,NA,33.3,33.3,50,0,NA,NA,NA,0,18.2,28.6,0,NA,NA,33.3,0,NA,50,NA,NA,NA,NA,NA,NA,59.1,34.7
State,Meghalaya,16.7,40,100,50,NA,50,20,0,50,30,NA,41.7,42.9,48.1,0,50,NA,NA,0,0,0,12.5,NA,33.3,NA,NA,NA,60,34.6,36.2
State,Mizoram,94.7,52.6,100,81.8,NA,81.8,100,100,100,100,NA,100,98.7,98.9,91.3,99.4,NA,100,88.9,100,91.7,80.8,NA,86.8,NA,100,NA,85.7,98.1,96.6
State,Nagaland,93.8,100,60,77.8,NA,77.8,83.3,100,75,100,NA,83.3,87.5,91,100,90,NA,100,100,100,NA,76.9,NA,NA,NA,NA,NA,100,75.4,83.5
State,Orissa,28.4,14.5,9.3,22.8,NA,22.8,16.1,16.9,12.7,18.1,8.1,12.3,12.9,12.9,9.8,13.2,10.6,12.9,9.3,16.7,14.6,14,25.8,12.3,15.8,16.7,NA,21.9,12.6,14
State,Punjab,48.9,36.4,38.4,34,NA,34,25.3,25.5,25,25,36.3,50.8,56.3,49.2,56.2,44.5,0,37.1,20.2,43.2,40.9,24.6,55.8,37.6,65.4,32.4,NA,34.5,52.1,41.9
State,Rajasthan,51.9,48.8,21.3,30.8,NA,30.8,27.5,25.3,34.3,26.3,33.3,36,51.9,61,57.9,61.6,59.8,39.7,37.8,33.3,31.8,62.6,41.7,49.5,61.9,37.8,NA,46,60.3,56.8
State,Sikkim,84.6,50,0,33.3,NA,33.3,100,100,100,NA,NA,50,73.3,85.7,NA,85.7,60,50,57.1,NA,0,100,NA,100,0,100,NA,100,34.6,58.9
State,Tamil Nadu,43.5,20.7,13.3,25.3,NA,25.3,10.3,12.4,5,27.7,0,35.7,65,75.4,73.6,75.9,40.1,19.1,22.9,29.4,11.4,61.6,27,42.6,74.4,16.5,NA,75.4,65.6,62.8
State,Tripura,18.8,12.5,0,27.5,NA,27.5,24.7,41.7,17,15.4,NA,10.3,11.3,22.4,NA,22.4,9.7,20,10.5,0,9.1,26.7,58.3,8.8,NA,33.6,NA,15.7,18,20.3
State,Uttar Pradesh,46.8,40.9,46.2,51,NA,51,51.5,51.5,51.5,39.5,43.3,47,48,55.4,59.1,54.2,50,51.9,52,58.7,48.8,54.4,46.1,61.2,69.1,50.8,NA,59.8,60.4,54.8
State,Uttaranchal,43.6,45.5,42.9,42.7,NA,42.7,48.1,48.8,46.2,68.8,100,58.3,72,85.3,85.4,85.3,53.6,73.8,77.1,100,60,74,65.8,78,76.7,72,NA,86.8,81.2,72.8
State,West Bengal,19.7,8.1,14.8,22.3,NA,22.3,15.7,18.4,7.1,9.4,7.1,10.2,3.4,3.4,6.9,3.1,1.8,5.6,5.8,11.1,8.5,8.1,16.5,6.7,17.6,4.7,NA,5.7,6.7,6.9
State,Total (States),34.1,28.1,31.8,26.2,0,26.2,24.1,23.9,24.4,21.3,19.6,26,33.6,40.2,43.5,39.6,23.1,24.3,24.7,29.8,19.5,34.6,32.4,30.2,62.9,18.2,11.1,41.3,49,40.2
Union Territory,A & N Islands,100,100,NA,50,NA,50,NA,NA,NA,100,NA,100,65,46.9,83.3,38.5,50,100,100,NA,33.3,43.1,NA,0,NA,0,NA,NA,76.3,52.9
Union Territory,Chandigarh,66.7,41.2,50,41.2,NA,41.2,10.5,18.2,0,66.7,100,0,79.1,80.8,74.4,82.1,13.8,20,25.8,0,0,30.4,NA,83.3,50,0,NA,0,53.9,55.8
Union Territory,D & N Haveli,0,0,0,33.3,NA,33.3,16.7,20,0,0,NA,NA,50,54.5,50,60,0,0,NA,NA,0,20,NA,0,NA,NA,NA,NA,9.4,16.3
Union Territory,Daman & Diu,50,0,NA,NA,NA,NA,0,NA,0,50,NA,NA,50,36.4,40,33.3,0,66.7,NA,NA,NA,50,NA,NA,NA,0,NA,NA,10,20.5
Union Territory,Delhi,37,33.5,41.9,22.1,0,22.1,11.5,10.6,14.3,40,30.4,42.5,48.7,18.5,27.2,17.2,18.3,22.7,81.2,25,16.7,33,28.1,26.7,73.6,11,NA,45.3,38.3,32
Union Territory,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,NA,50,0,50,NA,NA,NA,100,NA,100,NA,NA,NA,NA,66.7,50
Union Territory,Pondicherry,33.3,0,NA,100,NA,100,0,0,NA,NA,NA,50,73.2,75.9,56.3,81.9,78.3,75,55.6,NA,50,71.7,NA,57.9,42.9,0,NA,87.1,97.7,86.4
Union Territory,Total (UTs),37.2,33.2,41.2,23.2,0,23.2,11.3,11.3,11.3,42.1,33.3,41.9,55.5,20.7,29.4,19.3,43.5,26.9,78.9,16.7,21.4,52.5,28.1,30.1,67,9.6,0,69.3,43.6,37.1
Total (All-India),Total (All-India),34.1,28.1,31.9,26.1,0,26.1,23.8,23.6,24.2,21.4,19.8,26.7,34,37.8,41.9,37,23.2,24.4,28,29.6,19.5,34.8,32.4,30.2,62.9,18.1,11.1,41.5,48.8,40.1
