Category (Col. 1),States/ UTs (Col. 2),District/Session Judge Duration of Trial. - Less Than 6 Months (Col. 3),District/Session Judge Duration of Trial. - (6 - 12) Months (Col. 4),District/Session Judge Duration of Trial. - (1 - 3) Years (Col. 5),District/Session Judge Duration of Trial. - (3-5) Years (Col. 6),District/Session Judge Duration of Trial. - (5 - 10) Years (Col. 7),District/Session Judge Duration of Trial. - Over 10 Years (Col. 8),District/Session Judge Duration of Trial. - Total (Col. 9)= Col. (3 to 8),Additional Session Judge Duration of Trial. - Less Than 6 Months (Col. 10),Additional Session Judge Duration of Trial. - (6 - 12) Months (Col. 11),Additional Session Judge Duration of Trial. - (1-3) Years (Col. 12),Additional Session Judge Duration of Trial. - (3 - 5) Years (Col. 13),Additional Session Judge Duration of Trial. - (5-10) Years (Col. 14),Additional Session Judge Duration of Trial. - Over 10 Years (Col. 15),Additional Session Judge Duration of Trial. - Total (Col. 16)= Col. (10 to 15),Chief Judicial Magistrate Duration of Trial. - Less Than 6 Months (Col. 17),Chief Judicial Magistrate Duration of Trial. - (6 - 12) Months (Col. 18),Chief Judicial Magistrate Duration of Trial. - (1-3) Years (Col. 19),Chief Judicial Magistrate Duration of Trial. - (3 - 5) Years (Col. 20),Chief Judicial Magistrate Duration of Trial. - (5-10) Years (Col. 21),Chief Judicial Magistrate Duration of Trial. - Over 10 Years (Col. 22),Chief Judicial Magistrate Duration of Trial. - Total (Col. 23)= Col. (17 to 22),Judicial Magistrate (I) Duration of Trial. - Less Than 6 Months (Col. 24),Judicial Magistrate (I) Duration of Trial. - (6 - 12) Months (Col. 25),Judicial Magistrate (I) Duration of Trial. - (1-3) Years (Col. 26),Judicial Magistrate (I) Duration of Trial. - (3 - 5) Years (Col. 27),Judicial Magistrate (I) Duration of Trial. - (5-10) Years (Col. 28),Judicial Magistrate (I) Duration of Trial. - Over 10 Years (Col. 29),Judicial Magistrate (I) Duration of Trial. - Total (Col. 30)= Col. (24 to 29),Judicial Magistrate (II) Duration of Trial. - Less Than 6 Months (Col. 31),Judicial Magistrate (II) Duration of Trial. - (6 - 12) Months (Col. 32),Judicial Magistrate (II) Duration of Trial. - (1-3) Years (Col. 33),Judicial Magistrate (II) Duration of Trial. - (3 - 5) Years (Col. 34),Judicial Magistrate (II) Duration of Trial. - (5-10) Years (Col. 35),Judicial Magistrate (II) Duration of Trial. - Over 10 Years (Col. 36),Judicial Magistrate (II) Duration of Trial. - Total (Col. 37)= Col. (31 to 36),Special Judicial Magistrate Duration of Trial. - Less Than 6 Months (Col. 38),Special Judicial Magistrate Duration of Trial. - (6 - 12) Months (Col. 39),Special Judicial Magistrate Duration of Trial. - (1-3) Years (Col. 40),Special Judicial Magistrate Duration of Trial. - (3-5)Years (Col. 41),Special Judicial Magistrate Duration of Trial. - (5-10) Years (Col. 42),Special Judicial Magistrate Duration of Trial. - Over 10 Years (Col. 43),Special Judicial Magistrate Duration of Trial. - Total (Col. 44) = Col. (38 to 43) ,Other Type of Courts Duration of Trial. - Less Than 6 Months (Col. 45),Other Type of Courts Duration of Trial. - (6 - 12) Months (Col. 46),Other Type of Courts Duration of Trial. - (1-3) Years (Col. 47),Other Type of Courts Duration of Trial. - (3-5)Years (Col. 48),Other Type of Courts Duration of Trial. - (5-10) Years (Col. 49),Other Type of Courts Duration of Trial. - Over 10 Years (Col. 50),Other Type of Courts Duration of Trial. - Total (Col. 51)= Col. (45 to 50),Sum of All Type of Courts Duration of Trial. - Less Than 6 Months (Col. 52),Sum of All Type of Courts Duration of Trial. - (6 - 12) Months (Col. 53),Sum of All Type of Courts Duration of Trial. - (1-3) Years (Col. 54),Sum of All Type of Courts Duration of Trial. - (3-5)Years (Col. 55),Sum of All Type of Courts Duration of Trial. - (5-10) Years (Col. 56),Sum of All Type of Courts Duration of Trial. - Over 10 Years (Col. 57),Sum of All Type of Courts Duration of Trial. - Total (Col. 58) = Col. (52 to 57) 
State,Maharashtra,14,98,832,954,592,200,2690,90,348,1559,1540,1048,325,4910,323,902,2280,2194,1708,903,8310,1577,4594,13507,13620,8473,2743,44514,189,946,2615,2614,1727,787,8878,25,80,169,157,153,57,641,36,72,114,258,83,57,620,2254,7040,21076,21337,13784,5072,70563
State,Manipur,0,1,0,1,0,4,6,0,0,0,0,0,11,11,0,8,13,8,11,0,40,0,0,1,1,5,6,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,3,3,9,14,10,16,23,75
State,Meghalaya,0,1,4,3,3,1,12,14,5,7,4,8,6,44,1,2,9,8,4,3,27,10,7,17,14,12,9,69,7,0,4,5,5,1,22,0,0,3,7,0,2,12,0,8,16,19,13,4,60,32,23,60,60,45,26,246
State,Mizoram,0,2,43,32,19,5,101,0,5,24,20,6,2,57,0,0,0,0,0,0,0,39,50,42,31,14,6,182,34,28,42,28,11,5,148,2,8,21,18,16,4,69,512,437,286,245,43,21,1544,587,530,458,374,109,43,2101
State,Nagaland,0,10,5,0,0,0,15,0,6,13,5,9,2,35,8,5,7,0,0,0,20,75,78,61,3,5,0,222,8,6,16,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,105,102,8,14,2,322
State,Orissa,1,160,470,323,108,34,1096,16,367,882,546,198,65,2074,36,410,929,733,299,174,2581,647,2212,5707,3801,2348,473,15188,275,836,1856,1559,653,619,5798,64,162,165,139,42,20,592,135,217,1030,518,607,146,2653,1174,4364,11039,7619,4255,1531,29982
State,Punjab,20,158,304,248,44,1,775,76,235,970,527,108,10,1926,165,430,932,340,55,2,1924,1238,1525,2189,1386,158,2,6498,96,227,479,242,110,5,1159,264,134,50,41,9,5,503,35,55,113,70,20,0,293,1894,2764,5037,2854,504,25,13078
State,Rajasthan,185,378,797,704,395,57,2516,371,629,2392,1917,741,151,6201,1060,1503,3977,2469,1014,159,10182,2074,4226,9567,8919,4133,381,29300,1066,2341,4296,3781,1821,299,13604,454,773,1427,1203,400,78,4335,457,833,1073,1484,501,82,4430,5667,10683,23529,20477,9005,1207,70568
State,Sikkim,0,0,16,0,0,0,16,0,0,0,0,0,0,0,0,8,69,8,0,0,85,0,16,20,9,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,105,17,0,0,146
State,Tamil Nadu,157,296,1023,743,247,23,2489,157,305,1278,992,450,73,3255,460,371,565,408,189,24,2017,16333,18111,21708,7865,3465,212,67694,8451,8595,11156,5453,2471,115,36241,1217,1941,2495,1271,428,15,7367,412,2681,2431,295,107,23,5949,27187,32300,40656,17027,7357,485,125012
State,Tripura,130,130,50,55,50,12,427,50,100,52,5,5,2,214,290,120,35,20,20,6,491,183,105,25,15,0,0,328,158,145,40,0,0,0,343,27,5,2,0,0,0,34,0,0,0,0,0,0,0,838,605,204,95,75,20,1837
State,Uttar Pradesh,13,104,1338,2104,939,323,4821,21,167,2552,4782,1825,697,10044,12,603,5402,7091,4847,928,18883,46,808,5221,5553,5315,734,17677,53,563,3434,6750,3001,261,14062,11,137,2993,2844,2271,181,8437,4,108,2041,2445,1729,103,6430,160,2490,22981,31569,19927,3227,80354
State,Uttaranchal,13,91,172,196,116,17,605,6,16,137,142,94,11,406,74,174,533,381,125,8,1295,28,85,241,181,53,1,589,10,60,104,77,31,0,282,9,25,79,32,2,0,147,77,119,121,107,0,0,424,217,570,1387,1116,421,37,3748
State,West Bengal,353,331,854,618,516,512,3184,431,855,1163,1303,1509,763,6024,163,294,331,430,645,470,2333,679,998,2075,1721,966,539,6978,164,386,1140,1087,601,438,3816,98,162,472,472,1086,588,2878,176,351,1048,1077,1528,1018,5198,2064,3377,7083,6708,6851,4328,30411
State,Total (States),3045,4651,14437,12187,6209,2075,42604,4468,7884,24128,21617,12363,4533,74993,16305,19951,42990,33858,18279,4474,135857,55226,68565,132916,85160,43492,12345,397704,24310,33674,54712,40694,17850,4382,175622,5789,7612,14932,10566,7265,1397,47561,5922,9687,13982,10991,7619,2392,50593,115065,152024,298097,215073,113077,31598,924934
Union Territory,A & N Islands,0,2,8,2,1,0,13,0,0,0,0,0,0,0,41,1,14,10,2,0,68,25,15,13,6,2,0,61,12,6,20,3,1,0,42,0,0,0,0,0,0,0,0,1,4,2,0,0,7,78,25,59,23,6,0,191
Union Territory,Chandigarh,0,0,2,0,1,0,3,8,36,51,31,17,0,143,85,49,88,42,19,1,284,68,81,146,106,48,6,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,28,8,6,0,67,177,175,315,187,91,7,952
Union Territory,D & N Haveli,0,1,7,2,3,0,13,0,1,4,2,2,0,9,7,9,37,6,5,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,48,10,10,0,86
Union Territory,Daman & Diu,0,0,2,0,1,1,4,0,0,0,0,0,0,0,11,18,26,8,10,1,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,28,8,11,2,78
Union Territory,Delhi,22,33,163,223,69,5,515,280,320,480,390,541,69,2080,66,52,117,135,38,10,418,7528,4284,5430,5116,1638,712,24708,438,43,181,38,22,0,722,4,10,21,41,17,0,93,929,491,347,168,68,3,2006,9267,5233,6739,6111,2393,799,30542
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,16
Union Territory,Pondicherry,0,3,3,7,0,0,13,0,0,11,0,0,0,11,61,37,33,36,2,0,169,355,253,373,31,2,0,1014,688,432,387,49,4,0,1560,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1105,725,807,123,8,0,2768
Union Territory,Total (UTs),22,39,185,234,75,6,561,288,357,546,423,560,69,2243,271,166,315,237,76,12,1077,7976,4633,5976,5261,1690,718,26254,1138,481,588,90,27,0,2324,5,10,21,41,17,0,94,945,501,379,178,74,3,2080,10645,6187,8010,6464,2519,808,34633
Total (All-India),Total (All-India),3067,4690,14622,12421,6284,2081,43165,4756,8241,24674,22040,12923,4602,77236,16576,20117,43305,34095,18355,4486,136934,63202,73198,138892,90421,45182,13063,423958,25448,34155,55300,40784,17877,4382,177946,5794,7622,14953,10607,7282,1397,47655,6867,10188,14361,11169,7693,2395,52673,125710,158211,306107,221537,115596,32406,959567
