Category,States/ UTs/Cities,"No. of Vehicles Motor Cycles, Scooters - S","No. of Vehicles Motor Cycles, Scooters - R","No. of Vehicles Motor Cycles, Scooters - C",No. of Vehicles Motor Car / Taxi / Jeep - S,No. of Vehicles Motor Car / Taxi / Jeep - R,No. of Vehicles Motor Car / Taxi / Jeep - C,No. of Vehicles Buses - S,No. of Vehicles Buses - R,No. of Vehicles Buses - C,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles Other Motor Vehicles - S,No. of Vehicles Other Motor Vehicles - R,No. of Vehicles Other Motor Vehicles - C,No. of Vehicles Total Motor Vehicles - S,No. of Vehicles Total Motor Vehicles - R,No. of Vehicles Total Motor Vehicles - C
Union Territory,Pondicherry,284,63,63,7,0,0,0,0,0,2,1,1,2,1,1,295,65,65
Union Territory,Total (UTs),3958,795,326,3923,779,184,18,5,1,121,30,15,577,190,34,8597,1799,560
Total (All-India),Total (All-India),51591,16674,3000,13194,4196,754,207,96,9,912,515,146,3584,1329,213,69488,22810,4122
City,Agra,263,77,0,56,12,0,0,0,0,3,0,0,4,1,0,326,90,0
City,Ahmedabad,1416,275,0,855,239,0,16,11,0,0,0,0,0,0,0,2287,525,0
City,Allahabad,96,9,0,39,3,0,0,0,0,0,0,0,0,0,0,135,12,0
City,Amritsar,45,15,12,37,8,8,0,0,0,8,6,6,2,2,1,92,31,27
City,Asansol,14,7,0,0,0,0,0,0,0,0,0,0,1,1,0,15,8,0
City,Bangalore,2106,555,0,235,83,0,2,1,0,24,15,0,315,133,0,2682,787,0
City,Bhopal,584,214,0,56,36,0,0,0,0,20,13,0,0,0,0,660,263,0
City,Chennai,883,287,287,50,20,20,0,0,0,0,0,0,26,23,23,959,330,330
City,Coimbatore,357,153,0,17,11,0,0,0,0,0,0,0,0,0,0,374,164,0
City,Delhi (CITY),3126,535,208,3413,593,168,17,4,1,61,15,12,530,181,33,7147,1328,422
City,Dhanbad,36,10,2,9,5,0,0,0,0,2,1,0,0,0,0,47,16,2
City,Faridabad,221,69,0,83,47,0,8,4,0,10,7,0,34,10,0,356,137,0
City,Hyderabad,1698,439,0,240,58,0,0,0,0,0,0,0,257,49,31,2195,546,31
City,Indore,1298,259,0,59,28,0,0,0,0,29,9,0,0,0,0,1386,296,0
City,Jabalpur,278,153,0,18,9,0,0,0,0,0,0,0,39,17,0,335,179,0
City,Jaipur,1006,259,0,186,68,0,5,1,0,6,4,0,5,4,0,1208,336,0
City,Jamshedpur,66,44,0,14,6,0,0,0,0,0,0,0,0,0,0,80,50,0
City,Kanpur,349,65,0,106,11,0,0,0,0,0,0,0,7,4,0,462,80,0
City,Kochi,120,47,0,25,15,0,0,0,0,0,0,0,0,0,0,145,62,0
City,Kolkata,636,36,29,277,125,115,1,0,0,15,6,4,0,0,0,929,167,148
City,Lucknow,456,60,0,6,4,0,0,0,0,0,0,0,0,0,0,462,64,0
City,Ludhiana,197,75,75,131,36,36,0,0,0,22,15,15,7,5,5,357,131,131
City,Madurai,79,46,46,4,3,3,0,0,0,1,1,1,3,3,3,87,53,53
City,Meerut,202,46,2,68,17,0,1,1,0,2,0,0,1,1,0,274,65,2
City,Mumbai,1731,400,331,1089,236,112,12,2,1,51,38,13,0,0,0,2883,676,457
City,Nagpur,637,159,0,77,11,0,0,0,0,6,1,0,2,1,0,722,172,0
City,Nasik,187,50,0,49,4,0,0,0,0,0,0,0,5,2,0,241,56,0
City,Patna,577,54,0,76,13,0,0,0,0,1,1,0,0,0,0,654,68,0
City,Pune,1343,498,20,181,53,1,1,1,0,12,4,0,31,27,10,1568,583,31
City,Rajkot,625,126,14,22,12,2,8,1,2,0,0,0,0,0,0,655,139,18
City,Surat,1060,435,0,51,18,0,0,0,0,0,0,0,81,41,0,1192,494,0
City,Vadodara,491,166,166,74,22,22,0,0,0,24,12,12,107,40,40,696,240,240
City,Varanasi,178,16,0,15,3,0,0,0,0,0,0,0,0,0,0,193,19,0
City,Vijayawada,276,93,0,39,16,0,0,0,0,0,0,0,1,0,0,316,109,0
City,Vishakhapatnam,147,65,0,1,0,0,0,0,0,0,0,0,16,15,0,164,80,0
Total (Cities),Total (Cities),22784,5797,1192,7658,1825,487,71,26,4,297,148,63,1474,560,146,32284,8356,1892
