Category,States/ UTs,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Indian Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - for SCs,Protection of Civil Rights Act - for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act - for SCs,SC/ST (Prev.) of Atrocities Act - for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
State,Jharkhand,44.8,68.3,69.2,36.3,50,26.2,50,NA,NA,NA,NA,NA,NA,15.6,36.4,NA,25.9,NA,NA,40,NA,21.8,23.7,17.6,40.6,21.6,38.9
State,Karnataka,10.6,3.9,81,35.3,NA,51.3,94.2,20,62.5,0.6,0.8,0,0,0,0,50,1.8,NA,NA,0,NA,1.7,1.8,1.6,1.4,35.5,54.9
State,Kerala,17.6,65.3,86.8,NA,38.5,17.9,80,12.5,62.5,50,50,NA,27.3,76.6,NA,NA,0,0,36.8,19.2,NA,4.8,5,0,NA,88.5,81.1
State,Madhya Pradesh,43.7,63.3,94.1,92.8,NA,62,73.3,98.7,0,20,20,NA,NA,51,NA,NA,53.6,100,NA,51.2,NA,27.1,26.6,28.3,29.6,98,93.7
State,Maharashtra,6.6,14.7,15.7,NA,7.2,38,20.7,96.5,70,4.5,4.5,NA,87.5,5.4,0,0,9.1,25,0,4.6,NA,3.5,4.2,0,0,30.3,12.2
State,Manipur,0,76.5,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.5
State,Meghalaya,66.7,40,83.3,100,NA,NA,NA,NA,83.3,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,81.4
State,Mizoram,100,97,100,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.3,99.2
State,Nagaland,66.7,100,NA,95.7,92.6,50,NA,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.4,94.3
State,Orissa,12.9,23.1,58.9,41.8,NA,5.9,25,NA,NA,0,0,0,NA,11.5,NA,NA,15.5,NA,NA,28.6,NA,14.4,14.4,14.5,0,22.2,36.2
State,Punjab,68.5,57.6,77.6,71.2,12.5,51.3,15.8,87.3,100,NA,NA,NA,96.1,28.2,NA,NA,NA,0,66.7,52.4,NA,22.2,22.2,NA,NA,67.4,69.9
State,Rajasthan,79,41.6,97.6,89.3,NA,70.4,45.9,98.9,60,33.3,50,0,71.4,34.1,NA,50,100,33.3,46.4,49.7,NA,31.5,32.1,29.5,88.7,80.2,86.7
State,Sikkim,0,25,NA,60.2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,58.6
State,Tamil Nadu,36.7,74.3,98.8,NA,80.5,74.6,94.1,92,80,70.7,70.2,100,57.9,28.6,NA,NA,18.2,100,100,90.2,NA,5.2,4.8,100,NA,96.5,88.3
State,Tripura,7.1,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4
State,Uttar Pradesh,70.8,69.4,83.2,85.9,100,63.6,76.2,96.5,69.2,61.4,61.4,NA,100,45.6,NA,57.1,49,NA,NA,75.7,NA,47.5,47.5,45.7,74.7,89.6,88
State,Uttaranchal,88.7,87.5,96.2,92.1,100,100,NA,100,100,NA,NA,NA,NA,100,NA,NA,100,NA,NA,66.7,NA,48.9,48.8,50,84.4,99.6,98.9
State,West Bengal,11.1,13.6,62.6,57.6,0,3.3,73.5,84.3,91.5,NA,NA,NA,91,4.9,NA,10.7,0,NA,NA,21.2,NA,66.7,100,50,NA,99.5,99.2
State,Total (States),60.3,60.6,84.6,72.9,47.6,46.2,87,97,88.8,23.5,25.4,2.8,70,17,12.1,20.3,21.1,44.4,73.8,46.4,0,26.3,26.7,23.5,69.4,96.1,88.9
Union Territory,A & N Islands,NA,25,100,99.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.4,99.5
Union Territory,Chandigarh,66.7,100,98.6,98.9,NA,100,NA,NA,100,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,96.2,98.3
Union Territory,D & N Haveli,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.5,70
Union Territory,Daman & Diu,NA,NA,0,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
Union Territory,Delhi,69.6,85.9,98.1,77.8,NA,87.5,64.5,NA,100,NA,NA,NA,60,NA,NA,0,100,0,NA,73.3,NA,0,0,NA,NA,96,80.9
Union Territory,Lakshadweep,NA,NA,NA,NA,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7
Union Territory,Pondicherry,74.2,100,100,NA,NA,NA,91.7,NA,50,0,0,NA,100,100,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,99.8,98.3
Union Territory,Total (UTs),69.6,85.6,98.2,85.9,98.8,90,68.9,100,88.9,0,0,0,66.7,93.3,0,0,100,0,0,70,0,0,0,0,0,97.6,86.4
Total (All-India),Total (All-India),60.7,61.2,84.7,73.7,47.6,46.3,86.7,97,88.8,23.4,25.2,2.8,69.9,17.4,12.1,20,21.2,43.5,73.8,46.7,0,26.2,26.7,23.5,69.4,96.1,88.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6,2.2,92.1,63.8,-,0,0,-,90.5,-,-,-,100,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MAHARASHTRA,6.6,14.7,15.7,-,7.2,3.8,20.7,96.5,70,4.5,4.5,-,87.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,MANIPUR,0,76.5,100,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,MEGHALAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,MIZORAM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,83.3,100,-,-,-,-,83.3,-,-,-,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,100,-,-,100,-,-,100,-,-,-,-,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,NAGALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.7,100,-,95.7,92.6,50,-,77.8,-,-,-,-,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ORISSA,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PUNJAB,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RAJASTHAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.1,58.9,41.8,-,5.9,25,-,-,0,0,0,-,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.6,77.6,71.2,12.5,51.3,15.8,87.3,100,-,-,-,96.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.6,97.6,89.3,-,70.4,45.9,98.9,60,33.3,50,0,71.4,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,SIKKIM,0,25,-,60.2,-,0,-,-,-,-,-,-,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,TAMIL,NADU,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.3,98.8,-,80.5,74.6,94.1,92,80,70.7,70.2,100,57.9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,TRIPURA,7.1,50,50,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,UTTAR,PRADESH,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,UTTARANCHAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,WEST,BENGAL,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,(STATES),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNION,TERRITORIES,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.4,83.2,85.9,100,63.6,76.2,96.5,69.2,61.4,61.4,-,100,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.5,96.2,92.1,100,100,-,100,100,-,-,-,-,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.6,62.6,57.6,0,3.3,73.5,84.3,91.5,-,-,-,91,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.6,84.6,72.9,47.6,46.2,87,97,88.8,23.5,25.4,2.8,70,,,,,,,,,,,,,,,,,
29,A,&,N,ISLANDS,-,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,100,99.8,100,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,
30,CHANDIGARH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.7,100,98.6,98.9,-,100,-,-,100,-,-,-,-,,,,,,,,,,,,,,,,
31,D,&,N,HAVELI,0,-,-,0,-,-,-,-,-,-,-,-,-,,,,,,,,,,,
32,DAMAN,&,DIU,-,-,0,-,-,-,-,100,-,-,-,-,-,,,,,,,,,,,,
33,DELHI,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85.9,98.1,77.8,-,87.5,64.5,-,100,-,-,-,60,,,,,,,,,,,,,,,,,
34,LAKSHADWEEP,-,-,-,-,66.7,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
35,PONDICHERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,(UTs),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,(ALL-INDIA),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.2,100,100,-,-,-,91.7,-,50,0,0,-,100,,,,,,,,,,,,,,,,
