States/ UTs,District,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Other,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto theft,Theft - Other theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Death,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
Assam,Nalbari,35,32,1,33,0,33,64,43,21,23,0,28,69,130,2,128,14,11,21,1,15,295,0,18,0,23,0,38,364,1215
Assam,R.p.o.,2,0,0,5,0,5,0,0,0,3,0,1,0,2,0,2,5,0,0,0,0,3,0,1,0,5,0,0,3,30
Assam,Sibsagar,55,26,2,38,0,38,76,76,0,5,0,26,93,268,9,259,60,17,46,3,42,230,4,15,0,74,0,52,496,1628
Assam,Sonitpur,98,27,2,64,0,64,90,90,0,25,2,23,168,362,3,359,172,30,58,1,29,262,3,56,0,146,0,159,540,2317
Assam,Tinsukia,79,3,0,32,0,32,33,33,0,28,0,19,88,199,17,182,183,16,13,3,18,74,2,14,0,23,0,3,265,1095
Assam,Total,1191,485,48,1095,0,1095,1628,1351,277,471,26,523,2606,5525,406,5119,3340,611,894,58,677,4952,60,878,6,1808,0,2086,9227,38195
Bihar,Araria,49,26,2,38,0,38,56,17,39,40,1,49,49,181,27,154,369,33,26,1,31,4,13,3,0,24,0,25,1051,2071
Bihar,Arwal,30,25,6,3,0,3,9,0,9,11,1,5,10,36,0,36,59,2,1,0,15,58,19,0,0,13,0,7,287,597
Bihar,Aurangabad,84,52,0,18,0,18,26,6,20,18,0,39,70,127,5,122,145,9,6,0,13,51,25,6,0,19,0,70,1551,2329
Bihar,Bagaha,30,23,9,21,0,21,40,10,30,4,0,13,28,90,0,90,97,6,36,7,11,44,4,3,0,6,0,6,454,932
Bihar,Banka,89,18,5,19,0,19,25,14,11,40,1,28,49,89,1,88,174,14,7,0,15,1,19,5,1,9,0,27,615,1250
Bihar,Begusarai,145,53,3,19,0,19,96,28,68,16,0,73,63,291,50,241,216,16,26,2,0,23,29,0,0,34,0,104,1694,2903
Bihar,Bettiah,72,94,0,27,0,27,89,15,74,12,0,36,70,191,4,187,455,12,17,1,2,1202,21,56,0,58,0,58,539,3012
Bihar,Bhabhua,76,77,1,11,0,11,40,11,29,24,1,34,58,166,14,152,156,24,38,3,20,141,21,6,0,13,0,44,282,1236
Bihar,Bhagalpur,97,189,5,45,0,45,98,57,41,14,5,73,165,336,21,315,168,42,79,0,26,36,13,33,0,107,0,68,1443,3042
Bihar,Bhojpur,125,46,4,12,0,12,48,1,47,34,5,38,86,240,18,222,164,44,71,0,38,80,24,14,0,75,0,79,1567,2794
Bihar,Buxar,61,173,9,12,0,12,26,7,19,25,0,27,66,199,2,197,108,15,17,0,16,189,14,6,0,27,1,48,128,1167
Bihar,Darbhanga,68,58,4,77,0,77,61,20,41,24,1,32,52,198,10,188,240,17,177,0,39,30,19,10,0,95,0,60,1546,2808
Bihar,Gaya,230,56,11,27,0,27,69,32,37,107,3,157,173,374,8,366,311,44,33,2,45,377,37,40,0,46,0,139,1064,3345
Bihar,Gopalganj,65,78,6,12,0,12,34,13,21,9,2,27,46,89,15,74,164,5,55,0,4,3,14,0,6,34,0,79,1273,2005
Bihar,Jamalpur Rly.,9,1,0,1,0,1,4,0,4,9,2,7,0,137,2,135,13,1,6,0,1,25,0,0,0,0,0,0,21,237
Bihar,Jamui,64,25,0,24,0,24,34,7,27,32,0,25,50,81,2,79,115,0,9,0,10,127,11,12,0,34,0,35,367,1055
Bihar,Jehanabad,64,101,1,9,0,9,40,5,35,33,0,35,40,146,7,139,79,13,40,0,18,24,16,0,0,34,0,20,967,1680
Bihar,Katihar,78,35,5,92,0,92,68,42,26,34,1,42,50,229,22,207,215,31,47,0,20,241,9,9,0,60,0,60,851,2177
Bihar,Katihar Rly.,7,0,2,0,0,0,10,6,4,11,2,16,6,257,3,254,16,3,9,1,1,0,3,2,0,4,0,1,173,524
Bihar,Khagaria,62,70,2,16,0,16,77,0,77,9,0,20,26,80,3,77,137,9,12,0,6,115,6,9,0,22,0,51,668,1397
Bihar,Kishanganj,27,4,6,17,0,17,39,38,1,12,0,11,43,96,3,93,127,8,11,0,1,155,5,2,0,20,0,10,365,959
Bihar,Lakhisarai,56,26,2,7,0,7,39,4,35,7,2,26,13,56,5,51,48,2,0,0,4,0,10,0,0,6,0,24,454,782
Bihar,Madhepura,62,14,6,8,0,8,24,5,19,20,0,29,19,58,7,51,105,11,12,0,7,3,6,2,0,8,0,19,588,1001
Bihar,Madhubani,78,172,68,38,0,38,62,29,33,39,4,22,104,184,11,173,320,21,56,0,2,442,20,112,0,262,0,120,561,2687
Bihar,Motihari,113,61,16,39,0,39,114,18,96,24,4,65,128,295,8,287,386,64,124,2,31,326,36,49,0,110,0,112,2187,4286
Bihar,Munger,80,28,1,7,0,7,47,7,40,4,5,24,35,148,11,137,231,15,38,0,8,124,6,16,0,63,0,35,962,1877
Bihar,Muzaffarpur,120,30,16,59,0,59,160,20,140,41,7,107,187,659,59,600,460,119,91,15,27,2084,63,27,0,98,0,174,297,4841
Bihar,Muzaffarpur Rly.,19,9,0,3,0,3,6,4,2,15,4,11,5,324,10,314,11,0,20,1,0,35,1,4,0,0,0,4,122,594
Bihar,Nalanda,171,139,17,21,0,21,58,18,40,27,5,56,83,181,13,168,162,19,56,2,25,604,49,39,0,64,1,150,1020,2949
Bihar,Naugachia,47,23,0,12,0,12,29,2,27,4,1,10,16,48,33,15,83,2,3,2,4,4,8,1,0,8,0,47,341,693
Bihar,Nawadah,88,60,10,13,0,13,53,12,41,21,2,24,37,79,5,74,158,7,15,1,9,96,19,10,1,11,0,63,570,1347
Bihar,Patna,484,680,9,34,0,34,220,15,205,124,28,694,469,1654,661,993,494,198,370,24,59,389,85,49,0,127,0,312,3267,9770
Bihar,Patna Rly.,24,17,0,2,0,2,5,0,5,44,3,31,5,763,19,744,7,2,10,0,0,0,0,7,0,3,0,7,189,1119
Bihar,Purnea,99,74,12,50,0,50,52,12,40,80,2,131,72,231,78,153,189,9,4,0,6,12,13,11,0,27,0,79,766,1919
Bihar,Rohtas,157,218,14,15,0,15,87,36,51,46,2,75,121,302,22,280,254,56,19,6,37,25,28,30,0,52,0,98,1213,2855
Bihar,Saharsa,47,69,2,11,0,11,25,11,14,9,0,29,29,86,13,73,144,14,23,0,8,145,13,14,0,3,0,29,304,1004
Bihar,Samastipur,136,121,17,20,0,20,80,8,72,34,18,64,87,371,33,338,286,37,33,0,45,260,18,11,2,34,25,21,1250,2970
Bihar,Saran,115,154,6,32,0,32,95,49,46,33,3,55,78,256,35,221,240,29,73,1,29,891,65,17,1,82,0,59,1395,3709
Bihar,Sheikhpura,36,12,1,5,0,5,21,1,20,6,0,8,10,40,0,40,71,19,30,0,0,0,6,0,0,0,0,0,452,717
Bihar,Sheohar,12,19,3,8,0,8,11,3,8,6,1,4,6,16,1,15,31,3,16,1,1,0,7,3,0,11,0,0,251,410
Bihar,Sitamarhi,51,16,3,37,0,37,82,24,58,25,4,31,61,183,18,165,271,52,20,0,4,4,27,6,0,39,4,25,1462,2407
Bihar,Siwan,86,160,4,13,0,13,62,22,40,49,0,114,88,155,28,127,186,14,18,0,15,124,32,36,0,54,0,98,757,2065
Bihar,Supaul,40,27,3,22,0,22,21,5,16,36,0,35,25,64,8,56,182,15,32,0,6,128,6,6,0,19,1,9,569,1246
Bihar,Vaishali,118,207,7,29,0,29,85,40,45,9,0,31,108,338,62,276,182,49,161,20,10,262,69,22,0,65,5,98,1620,3495
Bihar,Total,3771,3540,298,985,0,985,2427,674,1753,1221,120,2463,2986,10124,1357,8767,8029,1105,1947,92,669,8884,909,688,11,1880,37,2574,37503,92263
Chhattisgarh,Balrampur,22,19,0,24,0,24,4,0,4,13,1,11,51,34,3,31,16,0,1,0,7,29,3,29,3,15,0,12,194,488
Chhattisgarh,Bilaspur,95,55,27,49,0,49,12,12,0,3,0,32,549,679,153,526,123,9,22,4,10,480,18,165,3,87,0,193,2281,4896
