Category,States/ UTs/Cities,1998,1999,2000,2001,2002,Quinquennial Average (1998-2002) (Q.A.)@,2003,Percentage Change in 2003 [(+) Increase (-) Decrease] Over - QA,Percentage Change in 2003 [(+) Increase (-) Decrease] Over - 2002
City,Nasik,NA,NA,NA,2195,2521,NA,2542,NA,0.8
City,Patna,5728,5631,5733,5617,6100,5762,6545,13.6,7.3
City,Pune,9770,9561,8941,8936,8504,9142,8813,-3.6,3.6
City,Rajkot,NA,NA,NA,4774,4644,NA,4802,NA,3.4
City,Surat,5721,4576,3931,3995,4172,4479,4401,-1.7,5.5
City,Vadodara,6832,5796,5657,5047,7116,6090,5712,-6.2,-19.7
City,Varanasi,1541,1375,1911,2302,2281,1882,1146,-39.1,-49.8
City,Vijayawada,NA,NA,NA,6733,9083,NA,10084,NA,11
City,Vishakhapatnam,3053,3782,3384,3404,2838,3292,3261,-0.9,14.9
City,Total (Cities),266599,254499,255276,289775,297679,259293,291246,12.3,-2.2
