Category,States/UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection of Civil Rights Act(Total) - Incidence,Protection of Civil Rights Act(Total) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women(P)Act - Incidence,Indecent Representation of Women(P)Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev.) of Atrocities) Act (Total) - Incidence,SC/ST (Prev.) of Atrocities) Act (Total) - Rate,SC/ST (Prev) of Attrocities Act For SCs - Incidence,SC/ST (Prev) of Attrocities Act For SCs - Rate,SC/ST (Prev) of Attrocities Act for STs - Incidence,SC/ST (Prev) of Attrocities Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes - Incidence,Other SLL Crimes - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
State,Jharkhand,528,1.9,49,0.2,126,0.4,190,0.7,3,0,72,0.3,6,0,2,0,0,0,0,0,0,0,0,0,0,0,56,0.2,82,0.3,0,0,261,0.9,0,0,0,0,3,0,0,0,41,0.1,36,0.1,5,0,38,0.1,567,2,2024,7.2
State,Karnataka,72,0.1,298,0.5,6900,12.7,1592,2.9,0,0,88,0.2,1361,2.5,19,0,12,0,73,0.1,68,0.1,5,0,5,0,201,0.4,0,0,6,0,341,0.6,2,0,0,0,243,0.4,0,0,1263,2.3,1155,2.1,108,0.2,211,0.4,2889,5.3,15576,28.6
State,Kerala,558,1.7,435,1.3,1649,5.1,0,0,6679,20.5,361,1.1,159,0.5,20,0.1,3,0,0,0,0,0,0,0,85,0.3,122,0.4,0,0,0,0,4,0,0,0,16,0,223,0.7,0,0,183,0.6,173,0.5,10,0,42,0.1,30516,93.5,41055,125.9
State,Madhya Pradesh,11806,18.6,759,1.2,31449,49.6,18832,29.7,0,0,292,0.5,33,0.1,15084,23.8,2,0,1,0,1,0,0,0,0,0,138,0.2,0,0,0,0,29,0,3,0,0,0,163,0.3,0,0,697,1.1,445,0.7,252,0.4,71,0.1,83466,131.7,162825,257
State,Maharashtra,1270,1.3,470,0.5,27254,27.2,0,0,119647,119.3,77,0.1,179,0.2,2371,2.4,6,0,43,0,43,0,0,0,48,0,1132,1.1,0,0,1,0,29,0,16,0,8,0,906,0.9,0,0,266,0.3,216,0.2,50,0,57,0.1,20826,20.8,174606,174.1
State,Manipur,7,0.3,115,4.6,9,0.4,0,0,0,0,4,0.2,0,0,0,0,9,0.4,0,0,0,0,0,0,5,0.2,2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,18.7,615,24.8
State,Meghalaya,64,2.7,11,0.5,13,0.5,23,1,1,0,11,0.5,1,0,0,0,8,0.3,0,0,0,0,0,0,30,1.3,0,0,0,0,0,0,0,0,0,0,0,0,8,0.3,0,0,0,0,0,0,0,0,0,0,206,8.6,376,15.7
State,Mizoram,16,1.7,122,13.2,3,0.3,0,0,0,0,11,1.2,0,0,0,0,135,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,78.1,1008,109.2
State,Nagaland,22,1.1,117,5.6,0,0,33,1.6,57,2.7,7,0.3,1,0,12,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,4.5,342,16.5
State,Orissa,257,0.7,111,0.3,614,1.6,9304,24.6,0,0,88,0.2,11,0,1,0,1,0,0,0,0,0,0,0,0,0,56,0.1,0,0,0,0,412,1.1,0,0,0,0,22,0.1,0,0,603,1.6,435,1.2,168,0.4,0,0,162,0.4,11642,30.8
State,Punjab,854,3.4,3545,14.1,4493,17.9,15443,61.5,8,0,11,0,54,0.2,184,0.7,4,0,1,0,1,0,0,0,93,0.4,179,0.7,0,0,0,0,3,0,2,0,1,0,246,1,0,0,51,0.2,51,0.2,0,0,0,0,567,2.3,25739,102.5
State,Rajasthan,3408,5.7,712,1.2,10993,18.5,8722,14.7,0,0,302,0.5,51,0.1,1837,3.1,3,0,0,0,0,0,0,0,15,0,205,0.3,0,0,2,0,3,0,6,0,87,0.1,432,0.7,0,0,1146,1.9,867,1.5,279,0.5,1203,2,4723,8,33850,57.1
State,Sikkim,2,0.4,4,0.7,0,0,146,26,0,0,1,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3.7,175,31.2
State,Tamil Nadu,172,0.3,4227,6.6,18112,28.5,3,0,226120,355.6,260,0.4,2839,4.5,60,0.1,18,0,202,0.3,198,0.3,4,0,21,0,36,0.1,0,0,0,0,175,0.3,3,0,6,0,870,1.4,0,0,782,1.2,776,1.2,6,0,3,0,322954,507.9,576863,907.2
State,Tripura,35,1.1,17,0.5,1,0,0,0,0,0,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.2,78,2.4
State,Uttar Pradesh,37840,21.7,11320,6.5,8538,4.9,33077,19,0,0,872,0.5,47,0,13143,7.5,75,0,52,0,52,0,0,0,29,0,59,0,2,0,2,0,367,0.2,4,0,0,0,246,0.1,0,0,1128,0.6,1128,0.6,0,0,1547,0.9,622313,356.9,730661,419
State,Uttaranchal,1305,14.8,346,3.9,404,4.6,3075,34.8,0,0,9,0.1,0,0,47,0.5,0,0,0,0,0,0,0,0,1,0,9,0.1,0,0,0,0,1,0,0,0,0,0,27,0.3,0,0,67,0.8,66,0.7,1,0,119,1.3,41973,475.6,47383,536.9
State,West Bengal,1633,2,452,0.5,1092,1.3,602,0.7,25,0,106,0.1,152,0.2,1538,1.9,950,1.1,0,0,0,0,0,0,88,0.1,207,0.2,0,0,12,0,17,0,1,0,1,0,278,0.3,0,0,2,0,1,0,1,0,0,0,1051337,1269.2,1058493,1277.9
State,Total (States),66922,6.4,26697,2.5,173696,16.5,119985,11.4,467143,44.5,3846,0.4,5445,0.5,40857,3.9,1298,0.1,655,0.1,618,0.1,37,0,525,0,4122,0.4,85,0,35,0,2665,0.3,62,0,1043,0.1,5148,0.5,0,0,9375,0.9,8035,0.8,1340,0.1,3706,0.4,2815063,267.9,3748373,356.8
Union Territory,A & N Islands,0,0,1,0.3,10,2.7,5523,1480.7,72,19.3,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,394,105.6,6003,1609.4
Union Territory,Chandigarh,17,1.8,65,6.8,224,23.5,709,74.2,0,0,3,0.3,4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,17,1.8,0,0,0,0,0,0,0,0,0,0,28,2.9,0,0,0,0,0,0,0,0,0,0,58,6.1,1125,117.8
Union Territory,D & N Haveli,1,0.4,0,0,0,0,4,1.7,0,0,0,0,2,0.9,1,0.4,0,0,0,0,0,0,0,0,0,0,3,1.3,0,0,0,0,0,0,0,0,0,0,2,0.9,0,0,0,0,0,0,0,0,0,0,7,3,20,8.6
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,2,1.2
Union Territory,Delhi,5820,39.3,1150,7.8,1318,8.9,11292,76.2,0,0,12,0.1,46,0.3,2,0,17,0.1,0,0,0,0,0,0,30,0.2,21,0.1,0,0,1,0,14,0.1,1,0,0,0,191,1.3,0,0,12,0.1,12,0.1,0,0,0,0,1983,13.4,21910,147.8
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,1,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6
Union Territory,Pondicherry,44,4.4,0,0,50,5,0,0,0,0,1,0.1,13,1.3,0,0,0,0,16,1.6,16,1.6,0,0,0,0,38,3.8,0,0,1,0.1,5,0.5,0,0,0,0,8,0.8,0,0,1,0.1,1,0.1,0,0,0,0,1083,107.8,1260,125.4
Union Territory,Total (UTs),5882,33.4,1216,6.9,1602,9.1,17528,99.6,73,0.4,18,0.1,65,0.4,4,0,17,0.1,16,0.1,16,0.1,0,0,30,0.2,79,0.4,0,0,2,0,19,0.1,1,0,0,0,230,1.3,0,0,13,0.1,13,0.1,0,0,1,0,3525,20,30321,172.3
Total (All-India),Total (All-India),72804,6.8,27913,2.6,175298,16.4,137513,12.9,467216,43.7,3864,0.4,5510,0.5,40861,3.8,1315,0.1,671,0.1,634,0.1,37,0,555,0.1,4201,0.4,85,0,37,0,2684,0.3,63,0,1043,0.1,5378,0.5,0,0,9388,0.9,8048,0.8,1340,0.1,3707,0.3,2818588,263.9,3778694,353.7
City,Agra,436,33,112,8.5,561,42.5,61,4.6,0,0,6,0.5,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2.3,0,0,27,2,27,2,0,0,4,0.3,19282,1459.7,20524,1553.7
City,Ahmedabad,33,0.7,10,0.2,1030,22.8,0,0,6465,143.1,18,0.4,9,0.2,0,0,0,0,1,0,1,0,0,0,0,0,19,0.4,0,0,0,0,0,0,0,0,14,0.3,172,3.8,0,0,12,0.3,12,0.3,0,0,0,0,4107,90.9,11890,263.1
City,Allahabad,267,25.4,348,33.1,69,6.6,155,14.8,0,0,169,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,4,0.4,0,0,0,0,7,0.7,0,0,10,1,10,1,0,0,10,1,9078,864.6,10118,963.6
City,Amritsar,37,3.7,127,12.6,136,13.5,871,86.2,0,0,1,0.1,6,0.6,0,0,0,0,0,0,0,0,0,0,4,0.4,6,0.6,0,0,0,0,0,0,0,0,0,0,20,2,0,0,1,0.1,1,0.1,0,0,0,0,36,3.6,1245,123.1
City,Asansol,17,1.6,1,0.1,4,0.4,1,0.1,0,0,6,0.5,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,0,0,30,2.7,72,6.6
City,Bangalore,12,0.2,42,0.7,136,2.4,189,3.3,0,0,4,0.1,417,7.3,6,0.1,6,0.1,9,0.2,9,0.2,0,0,3,0.1,21,0.4,0,0,2,0,266,4.7,0,0,0,0,170,3,0,0,127,2.2,127,2.2,0,0,1,0,905,15.9,2316,40.7
City,Bhopal,544,37.4,74,5.1,1499,103,304,20.9,0,0,2,0.1,6,0.4,0,0,2,0.1,0,0,0,0,0,0,0,0,6,0.4,0,0,0,0,5,0.3,0,0,0,0,7,0.5,0,0,37,2.5,33,2.3,4,0.3,0,0,14,1,2500,171.8
City,Chennai,6,0.1,248,3.9,2825,44,3,0,1369,21.3,1,0,378,5.9,0,0,1,0,0,0,0,0,0,0,4,0.1,2,0,0,0,0,0,0,0,0,0,0,0,231,3.6,0,0,7,0.1,7,0.1,0,0,0,0,78989,1229.4,84064,1308.4
City,Coimbatore,0,0,161,11.1,138,9.5,0,0,77,5.3,2,0.1,230,15.9,0,0,1,0.1,0,0,0,0,0,0,4,0.3,0,0,0,0,0,0,0,0,0,0,1,0.1,11,0.8,0,0,8,0.6,8,0.6,0,0,0,0,4692,324.5,5325,368.3
City,Delhi (CITY),5446,42.6,1129,8.8,1303,10.2,9922,77.6,0,0,10,0.1,45,0.4,2,0,17,0.1,0,0,0,0,0,0,30,0.2,16,0.1,0,0,1,0,14,0.1,1,0,0,0,180,1.4,0,0,12,0.1,12,0.1,0,0,0,0,1825,14.3,19953,156
City,Dhanbad,27,2.5,3,0.3,17,1.6,12,1.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,23,2.2,0,0,0,0,0,0,0,0,9,0.8,8,0.8,1,0.1,0,0,38,3.6,132,12.4
City,Faridabad,184,17.4,52,4.9,1046,99.1,1583,150,0,0,0,0,2,0.2,0,0,5,0.5,0,0,0,0,0,0,0,0,17,1.6,0,0,0,0,0,0,0,0,0,0,14,1.3,0,0,1,0.1,1,0.1,0,0,0,0,114,10.8,3018,286.1
City,Hyderabad,119,2.2,19,0.3,275,5,42,0.8,288,5.2,14,0.3,32,0.6,0,0,1,0,0,0,0,0,0,0,49,0.9,0,0,0,0,3,0.1,0,0,1,0,207,3.7,72,1.3,0,0,49,0.9,46,0.8,3,0.1,0,0,53630,969.1,54801,990.3
City,Indore,1178,71.9,29,1.8,1367,83.4,1015,61.9,0,0,1,0.1,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,45,2.7,0,0,1,0.1,1,0.1,0,0,0,0,135,8.2,3778,230.5
City,Jabalpur,643,57.6,23,2.1,1919,171.8,852,76.3,0,0,97,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,9,0.8,0,0,17,1.5,12,1.1,5,0.4,1,0.1,2076,185.9,5638,504.7
City,Jaipur,249,10.7,26,1.1,541,23.3,519,22.3,0,0,0,0,6,0.3,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2.7,0,0,38,1.6,27,1.2,11,0.5,2,0.1,322,13.9,1769,76.1
City,Jamshedpur,35,3.2,6,0.5,37,3.4,62,5.6,0,0,5,0.5,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,6,0.5,0,0,0,0,0,0,0,0,2,0.2,0,0,2,0.2,0,0,0,0,159,14.4
City,Kanpur,1561,58,997,37.1,338,12.6,815,30.3,0,0,207,7.7,2,0.1,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1.1,0,0,0,0,20,0.7,0,0,27,1,27,1,0,0,42,1.6,44877,1668.3,48920,1818.6
City,Kochi,14,1,60,4.4,12,0.9,0,0,128,9.4,2,0.1,6,0.4,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,18,1.3,0,0,5,0.4,5,0.4,0,0,0,0,1612,119,1858,137.1
City,Kolkata,147,1.1,71,0.5,472,3.6,500,3.8,0,0,14,0.1,124,0.9,8,0.1,0,0,0,0,0,0,0,0,0,0,47,0.4,0,0,0,0,0,0,0,0,0,0,131,1,0,0,0,0,0,0,0,0,0,0,1048626,7933.9,1050140,7945.4
City,Lucknow,1133,50,448,19.8,166,7.3,252,11.1,0,0,9,0.4,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,23,1,0,0,32,1.4,13982,616.8,16048,707.9
City,Ludhiana,188,13.5,116,8.3,285,20.4,377,27,0,0,0,0,3,0.2,0,0,0,0,1,0.1,1,0.1,0,0,0,0,32,2.3,0,0,0,0,0,0,0,0,1,0.1,46,3.3,0,0,7,0.5,7,0.5,0,0,0,0,105,7.5,1161,83.2
City,Madurai,2,0.2,114,9.5,389,32.6,0,0,380,31.8,1,0.1,112,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2.7,0,0,9,0.8,9,0.8,0,0,0,0,12055,1008.8,13094,1095.7
City,Meerut,783,67.1,71,6.1,322,27.6,112,9.6,0,0,4,0.3,4,0.3,2,0.2,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,22,1.9,0,0,9,0.8,9,0.8,0,0,5,0.4,13330,1142.2,14666,1256.7
City,Mumbai,246,1.5,122,0.7,192,1.2,0,0,1113,6.8,5,0,130,0.8,3,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,206,1.3,0,0,7,0,7,0,0,0,0,0,2486,15.2,4520,27.6
City,Nagpur,353,16.6,59,2.8,1250,58.9,0,0,2403,113.2,0,0,1,0,2,0.1,0,0,0,0,0,0,0,0,1,0,36,1.7,0,0,0,0,2,0.1,0,0,0,0,32,1.5,0,0,1,0,1,0,0,0,0,0,913,43,5053,238
City,Nasik,18,1.6,2,0.2,248,21.5,0,0,940,81.6,1,0.1,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,9,0.8,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,4,0.3,2,0.2,2,0.2,0,0,394,34.2,1624,141
City,Patna,181,10.6,0,0,17,1,49,2.9,0,0,18,1.1,4,0.2,0,0,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,0,0,20,1.2,0,0,0,0,11,0.6,0,0,9,0.5,9,0.5,0,0,0,0,182,10.7,493,28.9
City,Pune,48,1.3,22,0.6,208,5.5,0,0,4264,113.5,2,0.1,25,0.7,1,0,5,0.1,0,0,0,0,0,0,0,0,36,1,0,0,1,0,0,0,0,0,0,0,77,2.1,0,0,9,0.2,9,0.2,0,0,1,0,2513,66.9,7212,192
City,Rajkot,7,0.7,11,1.1,332,33.1,0,0,1815,181.1,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,24,2.4,0,0,0,0,0,0,0,0,0,0,72,7.2,0,0,19,1.9,18,1.8,1,0.1,0,0,365,36.4,2649,264.4
City,Surat,35,1.2,22,0.8,555,19.7,0,0,13182,468.9,0,0,48,1.7,0,0,0,0,0,0,0,0,0,0,0,0,63,2.2,0,0,0,0,0,0,0,0,0,0,72,2.6,0,0,9,0.3,6,0.2,3,0.1,0,0,8507,302.6,22493,800.2
City,Vadodara,10,0.7,8,0.5,528,35.4,0,0,6289,421.5,1,0.1,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,0,0,0,0,56,3.8,0,0,2,0.1,2,0.1,0,0,0,0,1055,70.7,7955,533.2
City,Varanasi,676,55.8,621,51.2,87,7.2,144,11.9,0,0,13,1.1,2,0.2,0,0,0,0,6,0.5,6,0.5,0,0,0,0,0,0,0,0,0,0,5,0.4,0,0,0,0,0,0,0,0,4,0.3,4,0.3,0,0,18,1.5,19297,1592.2,20873,1722.2
City,Vijayawada,2,0.2,20,2,1819,179.9,144,14.2,22,2.2,2,0.2,29,2.9,0,0,0,0,25,2.5,6,0.6,19,1.9,0,0,2,0.2,0,0,0,0,19,1.9,0,0,0,0,37,3.7,0,0,10,1,4,0.4,6,0.6,0,0,100345,9925.3,102476,10136.1
City,Vishakhapatnam,2,0.2,3,0.2,1076,81,22,1.7,0,0,0,0,22,1.7,0,0,0,0,2,0.2,2,0.2,0,0,2,0.2,0,0,0,0,0,0,1,0.1,0,0,0,0,24,1.8,0,0,12,0.9,12,0.9,0,0,0,0,6456,485.8,7622,573.5
City,Total (Cities),14639,13.6,5177,4.8,21199,19.7,18006,16.7,38735,35.9,618,0.6,1663,1.5,34,0,40,0,44,0,25,0,19,0,103,0.1,363,0.3,1,0,7,0,394,0.4,2,0,223,0.2,1898,1.8,0,0,524,0.5,486,0.5,38,0,116,0.1,1452373,1346.3,1556159,1442.5
