Category,States/ UTs,Murder,Attempt to Commit Murder,C.H. not Amounting to Murder,Rape - Total,Rape - Custodial,Rape - Others,Kidnapping and Abduction - Total,Kidnapping and Abduction - of Women,Kidnapping and Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft - Total,Theft - Auto Theft,Theft - Other Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Importation of Girls,Causing Death by Negligence,Other IPC Crimes,Total Cog. Crimes Under IPC
State,Meghalaya,48.6,37.9,100,81.8,NA,81.8,35,25,37.5,34.1,100,33.3,16.4,30.7,23.8,33.1,33.3,22.2,52.2,50,22.2,63.2,NA,80,0,100,NA,79.2,63,44.9
State,Mizoram,93.6,74.4,60,95.8,NA,95.8,50,50,50,60,NA,77.3,79.3,81.8,96.4,81.2,0,78.8,88,70.6,84.4,93.6,NA,97.7,NA,100,NA,90.9,88.2,84.6
State,Nagaland,40.5,65.5,100,75,NA,75,52.4,0,55,41.7,NA,40.3,57.5,68.2,37.5,73.7,0,100,30.4,80,0,65.5,NA,66.7,100,NA,NA,55.6,63.4,58.2
State,Orissa,94.6,94.9,87.9,98.2,NA,98.2,89.4,88.6,93.2,89.1,100,82.9,49.5,58.3,41.6,62.7,96.4,94.7,90.7,92.3,71.5,95.8,98.6,97.8,99.5,95.9,NA,89.3,93.8,86.8
State,Punjab,80.5,86.7,67.6,93.8,NA,93.8,58.1,61.7,53.3,70.8,98.9,70,46.2,50.2,44.8,55,100,86.3,81.1,98.4,79,83.2,98.4,79.6,73.8,85.1,NA,81.6,80.2,75.2
State,Rajasthan,87.3,96.9,94,98.6,NA,98.6,76.1,72.2,86.7,74.3,100,66.3,28.6,25.8,20.9,28.5,98.4,78.6,74,41.4,66.1,98.8,97.8,99.7,92.3,99.8,100,86.8,92.9,81.8
State,Sikkim,100,87.5,100,100,NA,100,100,100,100,NA,NA,100,34.1,34.7,66.7,32.6,83.3,66.7,71.4,0,50,73.2,NA,78.9,NA,100,NA,60,49,57.5
State,Tamil Nadu,93.2,97,83.3,96,NA,96,76.1,77.3,73.2,85.4,100,90.8,76.9,86.9,79.7,89.1,97.4,75.1,77.8,68.6,77.3,97.3,96.9,99.1,99.9,95.2,NA,93.4,95.7,93.9
State,Tripura,79.1,63.3,NA,86.1,NA,86.1,67.5,66.7,68.3,57.1,NA,48.1,28.2,47.3,35.7,48,74.7,81.8,71.8,100,19,74.5,100,79.2,NA,80.8,NA,82.2,56.6,64.6
State,Uttar Pradesh,91.6,89.8,93,95.5,NA,95.5,81.1,82.7,77.3,87.7,97.5,76.2,41,38.9,27.5,45.4,87.1,67.4,73.2,59.7,81.3,94.2,92.3,97.3,100,82.7,NA,84.7,90.9,80.7
State,Uttaranchal,82.8,85,90.3,92.5,NA,92.5,68.2,68.1,68.8,88.9,100,66.9,35,42.6,31.7,46.8,75.5,61,67.6,42.9,50,83.1,89.8,90.2,99,78.3,NA,82.4,82.1,70.9
State,West Bengal,80.7,89.2,82.3,93.7,NA,93.7,84.5,87.1,69,76.2,95.1,62.8,41.1,27.2,26.3,27.4,90.8,73.9,55.7,83,77.9,78.9,97.8,87,80.7,97.3,NA,78,77.3,69.4
State,Total (States),81.9,87.7,88.8,94.7,0,94.7,77.2,78.4,74.7,66.5,96.7,65.7,38,42.7,33.8,45.8,90.4,75.9,73.3,39.6,65.6,94.9,94.3,96.5,98.9,95.1,91.7,83.8,91.3,80.7
Union Territory,A & N Islands,100,100,100,100,NA,100,NA,NA,NA,100,NA,57.1,47.6,43.8,75,37.5,100,100,66.7,NA,25,89.5,NA,100,100,75,NA,NA,90.8,85.2
Union Territory,Chandigarh,80,88.5,100,95.5,NA,95.5,80,76.9,100,100,100,50,37,35.5,22,45.8,84.7,72,76.5,100,20,97.3,50,92.3,100,73.7,NA,83.3,71.3,55
Union Territory,D & N Haveli,78.6,100,NA,0,NA,0,83.3,100,75,66.7,NA,60,32.6,51.9,54.8,50,92.9,75,69.2,NA,33.3,96,NA,100,NA,100,NA,NA,90.8,72.1
Union Territory,Daman & Diu,72.7,66.7,NA,66.7,NA,66.7,0,0,NA,0,NA,0,28,32.7,30,36.4,90,80,77.8,66.7,NA,92.9,NA,100,NA,100,NA,66.7,65.8,55.6
Union Territory,Delhi,79.8,87.7,64.3,94.5,NA,94.5,40.4,38.1,44.8,96.3,100,74.2,26.7,26.7,21.5,32.3,90.3,57.6,77.4,65.2,25,88.3,94.6,95.3,94,93.7,NA,68.6,86.6,62.9
Union Territory,Lakshadweep,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,30,18.2,NA,18.2,50,100,NA,NA,0,0,NA,NA,NA,NA,NA,NA,50,31.4
Union Territory,Pondicherry,91.7,100,NA,100,NA,100,100,100,100,100,NA,85.7,51.6,42.3,19,68.8,100,100,92.3,NA,17.6,99.5,100,100,96.2,100,NA,98.5,99.3,91.4
Union Territory,Total (UTs),80.6,88.4,65.5,94.2,0,94.2,41.7,39.5,46,87.2,100,73.3,28.9,27.9,21.7,34.5,93,60.1,77.3,66.7,23.5,92.4,94,95.8,94.6,90.8,0,77.5,87.2,65
Total (All-India),Total (All-India),81.9,87.7,88.4,94.7,0,94.7,75.2,76.3,73.2,66.6,96.9,65.9,37.8,41.6,32.2,45.2,90.4,75.2,73.6,40.2,65.1,94.8,94.3,96.5,98.8,95.1,91.7,83.8,91.2,80.1
