Category,States/ UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways Total - Number,Railways Total - Value,Railways Running Trains - Number,Railways Running Trains - Value,Railways Other Railways - Number,Railways Other Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,Total (States),3036,1221.6,3904,1908.7,12,0.3,454,70.4,267,49.3,187,21.1,101,374.7,1028,525.1,8499,3461.7,17034,7562.5
Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.5,7,3.5
Union Territory,Chandigarh,2,2.6,0,0,0,0,0,0,0,0,0,0,0,0,2,0.7,8,4.2,12,7.5
Union Territory,D & N Haveli,0,0,4,2.6,0,0,0,0,0,0,0,0,0,0,1,0.3,1,0.4,6,3.4
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Union Territory,Delhi,105,131.4,203,18.2,0,0,14,1.2,9,0.3,5,1,0,0,33,28.3,86,228.6,441,407.8
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,11,3.8
Union Territory,Total (UTs),109,134.8,207,20.9,0,0,14,1.2,9,0.3,5,1,0,0,36,29.4,112,239.6,478,425.9
Total (All-India),Total (All-India),3145,1356.4,4111,1929.6,12,0.3,468,71.6,276,49.6,192,22,101,374.7,1064,554.4,8611,3701.3,17512,7988.4
City,Agra,6,0.2,6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,18,0.3,30,0.8
City,Ahmedabad,28,5.6,3,2.8,0,0,0,0,0,0,0,0,0,0,91,22.6,243,58.2,365,89.2
City,Allahabad,6,6.6,11,8.7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,15.3
City,Amritsar,10,12.5,0,0,0,0,0,0,0,0,0,0,0,0,3,4.1,1,2.1,14,18.7
City,Asansol,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7,5,0.3,9,2.5
City,Bangalore,71,19.9,1,0.1,0,0,1,0.3,0,0,1,0.3,2,0.1,4,0.9,232,53,311,74.3
City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,10.4,87,10.4
City,Chennai,33,121.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40,29.6,74,151
City,Coimbatore,10,5.7,0,0,0,0,0,0,0,0,0,0,0,0,6,2.5,13,1.2,29,9.4
City,Delhi (CITY),87,106.7,194,5.6,0,0,14,1.2,5,1,9,0.3,0,0,27,27.4,50,182.8,372,323.7
City,Dhanbad,3,19,6,10.2,0,0,0,0,0,0,0,0,1,5,7,0.7,4,0.8,21,35.7
City,Faridabad,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,3,1.4,5,2.9
City,Hyderabad,21,3.2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,63,23,91,27.2
City,Indore,14,8.9,28,17.8,0,0,0,0,0,0,0,0,0,0,15,9.5,71,45,128,81.2
City,Jabalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,7.6,82,7.6
City,Jaipur,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,6,18.6,31,10,42,28.8
City,Jamshedpur,0,0,47,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,8.5
City,Kanpur,16,2.4,26,15.6,0,0,0,0,0,0,0,0,1,0.8,1,0.2,23,4.5,67,23.5
City,Kochi,29,2.9,0,0,0,0,0,0,0,0,0,0,0,0,15,0.8,22,3.5,66,7.2
City,Kolkata,24,27.4,0,0,0,0,0,0,0,0,0,0,0,0,12,14,137,84,173,125.4
City,Lucknow,11,4.4,54,34.3,0,0,0,0,0,0,0,0,0,0,0,0,28,7.1,93,45.8
City,Ludhiana,3,3.4,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6,6,3.9,12,8.8
City,Madurai,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,12,5.6
City,Meerut,7,1.6,23,32.8,0,0,0,0,0,0,0,0,0,0,2,0.4,10,2,42,36.8
City,Mumbai,41,70.3,21,52.8,1,0,2,0.1,0,0,2,0.1,2,0.8,55,147.2,117,373.5,239,644.7
City,Nagpur,10,5.9,5,10.3,0,0,0,0,0,0,0,0,1,4,23,3.4,133,30.3,172,53.9
City,Nasik,6,2.4,5,4.3,0,0,0,0,0,0,0,0,0,0,2,0.8,18,3.4,31,10.9
City,Patna,46,3.4,205,49.5,0,0,0,0,0,0,0,0,1,2.8,36,3.8,306,50.8,594,110.3
City,Pune,13,11,3,1.6,0,0,0,0,0,0,0,0,2,20,11,2.7,68,40.7,97,75.9
City,Rajkot,4,0.1,4,0.4,0,0,0,0,0,0,0,0,0,0,2,0,41,12.5,51,13.1
City,Surat,19,98.3,1,0.4,0,0,0,0,0,0,0,0,0,0,6,9.1,31,21.7,57,129.5
City,Vadodara,9,1.5,5,7.1,0,0,0,0,0,0,0,0,0,0,4,0.8,26,5.9,44,15.3
City,Varanasi,8,3.7,3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,8,1.9,19,8
City,Vijayawada,25,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,35,3.5,61,8
City,Vishakhapatnam,2,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.2,5,8
