Category,States/ UTs,Estimated Mid Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Contribution,Prot.of Civil Rights Act - Incidence,Prot.of Civil Rights Act - Rate,Prot.of Civil Rights Act - Percentage Contribution,SC/ST Prev.of Attrocities Act - Incidence,SC/ST Prev.of Attrocities Act - Rate,SC/ST Prev.of Attrocities Act - Percentage Contribution,Other offences - Incidence,Other offences - Rate,Other offences - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution
State,Manipur,24.8,2,0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.1,4,0.2,0.1
State,Meghalaya,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,20.8,46,2.2,24.9,4,0.2,0.7,2,0.1,2.9,13,0.6,43.3,23,1.1,50,3,0.1,7.9,7,0.3,0.9,0,0,0,0,0,0,165,8,5.9,263,12.7,4.5
State,Orissa,378.2,10,0,5.4,20,0.1,3.6,13,0,18.8,0,0,0,1,0,2.2,8,0,21.1,80,0.2,10.1,0,0,0,168,0.4,12.5,184,0.5,6.6,484,1.3,8.2
State,Punjab,251.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Rajasthan,593.3,11,0,5.9,26,0,4.7,1,0,1.4,0,0,0,0,0,0,6,0,15.8,112,0.2,14.2,0,0,0,279,0.5,20.8,477,0.8,17,912,1.5,15.5
State,Sikkim,5.6,1,0.2,0.5,1,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.3,0,0,0,0,0,0,2,0.4,0.1,6,1.1,0.1
State,Tamil Nadu,635.9,0,0,0,5,0,0.9,1,0,1.4,0,0,0,0,0,0,0,0,0,12,0,1.5,4,0,10.8,6,0,0.4,39,0.1,1.4,67,0.1,1.1
State,Tripura,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1743.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,1.7,47,0,0.8
State,Uttaranchal,88.3,1,0,0.5,0,0,0,2,0,2.9,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,1,0,0.1,0,0,0,5,0.1,0.1
State,West Bengal,828.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,2,0,0.1,3,0,0.1
State,Total (States),10505.89,183,0,98.9,550,0.1,99.8,68,0,98.6,30,0,100,46,0,100,38,0,100,788,0.1,99.7,37,0,100,1340,0.1,100,2784,0.3,99.3,5864,0.6,99.6
Union Territory,A & N Islands,3.7,0,0,0,0,0,0,1,0.3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3,0
Union Territory,Chandigarh,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,D & N Haveli,2.3,2,0.9,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.9,0.3,0,0,0,0,0,0,19,8.2,0.7,23,9.9,0.4
Union Territory,Daman & Diu,1.7,0,0,0,1,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0
Union Territory,Delhi,148.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Total (UTs),176.25,2,0,1.1,1,0,0.2,1,0,1.4,0,0,0,0,0,0,0,0,0,2,0,0.3,0,0,0,0,0,0,19,0.1,0.7,25,0.1,0.4
Total (All-India),Total (All-India),10682.14,185,0,100,551,0.1,100,69,0,100,30,0,100,46,0,100,38,0,100,790,0.1,100,37,0,100,1340,0.1,100,2803,0.3,100,5889,0.6,100
