Category,States/ UTs,Estimated Mid Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution,Hurt - Incidence,Hurt - Rate,Hurt - Percentage Contribution,Prot.of Civil Rights Act - Incidence,Prot.of Civil Rights Act - Rate,Prot.of Civil Rights Act - Percentage Contribution,SC/ST Prev.of Attrocities Act - Incidence,SC/ST Prev.of Attrocities Act - Rate,SC/ST Prev.of Attrocities Act - Percentage Contribution,Other offences - Incidence,Other offences - Rate,Other offences - Percentage Contribution,Total - Incidence,Total - Rate,Total - Percentage Contribution
State,Kerala,326.2,3,0,0.5,24,0.1,2.2,2,0,0.9,1,0,4.2,0,0,0,2,0,1,114,0.3,2.9,0,0,0,173,0.5,2.1,120,0.4,1.1,439,1.3,1.7
State,Madhya Pradesh,633.7,83,0.1,14.3,349,0.6,32,33,0.1,14.2,0,0,0,9,0,12.9,53,0.1,26,858,1.4,21.6,1,0,0.2,445,0.7,5.5,3676,5.8,32.2,5507,8.7,21
State,Maharashtra,1003.1,19,0,3.3,72,0.1,6.6,7,0,3,1,0,4.2,3,0,4.3,5,0,2.5,41,0,1,43,0,6.8,216,0.2,2.7,290,0.3,2.5,697,0.7,2.7
State,Manipur,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,23.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Mizoram,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Nagaland,20.8,5,0.2,0.9,2,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0.2,27,1.3,0.1
State,Orissa,378.2,8,0,1.4,29,0.1,2.7,8,0,3.4,0,0,0,4,0,5.7,12,0,5.9,234,0.6,5.9,0,0,0,435,1.2,5.4,427,1.1,3.7,1157,3.1,4.4
State,Punjab,251.1,0,0,0,8,0,0.7,1,0,0.4,0,0,0,0,0,0,0,0,0,10,0,0.3,1,0,0.2,51,0.2,0.6,56,0.2,0.5,127,0.5,0.5
State,Rajasthan,593.3,30,0.1,5.2,154,0.3,14.1,23,0,9.9,0,0,0,3,0,4.3,51,0.1,25,632,1.1,15.9,0,0,0,867,1.5,10.8,2569,4.3,22.5,4329,7.3,16.5
State,Sikkim,5.6,1,0.2,0.2,2,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,3,0.5,0,7,1.2,0
State,Tamil Nadu,635.9,16,0,2.8,25,0,2.3,5,0,2.2,0,0,0,1,0,1.4,0,0,0,163,0.3,4.1,198,0.3,31.2,776,1.2,9.6,311,0.5,2.7,1495,2.4,5.7
State,Tripura,32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1743.8,288,0.2,49.6,194,0.1,17.8,78,0,33.6,4,0,16.7,8,0,11.4,12,0,5.9,172,0.1,4.3,52,0,8.2,1128,0.6,14,885,0.5,7.8,2821,1.6,10.7
State,Uttaranchal,88.3,5,0.1,0.9,6,0.1,0.6,4,0,1.7,0,0,0,0,0,0,0,0,0,48,0.5,1.2,0,0,0,66,0.7,0.8,0,0,0,129,1.5,0.5
State,West Bengal,828.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,5,0,0
State,Total (States),10505.9,580,0.1,99.8,1088,0.1,99.9,232,0,100,24,0,100,70,0,100,204,0,100,3965,0.4,99.9,618,0.1,97.5,8035,0.8,99.8,11400,1.1,100,26216,2.5,99.9
Union Territory,A & N Islands,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Chandigarh,9.6,0,0,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0
Union Territory,D & N Haveli,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Daman & Diu,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,148.3,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.1,0.1,0,0,0,13,0.1,0
Union Territory,Lakshadweep,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Pondicherry,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0.1,16,1.6,2.5,1,0.1,0,1,0.1,0,22,2.2,0.1
Union Territory,Total (UTs),176.3,1,0,0.2,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.1,16,0.1,2.5,13,0.1,0.2,1,0,0,36,0.2,0.1
Total (All-India),Total (All-India),10682.1,581,0.1,100,1089,0.1,100,232,0,100,24,0,100,70,0,100,204,0,100,3969,0.4,100,634,0.1,100,8048,0.8,100,11401,1.1,100,26252,2.5,100
