Category,States/ UTs/Cities,Estimated Mid-Year Population (In Lakhs)@,Infanticide - Incidence,Infanticide - Rate,Infanticide - Percentage Share,Murder - Incidence,Murder - Rate,Murder - Percentage Share,Rape - Incidence,Rape - Rate,Rape - Percentage Share,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Share,Foeticide - Incidence,Foeticide - Rate,Foeticide - Percentage Share,Abetment of Suicide - Incidence,Abetment of Suicide - Rate,Abetment of Suicide - Percentage Share,Exposure and Abandonment - Incidence,Exposure and Abandonment - Rate,Exposure and Abandonment - Percentage Share,Procuration of Minor Girls - Incidence,Procuration of Minor Girls - Rate,Procuration of Minor Girls - Percentage Share,Buying of Girls for Prostitution - Incidence,Buying of Girls for Prostitution - Rate,Buying of Girls for Prostitution - Percentage Share,Selling of Girls for Prostitution - Incidence,Selling of Girls for Prostitution - Rate,Selling of Girls for Prostitution - Percentage Share,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Child Marriage Restraint Act - Percentage Share,Other Crimes - Incidence,Other Crimes - Rate,Other Crimes - Percentage Share,Total - Incidence,Total - Rate,Total - Percentage Share
State,Mizoram,9.23,0,0,0,5,0.5,0.4,9,1,0.3,3,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1.8,0.1
State,Nagaland,20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,378.21,0,0,0,15,0,1.2,55,0.1,1.9,25,0.1,1,0,0,0,1,0,4,0,0,0,4,0,2.3,0,0,0,0,0,0,0,0,0,40,0.1,1.1,140,0.4,1.2
State,Punjab,251.13,8,0,7.8,17,0.1,1.4,54,0.2,1.8,67,0.3,2.6,11,0,19.3,0,0,0,9,0,1.2,0,0,0,0,0,0,0,0,0,2,0,3.2,16,0.1,0.4,184,0.7,1.6
State,Rajasthan,593.32,9,0,8.7,17,0,1.4,49,0.1,1.7,46,0.1,1.8,12,0,21.1,0,0,0,97,0.2,13.4,1,0,0.6,1,0,4.2,0,0,0,6,0,9.5,2,0,0.1,240,0.4,2.1
State,Sikkim,5.61,0,0,0,1,0.2,0.1,8,1.4,0.3,0,0,0,0,0,0,1,0.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.9,0.1,15,2.7,0.1
State,Tamil Nadu,635.87,14,0,13.6,46,0.1,3.8,47,0.1,1.6,37,0.1,1.4,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0,4.8,23,0,0.6,177,0.3,1.5
State,Tripura,32.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,Uttar Pradesh,1743.8,19,0,18.4,439,0.3,36.2,301,0.2,10.2,561,0.3,21.8,3,0,5.3,2,0,8,0,0,0,28,0,16.4,0,0,0,0,0,0,4,0,6.3,345,0.2,9.3,1702,1,14.6
State,Uttaranchal,88.25,0,0,0,3,0,0.2,11,0.1,0.4,2,0,0.1,0,0,0,0,0,0,0,0,0,7,0.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,23,0.3,0.2
State,West Bengal,828.33,0,0,0,2,0,0.2,16,0,0.5,32,0,1.2,0,0,0,0,0,0,0,0,0,12,0,7,18,0,75,6,0,16.7,1,0,1.6,61,0.1,1.6,148,0.2,1.3
State,Total (States),10505.89,103,0,100,1175,0.1,96.9,2793,0.3,94.7,2298,0.2,89.4,55,0,96.5,25,0,100,672,0.1,93.1,171,0,100,24,0,100,36,0,100,62,0,98.4,3644,0.3,98.5,11058,1.1,95.1
Union Territory,A & N Islands,3.73,0,0,0,1,0.3,0.1,2,0.5,0.1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.1,6,1.6,0.1
Union Territory,Chandigarh,9.55,0,0,0,3,0.3,0.2,9,0.9,0.3,14,1.5,0.5,0,0,0,0,0,0,11,1.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.1,40,4.2,0.3
Union Territory,D & N Haveli,2.33,0,0,0,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0
Union Territory,Daman & Diu,1.68,0,0,0,0,0,0,4,2.4,0.1,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6,0,6,3.6,0.1
Union Territory,Delhi,148.28,0,0,0,32,0.2,2.6,140,0.9,4.7,255,1.7,9.9,2,0,3.5,0,0,0,39,0.3,5.4,0,0,0,0,0,0,0,0,0,1,0,1.6,47,0.3,1.3,516,3.5,4.4
Union Territory,Lakshadweep,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.6,0,1,1.6,0
Union Territory,Pondicherry,10.05,0,0,0,1,0.1,0.1,1,0.1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.1,5,0.5,0
Union Territory,Total (UTs),176.25,0,0,0,37,0.2,3.1,156,0.9,5.3,273,1.5,10.6,2,0,3.5,0,0,0,50,0.3,6.9,0,0,0,0,0,0,0,0,0,1,0,1.6,56,0.3,1.5,575,3.3,4.9
Total (All-India),Total (All-India),10682.14,103,0,100,1212,0.1,100,2949,0.3,100,2571,0.2,100,57,0,100,25,0,100,722,0.1,100,171,0,100,24,0,100,36,0,100,63,0,100,3700,0.3,100,11633,1.1,100
City,Agra,13.21,0,0,0,3,0.2,3.1,3,0.2,0.6,8,0.6,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1.7,4.7,36,2.7,1.9
City,Ahmedabad,45.19,0,0,0,1,0,1,1,0,0.2,5,0.1,0.8,2,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,9.4,53,1.2,2.9
City,Allahabad,10.5,0,0,0,3,0.3,3.1,0,0,0,1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0.2
City,Amritsar,10.11,0,0,0,0,0,0,4,0.4,0.9,13,1.3,2.1,2,0.2,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.6,1.3,25,2.5,1.3
City,Asansol,10.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bangalore,56.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Bhopal,14.55,0,0,0,1,0.1,1,37,2.5,8,18,1.2,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3.8,3
City,Chennai,64.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Coimbatore,14.46,0,0,0,0,0,0,1,0.1,0.2,3,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.6,7,0.5,0.4
City,Delhi (CITY),127.91,0,0,0,24,0.2,24.7,108,0.8,23.4,200,1.6,32,0,0,0,0,0,0,37,0.3,24.7,0,0,0,0,0,0,0,0,0,1,0,50,44,0.3,9.4,414,3.2,22.3
City,Dhanbad,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
City,Faridabad,10.55,0,0,0,1,0.1,1,6,0.6,1.3,8,0.8,1.3,1,0.1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.3,0.6,19,1.8,1
City,Hyderabad,55.34,0,0,0,0,0,0,18,0.3,3.9,3,0.1,0.5,0,0,0,0,0,0,34,0.6,22.7,0,0,0,0,0,0,0,0,0,1,0,50,0,0,0,56,1,3
City,Indore,16.39,0,0,0,4,0.2,4.1,8,0.5,1.7,4,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.8,2.8,29,1.8,1.6
City,Jabalpur,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
City,Jaipur,23.24,0,0,0,5,0.2,5.2,5,0.2,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.4,0.5
City,Jamshedpur,11.02,0,0,0,1,0.1,1,8,0.7,1.7,4,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1.2,0.7
City,Kanpur,26.9,0,0,0,2,0.1,2.1,0,0,0,2,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0.2
City,Kochi,13.55,0,0,0,1,0.1,1,3,0.2,0.6,3,0.2,0.5,0,0,0,0,0,0,0,0,0,3,0.2,18.8,0,0,0,0,0,0,0,0,0,2,0.1,0.4,12,0.9,0.6
City,Kolkata,132.17,0,0,0,2,0,2.1,16,0.1,3.5,32,0.2,5.1,0,0,0,0,0,0,0,0,0,12,0.1,75,18,0.1,78.3,2,0,66.7,0,0,0,39,0.3,8.3,121,0.9,6.5
City,Lucknow,22.67,0,0,0,8,0.4,8.2,7,0.3,1.5,17,0.7,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1.1,5.5,58,2.6,3.1
City,Ludhiana,13.95,0,0,0,3,0.2,3.1,27,1.9,5.8,46,3.3,7.4,0,0,0,0,0,0,7,0.5,4.7,0,0,0,0,0,0,0,0,0,0,0,0,7,0.5,1.5,90,6.5,4.8
City,Madurai,11.95,0,0,0,0,0,0,0,0,0,1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1
City,Meerut,11.67,0,0,0,5,0.4,5.2,4,0.3,0.9,9,0.8,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.5,1.3,24,2.1,1.3
City,Mumbai,163.68,0,0,0,1,0,1,102,0.6,22.1,35,0.2,5.6,1,0,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.2,7.7,175,1.1,9.4
City,Nagpur,21.23,0,0,0,4,0.2,4.1,18,0.8,3.9,27,1.3,4.3,1,0,14.3,0,0,0,9,0.4,6,0,0,0,0,0,0,1,0,33.3,0,0,0,55,2.6,11.7,115,5.4,6.2
City,Nasik,11.52,0,0,0,3,0.3,3.1,7,0.6,1.5,7,0.6,1.1,0,0,0,1,0.1,100,16,1.4,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,3,1.8
City,Patna,17.07,0,0,0,0,0,0,1,0.1,0.2,2,0.1,0.3,0,0,0,0,0,0,1,0.1,0.7,1,0.1,6.3,0,0,0,0,0,0,0,0,0,1,0.1,0.2,6,0.4,0.3
City,Pune,37.56,0,0,0,3,0.1,3.1,32,0.9,6.9,21,0.6,3.4,0,0,0,0,0,0,21,0.6,14,0,0,0,5,0.1,21.7,0,0,0,0,0,0,125,3.3,26.6,207,5.5,11.2
City,Rajkot,10.02,0,0,0,2,0.2,2.1,4,0.4,0.9,29,2.9,4.6,0,0,0,0,0,0,5,0.5,3.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0.5,1.1,45,4.5,2.4
City,Surat,28.11,0,0,0,5,0.2,5.2,20,0.7,4.3,54,1.9,8.6,0,0,0,0,0,0,12,0.4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3.2,4.9
City,Vadodara,14.92,0,0,0,4,0.3,4.1,6,0.4,1.3,34,2.3,5.4,0,0,0,0,0,0,7,0.5,4.7,0,0,0,0,0,0,0,0,0,0,0,0,9,0.6,1.9,60,4,3.2
City,Varanasi,12.12,0,0,0,3,0.2,3.1,4,0.3,0.9,2,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.4,11,0.9,0.6
City,Vijayawada,10.11,0,0,0,6,0.6,6.2,6,0.6,1.3,22,2.2,3.5,0,0,0,0,0,0,1,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,22,2.2,4.7,57,5.6,3.1
City,Vishakhapatnam,13.29,0,0,0,2,0.2,2.1,6,0.5,1.3,15,1.1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1.7,1.2
City,Total (Cities),1078.8,0,0,0,97,0.1,100,462,0.4,100,625,0.6,100,7,0,100,1,0,100,150,0.1,100,16,0,100,23,0,100,3,0,100,2,0,100,470,0.4,100,1856,1.7,100
