States/ UTs,District,Murder (Sec.302 & 303 IPC),Attempt To Commit Murder (Sec.307 IPC),C.H. Not Amounting to Murder (Sec.304 &308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) - Custodial,Rape (Sec.376 IPC) - Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 –402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 –460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143- 145, 147- 151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","Counter- Feiting (Sec. 231-254, 489A- 489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323- 333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Assam,Golaghat,65,15,1,42,0,42,61,50,11,15,0,25,89,247,49,198,54,13,32,2,29,258,0,46,0,86,0,156,240,1476
Assam,Guwahati City,50,18,16,59,0,59,167,97,70,20,42,77,564,1129,987,142,74,125,147,22,15,345,5,169,0,216,0,135,3768,7163
Assam,Hailakandi,27,0,0,39,0,39,61,52,9,16,2,5,72,122,13,109,343,14,22,7,14,28,3,8,0,62,0,21,305,1171
Assam,Jorhat,51,24,17,44,0,44,54,41,13,5,0,15,106,269,85,184,16,17,41,2,10,297,0,59,0,76,0,88,326,1517
Assam,Kamrup,46,23,19,36,0,36,113,78,35,11,25,55,265,704,211,493,34,45,47,3,35,195,3,75,0,101,0,111,483,2429
Assam,Karbi Anglong,55,16,0,16,0,16,25,12,13,11,0,9,32,141,34,107,35,10,12,4,8,31,1,7,0,16,0,67,188,684
Assam,Karimganj,27,13,0,19,0,19,49,44,5,6,0,8,54,105,6,99,228,7,15,1,8,120,5,10,0,99,0,32,240,1046
Assam,Kokrajhar,53,32,0,55,0,55,51,24,27,5,0,8,39,173,19,154,38,9,25,4,12,82,4,16,0,58,0,74,164,902
Assam,Lakhimpur,41,6,3,52,0,52,91,71,20,4,0,9,90,177,11,166,17,11,28,1,16,551,1,24,0,160,0,114,509,1905
Assam,Morigaon,20,9,3,75,0,75,68,68,0,9,0,12,61,169,10,159,64,5,50,1,6,510,4,57,0,114,0,46,146,1429
Assam,N.C.hills,42,14,0,4,0,4,14,9,5,0,0,2,15,43,1,42,2,1,2,0,2,7,0,1,0,3,0,15,66,233
Assam,Nagaon,83,41,2,112,0,112,215,209,6,44,0,74,233,354,80,274,271,96,49,3,51,458,9,200,0,371,0,187,1441,4294
Assam,Nalbari,31,29,1,30,0,30,55,47,8,6,1,33,81,144,35,109,10,4,16,2,9,321,6,42,0,54,0,37,271,1183
Assam,R.P.O.,3,0,0,5,0,5,3,3,0,5,0,0,1,13,0,13,3,1,0,0,2,5,0,1,0,0,0,0,46,88
Assam,Sibsagar,108,7,0,46,0,46,111,94,17,3,0,22,156,500,65,435,44,28,73,3,24,234,4,27,0,139,0,35,712,2276
Assam,Sonitpur,94,31,1,56,0,56,136,125,11,7,0,20,167,451,64,387,87,28,45,2,2,83,6,34,0,294,0,206,1029,2779
Assam,Tinsukia,114,0,0,60,0,60,87,60,27,17,0,21,115,682,41,641,16,59,31,2,12,159,2,8,0,84,0,57,807,2333
Assam,Udalguri,56,3,0,42,0,42,57,27,30,14,0,16,65,108,6,102,95,4,18,1,46,34,0,7,0,38,0,4,260,868
Assam,Total,1426,417,71,1438,0,1438,2239,1789,450,312,74,568,3147,8012,2101,5911,2600,680,996,91,443,6107,103,1272,2,3478,0,2259,17598,53333
Bihar,Araria,50,37,10,37,0,37,40,30,10,49,0,51,57,234,21,213,214,30,42,0,61,371,3,35,0,92,2,31,1461,2907
Bihar,Arwal,28,0,0,2,0,2,12,10,2,1,0,4,11,57,2,55,26,11,21,0,0,0,13,0,0,8,0,67,433,694
Bihar,Aurangabad,92,27,8,30,0,30,56,38,18,28,1,24,115,307,18,289,445,19,165,1,25,1487,32,13,0,65,0,151,290,3381
Bihar,Bagaha,26,8,2,15,0,15,49,36,13,6,0,17,66,217,5,212,133,14,44,4,7,477,11,14,0,36,0,32,1261,2439
Bihar,Banka,70,56,6,49,0,49,46,38,8,14,1,24,85,143,7,136,168,12,26,1,24,484,23,16,0,24,0,0,576,1848
Bihar,Begusarai,101,170,9,25,0,25,110,34,76,18,1,67,69,275,39,236,225,70,78,0,19,397,41,3,0,56,0,160,1362,3256
Bihar,Bettiah,64,33,8,28,0,28,51,49,2,7,1,18,57,243,16,227,261,66,35,16,26,55,33,0,4,96,0,133,2077,3312
Bihar,Bhabhua,40,38,0,8,0,8,37,19,18,6,0,14,68,193,14,179,148,33,45,1,6,141,19,10,0,26,1,82,847,1763
Bihar,Bhagalpur,90,81,13,35,0,35,133,98,35,10,0,34,130,699,139,560,259,35,105,3,21,621,27,35,5,120,0,80,1777,4313
Bihar,Bhojpur,138,167,2,18,0,18,72,47,25,16,0,49,94,314,64,250,191,106,164,0,48,1635,57,31,1,122,0,140,501,3866
Bihar,Buxar,52,61,6,11,0,11,26,18,8,9,1,24,52,284,44,240,143,26,24,4,23,116,29,20,0,19,0,46,520,1496
Bihar,Darbhanga,76,154,6,67,0,67,123,80,43,19,0,15,68,320,10,310,50,129,150,4,34,159,48,53,0,45,0,102,2178,3800
Bihar,Gaya,136,60,12,52,0,52,90,77,13,35,0,63,124,494,169,325,544,32,151,0,26,456,43,8,0,40,3,212,1598,4179
Bihar,Gopalganj,74,93,6,23,0,23,80,63,17,16,0,41,50,144,55,89,201,4,65,0,17,68,36,27,0,110,0,194,1356,2605
Bihar,Jamalpur RLY.,10,0,0,1,0,1,4,0,4,8,1,3,0,123,8,115,7,0,1,0,0,0,1,0,0,0,0,0,64,223
Bihar,Jamui,56,127,3,17,0,17,38,21,17,16,6,21,38,138,13,125,163,5,47,0,21,756,32,25,0,41,0,32,206,1788
Bihar,Jehanabad,35,10,5,6,0,6,38,19,19,15,0,18,25,132,9,123,127,3,10,0,0,20,23,0,0,17,0,52,988,1524
Bihar,Katihar,63,13,2,120,0,120,103,66,37,16,5,23,61,152,28,124,146,19,85,0,17,765,15,12,0,28,0,85,1128,2858
Bihar,Katihar RLY.,6,11,2,2,0,2,9,2,7,4,1,9,8,232,2,230,21,3,8,0,0,33,0,5,0,1,0,2,110,467
Bihar,Khagaria,55,63,0,16,0,16,48,17,31,7,0,17,16,99,29,70,201,13,17,2,11,219,9,2,0,13,0,63,955,1826
Bihar,Kishanganj,32,42,0,30,0,30,33,26,7,7,1,17,46,169,16,153,125,5,4,1,4,426,8,0,0,23,0,35,308,1316
Bihar,Lakhisarai,41,67,0,35,0,35,34,17,17,7,0,23,36,133,2,131,72,16,33,0,4,237,11,23,2,12,0,52,349,1187
Bihar,Madhepura,34,7,6,16,0,16,45,30,15,7,0,33,42,140,29,111,159,25,11,0,7,57,16,10,0,12,0,23,1050,1700
Bihar,Madhubani,62,72,6,24,0,24,51,36,15,24,4,26,85,345,5,340,285,21,30,0,16,214,24,182,0,51,0,162,3770,5454
Bihar,Motihari,120,306,79,34,0,34,121,83,38,27,0,50,113,474,110,364,323,13,9,4,21,1876,45,14,0,12,0,126,833,4600
Bihar,Munger,85,92,0,20,0,20,61,31,30,6,1,43,36,312,85,227,189,20,22,0,3,85,14,2,0,40,0,53,815,1899
Bihar,Muzaffarpur,138,11,18,28,0,28,136,97,39,35,8,50,209,875,226,649,316,66,126,5,33,5,75,15,0,90,0,56,3383,5678
Bihar,Muzaffarpur RLY.,16,0,0,2,0,2,4,0,4,4,0,12,16,300,19,281,9,0,13,2,0,0,0,0,0,1,0,15,215,609
Bihar,Nalanda,120,53,17,23,0,23,100,56,44,10,0,23,82,397,65,332,190,73,76,3,25,1085,70,36,0,77,0,283,1472,4215
Bihar,Naugachia,33,15,2,8,0,8,29,6,23,2,0,4,3,65,2,63,106,59,62,0,5,101,5,35,0,65,0,51,873,1523
Bihar,Nawadah,76,8,0,28,0,28,48,26,22,10,1,24,28,151,19,132,128,40,35,1,3,401,24,10,1,36,1,80,613,1747
Bihar,Patna,341,189,28,57,0,57,341,78,263,63,0,312,647,1455,880,575,428,46,318,5,6,93,99,31,1,189,0,781,9061,14491
Bihar,Patna RLY.,24,13,3,0,0,0,11,4,7,9,0,12,3,601,36,565,18,3,19,1,0,0,2,7,0,1,0,0,212,939
Bihar,Purnea,81,20,39,185,0,185,139,88,51,29,6,30,163,242,48,194,187,36,151,0,38,478,3,73,0,81,0,137,684,2802
Bihar,Rohtas,112,19,0,21,0,21,63,55,8,22,0,49,120,439,24,415,154,38,97,0,29,165,36,15,0,42,0,255,2267,3943
Bihar,Saharsa,30,139,4,22,0,22,41,20,21,13,0,70,38,131,10,121,267,49,59,1,15,304,17,75,0,21,0,50,809,2155
Bihar,Samastipur,81,292,31,32,0,32,74,62,12,8,11,28,75,381,49,332,253,25,34,0,41,315,60,15,5,52,15,303,1285,3416
Bihar,Saran,119,137,14,34,0,34,98,58,40,29,2,60,101,455,55,400,266,55,95,0,39,1014,58,10,0,41,0,121,802,3550
Bihar,Sheikhpura,22,27,5,9,0,9,25,14,11,2,0,7,7,85,8,77,101,1,33,0,6,46,7,1,0,10,0,26,600,1020
Bihar,Sheohar,9,17,0,7,0,7,19,11,8,5,0,9,12,44,7,37,70,7,16,0,1,171,7,4,0,13,0,5,130,546
Bihar,Sitamarhi,72,37,6,12,0,12,70,43,27,26,0,36,76,311,95,216,59,11,20,0,27,316,24,18,0,12,0,53,2049,3235
Bihar,Siwan,74,65,10,24,0,24,67,35,32,22,3,72,79,231,85,146,125,19,90,5,32,763,31,9,2,54,0,85,590,2452
Bihar,Supaul,49,88,2,53,0,53,54,37,17,6,2,31,74,181,16,165,315,34,85,1,11,121,15,71,0,68,0,29,688,1978
Bihar,Vaishali,106,29,16,36,0,36,218,114,104,13,3,35,129,489,92,397,281,60,20,4,20,111,64,34,0,30,0,147,1824,3669
Chhattisgarh,Total,3139,2954,386,1302,0,1302,3047,1789,1258,686,60,1592,3414,13206,2675,10531,8099,1352,2741,69,772,16644,1210,999,21,1992,22,4592,54370,122669
Chhattisgarh,Balrampur,49,12,1,41,0,41,7,5,2,4,2,20,46,33,1,32,32,0,4,2,6,222,3,43,0,24,0,58,165,774
Chhattisgarh,Bilaspur,112,48,0,71,0,71,33,25,8,6,2,55,610,869,307,562,211,11,74,7,31,1741,19,171,4,136,0,275,1851,6337
Chhattisgarh,Bizapur,95,82,1,5,0,5,8,2,6,11,0,6,8,4,0,4,18,0,1,0,12,9,0,5,0,1,0,14,88,368
Chhattisgarh,Dantewara,69,84,0,10,0,10,8,7,1,25,3,1,44,47,13,34,28,0,8,0,20,43,1,17,1,3,0,33,278,723
Chhattisgarh,Dhamtari,23,16,0,26,0,26,4,4,0,5,0,11,152,151,52,99,34,0,20,0,8,74,3,47,4,19,0,114,841,1552
Chhattisgarh,Durg,83,39,4,109,0,109,18,12,6,5,1,61,593,822,323,499,54,15,69,8,25,385,11,218,17,118,0,360,3580,6595
Chhattisgarh,Grp Raipur,5,1,0,2,0,2,0,0,0,0,0,4,7,195,20,175,1,0,2,0,0,14,0,4,2,0,0,1,63,301
Chhattisgarh,Jagdalpur,73,46,1,68,0,68,13,11,2,11,0,13,112,128,55,73,55,3,18,5,9,214,2,49,2,23,0,149,1315,2309
Chhattisgarh,Janjgir,36,31,1,47,0,47,8,7,1,3,0,34,270,319,86,233,100,5,23,9,17,180,14,135,12,123,0,137,1507,3011
Chhattisgarh,Jashpur,65,16,0,71,0,71,46,41,5,6,2,24,87,126,26,100,27,0,16,2,6,98,0,56,3,19,0,84,516,1270
Chhattisgarh,Kabirdham,11,18,0,29,0,29,5,4,1,3,0,13,120,141,20,121,50,6,21,0,11,642,5,79,6,23,0,58,479,1720
Chhattisgarh,Kanker,54,53,1,15,0,15,10,7,3,14,0,13,76,77,13,64,26,3,6,1,19,31,4,26,3,13,0,74,543,1062
Chhattisgarh,Korba,38,12,0,31,0,31,12,9,3,4,1,36,147,293,133,160,39,4,26,4,5,624,5,68,10,42,0,196,918,2515
Chhattisgarh,Koriya,48,22,0,54,0,54,5,5,0,4,0,13,209,159,27,132,28,7,14,0,15,557,2,93,6,34,0,59,469,1798
Chhattisgarh,Mahasamund,19,13,1,24,0,24,8,7,1,1,0,5,120,155,37,118,20,11,19,3,9,200,6,57,4,27,0,160,631,1493
Chhattisgarh,Narayanpur,18,49,0,1,0,1,1,0,1,7,0,0,3,8,4,4,1,1,0,0,7,14,0,0,0,0,0,8,33,151
Chhattisgarh,Raigarh,89,24,0,30,0,30,10,7,3,2,0,28,237,448,162,286,109,23,25,3,18,643,7,74,8,45,0,158,964,2945
Chhattisgarh,Raipur,112,91,1,128,0,128,46,36,10,5,5,85,823,1525,672,853,183,60,138,21,51,2328,11,247,34,124,0,533,3430,9981
Chhattisgarh,Rajnandgaon,47,33,4,60,0,60,12,12,0,2,1,23,251,288,81,207,42,7,36,4,14,99,7,72,5,57,0,153,2035,3252
Chhattisgarh,Sarguja,65,27,1,78,0,78,9,8,1,2,0,30,87,162,65,97,44,2,30,1,13,77,3,89,3,27,0,89,966,1805
Chhattisgarh,Surajpur,58,19,2,78,0,78,10,7,3,4,0,25,110,129,25,104,42,11,12,1,6,370,3,71,1,39,0,87,402,1480
Chhattisgarh,Total,1169,736,18,978,0,978,273,216,57,124,17,500,4112,6079,2122,3957,1144,169,562,71,302,8565,106,1621,125,897,0,2800,21074,51442
Goa,North Goa,26,14,8,15,0,15,19,17,2,2,0,8,150,360,128,232,43,30,57,13,6,94,0,15,2,5,0,134,488,1489
Goa,South Goa,23,11,3,15,0,15,17,11,6,1,0,15,152,241,110,131,59,17,48,9,21,91,2,17,10,7,0,96,398,1253
Goa,Total,49,25,11,30,0,30,36,28,8,3,0,23,302,601,238,363,102,47,105,22,27,185,2,32,12,12,0,230,886,2742
Gujarat,Ahmedabad Commr.,85,60,0,44,0,44,172,137,35,14,2,538,778,5485,3239,2246,168,223,200,14,1,1335,1,78,19,1185,0,242,7900,18544
Gujarat,Ahmedabad Rural,36,20,0,3,0,3,36,35,1,14,1,37,114,354,124,230,61,45,9,3,9,236,1,16,0,67,0,321,2021,3404
Gujarat,Ahwa-dang,7,2,0,3,0,3,2,2,0,0,0,0,2,13,4,9,2,2,2,0,0,27,0,2,0,11,0,13,143,231
Gujarat,Amreli,22,6,1,8,0,8,60,58,2,0,1,6,127,218,69,149,34,50,8,6,10,305,0,31,3,128,0,133,1234,2391
Gujarat,Anand,40,10,2,11,0,11,51,45,6,12,0,16,121,508,172,336,39,64,10,7,14,342,0,25,2,170,0,224,2126,3794
Gujarat,Bharuch,36,15,1,13,0,13,34,29,5,13,0,22,157,371,121,250,51,76,14,4,41,218,0,13,2,114,0,280,1600,3075
Gujarat,Bhavnagar,35,33,3,9,0,9,90,80,10,11,0,52,224,857,328,529,134,40,73,11,13,132,0,69,51,197,0,0,3824,5858
Gujarat,Dahod,44,21,3,13,0,13,43,40,3,33,1,55,98,167,89,78,61,8,4,1,31,347,0,33,0,63,0,0,782,1808
Gujarat,Gandhinagar,32,12,0,8,0,8,44,35,9,6,0,34,150,606,250,356,42,19,40,9,6,271,3,18,2,200,0,211,3095,4808
Gujarat,Himatnagar,38,13,1,16,0,16,37,34,3,11,0,19,83,206,71,135,64,31,33,12,17,209,0,22,0,217,0,266,3592,4887
Gujarat,Jamnagar,34,12,3,17,0,17,30,25,5,14,0,22,150,410,162,248,79,22,27,4,15,422,0,14,1,239,0,7,3810,5332
Gujarat,Junagadh,33,20,0,5,0,5,48,43,5,13,0,49,221,719,268,451,79,84,46,7,25,463,3,66,3,456,0,186,2762,5288
Gujarat,Kheda North,36,11,0,8,0,8,41,39,2,5,0,13,114,393,81,312,39,25,35,9,23,383,0,40,0,219,0,247,3624,5265
Gujarat,Kutch,40,8,1,16,0,16,44,42,2,4,1,34,297,656,254,402,73,35,52,7,14,418,1,26,6,334,0,295,2579,4941
Gujarat,Mehsana,29,18,1,9,0,9,54,48,6,10,0,33,211,652,215,437,84,49,34,6,9,838,0,33,1,289,0,185,2059,4604
Gujarat,Narmada,11,3,5,7,0,7,7,7,0,0,0,1,18,38,13,25,7,2,3,2,4,118,0,8,1,12,0,63,500,810
Gujarat,Navsari,25,3,1,2,0,2,9,4,5,0,0,5,26,84,46,38,10,14,5,4,3,35,0,1,1,5,0,0,762,995
Gujarat,Palanpur,42,16,1,37,0,37,43,43,0,9,0,31,206,413,137,276,67,18,35,6,23,1109,1,34,0,201,0,174,1641,4107
Gujarat,Panchmahal,40,13,1,8,0,8,55,53,2,3,0,13,99,208,84,124,29,34,25,0,27,303,0,29,2,148,0,0,2286,3323
