Sl. No.,Crime Head,Incidence - 1998,Rate of crime - 1998,Incidence - 2003,Rate of crime - 2003,Incidence - 2004,Rate of crime - 2004,Incidence - 2005@@,Rate of crime - 2005@@,Incidence - 2006,Rate of crime - 2006,Incidence - 2007,Rate of crime - 2007,Incidence - Quinquennial Average (2003-2007) (Q.A),Rate of crime - Quinquennial Average (2003-2007) (Q.A),Incidence - 2008#,Rate of crime - 2008#,Percentage Change In 2008[(+) Increase/(-) Decrease] Over - 1998,Percentage Change In 2008[(+) Increase/(-) Decrease] Over - Q.A,Percentage Change In 2008[(+) Increase/(-) Decrease] Over - 2007,Note of Incidence - 1998,Note of Rate of crime - 1998,Note of Percentage Change In 2008[(+) Increase/(-) Decrease] Over - 1998,Note of Percentage Change In 2008[(+) Increase/(-) Decrease] Over - 2007
10,Protection Of Civil Rights Act - (i) PCR Act For SCs,NA,NA,634,0.1,364,0,291,0,405,0,206,0,380,0,248,0,NA,-34.7,20.4,*,*,NA,NA
10,Protection Of Civil Rights Act - (ii) PCR Act For STs,NA,NA,37,0,11,0,162,0,49,0,5,0,53,0,6,0,NA,-88.6,20,*,*,NA,NA
11,Indian Passport Act,396,0,555,0.1,807,0.1,1120,0.1,940,0.1,984,0.1,881,0.1,1045,0.1,163.9,18.6,6.2,NA,NA,NA,NA
12,Essential Commodities Act,5675,0.6,4201,0.4,4871,0.4,7216,0.7,8319,0.7,7965,0.7,6514,0.6,9106,0.8,60.5,39.8,14.3,NA,NA,NA,NA
13,Terrorist & Disruptive Activities Act,0,0,85,0,66,0,54,0,0,0,0,0,41,0,0,0,0,-100,0,NA,NA,NA,NA
14,Antiquities & Art Treasures Act,38,0,37,0,85,0,68,0,31,0,49,0,54,0,34,0,-10.5,-37,-30.6,NA,NA,NA,NA
15,Dowry Prohibition Act,3578,0.4,2684,0.3,3592,0.3,3204,0.3,4504,0.4,5623,0.5,3921,0.4,5555,0.5,55.3,41.7,-1.2,NA,NA,NA,NA
16,Child Marriage Restraint Act,56,0,63,0,93,0,122,0,99,0,96,0,95,0,104,0,85.7,9.9,8.3,NA,NA,NA,NA
17,Indecent Representation Of Women (p) Act,190,0,1043,0.1,1378,0.1,2917,0.3,1562,0.1,1200,0.1,1620,0.1,1025,0.1,439.5,-36.7,-14.6,NA,NA,NA,NA
18,Copyright Act,1444,0.1,5378,0.5,6290,0.6,6846,0.6,7188,0.6,6628,0.6,6466,0.6,6036,0.5,318,-6.7,-8.9,NA,NA,NA,NA
19,Sati Prevention Act,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,NA,400,NA,NA,NA,@,@
20,SC/ST (prevention Of Atrocities) Act - Total,14622,1.5,9388,0.9,10066,0.9,9780,0.9,9813,0.9,10923,1,9994,0.9,12624,1.1,-13.7,26.3,15.6,NA,NA,NA,NA
20,SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,NA,NA,8048,0.8,8891,0.8,8497,0.8,8581,0.8,9819,0.9,8767,0.8,11602,1,NA,32.3,18.2,*,*,NA,NA
20,SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,NA,NA,1340,0.1,1175,0.1,1283,0.1,1232,0.1,1104,0.1,1227,0.1,1022,0.1,NA,-16.7,-7.4,*,*,NA,NA
21,Forest Act,4927,0.5,3707,0.3,3818,0.4,4168,0.4,4347,0.4,4682,0.4,4144,0.4,5090,0.4,3.3,22.8,8.7,NA,NA,NA,NA
22,Other SLL Crimes,3468783,357.3,2818588,263.9,3313146,305.2,2385441,216.3,2431588,217.1,2918947,256.8,2773542,251.9,3007923,260.8,-13.3,8.5,3,NA,NA,NA,NA
23,Total Cognizable Crimes Under SLL,4403288,453.5,3778694,353.7,4196766,386.6,3203735,290.5,3224167,287.9,3743734,329.4,3629419,329.6,3844725,333.4,-12.7,5.9,2.7,NA,NA,NA,NA
