Sl. No.,Category,States/ UTs/ Cities,"No. of Vehicles - Motor Cycles, Scooters - S","No. of Vehicles - Motor Cycles, Scooters - R","No. of Vehicles - Motor Cycles, Scooters - C",No. of Vehicles - Motor Car / Taxi / Jeep - S,No. of Vehicles - Motor Car / Taxi / Jeep - R,No. of Vehicles - Motor Car / Taxi / Jeep - C,No. of Vehicles - Buses - S,No. of Vehicles - Buses - R,No. of Vehicles - Buses - C,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - S,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - R,No. of Vehicles - Goods Carrying Vehicles (Trucks / Tempos Etc.) - C,No. of Vehicles - Other Motor Vehicles - S,No. of Vehicles - Other Motor Vehicles - R,No. of Vehicles - Other Motor Vehicles - C,No. of Vehicles - Total Motor Vehicles - S,No. of Vehicles - Total Motor Vehicles - R,No. of Vehicles - Total Motor Vehicles - C
31,Union Territory,D & N Haveli,8,3,0,1,0,0,0,0,0,8,0,0,2,1,0,19,4,0
32,Union Territory,Daman & Diu,24,11,0,8,3,0,0,0,0,1,0,0,0,0,0,33,14,0
33,Union Territory,Delhi,5936,754,4,4388,486,1,8,1,0,181,13,0,514,86,168,11027,1340,173
34,Union Territory,Lakshadweep,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
35,Union Territory,Puducherry,418,147,0,13,2,0,0,0,0,7,3,0,5,4,0,443,156,0
Union Territory,Union Territory,Total (UTs),7059,1057,5,4836,599,1,10,2,0,201,17,0,522,91,168,12628,1766,174
Total (All India),Total (All India),Total (All India),95607,23439,5009,17440,3514,624,197,91,16,1945,651,177,4478,1689,377,119667,29384,6203
36,City,Agra,990,126,126,112,19,19,0,0,0,1,0,0,30,5,5,1133,150,150
37,City,Ahmedabad,2907,341,20,222,23,1,2,0,0,1,0,0,107,75,3,3239,439,24
38,City,Allahabad,264,44,0,25,4,0,0,0,0,0,0,0,0,0,0,289,48,0
39,City,Amritsar,111,62,160,89,20,14,0,0,0,11,7,4,0,0,6,211,89,184
40,City,Asansol,95,25,0,0,0,0,0,0,0,0,0,0,25,2,0,120,27,0
41,City,Bengaluru,4645,662,38,502,104,2,0,0,0,0,0,0,408,93,0,5555,859,40
42,City,Bhopal,1183,338,0,91,39,0,0,0,0,11,7,0,5,4,0,1290,388,0
43,City,Chennai,228,127,127,26,21,21,0,0,0,8,8,8,7,6,6,269,162,162
44,City,Coimbatore,147,141,141,18,16,16,0,0,0,1,1,1,0,0,0,166,158,158
45,City,Delhi (city),5537,690,4,4203,457,1,2,1,0,62,5,0,459,75,168,10263,1228,173
46,City,Dhanbad,136,33,0,10,2,0,0,0,0,0,0,0,2,0,0,148,35,0
47,City,Faridabad,463,77,0,138,41,0,3,2,0,75,20,0,12,5,0,691,145,0
48,City,Hyderabad,1682,524,0,110,64,0,0,0,0,0,0,0,137,64,0,1929,652,0
49,City,Indore,3030,268,268,84,10,10,0,0,0,36,3,3,4,0,0,3154,281,281
50,City,Jabalpur,472,90,0,5,5,0,0,0,0,0,0,0,68,12,0,545,107,0
51,City,Jaipur,2693,317,87,501,108,40,1,1,0,22,15,0,36,14,0,3253,455,127
52,City,Jamshedpur,257,20,0,43,5,0,0,0,0,0,0,0,0,0,0,300,25,0
53,City,Kanpur,593,97,0,111,15,0,0,0,0,8,6,0,2,1,0,714,119,0
54,City,Kochi,82,36,2,4,1,0,0,0,0,0,0,0,9,3,1,95,40,3
55,City,Kolkata,398,62,0,136,49,0,0,0,0,12,7,0,0,0,0,546,118,0
56,City,Lucknow,1187,152,0,206,35,0,0,0,0,4,1,0,7,1,0,1404,189,0
57,City,Ludhiana,180,64,64,115,35,35,22,6,6,0,0,0,12,4,4,329,109,109
58,City,Madurai,163,75,0,8,0,0,0,0,0,1,1,0,2,2,0,174,78,0
59,City,Meerut,222,59,0,50,15,0,8,4,0,0,0,0,8,3,0,288,81,0
60,City,Mumbai,2666,104,96,1248,31,24,8,0,0,69,0,0,77,34,29,4068,169,149
61,City,Nagpur,748,218,49,53,14,7,0,0,0,62,16,7,11,6,3,874,254,66
62,City,Nasik,596,66,0,65,4,0,1,0,0,6,1,0,0,0,0,668,71,0
63,City,Patna,768,12,0,62,14,0,0,0,0,0,0,0,22,2,0,852,28,0
64,City,Pune,2859,775,105,262,62,11,1,0,0,41,9,6,99,75,7,3262,921,129
65,City,Rajkot,725,138,138,32,1,1,1,1,1,1,1,1,25,8,8,784,149,149
66,City,Surat,1792,411,0,62,11,0,0,0,0,0,0,0,85,22,0,1939,444,0
67,City,Vadodara,717,180,180,74,25,25,0,0,0,8,2,2,28,6,6,827,213,213
68,City,Varanasi,547,25,0,43,1,0,0,0,0,1,0,0,0,0,0,591,26,0
69,City,Vijayawada,295,133,0,8,3,0,0,0,0,0,0,0,12,9,0,315,145,0
70,City,Vishakhapatnam,287,71,0,2,2,0,0,0,0,0,0,0,14,12,0,303,85,0
City,City,Total (Cities),39665,6563,1605,8720,1256,227,49,15,7,441,110,32,1713,543,246,50588,8487,2117
