Sl. No.,Category,States/ UTs/Cities,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs and Psychotropic Substances Act - Incidence,Narcotic Drugs and Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosives and Explosive Substances Act - Incidence,Explosives and Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,PCR Act (Total SC & ST) - Incidence,PCR Act (Total SC & ST) - Rate,PCR Act for SCs - Incidence,PCR Act for SCs - Rate,PCR Act for STs - Incidence,PCR Act for STs - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Activities Act - Incidence,Terrorist & Disruptive Activities Act - Rate,Antiquities & Art Treasures Act - Incidence,Antiquities & Art Treasures Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Child Marriage Restraint Act - Incidence,Child Marriage Restraint Act - Rate,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Copyright Act - Incidence,Copyright Act - Rate,Sati Prevention Act - Incidence,Sati Prevention Act - Rate,SC/ST (Prev) of Atrocities Act (Total) - Incidence,SC/ST (Prev) of Atrocities Act (Total) - Rate,SC/ST (Prev) of Atrocities Act for SCs - Incidence,SC/ST (Prev.) of Atrocities) Act for SCs - Rate,SC/ST (Prev) of Atrocities Act for STs - Incidence,SC/ST (Prev.) of Atrocities) Act for STs - Rate,Forest Act - Incidence,Forest Act - Rate,Other SLL Crimes # - Incidence,Other SLL Crimes # - Rate,Total Cognizable Crimes Under SLL - Incidence,Total Cognizable Crimes Under SLL - Rate
11,State,Jharkhand,529,1.8,137,0.5,95,0.3,220,0.7,1,0,73,0.2,8,0,5,0,0,0,0,0,0,0,0,0,0,0,109,0.4,0,0,0,0,435,1.4,0,0,0,0,19,0.1,0,0,376,1.2,272,0.9,104,0.3,200,0.7,963,3.2,3170,10.5
12,State,Karnataka,96,0.2,206,0.4,5073,8.8,6581,11.4,0,0,81,0.1,515,0.9,3,0,43,0.1,18,0,18,0,0,0,21,0,438,0.8,0,0,3,0,628,1.1,9,0,0,0,406,0.7,0,0,1418,2.5,1246,2.2,172,0.3,156,0.3,3956,6.9,19651,34.1
13,State,Kerala,402,1.2,508,1.5,1975,5.8,0,0,10176,29.6,413,1.2,187,0.5,4,0,33,0.1,0,0,0,0,0,0,139,0.4,205,0.6,0,0,0,0,5,0,4,0,19,0.1,637,1.9,0,0,53,0.2,51,0.1,2,0,0,0,127028,369.9,141788,412.9
14,State,Madhya Pradesh,12094,17.4,684,1,26284,37.7,24631,35.3,1,0,198,0.3,10,0,5,0,2,0,0,0,0,0,0,0,0,0,356,0.5,0,0,0,0,32,0,2,0,0,0,98,0.1,0,0,0,0,0,0,0,0,30,0,120025,172.2,184452,264.7
15,State,Maharashtra,1034,1,1700,1.6,12243,11.4,0,0,69412,64.7,71,0.1,327,0.3,19,0,31,0,20,0,20,0,0,0,90,0.1,2499,2.3,0,0,2,0,49,0,5,0,1,0,696,0.6,0,0,381,0.4,334,0.3,47,0,41,0,31517,29.4,120138,111.9
16,State,Manipur,19,0.7,28,1.1,2,0.1,0,0,0,0,21,0.8,0,0,0,0,11,0.4,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,38,1086,41.2
17,State,Meghalaya,32,1.3,10,0.4,32,1.3,17,0.7,0,0,7,0.3,3,0.1,0,0,30,1.2,0,0,0,0,0,0,0,0,6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0.7,157,6.2
18,State,Mizoram,28,2.8,27,2.7,54,5.5,0,0,116,11.8,8,0.8,1,0.1,0,0,16,1.6,0,0,0,0,0,0,50,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392,39.8,692,70.3
19,State,Nagaland,103,4.7,86,3.9,1,0,51,2.3,31,1.4,7,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,5.3,398,18.1
20,State,Orissa,467,1.2,114,0.3,750,1.9,7225,18,0,0,132,0.3,29,0.1,1,0,0,0,0,0,0,0,0,0,0,0,163,0.4,0,0,0,0,1316,3.3,1,0,0,0,13,0,0,0,843,2.1,702,1.8,141,0.4,2,0,107,0.3,11163,27.9
21,State,Punjab,899,3.4,5056,18.9,4537,17,8462,31.7,6,0,9,0,43,0.2,6,0,0,0,0,0,0,0,0,0,61,0.2,92,0.3,0,0,1,0,4,0,6,0,0,0,268,1,0,0,79,0.3,79,0.3,0,0,5,0,510,1.9,20044,75.1
22,State,Rajasthan,3811,5.9,1087,1.7,11323,17.4,10386,16,0,0,393,0.6,72,0.1,15,0,10,0,0,0,0,0,0,0,5,0,300,0.5,0,0,0,0,3,0,3,0,107,0.2,527,0.8,0,0,99,0.2,82,0.1,17,0,2362,3.6,9856,15.2,40359,62.1
23,State,Sikkim,1,0.2,12,2,0,0,0,0,0,0,12,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2,0,0,0,0,48,8.1,81,13.6
24,State,Tamil Nadu,146,0.2,1967,3,12636,19,0,0,117410,176.4,284,0.4,687,1,9,0,18,0,3,0,3,0,0,0,411,0.6,154,0.2,0,0,0,0,262,0.4,4,0,4,0,1274,1.9,0,0,1195,1.8,1194,1.8,1,0,8,0,355325,533.7,491797,738.7
25,State,Tripura,24,0.7,45,1.3,12,0.3,0,0,0,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,21,0.6,109,3.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,27,0.8,245,7
26,State,Uttar Pradesh,47725,24.9,14142,7.4,12120,6.3,63185,32.9,0,0,1088,0.6,57,0,24,0,3,0,49,0,49,0,0,0,14,0,2096,1.1,0,0,8,0,324,0.2,0,0,0,0,224,0.1,0,0,3081,1.6,3072,1.6,9,0,1765,0.9,1755807,914.2,1901712,990.2
27,State,Uttarakhand,1014,10.6,280,2.9,442,4.6,2786,29.2,0,0,8,0.1,3,0,22,0.2,11,0.1,0,0,0,0,0,0,6,0.1,65,0.7,0,0,0,0,0,0,0,0,0,0,58,0.6,0,0,25,0.3,25,0.3,0,0,71,0.7,144835,1517.7,149626,1567.9
28,State,West Bengal,1120,1.3,765,0.9,265,0.3,282,0.3,3,0,83,0.1,62,0.1,2,0,1139,1.3,0,0,0,0,0,0,99,0.1,182,0.2,0,0,0,0,68,0.1,6,0,3,0,221,0.3,0,0,13,0,8,0,5,0,14,0,2629,3,6956,7.9
State,State,Total (States),75704,6.7,29933,2.6,155795,13.8,155332,13.7,361863,31.9,4029,0.4,2580,0.2,145,0,1503,0.1,227,0,221,0,6,0,1007,0.1,8890,0.8,0,0,32,0,5526,0.5,103,0,1025,0.1,5860,0.5,1,0,12583,1.1,11565,1,1018,0.1,5090,0.4,3004099,265.2,3831327,338.2
29,Union Territory,A & N Islands,0,0,28,6.7,56,13.5,3843,926,77,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0,0.5,0,2,0,0,891,214.7,4900,1180.7
30,Union Territory,Chandigarh,7,0.7,91,8.5,212,19.8,234,21.8,0,0,2,0.2,7,0.7,0,0,4,0.4,0,0,0,0,0,0,0,0,6,0.6,0,0,0,0,1,0.1,0,0,0,0,9,0.8,0,0,1,0.1,1,0,0.1,0,0,0,31,2.9,605,56.5
31,Union Territory,D & N Haveli,3,1.1,0,0,3,1.1,1,0.4,0,0,1,0.4,3,1.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0,0,0,0,0,0,0,0,0,0,1,0.4,0,0,2,0.8,0,0.8,0,2,0,0,0,0,16,6
32,Union Territory,Daman & Diu,0,0,0,0,6,3.2,0,0,0,0,0,0,6,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6.3
33,Union Territory,Delhi,1218,7.1,591,3.4,141,0.8,2275,13.2,0,0,33,0.2,60,0.3,0,0,17,0.1,0,0,0,0,0,0,38,0.2,152,0.9,0,0,2,0,19,0.1,1,0,0,0,145,0.8,0,0,34,0.2,34,0,0.2,0,0,0,2028,11.8,6754,39.2
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10.1,7,10.1
35,Union Territory,Puducherry,84,7.8,2,0.2,34,3.1,0,0,0,0,2,0.2,3,0.3,0,0,0,0,27,2.5,27,2.5,0,0,0,0,53,4.9,0,0,0,0,9,0.8,0,0,0,0,21,1.9,0,0,2,0.2,2,0,0.2,0,0,0,867,80.3,1104,102.2
Union Territory,Union Territory,Total (UTs),1312,6.5,712,3.5,452,2.2,6353,31.2,77,0.4,38,0.2,79,0.4,0,0,21,0.1,27,0.1,27,0.1,0,0,38,0.2,216,1.1,0,0,2,0,29,0.1,1,0,0,0,176,0.9,0,0,41,0.2,37,0,0.2,4,0,0,3824,18.8,13398,65.9
Total (All-India),Total (All-India),Total (All-India),77016,6.7,30645,2.7,156247,13.5,161685,14,361940,31.4,4067,0.4,2659,0.2,145,0,1524,0.1,254,0,248,0,6,0,1045,0.1,9106,0.8,0,0,34,0,5555,0.5,104,0,1025,0.1,6036,0.5,1,0,12624,1.1,11602,0.1,1,1022,5090,0.4,3007923,260.8,3844725,333.4
36,City,Agra,661,50,237,17.9,550,41.6,156,11.8,0,0,5,0.4,9,0.7,0,0,2,0.2,0,0,0,0,0,0,0,0,27,2,0,0,1,0.1,0,0,0,0,36,0,0,19,1.4,0,46,3.5,46,0,3.5,0,3,0.2,79996,6055.7,81712,6185.6
37,City,Ahmedabad,30,0.7,7,0.2,921,20.4,0,0,8054,178.2,34,0.8,10,0.2,0,0,0,0,0,0,0,0,0,0,0,0,13,0.3,0,0,0,0,0,0,1,0,37,0,0,205,4.5,0,26,0.6,24,0,0.5,2,0,0,2665,59,11966,264.8
38,City,Allahabad,301,28.7,211,20.1,139,13.2,191,18.2,0,0,211,20.1,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,18,1.7,0,0,0,0,5,0.5,0,0,38,0,0,4,0.4,0,0,0,0,0,0,0,4,0.4,64888,6179.8,65974,6283.2
39,City,Amritsar,44,4.4,399,39.5,168,16.6,435,43,0,0,6,0.6,17,1.7,0,0,0,0,0,0,0,0,0,0,25,2.5,9,0.9,0,0,0,0,1,0.1,0,0,39,0,0,53,5.2,0,5,0.5,5,0,0.5,0,0,0,43,4.3,1205,119.2
40,City,Asansol,41,3.8,0,0,3,0.3,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,2,0.2,0,0,40,0,0,8,0.7,0,0,0,0,0,0,0,1,0.1,71,6.5,128,11.7
41,City,Bengaluru,28,0.5,27,0.5,199,3.5,451,7.9,0,0,10,0.2,276,4.9,0,0,41,0.7,41,0.7,41,0.7,0,0,13,0.2,43,0.8,0,0,0,0,372,6.5,0,0,41,0,0,343,6,0,137,2.4,137,0,2.4,0,5,0.1,675,11.9,2661,46.8
42,City,Bhopal,869,59.7,86,5.9,1765,121.3,598,41.1,0,0,2,0.1,3,0.2,0,0,1,0.1,0,0,0,0,0,0,0,0,12,0.8,0,0,0,0,0,0,0,0,42,0,0,9,0.6,0,0,0,0,0,0,0,0,0,40,2.7,3385,232.6
43,City,Chennai,3,0,84,1.3,1106,17.2,0,0,343,5.3,0,0,183,2.8,0,0,3,0,0,0,0,0,0,0,12,0.2,1,0,0,0,0,0,0,0,0,0,43,0,0,230,3.6,0,11,0.2,11,0,0.2,0,0,0,57311,892,59287,922.8
44,City,Coimbatore,4,0.3,93,6.4,171,11.8,0,0,36,2.5,1,0.1,43,3,0,0,2,0.1,0,0,0,0,0,0,13,0.9,3,0.2,0,0,0,0,0,0,0,0,44,1,0.1,88,6.1,0,14,1,14,0,1,0,0,0,2282,157.8,2751,190.2
45,City,Delhi (city),1100,8.6,579,4.5,133,1,1808,14.1,0,0,23,0.2,59,0.5,0,0,16,0.1,0,0,0,0,0,0,38,0.3,127,1,0,0,2,0,16,0.1,1,0,0,0,142,1.1,0,0,31,0.2,31,0,0.2,0,0,0,1844,14.4,5919,46.3
46,City,Dhanbad,10,0.9,2,0.2,11,1,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,18,1.7,0,0,0,0,2,0.2,0,0,8,0.8,5,0.3,0.5,3,0,0,106,10,161,15.1
47,City,Faridabad,295,28,38,3.6,416,39.4,2526,239.4,0,0,11,1,18,1.7,0,0,3,0.3,0,0,0,0,0,0,0,0,90,8.5,0,0,0,0,4,0.4,0,0,0,0,25,2.4,0,0,12,1.1,12,0,1.1,0,0,0,383,36.3,3821,362.2
48,City,Hyderabad,140,2.5,16,0.3,64,1.2,74,1.3,163,2.9,9,0.2,41,0.7,0,0,7,0.1,14,0.3,14,0.3,0,0,12,0.2,0,0,0,0,4,0.1,0,0,1,0,0,0,126,2.3,0,0,68,1.2,61,0.1,1.1,7,1,0,1460,26.4,2200,39.8
49,City,Indore,878,53.6,20,1.2,1260,76.9,1054,64.3,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,86,5.2,3319,202.5
50,City,Jabalpur,502,44.9,30,2.7,1222,109.4,1076,96.3,0,0,28,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,58,5.2,38,1.8,3.4,20,2,0.2,25353,2269.7,28274,2531.2
51,City,Jaipur,446,19.2,57,2.5,1038,44.7,658,28.3,0,0,16,0.7,30,1.3,0,0,3,0.1,0,0,0,0,0,0,0,0,19,0.8,0,0,0,0,1,0,0,0,48,2.1,115,4.9,0,0,1,0,0,0,0,1,2,0.1,546,23.5,2980,128.2
52,City,Jamshedpur,52,4.7,4,0.4,27,2.5,36,3.3,0,0,6,0.5,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3.3,0,0,0,0,5,0.5,0,0,11,1,8,0.3,0.7,3,1,0.1,64,5.8,244,22.1
53,City,Kanpur,1513,56.2,872,32.4,368,13.7,1015,37.7,0,0,91,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,3.8,0,0,0,0,4,0.1,0,0,0,0,3,0.1,0,0,0,0,0,0,0,0,6,0.2,121734,4525.4,125708,4673.2
54,City,Kochi,15,1.1,156,11.5,46,3.4,0,0,2285,168.6,4,0.3,29,2.1,0,0,0,0,0,0,0,0,0,0,0,0,9,0.7,0,0,0,0,0,0,0,0,0,0,100,7.4,0,0,2,0.1,2,0,0.1,0,0,0,26535,1958.3,29181,2153.6
55,City,Kolkata,126,1,89,0.7,10,0.1,108,0.8,0,0,6,0,28,0.2,1,0,0,0,0,0,0,0,0,0,0,0,29,0.2,0,0,0,0,0,0,0,0,0,0,114,0.9,0,0,0,0,0,0,0,0,8,0.1,378,2.9,897,6.8
56,City,Lucknow,1348,59.5,489,21.6,388,17.1,318,14,0,0,23,1,12,0.5,1,0,0,0,0,0,0,0,0,0,0,0,41,1.8,0,0,0,0,6,0.3,0,0,0,0,5,0.2,0,0,57,2.5,57,0,2.5,0,11,0.5,53596,2364.2,56295,2483.2
57,City,Ludhiana,188,13.5,143,10.3,538,38.6,356,25.5,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,2,0.1,14,1,0,0,0,0,0,0,0,0,0,0,34,2.4,0,0,3,0.2,3,0,0.2,0,0,0,65,4.7,1345,96.4
58,City,Madurai,1,0.1,50,4.2,103,8.6,0,0,363,30.4,1,0.1,38,3.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,22,1.8,0,0,2,0.2,2,0,0.2,0,0,0,22758,1904.4,23340,1953.1
59,City,Meerut,987,84.6,98,8.4,271,23.2,513,44,0,0,5,0.4,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,4,0.3,0,0,27,2.3,27,0,2.3,0,1,0.1,40505,3470.9,42415,3634.5
60,City,Mumbai,173,1.1,1353,8.3,91,0.6,0,0,135,0.8,3,0,167,1,0,0,14,0.1,0,0,0,0,0,0,24,0.1,123,0.8,0,0,0,0,0,0,0,0,0,0,161,1,0,0,15,0.1,14,0,0.1,1,3,0,2722,16.6,4984,30.4
61,City,Nagpur,288,13.6,51,2.4,750,35.3,0,0,2180,102.7,0,0,11,0.5,0,0,2,0.1,0,0,0,0,0,0,1,0,127,6,0,0,0,0,6,0.3,0,0,0,0,29,1.4,0,0,5,0.2,5,0,0.2,0,0,0,11206,527.8,14656,690.3
62,City,Nasik,10,0.9,5,0.4,33,2.9,0,0,74,6.4,0,0,3,0.3,0,0,0,0,1,0.1,1,0.1,0,0,0,0,25,2.2,0,0,0,0,0,0,0,0,0,0,2,0.2,0,0,5,0.4,5,0,0.4,0,0,0,612,53.1,770,66.8
63,City,Patna,148,8.7,34,2,37,2.2,102,6,0,0,8,0.5,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,20,1.2,0,0,0,0,36,2.1,6,0.4,0,0,0,0,0,0,46,2.7,46,0,2.7,0,0,0,136,8,577,33.8
64,City,Pune,71,1.9,67,1.8,295,7.9,0,0,1855,49.4,0,0,38,1,0,0,14,0.4,0,0,0,0,0,0,3,0.1,76,2,0,0,0,0,0,0,0,0,1,0,62,1.7,0,0,5,0.1,5,0,0.1,0,0,0,3389,90.2,5876,156.4
65,City,Rajkot,6,0.6,4,0.4,248,24.8,0,0,1824,182,0,0,8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,4,0.4,0,0,0,0,0,0,1,0.1,0,0,12,1.2,0,0,11,1.1,11,0,1.1,0,0,0,234,23.4,2352,234.7
66,City,Surat,37,1.3,3,0.1,303,10.8,0,0,10151,361.1,15,0.5,11,0.4,0,0,11,0.4,1,0,0,0,1,0,5,0.2,12,0.4,0,0,0,0,0,0,0,0,0,0,39,1.4,0,0,28,1,24,0.1,0.9,4,0,0,837,29.8,11453,407.4
67,City,Vadodara,8,0.5,9,0.6,376,25.2,0,0,9839,659.5,4,0.3,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,1,0.1,0,0,59,4,0,0,9,0.6,8,0.1,0.5,1,0,0,976,65.4,11287,756.5
68,City,Varanasi,550,45.4,430,35.5,147,12.1,309,25.5,0,0,6,0.5,4,0.3,0,0,0,0,0,0,0,0,0,0,0,0,14,1.2,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,32,2.6,32,0,2.6,0,5,0.4,23580,1945.5,25080,2069.3
69,City,Vijayawada,2,0.2,7,0.7,1760,174.1,85,8.4,3,0.3,1,0.1,28,2.8,0,0,0,0,0,0,0,0,0,0,0,0,9,0.9,0,0,0,0,0,0,0,0,0,0,19,1.9,0,0,2,0.2,2,0,0.2,0,0,0,12,1.2,1928,190.7
70,City,Vishakhapatnam,0,0,9,0.7,1473,110.8,3,0.2,0,0,8,0.6,25,1.9,0,0,1,0.1,0,0,0,0,0,0,0,0,19,1.4,0,0,0,0,0,0,0,0,0,0,37,2.8,0,0,22,1.7,22,0,1.7,0,0,0,3258,245.1,4855,365.3
City,City,Total (Cities),10875,10.1,5759,5.3,16430,15.2,11875,11,37305,34.6,540,0.5,1106,1,3,0,120,0.1,57,0.1,56,0.1,1,0,148,0.1,999,0.9,0,0,7,0,511,0.5,11,0,50,0,2092,1.9,0,0,699,0.6,657,0,0.6,42,53,0,550346,510.1,638986,592.3
