SI. No.,Category,States/ UTs/ Cities,"Murder (Sec.302,303 IPC) - 2007","Murder (Sec.302,303 IPC) - 2008","Murder (Sec.302,303 IPC) - % Variation",Attempt to Commit Murder (Sec.307 IPC) - 2007,Attempt to Commit Murder (Sec.307 IPC) - 2008,Attempt to Commit Murder (Sec.307 IPC) - % Variation,"C.H. Not Amounting to Murder (Sec.304,308 IPC) - 2007","C.H. Not Amounting to Murder (Sec.304,308 IPC) - 2008","C.H. Not Amounting to Murder (Sec.304,308 IPC) - % Variation",Rape (Sec. 376 IPC) - Total - 2007,Rape (Sec. 376 IPC) - Total - 2008,Rape (Sec. 376 IPC) - Total - % Variation,Rape (Sec. 376 IPC) - Custodial - 2007,Rape (Sec. 376 IPC) - Custodial - 2008,Rape (Sec. 376 IPC) - Custodial - % Variation,Rape (Sec. 376 IPC) - Other - 2007,Rape (Sec. 376 IPC) - Other - 2008,Rape (Sec. 376 IPC) - Other - % Variation,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women & Girls - % Variation","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2007","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - 2008","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others - % Variation",Dacoity (Sec. 395-398 IPC) - 2007,Dacoity (Sec. 395-398 IPC) - 2008,Dacoity (Sec. 395-398 IPC) - % Variation,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2007,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - 2008,Preparation & Assembly for Dacoity (Sec.399-402 IPC) - % Variation,"Robbery (Sec.392-394, 397, 398 IPC) - 2007","Robbery (Sec.392-394, 397, 398 IPC) - 2008","Robbery (Sec.392-394, 397, 398 IPC) - % Variation","Burglary (Sec.449-452,454,455,457-460 IPC) - 2007","Burglary (Sec.449-452,454,455,457-460 IPC) - 2008","Burglary (Sec.449-452,454,455,457-460 IPC) - % Variation",Theft (Sec. 379 - 382 IPC) - Total - 2007,Theft (Sec. 379 - 382 IPC) - Total - 2008,Theft (Sec. 379 - 382 IPC) - Total - % Variation,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2007,Theft (Sec. 379 - 382 IPC) - Auto Theft - 2008,Theft (Sec. 379 - 382 IPC) - Auto Theft - % Variation,Theft (Sec. 379 - 382 IPC) - Other Theft - 2007,Theft (Sec. 379 - 382 IPC) - Other Theft - 2008,Theft (Sec. 379 - 382 IPC) - Other Theft - % Variation,"Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2007","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - 2008","Riots (Sec.143-145,147-151, 153,153A, 153B,157,158,160 IPC) - % Variation",Criminal Breach of Trust (Sec. 406-409 IPC) - 2007,Criminal Breach of Trust (Sec. 406-409 IPC) - 2008,Criminal Breach of Trust (Sec. 406-409 IPC) - % Variation,"Cheating (Sec. 419,420 IPC) - 2007","Cheating (Sec. 419,420 IPC) - 2008","Cheating (Sec. 419,420 IPC) - % Variation","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2007","Counterfeiting (Sec.231-254, 489A-489D IPC) - 2008","Counterfeiting (Sec.231-254, 489A-489D IPC) - % Variation","Arson (Sec.435,436,438 IPC) - 2007","Arson (Sec.435,436,438 IPC) - 2008","Arson (Sec.435,436,438 IPC) - % Variation","Hurt (Sec.323-333, 335-338 IPC) - 2007","Hurt (Sec.323-333, 335-338 IPC) - 2008","Hurt (Sec.323-333, 335-338 IPC) - % Variation",Dowry Deaths (Sec.304B IPC) - 2007,Dowry Deaths (Sec.304B IPC) - 2008,Dowry Deaths (Sec.304B IPC) - % Variation,Molestation (Sec.354 IPC) - 2007,Molestation (Sec.354 IPC) - 2008,Molestation (Sec.354 IPC) - % Variation,Sexual Harassment (Sec.509 IPC) - 2007,Sexual Harassment (Sec.509 IPC) - 2008,Sexual Harassment (Sec.509 IPC) - % Variation,Other IPC Crimes - 2007,Other IPC Crimes - 2008,Other IPC Crimes - % Variation,Total Cognizable Crimes Under IPC - 2007,Total Cognizable Crimes Under IPC - 2008,Total Cognizable Crimes Under IPC - % Variation
11,State,Jharkhand,1617,1697,4.9,1076,1061,-1.4,92,112,21.7,855,791,-7.5,0,0,NA,855,791,-7.5,762,792,3.9,534,499,-6.6,228,293,28.5,524,416,-20.6,40,50,25,771,761,-1.3,1495,1375,-8,7091,7269,2.5,1784,2165,21.4,5307,5104,-3.8,2565,2576,0.4,448,269,-40,814,900,10.6,19,24,26.3,160,164,2.5,3783,2826,-25.3,303,266,-12.2,342,271,-20.8,15,23,53.3,13897,14843,6.8,38489,38686,0.5
12,State,Karnataka,1538,1698,10.4,1251,1475,17.9,55,81,47.3,436,446,2.3,1,0,-100,435,446,2.5,680,758,11.5,390,405,3.8,290,353,21.7,178,270,51.7,242,248,2.5,1313,1615,23,5449,6258,14.8,14351,17820,24.2,5887,8960,52.2,8464,8860,4.7,5783,6013,4,400,424,6,3600,3669,1.9,124,118,-4.8,262,265,1.1,18963,19159,1,251,259,3.2,1828,1954,6.9,28,44,57.1,60853,61755,1.5,120606,127540,5.7
13,State,Kerala,367,362,-1.4,402,434,8,92,95,3.3,512,568,10.9,0,0,NA,512,568,10.9,255,253,-0.8,177,166,-6.2,78,87,11.5,121,91,-24.8,157,267,70.1,869,816,-6.1,4100,3882,-5.3,5609,5818,3.7,2113,1981,-6.2,3496,3837,9.8,7358,8057,9.5,394,435,10.4,4215,3659,-13.2,54,46,-14.8,398,389,-2.3,18975,19178,1.1,27,31,14.8,2624,2745,4.6,262,258,-1.5,57681,59061,2.4,108530,110620,1.9
14,State,Madhya Pradesh,2244,2322,3.5,2423,2282,-5.8,155,204,31.6,3010,2937,-2.4,0,0,NA,3010,2937,-2.4,922,929,0.8,701,736,5,221,193,-12.7,143,160,11.9,109,124,13.8,1975,2234,13.1,11230,11072,-1.4,22396,24583,9.8,8915,10533,18.1,13481,14050,4.2,2648,2768,4.5,531,570,7.3,1661,1368,-17.6,38,47,23.7,909,898,-1.2,36643,36344,-0.8,742,805,8.5,6772,6445,-4.8,780,758,-2.8,98007,100513,2.6,202386,206556,2.1
15,State,Maharashtra,2693,2795,3.8,1615,1837,13.7,113,111,-1.8,1451,1558,7.4,0,0,NA,1451,1558,7.4,1312,1379,5.1,967,998,3.2,345,381,10.4,716,811,13.3,405,274,-32.3,2770,3031,9.4,15607,16004,2.5,47681,52860,10.9,13895,16900,21.6,33786,35960,6.4,7993,9388,17.5,1715,1880,9.6,6235,7296,17,270,405,50,1267,1288,1.7,29622,29742,0.4,436,390,-10.6,3306,3619,9.5,1039,1091,5,50159,50183,0,195707,206243,5.4
16,State,Manipur,240,187,-22.1,377,498,32.1,2,4,100,20,38,90,0,0,NA,20,38,90,150,176,17.3,83,87,4.8,67,89,32.8,3,1,-66.7,146,212,45.2,11,7,-36.4,70,76,8.6,454,446,-1.8,150,223,48.7,304,223,-26.6,70,48,-31.4,19,24,26.3,93,161,73.1,4,3,-25,63,41,-34.9,377,301,-20.2,0,1,NA,70,57,-18.6,0,0,NA,1074,1038,-3.4,3259,3349,2.8
17,State,Meghalaya,114,126,10.5,49,55,12.2,8,6,-25,82,88,7.3,0,0,NA,82,88,7.3,52,56,7.7,22,25,13.6,30,31,3.3,55,63,14.5,1,0,-100,56,65,16.1,203,168,-17.2,500,669,33.8,91,137,50.5,409,532,30.1,33,8,-75.8,17,32,88.2,164,104,-36.6,12,10,-16.7,36,28,-22.2,124,204,64.5,2,2,0,45,54,20,1,4,300,438,480,9.6,2079,2318,11.5
18,State,Mizoram,43,35,-18.6,21,10,-52.4,4,6,50,83,77,-7.2,0,0,NA,83,77,-7.2,4,9,125,0,1,NA,4,8,100,0,4,NA,0,0,NA,5,6,20,457,338,-26,808,747,-7.5,64,27,-57.8,744,720,-3.2,1,1,0,20,34,70,66,57,-13.6,16,15,-6.3,38,18,-52.6,85,118,38.8,0,0,NA,66,78,18.2,0,0,0,330,378,14.5,2083,1989,-4.5
19,State,Nagaland,111,143,28.8,50,47,-6,8,13,62.5,13,19,46.2,0,0,NA,13,19,46.2,17,44,158.8,6,7,16.7,11,37,236.4,7,6,-14.3,0,0,NA,75,87,16,118,127,7.6,360,345,-4.2,194,182,-6.2,166,163,-1.8,15,4,-73.3,13,16,23.1,34,31,-8.8,8,4,-50,5,14,180,52,46,-11.5,0,0,NA,8,15,87.5,1,1,0,242,192,-20.7,1180,1202,1.9
20,State,Orissa,1210,1250,3.3,1105,1415,28.1,22,84,281.8,939,1113,18.5,0,0,NA,939,1113,18.5,801,908,13.4,660,762,15.5,141,146,3.5,247,305,23.5,42,67,59.5,1273,1345,5.7,3073,3100,0.9,6830,7419,8.6,1733,1975,14,5097,5444,6.8,1983,2721,37.2,319,342,7.2,1263,1244,-1.5,30,26,-13.3,411,869,111.4,7478,7013,-6.2,461,401,-13,2775,2782,0.3,241,282,17,19870,18916,-4.8,54872,56755,3.4
21,State,Punjab,760,769,1.2,893,956,7.1,170,146,-14.1,519,517,-0.4,0,0,NA,519,517,-0.4,760,718,-5.5,545,514,-5.7,215,204,-5.1,37,40,8.1,92,122,32.6,138,167,21,2616,2621,0.2,5173,5563,7.5,2084,2182,4.7,3089,3381,9.5,1,1,0,329,236,-28.3,3581,3192,-10.9,68,78,14.7,96,75,-21.9,5663,5597,-1.2,133,128,-3.8,427,388,-9.1,48,49,2.1,10517,10122,-3.8,35793,35314,-1.3
22,State,Rajasthan,1303,1297,-0.5,1772,1649,-6.9,64,54,-15.6,1238,1355,9.5,0,0,NA,1238,1355,9.5,2177,2358,8.3,1694,1863,10,483,495,2.5,71,64,-9.9,81,77,-4.9,778,829,6.6,5164,4736,-8.3,19345,20411,5.5,8258,9857,19.4,11087,10554,-4.8,1626,1390,-14.5,825,737,-10.7,11919,12097,1.5,56,51,-8.9,675,615,-8.9,19720,21117,7.1,439,439,0,2477,2520,1.7,28,19,-32.1,63846,63924,0.1,148870,151174,1.5
23,State,Sikkim,9,9,0,14,7,-50,3,3,0,24,20,-16.7,0,0,x,24,20,-16.7,9,4,-55.6,9,4,-55.6,0,0,NA,0,1,NA,0,0,NA,6,7,16.7,83,81,-2.4,118,127,7.6,11,9,-18.2,107,118,10.3,15,17,13.3,7,6,-14.3,34,46,35.3,3,0,-100,1,23,2200,95,100,5.3,0,0,NA,13,19,46.2,0,0,NA,192,215,12,667,730,9.4
24,State,Tamil Nadu,1633,1759,7.7,2078,2327,12,28,28,0,523,573,9.6,0,0,NA,523,573,9.6,1270,1375,8.3,1097,1160,5.7,173,215,24.3,88,100,13.6,33,66,100,495,662,33.7,3717,3849,3.6,13217,15019,13.6,2901,3722,28.3,10316,11297,9.5,2375,2811,18.4,261,231,-11.5,2510,2349,-6.4,74,599,709.5,653,610,-6.6,16967,20529,21,208,207,-0.5,1540,1705,10.7,875,974,11.3,110748,107084,-3.3,172754,176833,2.4
25,State,Tripura,138,155,12.3,58,53,-8.6,2,2,0,157,204,29.9,0,0,NA,157,204,29.9,113,146,29.2,81,110,35.8,32,36,12.5,14,13,-7.1,2,3,50,64,95,48.4,193,218,13,411,499,21.4,55,43,-21.8,356,456,28.1,142,197,38.7,42,42,0,85,92,8.2,10,23,130,23,47,104.3,546,924,69.2,36,16,-55.6,244,346,41.8,4,4,0,1241,1327,6.9,4273,5336,24.9
26,State,Uttar Pradesh,5000,4564,-8.7,4424,4233,-4.3,1616,1493,-7.6,1648,1871,13.5,0,0,NA,1648,1871,13.5,4478,5428,21.2,3363,4439,32,1115,989,-11.3,437,313,-28.4,82,76,-7.3,2169,2097,-3.3,5057,5418,7.1,22816,25946,13.7,10859,12064,11.1,11957,13882,16.1,4495,4381,-2.5,3639,4296,18.1,8399,9327,11,337,420,24.6,268,228,-14.9,10694,11683,9.2,2076,2237,7.8,2522,2955,17.2,2882,3374,17.1,51914,60242,16,150258,168996,12.5
27,State,Uttarakhand,268,223,-16.8,228,217,-4.8,50,40,-20,117,87,-25.6,0,0,NA,117,87,-25.6,253,247,-2.4,227,222,-2.2,26,25,-3.8,46,16,-65.2,6,2,-66.7,173,144,-16.8,548,423,-22.8,1593,1622,1.8,565,726,28.5,1028,896,-12.8,459,509,10.9,163,171,4.9,697,463,-33.6,39,31,-20.5,37,15,-59.5,886,937,5.8,70,73,4.3,146,120,-17.8,63,306,385.7,2686,2280,-15.1,9599,8856,-7.7
28,State,West Bengal,1652,1811,9.6,877,1732,97.5,394,488,23.9,2106,2263,7.5,0,0,NA,2106,2263,7.5,1800,2332,29.6,1590,1907,19.9,210,425,102.4,146,184,26,1150,1055,-8.3,427,613,43.6,399,462,15.8,13747,17334,26.1,2421,2593,7.1,11326,14741,30.2,3727,5425,45.6,672,876,30.4,2406,2938,22.1,127,148,16.5,121,150,24,6909,9033,30.7,451,451,0,2281,2396,5,99,94,-5.1,27903,38177,36.8,81102,105419,30
State,State,Total (States),31733,32140,1.3,26773,28131,5.1,3539,3786,7,20096,20953,4.3,1,0,-100,20095,20953,4.3,25779,28588,10.9,19173,21726,13.3,6606,6862,3.9,4533,4492,-0.9,2973,3076,3.5,18520,19930,7.6,88720,91294,2.9,265217,294976,11.2,89973,107414,19.4,175244,187562,7,59516,65610,10.2,15007,16056,7,62736,64775,3.3,2152,2945,36.8,8942,9171,2.6,270205,281930,4.3,7950,8036,1.1,37722,39688,5.2,10738,12057,12.3,800255,834733,4.3,1923363,2033483,5.7
29,Union Territory,A&N Islands,15,8,-46.7,19,11,-42.1,1,2,100,3,12,300,0,0,NA,3,12,300,12,17,41.7,9,13,44.4,3,4,33.3,5,0,-100,0,0,NA,9,14,55.6,90,78,-13.3,112,128,14.3,8,11,37.5,104,117,12.5,17,16,-5.9,7,12,71.4,23,19,-17.4,1,1,0,11,15,36.4,99,107,8.1,1,2,100,21,24,14.3,2,3,50,337,383,13.6,807,882,9.3
30,Union Territory,Chandigarh,19,17,-10.5,26,28,7.7,8,6,-25,22,20,-9.1,0,0,NA,22,20,-9.1,52,50,-3.8,46,42,-8.7,6,8,33.3,2,1,-50,0,4,NA,37,23,-37.8,191,257,34.6,1740,1991,14.4,853,1094,28.3,887,897,1.1,79,85,7.6,38,37,-2.6,170,213,25.3,2,0,-100,9,2,-77.8,78,73,-6.4,1,3,200,32,19,-40.6,11,2,-81.8,999,1040,4.1,3643,3931,7.9
31,Union Territory,D&N Haveli,10,9,-10,2,2,0,0,0,NA,7,6,-14.3,0,0,NA,7,6,-14.3,9,17,88.9,6,11,83.3,3,6,100,1,1,0,0,0,NA,3,0,-100,28,49,75,87,54,-37.9,19,18,-5.3,68,36,-47.1,39,24,-38.5,17,10,-41.2,10,24,140,1,1,0,10,6,-40,25,26,4,0,0,NA,0,4,NA,0,0,NA,161,154,-4.3,425,401,-5.6
32,Union Territory,Daman & Diu,12,2,-83.3,7,2,-71.4,0,0,NA,1,0,-100,0,0,NA,1,0,-100,1,4,300,1,1,0,0,3,NA,3,2,-33.3,1,0,-100,2,4,100,46,45,-2.2,43,49,14,28,31,10.7,15,18,20,31,35,12.9,5,4,-20,6,2,-66.7,6,1,-83.3,3,3,0,20,12,-40,1,0,-100,0,2,NA,0,1,NA,37,36,-2.7,260,248,-4.6
33,Union Territory,Delhi,495,554,11.9,530,389,-26.6,94,66,-29.8,598,466,-22.1,0,0,NA,598,466,-22.1,1688,1567,-7.2,1167,1136,-2.7,521,431,-17.3,34,24,-29.4,229,134,-41.5,557,541,-2.9,2055,1926,-6.3,17037,18867,10.7,8874,11020,24.2,8163,7847,-3.9,87,71,-18.4,451,355,-21.3,2336,1493,-36.1,41,41,0,31,41,32.3,1736,1936,11.5,138,129,-6.5,868,611,-29.6,167,130,-22.2,24854,17896,-28,56065,49350,-12
34,Union Territory,Lakshadweep,0,1,NA,2,0,-100,0,0,NA,1,2,100,0,0,NA,1,2,100,0,1,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,2,3,50,20,8,-60,2,1,-50,18,7,-61.1,1,12,1100,0,0,NA,0,0,NA,0,0,NA,0,2,NA,0,12,NA,0,0,NA,2,0,-100,0,0,NA,26,53,103.8,56,95,69.6
35,Union Territory,Puducherry,34,35,2.9,42,35,-16.7,2,3,50,9,8,-11.1,0,0,NA,9,8,-11.1,20,17,-15,14,9,-35.7,6,8,33.3,1,10,900,2,3,50,8,10,25,86,90,4.7,787,688,-12.6,498,443,-11,289,245,-15.2,145,165,13.8,6,13,116.7,45,53,17.8,1,2,100,18,9,-50,904,873,-3.4,2,2,0,89,65,-27,32,21,-34.4,2537,2668,5.2,5054,4989,-1.3
Union Territory,Union Territory,Total (UTs),585,626,7,628,467,-25.6,105,77,-26.7,641,514,-19.8,0,0,0,641,514,-19.8,1782,1673,-6.1,1243,1213,-2.4,539,460,-14.7,46,38,-17.4,232,141,-39.2,616,592,-3.9,2498,2448,-2,19826,21785,9.9,10282,12618,22.7,9544,9167,-4,399,408,2.3,524,431,-17.7,2590,1804,-30.3,52,46,-11.5,82,78,-4.9,2862,3039,6.2,143,136,-4.9,1012,725,-28.4,212,157,-25.9,28951,22230,-23.2,66310,59896,-9.7
Total (All-India),Total (All-India),Total (All-India),32318,32766,1.4,27401,28598,4.4,3644,3863,6,20737,21467,3.5,1,0,-100,20736,21467,3.5,27561,30261,9.8,20416,22939,12.4,7145,7322,2.5,4579,4530,-1.1,3205,3217,0.4,19136,20522,7.2,91218,93742,2.8,285043,316761,11.1,100255,120032,19.7,184788,196729,6.5,59915,66018,10.2,15531,16487,6.2,65326,66579,1.9,2204,2991,35.7,9024,9249,2.5,273067,284969,4.4,8093,8172,1,38734,40413,4.3,10950,12214,11.5,829206,856963,3.3,1989673,2093379,5.2
