Sl. No.,Category,States/ UTs,Estimated Mid Year Population (In Lakhs)#,"Murder (Sec. 302,303 IPC) - I","Murder (Sec. 302,303 IPC) - R","Murder (Sec. 302,303 IPC) - P",Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dacoity (Sec. 395-398 IPC) - I,Dacoity (Sec. 395-398 IPC) - R,Dacoity (Sec. 395-398 IPC) - P,"Robbery (Sec. 392-394,397,398 IPC) - I","Robbery (Sec. 392-394,397,398 IPC) - R","Robbery (Sec. 392-394,397,398 IPC) - P","Arson (Sec. 435,436,438 IPC) - I","Arson (Sec. 435,436,438 IPC) - R","Arson (Sec. 435,436,438 IPC) - P","Hurt (Sec. 323-333,335-338 IPC) - I","Hurt (Sec. 323-333,335-338 IPC) - R","Hurt (Sec. 323-333,335-338 IPC) - P",Prot.of Civil Rights Act (1955) - I,Prot.of Civil Rights Act (1955) - R,Prot.of Civil Rights Act (1955) - P,SC/ST Prev.of Attrocities Act (1989) - I,SC/ST Prev.of Attrocities Act (1989) - R,SC/ST Prev.of Attrocities Act (1989) - P,Other Offences - I,Other Offences - R,Other Offences - P,Total - I,Total - R,Total - P
20,State,Orissa,400.3,6,0,4.7,38,0.1,6.5,9,0,9.7,0,0,0,8,0,44.4,5,0,10.2,85,0.2,9.7,0,0,0,141,0.4,13.8,216,0.5,7.7,508,1.3,9.1
21,State,Punjab,266.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,649.9,15,0,11.7,40,0.1,6.8,8,0,8.6,0,0,0,0,0,0,9,0,18.4,130,0.2,14.9,0,0,0,17,0,1.7,819,1.3,29.3,1038,1.6,18.6
23,State,Sikkim,6,0,0,0,2,0.3,0.3,1,0.2,1.1,0,0,0,0,0,0,0,0,0,5,0.8,0.6,0,0,0,0,0,0,4,0.7,0.1,12,2,0.2
24,State,Tamil Nadu,665.8,0,0,0,2,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.6,0,0,0,1,0,0.1,6,0,0.2,14,0,0.3
25,State,Tripura,35.2,1,0,0.8,2,0.1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,1,0,0.1,9,0.3,0.3,14,0.4,0.3
26,State,Uttar Pradesh,1920.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.9,0,0,0,9,0,0.2
27,State,Uttarakhand,95.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,State,West Bengal,882.1,0,0,0,3,0,0.5,1,0,1.1,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,5,0,0.5,7,0,0.3,17,0,0.3
State,State,Total (states),11327.9,127,0,99.2,585,0.1,100,89,0,95.7,14,0,100,18,0,100,49,0,100,873,0.1,100,6,0,100,1018,0.1,99.6,2790,0.2,99.9,5569,0.5,99.8
29,Union Territory,A & N Islands,4.2,1,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,0.2,0,0,0,3,0.7,0.1
30,Union Territory,Chandigarh,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,2.7,0,0,0,0,0,0,4,1.5,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8,0.2,4,1.5,0.1,10,3.8,0.2
32,Union Territory,Daman & Diu,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,172.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),203.4,1,0,0.8,0,0,0,4,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.4,4,0,0.1,13,0.1,0.2
Total (All India),Total (All India),Total (All India),11531.3,128,0,100,585,0.1,100,93,0,100,14,0,100,18,0,100,49,0,100,873,0.1,100,6,0,100,1022,0.1,100,2794,0.2,100,5582,0.5,100
