Sl. No.,Category,States/ UTs,"Murder (Sec. 302,303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. Not Amounting to Murder (Sec. 304, 308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) Custodial,Rape (Sec. 376 IPC) Others,"Kidnapping and Abduction (Sec. 363-369, 371-373 IPC) - Total","Kidnapping and Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls","Kidnapping and Abduction (Sec. 363-369, 371-373 IPC) of Others",Dacoity (Sec. 395-398 IPC),Preparation and Assembly for Dacoity (Sec. 399-402 IPC),"Robbery (Sec.392-394, 397, 398 IPC)","Burglary (Sec. 449-452, 454, 455, 457-460 IPC)",Theft (Sec. 379-382 IPC) - Total,Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,"Riots (Sec. 143-145,147-151, 153, 153A,153B, 157, 158, 160 IPC)",Criminal Breach Of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419, 420 IPC)","Counterfeiting (Sec. 231-254, 489A, 489D IPC)","Arson (Sec. 435, 436, 438 IPC)","Hurt (Sec. 323-333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
20,State,Orissa,94.9,97.5,93.5,98,NA,98,94.2,95.3,89.8,89.9,98,86.5,57,60.2,39.5,66.7,79.8,93,92.3,68.2,74.8,96.2,98.5,97.7,98.5,98.6,NA,88,93.7,86.7
21,State,Punjab,81.5,84.1,78.7,90.9,NA,90.9,70.8,73.6,63.9,82.9,96,84.9,49.6,56.5,50.8,60.7,NA,81.7,82.3,98.3,64.2,82.1,92.6,81.3,87.9,83,0,70.4,78.3,73.5
22,State,Rajasthan,89.9,95.1,85.3,98.6,NA,98.6,79.7,75.9,92.1,83.3,100,65,36.6,27.4,17.2,37.6,97.1,81.2,83.4,76.8,74.3,99.2,99.1,99.6,92.3,100,NA,87.1,94,81.1
23,State,Sikkim,100,90,100,100,NA,100,62.5,83.3,0,100,NA,50,48.4,65.4,66.7,65.3,82.6,83.3,75,0,22.7,94.8,NA,80,NA,100,NA,77.5,74.9,73.8
24,State,Tamil Nadu,92.2,97,91.7,95.5,NA,95.5,69.3,66.9,84.1,95.3,92.7,91,77.9,92.3,90.5,92.8,94.1,72.2,71.1,27.1,76.5,95.4,99.5,94.5,96.9,92.4,NA,89.2,92.7,91.9
25,State,Tripura,85,79.1,100,94.9,NA,94.9,77.7,79.1,72.4,78.6,100,75.8,39.4,60,41.7,61.9,82.2,74.2,77.3,92.3,57.1,85,100,89.3,100,96,NA,93.7,85.2,82.4
26,State,Uttar Pradesh,86.2,86.2,87.9,92.3,NA,92.3,66.6,68.5,57.3,92.7,100,78.7,39.9,38.3,26.6,49.5,82.3,57.2,57.7,51.9,70.9,80.5,87,93.8,99.3,77,NA,79.8,78.2,71.2
27,State,Uttarakhand,78.2,74.9,84.8,91.9,NA,91.9,65.1,64.4,71.4,75,75,70.3,53.8,49.7,33.6,61.3,75.1,63.9,70.1,53.8,43.8,79.9,86.5,91.7,99.7,79.9,NA,80.8,81.6,72.9
28,State,West Bengal,81.3,89.4,86.8,90.5,NA,90.5,81.1,85,62.8,84.6,97.9,62.6,28.5,26.7,21.5,27.6,87.1,71.6,58.2,92.6,67.2,92.7,96.9,94.4,93.3,97.3,31.3,78.7,85.3,76.4
State,State,Total (States),83,88.9,87.2,93.7,NA,93.7,75.2,76,72.7,71.9,96.5,68.1,41.9,42.7,30.7,49.6,89.5,70.7,73.8,48.5,70.2,94.3,92.7,96.1,96.8,93.9,72.2,81.7,90.4,80.4
29,Union Territory,A & N Islands,100,71.4,100,100,NA,100,57.1,63.6,33.3,0,NA,83.3,38.5,48.8,50,48.8,93.3,83.3,80,0,36.4,80.6,100,87.5,100,83.3,NA,100,90.2,75.4
30,Union Territory,Chandigarh,100,84.2,100,95,NA,95,44.7,40.6,66.7,100,100,93.3,27.3,28.5,14.8,44.3,90,30,62.6,100,25,87.3,100,85.2,100,77.1,NA,50,71.7,46.1
31,Union Territory,D & N Haveli,66.7,50,NA,100,NA,100,100,100,100,0,NA,NA,26.5,48.8,31.3,53.1,78.6,61.1,63.6,0,50,73.1,NA,100,NA,100,NA,100,72.7,64.4
32,Union Territory,Daman & Diu,75,50,NA,0,NA,0,0,NA,0,NA,100,100,24.4,23.5,24.2,22.2,79.2,33.3,75,0,0,100,NA,100,NA,100,NA,62.5,78.1,51.3
33,Union Territory,Delhi,91.3,96.1,91.5,98.4,NA,98.4,44.2,42.9,47.7,95.7,100,87.4,41.5,27.7,20.1,37.2,90.3,69.6,73,70.9,48.9,93,99.1,98.2,92.3,82.5,NA,60.4,87.9,60.9
34,Union Territory,Lakshadweep,0,NA,NA,50,NA,50,NA,NA,NA,NA,NA,NA,40,40,NA,40,50,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,35.3
35,Union Territory,Puducherry,100,92.9,100,100,NA,100,85.7,100,50,100,100,80,30,34.4,33.8,35.4,92.2,33.3,89.7,100,44.4,98.2,NA,97,100,100,NA,89.1,99,88.3
Union Territory,Union Territory,Total (UTs),91.1,94.8,92.4,97.9,NA,97.9,45,43.6,48.6,87.1,100,87.5,39.9,28.1,20.1,38,89.4,68.1,72.7,64.1,44.7,93.8,99.2,97.3,93.5,82.6,0,68.1,88.5,62.3
Total (All India),Total (All India),Total (All India),83.2,89,87.4,93.9,NA,93.9,73.4,74.1,71,72,96.7,68.7,41.8,41.5,29.5,48.9,89.5,70.6,73.7,48.9,70,94.3,92.8,96.1,96.8,93.7,72.2,81.6,90.3,79.8
