Sl. No.,Category,States/ UTs/Cities,Estimated Mid-Year Population (In Lakhs)#,Rape (Sec. 376 IPC) - I,Rape (Sec. 376 IPC) - R,Rape (Sec. 376 IPC) - P,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction (Sec.363-369,371-373 IPC) - P",Dowry Deaths (Sec.304B IPC) - I,Dowry Deaths (Sec.304B IPC) - R,Dowry Deaths (Sec.304B IPC) - P,Cruelty by Husband and Relatives (Sec.498A IPC) - I,Cruelty by Husband and Relatives (Sec.498A IPC) - R,Cruelty by Husband and Relatives (Sec.498A IPC) - P,Molestation (Sec.354 IPC) - I,Molestation (Sec.354 IPC) - R,Molestation (Sec.354 IPC) - P,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - I,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - R,Sexual Harassment (Eve-Teasing) (Sec.509 IPC) - P,Importation of Girls (Sec.366B IPC) - I,Importation of Girls (Sec.366B IPC) - R,Importation of Girls (Sec.366B IPC) - P,"Sati Prevention Act, 1987 - I","Sati Prevention Act, 1987 - R","Sati Prevention Act, 1987 - P","Immoral Traffic (P) Act, 1956 - I","Immoral Traffic (P) Act, 1956 - R","Immoral Traffic (P) Act, 1956 - P","Indecent Representation of Women (P) Act, 1986 - I","Indecent Representation of Women (P) Act, 1986 - R","Indecent Representation of Women (P) Act, 1986 - P","Dowry Prohibition Act, 1961 - I","Dowry Prohibition Act, 1961 - R","Dowry Prohibition Act, 1961 - P",Total - I,Total - R,Total - P
32,Union Territory,Daman & Diu,1.89,0,0,0,1,0.5,0,0,0,0,5,2.6,0,2,1.1,0,1,0.5,0,0,0,0,0,0,0,6,3.2,0.2,0,0,0,0,0,0,15,7.9,0
33,Union Territory,Delhi,172.5,466,2.7,2.2,1136,6.6,5,129,0.7,1.6,1387,8,1.7,611,3.5,1.5,130,0.8,1.1,0,0,0,0,0,0,60,0.3,2.3,0,0,0,19,0.1,0.3,3938,22.8,2
34,Union Territory,Lakshadweep,0.69,2,2.9,0,1,1.4,0,0,0,0,1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.8,0
35,Union Territory,Puducherry,10.8,8,0.7,0,9,0.8,0,2,0.2,0,12,1.1,0,65,6,0.2,21,1.9,0.2,0,0,0,0,0,0,3,0.3,0.1,0,0,0,9,0.8,0.2,129,11.9,0.1
Union Territory,Union Territory,Total (UTs),203.39,514,2.5,2.4,1213,6,5.3,136,0.7,1.7,1484,7.3,1.8,725,3.6,1.8,157,0.8,1.3,0,0,0,0,0,0,79,0.4,3,0,0.4,0,29,0.1,0.5,4337,21.3,2.2
Total (All-India),Total (All-India),Total (All-India),11531.26,21467,1.9,100,22939,2,100,8172,0.7,100,81344,7.1,100,40413,3.5,100,12214,1.1,100,67,0,100,1,0,100,2659,0.2,100,1025,0.1,100,5555,0.5,100,195856,17,100
36,City,Agra,13.21,22,1.7,1.2,134,10.1,4.3,38,2.9,5.3,240,18.2,2.1,62,4.7,1.7,91,6.9,3.7,0,0,0,0,0,0,9,0.7,0.8,0,0,0,0,0,0,596,45.1,2.4
37,City,Ahmedabad,45.19,44,1,2.5,137,3,4.4,1,0,0.1,1185,26.2,10.4,78,1.7,2.2,19,0.4,0.8,0,0,0,0,0,0,10,0.2,0.9,0,0,0,0,0,0,1474,32.6,6
38,City,Allahabad,10.5,5,0.5,0.3,47,4.5,1.5,12,1.1,1.7,107,10.2,0.9,11,1,0.3,37,3.5,1.5,0,0,0,0,0,0,2,0.2,0.2,0,0,0,5,0.5,1,226,21.5,0.9
39,City,Amritsar,10.11,15,1.5,0.8,44,4.4,1.4,6,0.6,0.8,66,6.5,0.6,25,2.5,0.7,11,1.1,0.4,0,0,0,0,0,0,17,1.7,1.5,0,0,0,1,0.1,0.2,185,18.3,0.7
40,City,Asansol,10.91,20,1.8,1.1,12,1.1,0.4,9,0.8,1.2,166,15.2,1.5,20,1.8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.4,229,21,0.9
41,City,Bengaluru,56.87,54,0.9,3.1,2,0,0.1,52,0.9,7.2,307,5.4,2.7,179,3.1,5,1,0,0,0,0,0,0,0,0,276,4.9,25,0,0,0,372,6.5,72.8,1243,21.9,5
42,City,Bhopal,14.55,80,5.5,4.5,33,2.3,1.1,21,1.4,2.9,149,10.2,1.3,160,11,4.4,34,2.3,1.4,0,0,0,0,0,0,3,0.2,0.3,0,0,0,0,0,0,480,33,1.9
43,City,Chennai,64.25,35,0.5,2,32,0.5,1,25,0.4,3.5,165,2.6,1.4,46,0.7,1.3,67,1,2.7,0,0,0,0,0,0,183,2.8,16.5,0,0,0,0,0,0,553,8.6,2.2
44,City,Coimbatore,14.46,9,0.6,0.5,7,0.5,0.2,6,0.4,0.8,62,4.3,0.5,29,2,0.8,7,0.5,0.3,0,0,0,0,0,0,43,3,3.9,1,0.1,2,0,0,0,164,11.3,0.7
45,City,Delhi (city),127.91,396,3.1,22.4,948,7.4,30.5,110,0.9,15.3,1310,10.2,11.5,553,4.3,15.4,123,1,5,0,0,0,0,0,0,59,0.5,5.3,0,0,0,16,0.1,3.1,3515,27.5,14.2
46,City,Dhanbad,10.64,17,1.6,1,18,1.7,0.6,16,1.5,2.2,16,1.5,0.1,13,1.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1.7,3.5,98,9.2,0.4
47,City,Faridabad,10.55,46,4.4,2.6,94,8.9,3,21,2,2.9,173,16.4,1.5,23,2.2,0.6,97,9.2,3.9,0,0,0,0,0,0,18,1.7,1.6,0,0,0,4,0.4,0.8,476,45.1,1.9
48,City,Hyderabad,55.34,62,1.1,3.5,77,1.4,2.5,41,0.7,5.7,1184,21.4,10.4,231,4.2,6.4,148,2.7,6,0,0,0,0,0,0,41,0.7,3.7,0,0,0,0,0,0,1784,32.2,7.2
49,City,Indore,16.39,71,4.3,4,36,2.2,1.2,25,1.5,3.5,290,17.7,2.5,231,14.1,6.4,45,2.7,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,42.6,2.8
50,City,Jabalpur,11.17,72,6.4,4.1,20,1.8,0.6,27,2.4,3.7,95,8.5,0.8,175,15.7,4.9,35,3.1,1.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.2,425,38,1.7
51,City,Jaipur,23.24,60,2.6,3.4,174,7.5,5.6,20,0.9,2.8,451,19.4,4,106,4.6,2.9,2,0.1,0.1,0,0,0,0,0,0,30,1.3,2.7,48,2.1,96,1,0,0.2,892,38.4,3.6
52,City,Jamshedpur,11.02,17,1.5,1,12,1.1,0.4,11,1,1.5,62,5.6,0.5,16,1.5,0.4,5,0.5,0.2,0,0,0,0,0,0,2,0.2,0.2,0,0,0,36,3.3,7,161,14.6,0.7
53,City,Kanpur,26.9,72,2.7,4.1,227,8.4,7.3,86,3.2,11.9,632,23.5,5.5,136,5.1,3.8,578,21.5,23.4,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0.8,1735,64.5,7
54,City,Kochi,13.55,12,0.9,0.7,7,0.5,0.2,1,0.1,0.1,87,6.4,0.8,59,4.4,1.6,5,0.4,0.2,0,0,0,0,0,0,29,2.1,2.6,0,0,0,0,0,0,200,14.8,0.8
55,City,Kolkata,132.17,35,0.3,2,92,0.7,3,12,0.1,1.7,405,3.1,3.5,211,1.6,5.9,81,0.6,3.3,4,0,100,0,0,0,28,0.2,2.5,0,0,0,0,0,0,868,6.6,3.5
56,City,Lucknow,22.67,41,1.8,2.3,266,11.7,8.6,37,1.6,5.1,647,28.5,5.7,147,6.5,4.1,328,14.5,13.3,0,0,0,0,0,0,12,0.5,1.1,0,0,0,6,0.3,1.2,1484,65.5,6
57,City,Ludhiana,13.95,44,3.2,2.5,76,5.4,2.4,9,0.6,1.2,88,6.3,0.8,36,2.6,1,21,1.5,0.8,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,275,19.7,1.1
58,City,Madurai,11.95,4,0.3,0.2,14,1.2,0.5,5,0.4,0.7,42,3.5,0.4,11,0.9,0.3,2,0.2,0.1,0,0,0,0,0,0,38,3.2,3.4,0,0,0,0,0,0,116,9.7,0.5
59,City,Meerut,11.67,19,1.6,1.1,63,5.4,2,14,1.2,1.9,163,14,1.4,51,4.4,1.4,101,8.7,4.1,0,0,0,0,0,0,1,0.1,0.1,0,0,0,0,0,0,412,35.3,1.7
60,City,Mumbai,163.68,218,1.3,12.3,116,0.7,3.7,11,0.1,1.5,502,3.1,4.4,436,2.7,12.1,121,0.7,4.9,0,0,0,0,0,0,167,1,15.1,0,0,0,0,0,0,1571,9.6,6.3
61,City,Nagpur,21.23,53,2.5,3,28,1.3,0.9,7,0.3,1,237,11.2,2.1,91,4.3,2.5,71,3.3,2.9,0,0,0,0,0,0,11,0.5,1,0,0,0,6,0.3,1.2,504,23.7,2
62,City,Nasik,11.52,14,1.2,0.8,21,1.8,0.7,5,0.4,0.7,141,12.2,1.2,42,3.6,1.2,10,0.9,0.4,0,0,0,0,0,0,3,0.3,0.3,0,0,0,0,0,0,236,20.5,1
63,City,Patna,17.07,25,1.5,1.4,51,3,1.6,28,1.6,3.9,126,7.4,1.1,9,0.5,0.2,1,0.1,0,0,0,0,0,0,0,4,0.2,0.4,0,0,0,36,2.1,7,280,16.4,1.1
64,City,Pune,37.56,92,2.4,5.2,80,2.1,2.6,7,0.2,1,273,7.3,2.4,113,3,3.1,73,1.9,2.9,0,0,0,0,0,0,38,1,3.4,1,0,2,0,0,0,677,18,2.7
65,City,Rajkot,10.02,12,1.2,0.7,40,4,1.3,1,0.1,0.1,312,31.1,2.7,30,3,0.8,19,1.9,0.8,0,0,0,0,0,0,8,0.8,0.7,0,0,0,0,0,0,422,42.1,1.7
66,City,Surat,28.11,28,1,1.6,79,2.8,2.5,11,0.4,1.5,472,16.8,4.1,54,1.9,1.5,2,0.1,0.1,0,0,0,0,0,0,11,0.4,1,0,0,0,0,0,0,657,23.4,2.7
67,City,Vadodara,14.92,7,0.5,0.4,30,2,1,0,0,0,268,18,2.3,16,1.1,0.4,3,0.2,0.1,0,0,0,0,0,0,5,0.3,0.5,0,0,0,0,0,0,329,22.1,1.3
68,City,Varanasi,12.12,8,0.7,0.5,31,2.6,1,24,2,3.3,103,8.5,0.9,11,0.9,0.3,83,6.8,3.4,0,0,0,0,0,0,4,0.3,0.4,0,0,0,3,0.2,0.6,267,22,1.1
69,City,Vijayawada,10.11,30,3,1.7,36,3.6,1.2,9,0.9,1.2,395,39.1,3.5,104,10.3,2.9,252,24.9,10.2,0,0,0,0,0,0,28,2.8,2.5,0,0,0,0,0,0,854,84.5,3.4
70,City,Vishakhapatnam,13.29,29,2.2,1.6,26,2,0.8,13,1,1.8,488,36.7,4.3,87,6.5,2.4,2,0.2,0.1,0,0,0,0,0,0,25,1.9,2.3,0,0,0,0,0,0,670,50.4,2.7
City,City,Total (Cities),1078.8,1768,1.6,100,3110,2.9,100,721,0.7,100,11409,10.6,100,3602,3.3,100,2475,2.3,100,4,0,100,0,0,0,1106,1,100,50,0,100,511,0.5,100,24756,22.9,100
