Sl. No.,Category,States/UTs/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
14,State,Madhya Pradesh,6513,1460.1,567,230.7,66,4.3,1347,300.5,872,245.8,475,54.7,78,28.9,3618,927.6,12394,2878.2,24583,5830.2
15,State,Maharashtra,9501,4516.1,174,152.7,25,88.7,3340,867.1,1568,525.4,1772,341.7,42,50.2,3433,2705.7,36345,25131.8,52860,33512.4
16,State,Manipur,81,30.2,43,22.8,3,0.1,0,0,0,0,0,0,1,0.5,10,54.3,308,275.8,446,383.7
17,State,Meghalaya,235,284.6,19,39.3,2,0,0,0,0,0,0,0,0,0,30,11.3,383,186.3,669,521.5
18,State,Mizoram,345,105,5,0.8,0,0,0,0,0,0,0,0,0,0,158,85.8,239,27,747,218.6
19,State,Nagaland,129,111.1,33,29.8,0,0,0,0,0,0,0,0,17,108.4,64,363.5,102,99.5,345,712.4
20,State,Orissa,2020,517.5,141,13.6,5,0.1,430,145.7,236,91.3,194,54.4,0,0,909,220.1,3914,1347.4,7419,2244.4
21,State,Punjab,1569,995.4,40,49.1,0,0,45,20.7,13,9.4,32,11.3,2,1,780,685,3127,1915.7,5563,3667
22,State,Rajasthan,3088,764,154,228.2,11,2.7,350,51.6,234,41.3,116,10.3,0,0,443,115.4,16365,5858,20411,7019.8
23,State,Sikkim,54,29.9,0,0,0,0,0,0,0,0,0,0,1,0,8,7.1,64,24.7,127,61.7
24,State,Tamil Nadu,3840,924.9,143,83.9,5,1.9,289,75.2,144,34.1,145,41.1,1,0.4,2051,642.7,8690,2051.7,15019,3780.7
25,State,Tripura,238,89.1,0,0,0,0,0,0,0,0,0,0,0,0,116,52.8,145,53.3,499,195.2
26,State,Uttar Pradesh,3166,4341.2,10223,2907.3,0,0,1521,179.4,702,137.6,819,41.8,0,0,897,212,10139,2244.7,25946,9884.7
27,State,Uttarakhand,551,216,7,5.2,0,0,13,1,13,1,0,0,2,0.9,121,66.9,928,470.6,1622,760.4
28,State,West Bengal,3924,944.2,67,13.6,0,0,680,106.1,423,72.4,257,33.7,1,2.8,1745,789.7,10917,2864.2,17334,4720.6
State,State,Total (States),71198,25296,13180,4691.6,243,131.5,11808,2554.9,6628,1730.2,5180,824.8,236,347.9,28932,11297.4,169379,68654.4,294976,112973.8
29,Union Territory,A & N Islands,25,8.9,0,0,6,0.2,0,0,0,0,0,0,1,0.4,28,5,68,36.9,128,51.4
30,Union Territory,Chandigarh,815,513.7,0,0,0,0,0,0,0,0,0,0,0,0,732,246.8,444,105.9,1991,866.5
31,Union Territory,D & N Haveli,25,41.6,1,0,2,2.1,0,0,0,0,0,0,1,0.2,18,10.6,7,1.2,54,55.7
32,Union Territory,Daman & Diu,3,1.1,0,0,1,0.1,0,0,0,0,0,0,0,0,7,8.8,38,60.4,49,70.4
33,Union Territory,Delhi,5106,4093.3,0,0,0,0,821,254.9,41,86.5,780,168.4,14,1.6,1120,867.8,11806,6478.9,18867,11696.5
34,Union Territory,Lakshadweep,3,0.5,0,0,1,0.1,0,0,0,0,0,0,1,0.1,1,0,2,0.1,8,0.7
35,Union Territory,Puducherry,72,18.7,0,0,0,0,0,0,0,0,0,0,0,0,47,7.3,569,158,688,183.9
Union Territory,Union Territory,Total (UTs),6049,4677.9,1,0,10,2.4,821,254.9,41,86.5,780,168.4,17,2.3,1953,1146.3,12934,6841.3,21785,12925.1
Total (All India),Total (All India),Total (All India),77247,29973.9,13181,4691.7,253,133.9,12629,2809.9,6669,1816.7,5960,993.2,253,350.2,30885,12443.7,182313,75495.7,316761,125898.9
36,City,Agra,48,8.1,922,217.4,0,0,0,0,0,0,0,0,0,0,36,27.5,545,177.9,1551,430.8
37,City,Ahmedabad,883,202,0,0,0,0,0,0,0,0,0,0,2,2.8,956,223.7,3644,1320.2,5485,1748.7
38,City,Allahabad,29,4.5,307,63.7,0,0,0,0,0,0,0,0,0,0,32,9.7,96,33.2,464,111.1
39,City,Amritsar,125,24.8,8,6.7,0,0,0,0,0,0,0,0,0,0,63,8.3,270,152,466,191.9
40,City,Asansol,19,5.4,0,0,0,0,0,0,0,0,0,0,0,0,27,11.4,176,44.7,222,61.5
41,City,Bengaluru,2513,1154.4,60,17.6,0,0,0,0,0,0,0,0,16,32.8,741,497.8,6351,2519.1,9681,4221.7
42,City,Bhopal,604,51.2,0,0,0,0,0,0,0,0,0,0,0,0,177,44.4,1600,360.3,2381,455.8
43,City,Chennai,478,181.3,0,0,0,0,0,0,0,0,0,0,0,0,200,54.1,867,155.7,1545,391.1
44,City,Coimbatore,121,35.1,0,0,0,0,0,0,0,0,0,0,0,0,256,105.1,244,70.6,621,210.9
45,City,Delhi (city),4639,3666.4,0,0,0,0,821,254.9,41,86.5,780,168.4,14,1.6,1040,807.2,11014,5771.1,17528,10501.2
46,City,Dhanbad,208,41.6,0,0,0,0,0,0,0,0,0,0,0,0,51,1,22,5.5,281,48.1
47,City,Faridabad,141,18.7,0,0,0,0,0,0,0,0,0,0,0,0,269,77.8,535,295.2,945,391.7
48,City,Hyderabad,2355,929.9,0,0,0,0,0,0,0,0,0,0,0,0,957,300.3,1888,630.9,5200,1861.1
49,City,Indore,3921,968.6,0,0,0,0,0,0,0,0,0,0,0,0,84,20.8,203,50.2,4208,1039.5
50,City,Jabalpur,795,119.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1.8,823,121.6
51,City,Jaipur,594,77.9,5,5,0,0,0,0,0,0,0,0,1,0,58,3.3,4158,1948.9,4816,2035.1
52,City,Jamshedpur,217,20.1,85,117.2,0,0,0,0,0,0,0,0,0,0,195,85.2,285,51.3,782,273.7
53,City,Kanpur,106,8.5,821,178.4,0,0,0,0,0,0,0,0,0,0,65,14.4,301,89,1293,290.3
54,City,Kochi,72,26.7,0,0,0,0,0,0,0,0,0,0,0,0,111,32.2,129,23.8,312,82.6
55,City,Kolkata,679,357,0,0,0,0,0,0,0,0,0,0,0,0,1017,549.8,1669,614.6,3365,1521.4
56,City,Lucknow,40,5.5,1704,384.2,0,0,0,0,0,0,0,0,0,0,79,10.6,1027,51.5,2850,451.7
57,City,Ludhiana,178,158.5,0,0,0,0,0,0,0,0,0,0,0,0,23,2.4,336,321.4,537,482.3
58,City,Madurai,21,2.8,11,0.7,0,0,0,0,0,0,0,0,0,0,33,108.6,467,3.5,532,115.7
59,City,Meerut,45,4.2,288,119.3,0,0,0,0,0,0,0,0,0,0,15,1.2,259,27.1,607,151.6
60,City,Mumbai,1832,1440.7,75,26.7,6,48.2,0,0,0,0,0,0,5,17.8,941,979.2,10113,13297.8,12972,15810.4
61,City,Nagpur,269,71.6,0,0,0,0,0,0,0,0,0,0,0,0,78,25.8,1715,894,2062,991.5
62,City,Nasik,79,72.6,0,0,0,0,0,0,0,0,0,0,7,4.8,120,101.8,1147,547.7,1353,727
63,City,Patna,847,14.7,0,0,0,0,0,0,0,0,0,0,0,0,63,1.6,172,4.1,1082,20.4
64,City,Pune,955,469.7,0,0,2,0.4,0,0,0,0,0,0,13,7.2,422,259.8,4117,1814.1,5509,2551.3
65,City,Rajkot,105,84,0,0,0,0,0,0,0,0,0,0,0,0,59,13.1,1230,272.5,1394,369.7
66,City,Surat,1190,0,0,0,0,0,1,0,0,0,1,0,5,2.6,321,158.5,1532,1048,3049,1209.1
67,City,Vadodara,380,160.4,2,0.9,0,0,0,0,0,0,0,0,1,1.4,112,16.1,920,241.3,1415,420.1
68,City,Varanasi,32,5.5,632,86.1,0,0,0,0,0,0,0,0,0,0,23,7.9,140,23.6,827,123
69,City,Vijayawada,217,39.6,0,0,0,0,0,0,0,0,0,0,0,0,45,4.4,914,185.1,1176,229.1
70,City,Vishakhapatnam,451,57.9,15,8.1,1,1.6,0,0,0,0,0,0,0,0,80,39.6,498,129.9,1045,237.1
