Sl. No.,Category,States/ UTs/Cities,"Murder (Sec. 302, 303 IPC) - Incidence","Murder (Sec. 302, 303 IPC) - Rate",Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC) - Total - Incidence,Rape (Sec. 376 IPC) - Total - Rate,Rape (Sec. 376 IPC) - Custodial - Incidence,Rape (Sec. 376 IPC) - Custodial - Rate,Rape (Sec. 376 IPC) - Others - Incidence,Rape (Sec. 376 IPC) - Others - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - of Others - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Rate",Theft (Sec.379-382 IPC) - Total - Incidence,Theft (Sec.379-382 IPC) - Total - Rate,Theft (Sec.379-382 IPC) - Auto Theft - Incidence,Theft (Sec.379-382 IPC) - Auto Theft - Rate,Theft (Sec.379-382 IPC) - Other Theft - Incidence,Theft (Sec.379-382 IPC) - Other Theft - Rate,"Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Incidence","Riots (Sec.143-145,147-151,153,153A,153B,157,158,160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC) - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.304B IPC) - Incidence,Dowry Deaths (Sec.304B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
54,City,Kochi,9,0.7,11,0.8,3,0.2,12,0.9,0,0,12,0.9,12,0.9,7,0.5,5,0.4,1,0.1,0,0,31,2.3,114,8.4,312,23,95,7,217,16,141,10.4,14,1,224,16.5,0,0,3,0.2,355,26.2,1,0.1,59,4.4,5,0.4,87,6.4,0,0,0,0,6562,484.3,7956,587.2
55,City,Kolkata,51,0.4,77,0.6,23,0.2,35,0.3,0,0,35,0.3,116,0.9,92,0.7,24,0.2,14,0.1,45,0.3,86,0.7,138,1,3365,25.5,546,4.1,2819,21.3,211,1.6,246,1.9,1273,9.6,35,0.3,0,0,1470,11.1,12,0.1,211,1.6,81,0.6,405,3.1,4,0,427,3.2,4680,35.4,13005,98.4
56,City,Lucknow,95,4.2,127,5.6,27,1.2,41,1.8,0,0,41,1.8,309,13.6,266,11.7,43,1.9,13,0.6,1,0,143,6.3,730,32.2,2850,125.7,1525,67.3,1325,58.4,354,15.6,543,24,1041,45.9,20,0.9,0,0,32,1.4,37,1.6,147,6.5,328,14.5,647,28.5,0,0,392,17.3,3858,170.2,11735,517.6
57,City,Ludhiana,65,4.7,66,4.7,10,0.7,44,3.2,0,0,44,3.2,110,7.9,76,5.4,34,2.4,5,0.4,18,1.3,16,1.1,203,14.6,537,38.5,289,20.7,248,17.8,0,0,20,1.4,268,19.2,4,0.2,2,0.1,250,17.9,9,0.6,36,2.6,21,1.5,88,6.3,0,0,211,15.1,864,61.9,2847,204.1
58,City,Madurai,39,3.3,38,3.2,0,0,4,0.3,0,0,4,0.3,24,2,14,1.2,10,0.8,1,0.1,0,0,8,0.7,65,5.4,532,44.5,174,14.6,358,30,19,1.6,3,0.3,117,9.8,26,2.2,5,0.4,91,7.6,5,0.4,11,0.9,2,0.2,42,3.5,0,0,139,11.6,1299,108.7,2470,206.7
59,City,Meerut,54,4.6,68,5.8,9,0.8,19,1.6,0,0,19,1.6,84,7.2,63,5.4,21,1.8,1,0.1,0,0,53,4.5,75,6.4,607,52,309,26.5,298,25.5,43,3.7,65,5.6,171,14.7,20,1.7,0,0,11,0.9,14,1.2,51,4.4,101,8.7,163,14,0,0,151,12.9,1005,86.1,2765,236.9
60,City,Mumbai,210,1.3,132,0.8,0,0,218,1.3,0,0,218,1.3,189,1.2,116,0.7,73,0.4,35,0.2,27,0.2,328,2,2846,17.4,12972,79.3,4068,24.9,8904,54.4,377,2.3,481,2.9,2025,12.4,124,0.8,22,0.1,4155,25.4,11,0.1,436,2.7,121,0.7,502,3.1,0,0,709,4.3,6850,41.8,32770,200.2
61,City,Nagpur,100,4.7,57,2.7,4,0.2,53,2.5,0,0,53,2.5,43,2,28,1.3,15,0.7,14,0.7,41,1.9,321,15.1,941,44.3,2062,97.1,871,41,1191,56.1,258,12.2,77,3.6,336,15.8,21,1,16,0.8,773,36.4,7,0.3,91,4.3,71,3.3,237,11.2,0,0,269,12.7,2869,135.1,8661,408
62,City,Nasik,43,3.7,31,2.7,0,0,14,1.2,0,0,14,1.2,34,3,21,1.8,13,1.1,22,1.9,2,0.2,78,6.8,523,45.4,1353,117.4,668,58,685,59.5,186,16.1,28,2.4,166,14.4,11,1,10,0.9,276,24,5,0.4,42,3.6,10,0.9,141,12.2,0,0,293,25.4,545,47.3,3813,331
63,City,Patna,146,8.6,68,4,9,0.5,25,1.5,0,0,25,1.5,230,13.5,51,3,179,10.5,34,2,0,0,265,15.5,554,32.5,1082,63.4,852,49.9,230,13.5,202,11.8,41,2.4,233,13.6,5,0.3,2,0.1,80,4.7,28,1.6,9,0.5,1,0.1,126,7.4,0,0,256,15,5618,329.1,9014,528.1
64,City,Pune,137,3.6,141,3.8,5,0.1,92,2.4,0,0,92,2.4,110,2.9,80,2.1,30,0.8,37,1,39,1,379,10.1,1395,37.1,5509,146.7,3262,86.8,2247,59.8,530,14.1,82,2.2,600,16,30,0.8,21,0.6,1328,35.4,7,0.2,113,3,73,1.9,273,7.3,0,0,642,17.1,2924,77.8,14467,385.2
65,City,Rajkot,37,3.7,33,3.3,1,0.1,12,1.2,0,0,12,1.2,54,5.4,40,4,14,1.4,9,0.9,0,0,68,6.8,320,31.9,1394,139.1,784,78.2,610,60.9,140,14,71,7.1,85,8.5,14,1.4,12,1.2,417,41.6,1,0.1,30,3,19,1.9,312,31.1,0,0,128,12.8,2368,236.3,5525,551.4
66,City,Surat,97,3.5,42,1.5,3,0.1,28,1,0,0,28,1,131,4.7,79,2.8,52,1.8,24,0.9,4,0.1,146,5.2,544,19.4,3049,108.5,1939,69,1110,39.5,165,5.9,39,1.4,178,6.3,29,1,10,0.4,856,30.5,11,0.4,54,1.9,2,0.1,472,16.8,0,0,382,13.6,4475,159.2,10741,382.1
67,City,Vadodara,20,1.3,32,2.1,3,0.2,7,0.5,0,0,7,0.5,34,2.3,30,2,4,0.3,9,0.6,2,0.1,23,1.5,366,24.5,1415,94.8,827,55.4,588,39.4,123,8.2,20,1.3,119,8,6,0.4,5,0.3,283,19,0,0,16,1.1,3,0.2,268,18,0,0,159,10.7,2473,165.8,5386,361
68,City,Varanasi,41,3.4,35,2.9,12,1,8,0.7,0,0,8,0.7,48,4,31,2.6,17,1.4,1,0.1,1,0.1,18,1.5,148,12.2,827,68.2,632,52.1,195,16.1,56,4.6,104,8.6,198,16.3,24,2,0,0,97,8,24,2,11,0.9,83,6.8,103,8.5,0,0,88,7.3,807,66.6,2734,225.6
69,City,Vijayawada,34,3.4,58,5.7,1,0.1,30,3,0,0,30,3,49,4.8,36,3.6,13,1.3,1,0.1,0,0,24,2.4,189,18.7,1176,116.3,321,31.8,855,84.6,8,0.8,52,5.1,326,32.2,13,1.3,23,2.3,1482,146.6,9,0.9,104,10.3,252,24.9,395,39.1,0,0,291,28.8,610,60.3,5127,507.1
70,City,Vishakhapatnam,32,2.4,36,2.7,1,0.1,29,2.2,0,0,29,2.2,34,2.6,26,2,8,0.6,3,0.2,0,0,28,2.1,263,19.8,1045,78.6,343,25.8,702,52.8,14,1.1,31,2.3,267,20.1,21,1.6,10,0.8,412,31,13,1,87,6.5,2,0.2,488,36.7,0,0,313,23.6,1886,141.9,5015,377.4
City,City,Total (Cities),2960,2.7,2856,2.6,297,0.3,1768,1.6,0,0,1768,1.6,4516,4.2,3110,2.9,1406,1.3,436,0.4,639,0.6,5104,4.7,19406,18,98379,91.2,50711,47,47668,44.2,4865,4.5,3805,3.5,17351,16.1,960,0.9,375,0.3,29002,26.9,721,0.7,3602,3.3,2475,2.3,11409,10.6,4,0,8989,8.3,127234,117.9,347153,321.8
