Sl. No.,Category,States/Uts/Cities,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Total - Number,Railways - Total - Value,Railways - Running Train - Number,Railways - Running Train - Value,Railways - Others in Railways - Number,Railways - Others in Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
16,State,Manipur,24,23.2,0,0,0,0,0,0,0,0,0,0,0,0,35,24.5,17,3.2,76,50.9
17,State,Meghalaya,96,48.1,0,0,0,0,0,0,0,0,0,0,1,0.4,17,35.1,54,22.4,168,106
18,State,Mizoram,249,33.7,0,0,0,0,0,0,0,0,0,0,1,0,71,13.7,17,0.5,338,47.8
19,State,Nagaland,42,46,0,0,0,0,0,0,0,0,0,0,2,233.3,18,25,65,372,127,676.3
20,State,Orissa,1928,607,28,0,0,0,3,0.1,0,0,3,0.1,18,48.8,484,226.3,639,203.7,3100,1085.9
21,State,Punjab,1104,695.6,1,0.6,0,0,0,0,0,0,0,0,21,33.2,606,582.7,889,448.1,2621,1760.1
22,State,Rajasthan,2795,230.3,0,0,0,0,0,0,0,0,0,0,36,121.8,1137,352.4,768,857.3,4736,1561.8
23,State,Sikkim,59,17.4,0,0,0,0,0,0,0,0,0,0,0,0,12,6.4,10,3,81,26.8
24,State,Tamil Nadu,2466,998.2,5,0.4,0,0,1,0.1,0,0,1,0.1,16,4.7,512,195.3,849,285.2,3849,1483.8
25,State,Tripura,142,51.2,0,0,0,0,0,0,0,0,0,0,0,0,24,12.2,52,25.3,218,88.7
26,State,Uttar Pradesh,3676,1089.2,0,0,0,0,4,0.7,0,0,4,0.7,1,5.5,250,67.9,1487,2859.5,5418,4022.8
27,State,Uttarakhand,150,72.4,0,0,0,0,0,0,0,0,0,0,1,0,84,46.4,188,57.2,423,176
28,State,West Bengal,256,189.7,2,0.8,0,0,1,2,1,2,0,0,1,0.8,34,17.2,168,52.8,462,263.3
State,State,Total (States),59333,21842.6,117,25.1,4,2.7,19,5.3,2,2.5,17,2.8,334,1084.3,14400,8438,17087,10594.1,91294,41992
29,Union Territory,A & N Islands,51,12.5,0,0,0,0,0,0,0,0,0,0,0,0,16,10.9,11,6,78,29.4
30,Union Territory,Chandigarh,180,73.7,0,0,0,0,0,0,0,0,0,0,0,0,66,45.5,11,3.3,257,122.4
31,Union Territory,D & N Haveli,26,19.9,0,0,0,0,0,0,0,0,0,0,0,0,18,41.9,5,0.6,49,62.4
32,Union Territory,Daman & Diu,19,12.1,0,0,0,0,0,0,0,0,0,0,0,0,24,213.7,2,0.2,45,226
33,Union Territory,Delhi,1292,858.4,0,0,0,0,1,3,0,0,1,3,0,0,278,177.2,355,60.8,1926,1099.4
34,Union Territory,Lakshadweep,2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,3,1.7
35,Union Territory,Puducherry,68,45.4,0,0,0,0,0,0,0,0,0,0,0,0,15,8.9,7,0.5,90,54.9
Union Territory,Union Territory,Total (UTs),1638,1023.6,0,0,0,0,1,3,0,0,1,3,0,0,418,498.2,391,71.4,2448,1596.2
TOTAL (ALL INDIA),TOTAL (ALL INDIA),Total (All India),60971,22866.2,117,25.1,4,2.7,20,8.3,2,2.5,18,5.8,334,1084.3,14818,8936.2,17478,10665.5,93742,43588.2
36,City,Agra,123,41.7,0,0,0,0,0,0,0,0,0,0,0,0,4,1.3,49,2.8,176,45.7
37,City,Ahmedabad,427,251.2,0,0,0,0,0,0,0,0,0,0,2,0,203,121.1,146,209.8,778,582.1
38,City,Allahabad,108,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2.2,122,10.1
39,City,Amritsar,108,45.1,0,0,0,0,0,0,0,0,0,0,4,0.1,26,12.3,4,1.1,142,58.6
40,City,Asansol,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.4,4,0.6
41,City,Bengaluru,1501,1502.1,0,0,0,0,0,0,0,0,0,0,2,0,212,235.6,72,949.4,1787,2687.2
42,City,Bhopal,787,153.9,0,0,0,0,0,0,0,0,0,0,0,0,74,28.2,0,0,861,182.1
43,City,Chennai,205,111.6,0,0,0,0,0,0,0,0,0,0,1,0,84,26.5,32,5.4,322,143.5
44,City,Coimbatore,37,19.2,0,0,0,0,0,0,0,0,0,0,0,0,14,12,27,6,78,37.2
45,City,Delhi (city),1167,766.4,0,0,0,0,1,3,0,0,1,3,0,0,237,144,316,35.3,1721,948.7
46,City,Dhanbad,106,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,21.2
47,City,Faridabad,163,53.5,0,0,0,0,0,0,0,0,0,0,2,0.1,87,25.2,24,37.5,276,116.3
48,City,Hyderabad,621,266,0,0,0,0,0,0,0,0,0,0,0,0,198,235.4,324,98.9,1143,600.2
49,City,Indore,804,152.1,0,0,0,0,0,0,0,0,0,0,0,0,80,15.1,210,39.7,1094,206.9
50,City,Jabalpur,309,87.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,87.8
51,City,Jaipur,490,76.2,0,0,0,0,0,0,0,0,0,0,1,106.9,177,70.3,19,38.4,687,291.7
52,City,Jamshedpur,55,30.2,0,0,0,0,0,0,0,0,0,0,0,0,52,33.1,0,0,107,63.2
53,City,Kanpur,247,167.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,279,174.4
54,City,Kochi,70,33.8,0,0,0,0,0,0,0,0,0,0,0,0,20,29.7,24,11.3,114,74.8
55,City,Kolkata,75,157.3,0,0,0,0,0,0,0,0,0,0,0,0,29,13.3,34,39,138,209.6
56,City,Lucknow,655,132.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,13.1,730,145.6
57,City,Ludhiana,90,172.4,0,0,0,0,0,0,0,0,0,0,5,0.2,84,212.9,24,11.7,203,397.2
58,City,Madurai,31,19.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34.8,65,54.2
59,City,Meerut,10,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,12.3,75,14.5
60,City,Mumbai,1571,1670.1,0,0,1,2.1,0,0,0,0,0,0,2,2.2,835,1650.2,437,180.7,2846,3505.2
61,City,Nagpur,698,379.4,0,0,0,0,0,0,0,0,0,0,4,1.1,157,86,82,15.4,941,481.9
62,City,Nasik,354,199.8,0,0,0,0,0,0,0,0,0,0,4,1.5,111,222.9,54,27.8,523,451.9
63,City,Patna,427,3.1,0,0,0,0,0,0,0,0,0,0,0,0,31,0.7,96,2,554,5.8
64,City,Pune,946,638.1,0,0,0,0,0,0,0,0,0,0,3,0.1,348,269.2,98,45.7,1395,953.1
65,City,Rajkot,136,53.8,0,0,0,0,0,0,0,0,0,0,0,0,81,35.4,103,64.5,320,153.7
66,City,Surat,299,282.8,0,0,0,0,0,0,0,0,0,0,2,0,60,161.5,183,69.3,544,513.5
67,City,Vadodara,275,126.5,0,0,0,0,0,0,0,0,0,0,3,0.5,72,37.7,16,12,366,176.6
68,City,Varanasi,116,25.7,0,0,0,0,0,0,0,0,0,0,0,0,6,1.6,26,9.1,148,36.4
69,City,Vijayawada,125,45,0,0,0,0,0,0,0,0,0,0,0,0,38,16.7,26,19.4,189,81.1
70,City,Vishakhapatnam,176,63.5,0,0,0,0,0,0,0,0,0,0,0,0,60,19.3,27,12.1,263,94.9
