Sr. No.,Category,States/ UTs/Cities,Incest (Rape) - No. of Cases Reported,Incest (Rape) - No. of Victims - Upto 10 Years,Incest (Rape) - No. of Victims - 10 - 14 Years,Incest (Rape) - No. of Victims - 14 - 18 Years,Incest (Rape) - No. of Victims - 18 - 30 Years,Incest (Rape) - No. of Victims - 30 - 50 Years,Incest (Rape) - No. of Victims - Above 50 Years,Incest (Rape) - No. of Victims - Total Victims,Other (Rape) - No. of Cases Reported,Other (Rape) - No. of Victims - Upto 10 Years,Other (Rape) - No. of Victims - 10 - 14 Years,Other (Rape) - No. of Victims - 14 - 18 Years,Other (Rape) - No. of Victims - 18 - 30 Years,Other (Rape) - No. of Victims - 30 - 50 Years,Other (Rape) - No. of Victims - Above 50 Years,Other (Rape) - No. of Victims - Total Victims,Rape Cases (Total) - No. of Cases Reported,Rape Cases (Total) - No. of Victims - Upto 10 Years,Rape Cases (Total) - No. of Victims - 10-14 Years,Rape Cases (Total) - No. of Victims - 14 - 18 Years,Rape Cases (Total) - No. of Victims - 18 - 30 Years,Rape Cases (Total) - No. of Victims - 30 - 50 Years,Rape Cases (Total) - No. of Victims - Above 50 Years,Rape Cases (Total) - No. of Victims - Total Victims
11,State,Jharkhand,12,0,0,0,7,5,0,12,779,1,2,5,655,114,2,779,791,1,2,5,662,119,2,791
12,State,Karnataka,0,0,0,0,0,0,0,0,446,21,24,52,301,47,1,446,446,21,24,52,301,47,1,446
13,State,Kerala,17,0,6,6,4,1,0,17,551,27,45,133,270,72,6,553,568,27,51,139,274,73,6,570
14,State,Madhya Pradesh,52,3,9,20,15,5,0,52,2885,66,218,576,1533,472,20,2885,2937,69,227,596,1548,477,20,2937
15,State,Maharashtra,35,4,5,8,11,6,1,35,1523,114,130,433,696,155,4,1532,1558,118,135,441,707,161,5,1567
16,State,Manipur,0,0,0,0,0,0,0,0,38,9,8,8,12,1,0,38,38,9,8,8,12,1,0,38
17,State,Meghalaya,5,1,3,0,1,0,0,5,83,5,14,14,46,4,0,83,88,6,17,14,47,4,0,88
18,State,Mizoram,3,0,1,1,1,0,0,3,74,9,3,4,48,10,0,74,77,9,4,5,49,10,0,77
19,State,Nagaland,1,0,0,0,1,0,0,1,18,0,0,0,18,0,0,18,19,0,0,0,19,0,0,19
20,State,Orissa,17,2,0,1,13,1,0,17,1096,15,27,23,632,387,12,1096,1113,17,27,24,645,388,12,1113
21,State,Punjab,2,0,0,0,1,1,0,2,515,27,36,45,358,46,5,517,517,27,36,45,359,47,5,519
22,State,Rajasthan,40,2,6,7,21,4,0,40,1315,27,110,268,685,215,10,1315,1355,29,116,275,706,219,10,1355
23,State,Sikkim,1,1,0,0,0,0,0,1,19,8,3,1,8,0,0,20,20,9,3,1,8,0,0,21
24,State,Tamil Nadu,1,1,0,0,0,0,0,1,572,26,29,131,340,46,0,572,573,27,29,131,340,46,0,573
25,State,Tripura,0,0,0,0,0,0,0,0,204,16,23,65,96,4,0,204,204,16,23,65,96,4,0,204
26,State,Uttar Pradesh,1,0,0,0,0,1,0,1,1870,44,171,685,785,185,0,1870,1871,44,171,685,785,186,0,1871
27,State,Uttarakhand,6,0,2,1,2,1,0,6,81,0,2,4,62,13,0,81,87,0,4,5,64,14,0,87
28,State,West Bengal,9,5,2,1,1,0,0,9,2254,17,51,53,1628,504,1,2254,2263,22,53,54,1629,504,1,2263
State,State,Total (States),269,21,42,65,106,31,4,269,20684,545,1188,3277,12043,3519,126,20698,20953,566,1230,3342,12149,3550,130,20967
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,12,0,1,7,3,1,0,12,12,0,1,7,3,1,0,12
30,Union Territory,Chandigarh,3,0,0,2,1,0,0,3,17,2,3,5,6,1,0,17,20,2,3,7,7,1,0,20
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,6,0,1,2,3,0,0,6,6,0,1,2,3,0,0,6
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,37,2,12,8,10,1,4,37,429,69,83,127,123,29,2,433,466,71,95,135,133,30,6,470
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,2,0,0,0,1,1,0,2
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,8,0,1,3,3,1,0,8,8,0,1,3,3,1,0,8
Union Territory,Union Territory,Total (UTs),40,2,12,10,11,1,4,40,474,71,89,144,139,33,2,478,514,73,101,154,150,34,6,518
Total (All-India),Total (All-India),Total (All-India),309,23,54,75,117,32,8,309,21158,616,1277,3421,12182,3552,128,21176,21467,639,1331,3496,12299,3584,136,21485
36,City,Agra,0,0,0,0,0,0,0,0,22,1,2,1,14,4,0,22,22,1,2,1,14,4,0,22
37,City,Ahmedabad,0,0,0,0,0,0,0,0,44,0,0,0,27,17,0,44,44,0,0,0,27,17,0,44
38,City,Allahabad,0,0,0,0,0,0,0,0,5,0,1,2,2,0,0,5,5,0,1,2,2,0,0,5
39,City,Amritsar,0,0,0,0,0,0,0,0,15,1,3,1,10,0,0,15,15,1,3,1,10,0,0,15
40,City,Asansol,0,0,0,0,0,0,0,0,20,0,0,0,12,8,0,20,20,0,0,0,12,8,0,20
41,City,Bengaluru,0,0,0,0,0,0,0,0,54,1,0,0,45,8,0,54,54,1,0,0,45,8,0,54
42,City,Bhopal,5,1,2,1,1,0,0,5,75,6,10,37,18,4,0,75,80,7,12,38,19,4,0,80
43,City,Chennai,1,1,0,0,0,0,0,1,34,3,2,17,11,1,0,34,35,4,2,17,11,1,0,35
44,City,Coimbatore,0,0,0,0,0,0,0,0,9,0,3,2,4,0,0,9,9,0,3,2,4,0,0,9
45,City,Delhi (city),33,2,12,7,8,1,3,33,363,61,76,109,97,23,1,367,396,63,88,116,105,24,4,400
46,City,Dhanbad,1,0,0,0,1,0,0,1,16,0,1,0,13,2,0,16,17,0,1,0,14,2,0,17
47,City,Faridabad,1,0,0,1,0,0,0,1,45,0,0,5,33,6,1,45,46,0,0,6,33,6,1,46
48,City,Hyderabad,2,2,0,0,0,0,0,2,60,0,25,10,20,5,0,60,62,2,25,10,20,5,0,62
49,City,Indore,0,0,0,0,0,0,0,0,71,1,1,1,54,13,1,71,71,1,1,1,54,13,1,71
50,City,Jabalpur,0,0,0,0,0,0,0,0,72,0,0,2,58,12,0,72,72,0,0,2,58,12,0,72
51,City,Jaipur,1,0,0,1,0,0,0,1,59,3,9,8,33,6,0,59,60,3,9,9,33,6,0,60
52,City,Jamshedpur,3,0,0,0,1,2,0,3,14,0,0,0,12,2,0,14,17,0,0,0,13,4,0,17
53,City,Kanpur,0,0,0,0,0,0,0,0,72,3,6,23,33,7,0,72,72,3,6,23,33,7,0,72
54,City,Kochi,0,0,0,0,0,0,0,0,12,1,1,7,5,0,0,14,12,1,1,7,5,0,0,14
55,City,Kolkata,0,0,0,0,0,0,0,0,35,2,5,8,18,2,0,35,35,2,5,8,18,2,0,35
56,City,Lucknow,0,0,0,0,0,0,0,0,41,1,7,16,14,3,0,41,41,1,7,16,14,3,0,41
57,City,Ludhiana,0,0,0,0,0,0,0,0,44,5,2,8,26,3,0,44,44,5,2,8,26,3,0,44
58,City,Madurai,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,4,4,0,0,1,3,0,0,4
59,City,Meerut,0,0,0,0,0,0,0,0,19,1,2,13,3,0,0,19,19,1,2,13,3,0,0,19
60,City,Mumbai,14,1,1,1,6,5,0,14,204,19,17,56,101,20,0,213,218,20,18,57,107,25,0,227
61,City,Nagpur,3,1,0,0,2,0,0,3,50,2,3,31,9,5,0,50,53,3,3,31,11,5,0,53
62,City,Nasik,1,0,0,0,0,0,1,1,13,1,0,2,10,0,0,13,14,1,0,2,10,0,1,14
63,City,Patna,0,0,0,0,0,0,0,0,25,0,0,2,22,1,0,25,25,0,0,2,22,1,0,25
64,City,Pune,2,0,1,1,0,0,0,2,90,4,11,38,28,8,1,90,92,4,12,39,28,8,1,92
65,City,Rajkot,0,0,0,0,0,0,0,0,12,0,1,2,9,0,0,12,12,0,1,2,9,0,0,12
66,City,Surat,1,0,0,1,0,0,0,1,27,4,3,4,6,10,0,27,28,4,3,5,6,10,0,28
67,City,Vadodara,0,0,0,0,0,0,0,0,7,3,0,0,4,0,0,7,7,3,0,0,4,0,0,7
68,City,Varanasi,0,0,0,0,0,0,0,0,8,0,2,4,2,0,0,8,8,0,2,4,2,0,0,8
69,City,Vijayawada,0,0,0,0,0,0,0,0,30,5,5,15,4,1,0,30,30,5,5,15,4,1,0,30
70,City,Vishakhapatnam,0,0,0,0,0,0,0,0,29,0,2,0,27,0,0,29,29,0,2,0,27,0,0,29
City,City,Total (Cities),68,8,16,13,19,8,4,68,1700,128,200,425,787,171,4,1715,1768,136,216,438,806,179,8,1783
