Sl. No.,Category,State/UT,Arms Act,NDPS Act,Gambling Act,Excise Act,Prohibition Act,Exp. & Exp. Sub. Act,I.T.P. Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act for SCs,Protection of Civil Rights Act for STs,Indian Passport Act,Essential Commodities Act,TADA Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Rep. of Women Proh. Act,Copy Right Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act for SCs,SC/ST (Prev.) of Atrocities Act for STs,Forest Act,Other SLL Crimes,Total Cog. Crimes Under SLL
19,State,Nagaland,93.3,98.8,100,100,100,0,100,NA,NA,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.1,94
20,State,Orissa,88.9,100,100,99.6,NA,94.9,100,100,NA,100,98.3,100,99.5,100,NA,NA,98.8,100,NA,100,NA,96.3,96.5,94.8,NA,95.8,98.8
21,State,Punjab,98,98.3,99.6,99,100,76.9,97.8,71.4,NA,100,NA,100,100,96.9,NA,100,100,83.3,NA,97.2,NA,74.6,74.6,NA,100,81.5,98.2
22,State,Rajasthan,99.8,97.4,100,99.9,NA,99.2,100,20,100,100,NA,100,NA,98.5,NA,NA,100,100,100,99.2,NA,100,100,100,99.9,83.9,96.9
23,State,Sikkim,100,100,NA,NA,NA,80,NA,NA,100,99.5,99.8,100,99.9,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.5,89.9
24,State,Tamil Nadu,96.7,78.1,100,NA,88.3,98.3,100,42.9,100,100,100,NA,NA,59.1,NA,0,95.8,100,100,100,NA,93.6,93.6,100,100,50,61.7
25,State,Tripura,92.3,96,100,NA,NA,50,NA,NA,NA,100,100,100,NA,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,90.6
26,State,Uttar Pradesh,99.3,98.9,99.9,99.8,NA,95.8,92.2,50,100,99.5,99.7,100,99.9,82.9,NA,75,80.3,NA,NA,95.6,NA,86,86,100,90.8,98.8,98.8
27,State,Uttarakhand,99.6,98.1,100,99.5,NA,75,75,100,100,98.9,96.7,99.9,99.5,75.5,NA,NA,100,NA,NA,91.9,NA,70.4,70.4,NA,91.9,100,99.9
28,State,West Bengal,97.9,89,90.9,63.5,100,75,85.7,0,99.2,100,100,100,100,85.5,NA,0,100,100,100,91.5,NA,75,60,100,55.6,74,84.8
State,State,Total (States),98.8,96.6,99.9,99.5,96.2,88.7,99.1,50,99,100,98.3,100,99.5,92.8,40,58.5,91,93.3,99.9,98.9,100,89.4,89,93.6,93.8,93.7,94.6
29,Union Territory,A & N Islands,0,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,100,NA,NA,0,NA,NA,NA,NA,100,NA,100,NA,99.4,99.8
30,Union Territory,Chandigarh,100,98.3,100,99.5,NA,NA,100,NA,100,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,93.3,NA,100,100,NA,NA,75,98.1
31,Union Territory,D & N Haveli,100,NA,100,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,NA,90
32,Union Territory,Daman & Diu,NA,NA,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,100
33,Union Territory,Delhi,99.5,99.8,100,99.9,NA,100,100,100,100,NA,NA,NA,100,95.4,NA,100,100,100,NA,97.4,NA,94.7,94.7,NA,100,99.2,99.5
34,Union Territory,Lakshadweep,NA,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100
35,Union Territory,Puducherry,100,100,100,NA,NA,60,100,NA,NA,100,100,NA,NA,100,NA,NA,100,NA,NA,100,NA,NA,NA,NA,NA,99.2,99.1
Union Territory,Union Territory,Total (UTs),99.5,99.7,100,99.9,100,93.8,100,100,100,100,100,0,100,96.4,0,100,95,100,0,97.4,0,95.5,95,100,100,99.1,99.5
Total (All India),Total (All India),Total (All India),98.9,96.7,99.9,99.5,96.2,88.8,99.1,50.4,99,87.5,92.4,18.2,91.7,92.9,40,60.5,91,93.3,99.9,98.8,100,89.4,89,93.7,93.8,93.7,94.6
