Sl. No.,Category,States/ UTs,"Disposal of Cases - Murder (Sec. 302,303 IPC) - Confession","Disposal of Cases - Murder (Sec. 302,303 IPC) - Trial","Disposal of Cases - Murder (Sec. 302,303 IPC) - Total",Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Confession,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Trial,Disposal of Cases - Attempt to Commit Murder (Sec. 307 IPC) - Total,"Disposal of Cases - C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - Confession","Disposal of Cases - C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - Trial","Disposal of Cases - C.H. Not Amounting to Murder (Sec. 304, 308 IPC) - Total",Disposal of Cases - Rape (Sec. 376 IPC) - Confession,Disposal of Cases - Rape (Sec. 376 IPC) - Trial,Disposal of Cases - Rape (Sec. 376 IPC) - Total,"Disposal of Cases - Kidnapping & Abduction (Women & Girls + Others) (Sec. 363-369,371-373 IPC) - Confession","Disposal of Cases - Kidnapping & Abduction (Women & Girls + Others) (Sec. 363-369,371-373 IPC) - Trial","Disposal of Cases - Kidnapping & Abduction (Women & Girls + Others) (Sec. 363-369,371-373 IPC) - Total",Disposal of Cases - Kidnapping & Abduction Women & Girls - Confession,Disposal of Cases - Kidnapping & Abduction Women & Girls - Trial,Disposal of Cases - Kidnapping & Abduction Women & Girls - Total,Disposal of Cases - Kidnapping & Abduction Others - Confession,Disposal of Cases - Kidnapping & Abduction Others - Trial,Disposal of Cases - Kidnapping & Abduction Others - Total,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Confession,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Trial,Disposal of Cases - Dacoity (Sec. 395-398 IPC) - Total,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Confession,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Trial,Disposal of Cases - Preparation and Assembly for Dacoity (Sec. 399-402 IPC) - Total,"Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Confession","Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Trial","Disposal of Cases - Robbery (Sec. 392-394, 397,398 IPC) - Total","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Confession","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Trial","Disposal of Cases - Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC) - Total","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Confession","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Trial","Disposal of Cases - Arson (Sec. 435, 436,438 IPC) - Total",Disposal of Cases - Dowry Death (Sec. 304B IPC) - Confession,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Trial,Disposal of Cases - Dowry Death (Sec. 304B IPC) - Total,Disposal of Cases - Confession - Total,Disposal of Cases - Trial - Total,Disposal of Cases - Grand Total
16,State,Manipur,0,5,5,0,3,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,11,11
17,State,Meghalaya,3,21,24,0,12,12,0,2,2,2,24,26,0,7,7,0,4,4,0,3,3,2,15,17,0,0,0,3,21,24,0,2,2,0,10,10,0,0,0,10,114,124
18,State,Mizoram,10,6,16,20,5,25,1,0,1,12,80,92,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,5,5,0,2,2,0,32,32,0,0,0,46,130,176
19,State,Nagaland,4,28,32,9,28,37,2,3,5,1,14,15,3,10,13,0,5,5,3,5,8,2,7,9,0,0,0,4,17,21,0,2,2,0,0,0,0,0,0,25,109,134
20,State,Orissa,0,781,781,0,790,790,0,46,46,0,645,645,0,406,406,0,349,349,0,57,57,0,155,155,0,31,31,0,606,606,0,873,873,0,187,187,0,251,251,0,4771,4771
21,State,Punjab,0,670,670,0,516,516,0,69,69,0,439,439,0,181,181,0,110,110,0,71,71,0,28,28,0,79,79,0,65,65,0,0,0,0,37,37,0,85,85,0,2169,2169
22,State,Rajasthan,0,774,774,0,1234,1234,0,36,36,1,662,663,0,563,563,0,396,396,0,167,167,0,31,31,0,67,67,0,391,391,1,3000,3001,0,311,311,0,259,259,2,7328,7330
23,State,Sikkim,0,2,2,0,7,7,0,0,0,0,7,7,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,5,19,24
24,State,Tamil Nadu,7,1244,1251,3,1637,1640,0,22,22,0,432,432,2,549,551,1,486,487,1,63,64,2,71,73,0,15,15,2,407,409,18,1836,1854,2,308,310,1,183,184,37,6704,6741
25,State,Tripura,0,66,66,0,15,15,0,0,0,0,84,84,0,45,45,0,30,30,0,15,15,0,11,11,0,2,2,0,9,9,0,49,49,0,16,16,0,15,15,0,312,312
26,State,Uttar Pradesh,0,4153,4153,0,4179,4179,0,1157,1157,0,1374,1374,0,2817,2817,0,2218,2218,0,599,599,0,293,293,0,94,94,0,1448,1448,0,2978,2978,0,244,244,0,1719,1719,0,20456,20456
27,State,Uttarakhand,0,183,183,0,125,125,0,33,33,0,107,107,0,119,119,0,88,88,0,31,31,0,22,22,0,6,6,0,67,67,0,117,117,0,22,22,0,55,55,0,856,856
28,State,West Bengal,0,1128,1128,0,481,481,0,312,312,0,905,905,0,583,583,0,476,476,0,107,107,0,167,167,0,435,435,0,204,204,0,2800,2800,0,83,83,0,330,330,0,7428,7428
State,State,Total (States),596,21816,22412,293,20006,20299,25,2719,2744,290,13494,13784,176,11643,11819,126,8461,8587,50,3182,3232,75,3124,3199,13,1573,1586,160,9460,9620,442,40805,41247,49,4650,4699,44,5749,5793,2163,135039,137202
29,Union Territory,A & N Islands,0,12,12,0,3,3,0,0,0,0,5,5,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,4,4,0,5,5,0,2,2,0,0,0,0,33,33
30,Union Territory,Chandigarh,0,26,26,0,26,26,0,2,2,0,17,17,0,34,34,0,30,30,0,4,4,0,2,2,0,2,2,0,23,23,0,62,62,0,2,2,0,3,3,0,199,199
31,Union Territory,D & N Haveli,0,10,10,0,4,4,0,0,0,0,5,5,0,3,3,0,1,1,0,2,2,0,2,2,0,0,0,0,0,0,0,7,7,0,2,2,0,0,0,0,33,33
32,Union Territory,Daman & Diu,0,0,0,0,1,1,0,0,0,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,26,26,0,1,1,0,2,2,0,35,35
33,Union Territory,Delhi,0,377,377,0,255,255,0,43,43,0,376,376,0,207,207,0,154,154,0,53,53,0,22,22,0,74,74,0,278,278,0,39,39,0,4,4,0,26,26,0,1701,1701
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35,Union Territory,Puducherry,0,19,19,0,7,7,0,2,2,0,2,2,0,6,6,0,4,4,0,2,2,0,0,0,0,0,0,0,1,1,0,49,49,0,4,4,0,0,0,0,90,90
Union Territory,Union Territory,Total (UTs),0,444,444,0,296,296,0,47,47,0,408,408,0,252,252,0,190,190,0,62,62,0,28,28,0,76,76,0,307,307,0,188,188,0,15,15,0,31,31,0,2092,2092
Total (All India),Total (All India),Total (All India),596,22260,22856,293,20302,20595,25,2766,2791,290,13902,14192,176,11895,12071,126,8651,8777,50,3244,3294,75,3152,3227,13,1649,1662,160,9767,9927,442,40993,41435,49,4665,4714,44,5780,5824,2163,137131,139294
