Sl. No.,Category,States/ UTs,"Gain - Murder (Sec.302,303 IPC)","Gain - C.H. (Sec.304, 308 IPC)","Property Dispute - Murder (Sec.302,303 IPC)","Property Dispute - C.H. (Sec.304, 308 IPC)","Personal Vendetta or Enmity - Murder (Sec.302,303 IPC)","Personal Vendetta or Enmity - C.H. (Sec.304, 308 IPC)","Love Affairs/ Sexual Causes - Murder (Sec.302,303 IPC)","Love Affairs/ Sexual Causes - C.H. (Sec.304, 308 IPC)","Dowry - Murder (Sec.302,303 IPC)","Dowry - C.H. (Sec.304, 308 IPC)","Lunacy - Murder (Sec.302,303 IPC)","Lunacy - C.H. (Sec.304, 308 IPC)","Witchcraft - Murder (Sec.302,303 IPC)","Witchcraft - C.H. (Sec.304, 308 IPC)","Political Reasons - Murder (Sec.302,303 IPC)","Political Reasons - C.H. (Sec.304, 308 IPC)","Terrorist/ Extremist Violence - Murder (Sec.302,303 IPC)","Terrorist/ Extremist Violence - C.H. (Sec.304, 308 IPC)","Communalism - Murder (Sec.302,303 IPC)","Communalism - C.H. (Sec.304, 308 IPC)","Casteism - Murder (Sec.302,303 IPC)","Casteism - C.H. (Sec.304, 308 IPC)","Class Conflict - Murder (Sec.302,303 IPC)","Class Conflict - C.H. (Sec.304, 308 IPC)","Other Motives - Murder (Sec.302,303 IPC)","Other Motives - C.H. (Sec.304, 308 IPC)","Total - Murder (Sec.302,303 IPC)","Total - C.H. (Sec.304, 308 IPC)"
11,State,Jharkhand,123,3,226,1,112,3,50,0,51,0,5,35,52,0,8,0,19,0,0,0,0,0,0,0,1051,70,1697,112
12,State,Karnataka,55,1,83,1,113,2,87,2,54,2,2,0,1,0,2,0,1,0,0,0,1,0,0,0,1299,73,1698,81
13,State,Kerala,23,0,11,3,86,1,0,1,2,0,4,0,0,0,21,1,0,0,4,0,0,0,0,0,211,89,362,95
14,State,Madhya Pradesh,107,1,289,2,465,9,196,0,38,6,6,2,17,0,1,0,0,0,17,0,5,0,0,0,1181,184,2322,204
15,State,Maharashtra,60,1,128,0,172,0,239,0,106,0,6,1,11,0,12,0,19,0,10,0,4,0,0,0,2028,109,2795,111
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,75,4,187,4
17,State,Meghalaya,20,0,9,0,12,0,2,1,2,0,1,0,3,0,0,0,10,0,0,0,0,0,0,0,67,5,126,6
18,State,Mizoram,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,35,6
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,138,13,143,13
20,State,Orissa,64,0,55,10,101,13,51,0,289,3,0,0,23,0,3,0,9,0,5,0,0,0,0,0,650,58,1250,84
21,State,Punjab,19,1,63,3,38,2,102,2,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,538,137,769,146
22,State,Rajasthan,39,3,51,0,95,2,34,0,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1036,43,1297,54
23,State,Sikkim,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,3
24,State,Tamil Nadu,105,0,132,0,336,0,208,0,7,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,968,27,1759,28
25,State,Tripura,15,0,20,0,25,0,0,0,11,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,75,2,155,2
26,State,Uttar Pradesh,172,9,158,14,301,5,296,7,0,0,0,1,1,0,1,0,1,0,1,0,6,0,0,0,3627,1457,4564,1493
27,State,Uttarakhand,13,0,8,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,40,223,40
28,State,West Bengal,27,5,27,7,99,24,22,1,167,3,2,0,4,0,9,4,0,1,5,0,5,0,58,38,1386,405,1811,488
State,State,Total (States),1593,54,2824,150,3198,106,2291,36,1183,41,55,39,175,1,103,10,533,2,45,0,42,0,74,41,20024,3306,32140,3786
29,Union Territory,A & N Islands,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,2
30,Union Territory,Chandigarh,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,17,6
31,Union Territory,D & N Haveli,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
33,Union Territory,Delhi,21,0,22,5,51,4,29,1,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,412,56,554,66
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,Union Territory,Puducherry,2,0,3,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,35,3
Union Territory,Union Territory,Total (UTs),25,0,28,5,73,6,35,1,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,446,65,626,77
Total (All India),Total (All India),Total (All India),1618,54,2852,155,3271,112,2326,37,1195,41,55,39,175,1,103,10,540,2,45,0,42,0,74,41,20470,3371,32766,3863
