Sl. No.,Category,States/ UTs,"Murder (Sec. 302, 303 IPC)",Attempt to Commit Murder (Sec. 307 IPC),"C.H. Not Amounting to Murder (Sec. 304,308 IPC)",Rape (Sec. 376 IPC) - Total,Rape (Sec. 376 IPC) - Custodial,Rape (Sec. 376 IPC) - Other,"Kidnapping & Abduction (Sec. 363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Women","Kidnapping & Abduction (Sec. 363-369,371-373 IPC) of Others",Dacoity (Sec. 395-398 IPC),Preparation and Assembly for Dacoity (Sec. 399-402 IPC),"Robbery (Sec. 392-394, 397,398 IPC)","Burglary (Sec. 449-452,454, 455,457-460 IPC)",Theft (Sec. 379-382 IPC) - Total,Theft (Sec. 379-382 IPC) - Auto Theft,Theft (Sec. 379-382 IPC) - Other Theft,"Riots (Sec. 143-145,147-151,153, 153A, 153B, 157,158, 160 IPC)",Criminal Breach of Trust (Sec. 406-409 IPC),"Cheating (Sec. 419,420 IPC)","Counter- feiting (Sec. 231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323-333,335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband and Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crimes,Total Cog. Crimes Under IPC
11,State,Jharkhand,35.8,23.5,17.1,21.6,NA,21.6,22.6,19.4,28.9,30.2,21.7,19.7,21.7,25.7,28.6,24.9,28.2,29.3,27.5,16,23.9,17.9,26.3,18.2,14.3,25.7,17.4,27.1,21.3,23.4
12,State,Karnataka,18.4,9.9,4.9,13.4,NA,13.4,2.2,3,1.3,7,0,13.5,14.1,8.6,9.5,8.3,4.4,13.6,8.2,20,3.6,4.8,13,8.5,26.3,5.5,NA,5.9,57.7,36.1
13,State,Kerala,42.3,17.8,15.7,13.3,NA,13.3,1.5,0.9,4.2,12.2,62.6,17.1,36.9,36.2,37.7,35.8,11.8,11.2,9.6,100,4.4,9.1,18.2,12.3,25.9,6.5,NA,80,82.9,55.6
14,State,Madhya Pradesh,50.8,43.5,41.5,30.7,NA,30.7,31,31,30.9,32.2,21.8,37.7,33.4,35.1,33.6,35.5,37.1,49.9,39.1,52.4,32.5,45.6,42.6,42.4,44.8,45.5,NA,67.5,59.6,51.6
15,State,Maharashtra,28.8,20.1,4.4,15.3,NA,15.3,12.4,10.4,17.3,8.5,9.7,15.5,15.4,19.4,23.6,18.9,6.5,9.5,11.5,15,8.3,5.8,8.7,11.1,11.3,3.6,NA,5.3,6.9,9.4
16,State,Manipur,20,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,20,0,21.1,50,0,0,100,NA,33.3,NA,NA,NA,NA,NA,NA,90.3,61.5
17,State,Meghalaya,25,25,50,42.3,NA,42.3,14.3,0,33.3,41.2,NA,50,50,51.1,16.7,53.7,0,0,0,0,0,40.6,NA,52.2,NA,33.3,NA,66.7,58.9,48
18,State,Mizoram,100,80,100,92.4,NA,92.4,100,NA,100,NA,NA,100,96.7,75,100,74.3,100,100,100,94.4,93.8,88.7,NA,82.6,NA,100,NA,95.5,69.9,82.1
19,State,Nagaland,84.4,94.6,80,86.7,NA,86.7,92.3,100,87.5,100,NA,95.2,87.9,93.2,94.3,92.8,100,100,100,100,NA,92.6,NA,75,100,50,NA,95.7,95.4,92.8
20,State,Orissa,29.1,17.2,17.4,24.7,NA,24.7,19,19.2,17.5,13.5,6.5,14.4,20.2,13.2,13,13.2,14.1,11.8,15.4,10,9.6,10.6,14.7,8.7,12.7,18.1,NA,17.5,16.4,15.8
21,State,Punjab,48.5,28.3,36.2,33.9,NA,33.9,20.4,20,21.1,25,26.6,30.8,63.5,55,61.3,51.3,NA,28.8,25.6,51.2,27,16.6,45.9,33,51.4,18.5,NA,29.4,43.9,36.7
22,State,Rajasthan,58.1,52.4,33.3,35,NA,35,33.6,30.6,40.7,38.7,50.7,50.1,49.6,59.3,68,55.4,62.4,45.8,43.7,41.2,36.3,62.6,46.7,61,56,44.2,0,52.6,63.8,59.9
23,State,Sikkim,100,85.7,NA,71.4,NA,71.4,50,50,NA,NA,NA,NA,57.9,57.1,NA,57.1,0,100,50,NA,NA,45.2,NA,50,NA,NA,NA,31.6,67.4,53.5
24,State,Tamil Nadu,38.1,25.3,13.6,25.2,NA,25.2,26.1,28.3,9.4,31.5,46.7,36.4,63.6,64.1,60.9,65.1,31.7,25,33.1,27.6,27.7,52.4,23.9,34.8,40.5,27.3,NA,42.9,70.9,63.2
25,State,Tripura,28.8,13.3,NA,27.4,NA,27.4,13.3,13.3,13.3,27.3,50,22.2,28.9,13.1,36.4,9.6,18.4,0,13,25,0,12.5,13.3,17.3,50,15.3,NA,5.2,13.5,15.6
26,State,Uttar Pradesh,52.7,52.9,51.5,49.6,NA,49.6,52.1,52.8,49.6,48.8,53.2,53.9,48.2,55.3,56.3,54.9,48.8,51,53,59.6,57.4,52.5,50.6,63.8,72.5,53.2,NA,59.5,56.7,55.5
27,State,Uttarakhand,54.6,66.4,48.5,36.4,NA,36.4,53.8,50,64.5,63.6,66.7,58.2,90.7,83.4,84.1,83.2,52.1,57.8,65,69.2,50,75.7,34.5,80.9,98.6,56.1,NA,76.1,70.4,69.5
28,State,West Bengal,19.3,11.2,12.8,15.2,NA,15.2,7.5,7.6,7.5,13.2,5.1,8.8,3.9,2.9,3.8,2.9,1.9,6.4,5.5,38.4,7.2,16.8,12.1,13.6,32.8,7.6,8.3,5.2,16.1,12
State,State,Total (States),38,31.2,35.1,26.5,NA,26.5,27.3,27.3,27.3,22.9,22.4,29.4,35.5,37,42.5,35.4,20.1,29.9,28.7,38.1,22.5,31,33.4,31.4,50.3,22.6,12.3,35.2,53.5,42
29,Union Territory,A & N Islands,41.7,33.3,NA,0,NA,0,0,0,NA,100,NA,0,28.6,16.7,100,13,0,0,33.3,NA,50,20.6,NA,0,NA,0,NA,0,43,31.7
30,Union Territory,Chandigarh,65.4,46.2,50,29.4,NA,29.4,26.5,26.7,25,0,50,65.2,86.4,79,69.4,82.4,19.4,29.2,37.8,40,0,29,33.3,6.3,85.7,8.3,NA,0,43.8,54.3
31,Union Territory,D & N Haveli,40,25,NA,0,NA,0,0,0,0,0,NA,NA,25,25,0,33.3,0,0,0,NA,0,16.7,NA,NA,0,0,NA,0,10.3,12.1
32,Union Territory,Daman & Diu,NA,0,NA,0,NA,0,0,NA,0,100,NA,100,27.8,0,0,0,11.5,0,0,0,0,0,0,0,NA,0,NA,4.8,39.1,24.1
33,Union Territory,Delhi,59.7,39.2,20.9,30.6,NA,30.6,19.3,17.5,24.5,31.8,36.5,45,61.1,67.9,53.5,71.3,43.6,53.1,42.2,50,50,36.6,50,56.6,66.3,12.1,NA,36.9,77.1,65.3
34,Union Territory,Lakshadweep,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
35,Union Territory,Puducherry,47.4,28.6,0,0,NA,0,0,0,0,NA,NA,100,73.5,60.9,53.8,66.4,73.5,100,40,NA,0,75.3,NA,26.9,81.8,0,NA,73.6,92,87.9
Union Territory,Union Territory,Total (UTs),58.6,39.2,21.3,29.7,NA,29.7,19.4,18.4,22.6,32.1,36.8,46.3,64.2,68.3,55.5,71.7,36.2,45.7,40.8,45,20,42.5,45.2,51.6,68.6,11.4,0,46.5,79,68
Total (All India),Total (All India),Total (All India),38.4,31.3,34.8,26.6,NA,26.6,27.1,27.1,27.2,23,23.1,30,36.1,38.8,43.2,37.5,20.2,30.2,29.1,38.3,22.5,31.2,33.4,31.7,50.5,22.4,12.3,35.3,54.3,42.6
