States/ UTs,Cities,Murder (Sec.302 & 303 IPC),Attempt to Commit Murder (Sec.307 IPC),C.H. Not Amounting to Murder (Sec.304 & 308 IPC),Rape (Sec.376 IPC) - Total,Rape (Sec.376 IPC) Custodial,Rape (Sec.376 IPC) Other,"Kidnapping & Abduction (Sec.363-369,371-373 IPC) - Total","Kidnapping & Abduction (Sec.363-369,371-373 IPC) of Women & Girls","Kidnapping & Abduction (Sec.363-369,371-373 IPC) Others",Dacoity (Sec.395 to 398 IPC),Preparation & Assembly for Dacoity (Sec. 399 – 402 IPC),"Robbery (Sec. 392 – 394, 397 & 398 IPC)","Burglary (Sec. 449 – 452, 454, 455, 457 – 460 IPC)",Theft (Sec. 379 -382 IPC) - Total,Theft (Sec. 379 -382 IPC) - Auto theft,Theft (Sec. 379 -382 IPC) - Other theft,"Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC)",Criminal Breach of Trust (Sec. 406 – 409 IPC),"Cheating (Sec. 419, 420 IPC)","Counterfeiting (Sec. 231-254, 489A-489D IPC)","Arson (Sec. 435,436, 438 IPC)","Hurt (Sec. 323-333, 335-338 IPC)",Dowry Death (Sec. 304B IPC),Molestation (Sec. 354 IPC),Sexual Harassment (Sec. 509 IPC),Cruelty by Husband & Relatives (Sec. 498A IPC),Importation of Girls (Sec. 366B IPC),Causing Death by Negligence (Sec. 304A IPC),Other IPC Crime,Total Cog. Crime Under IPC
Rajasthan,Jodhpur,13,56,3,19,0,19,43,35,8,1,1,32,141,759,511,248,22,23,460,1,5,561,10,25,1,212,0,112,716,3216
Rajasthan,Kota,36,132,6,24,0,24,66,55,11,4,3,75,166,946,703,243,2,23,363,1,9,97,10,40,1,307,0,118,1479,3908
Rajasthan,Udaipur,10,31,1,19,0,19,52,35,17,1,1,29,61,352,190,162,51,7,310,0,5,239,1,19,0,5,0,91,775,2060
Tamil Nadu,Chennai,100,130,0,35,0,35,43,32,11,5,0,41,322,1545,269,1276,55,5,293,135,0,726,25,46,67,165,0,613,7478,11829
Tamil Nadu,Chennai Suburban,74,76,0,21,0,21,29,24,5,0,0,16,228,563,117,446,48,7,66,2,1,437,28,42,42,41,0,247,1489,3457
Tamil Nadu,Coimbatore,20,28,0,9,0,9,17,7,10,1,0,11,78,621,166,455,24,11,93,168,4,240,6,29,7,62,0,307,2444,4180
Tamil Nadu,Madurai,39,38,0,4,0,4,24,14,10,1,0,8,65,532,174,358,19,3,117,26,5,91,5,11,2,42,0,139,1299,2470
Tamil Nadu,Salem,29,40,0,22,0,22,32,27,5,1,0,18,45,263,132,131,40,12,71,11,1,378,7,16,11,33,0,133,1150,2313
Tamil Nadu,Thirunelveli,20,45,0,8,0,8,16,12,4,1,0,15,41,239,47,192,4,0,27,0,1,112,2,7,49,7,0,87,893,1574
Tamil Nadu,Trichy,13,30,2,2,0,2,10,4,6,1,1,6,59,444,84,360,10,0,54,7,2,68,5,7,37,25,0,141,2349,3273
Uttar Pradesh,Agra,52,74,26,22,0,22,161,134,27,7,1,37,176,1551,1132,419,155,111,262,34,4,270,38,62,91,240,0,210,1242,4826
Uttar Pradesh,Aligarh,72,65,14,21,0,21,46,34,12,1,3,30,67,321,175,146,93,55,127,3,5,167,26,13,26,95,0,138,497,1885
Uttar Pradesh,Allahabad,43,37,9,5,0,5,58,47,11,2,0,36,122,464,307,157,68,64,148,18,0,26,12,11,37,107,0,76,725,2068
Uttar Pradesh,Bareilly,45,55,9,9,0,9,56,49,7,1,0,17,84,370,226,144,65,65,165,2,0,150,17,30,63,83,0,16,690,1992
Uttar Pradesh,Gorakhpur,53,26,25,32,0,32,104,81,23,1,1,34,91,379,249,130,79,57,152,7,0,235,31,27,36,151,0,181,393,2095
Uttar Pradesh,Kanpur,168,114,39,72,0,72,296,227,69,24,4,144,279,1293,821,472,220,328,645,24,7,505,86,136,578,632,0,127,3164,8885
Uttar Pradesh,Lucknow,95,127,27,41,0,41,309,266,43,13,1,143,730,2850,1525,1325,354,543,1041,20,0,32,37,147,328,647,0,392,3858,11735
Uttar Pradesh,Meerut,54,68,9,19,0,19,84,63,21,1,0,53,75,607,309,298,43,65,171,20,0,11,14,51,101,163,0,151,1005,2765
Uttar Pradesh,Moradabad,37,26,12,10,0,10,62,56,6,0,1,9,62,368,221,147,23,37,82,3,0,29,5,15,56,42,0,79,820,1778
Uttar Pradesh,Varanasi,41,35,12,8,0,8,48,31,17,1,1,18,148,827,632,195,56,104,198,24,0,97,24,11,83,103,0,88,807,2734
West Bengal,Asansol,40,13,10,20,0,20,18,12,6,1,29,3,4,222,120,102,27,7,45,0,7,94,9,20,0,166,0,86,855,1676
West Bengal,Kolkata,51,77,23,35,0,35,116,92,24,14,45,86,138,3365,546,2819,211,246,1273,35,0,1470,12,211,81,405,4,427,4680,13005
Delhi UT,Delhi (city),451,343,42,396,0,396,1317,948,369,17,116,493,1721,17528,10256,7272,60,317,1377,36,36,1753,110,553,123,1310,0,696,15778,44573
