SL. No.,Category,States/U.Ts./Cities,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Other,By Religion - Total,By Community - Scheduled Caste,By Community - Scheduled Tribe,By Community - Other,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric/Hr. Sec.,By Education - Matric/ Higher Secondary and Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardian,By Family Background - Homeless,By Family Background - Total,Economic Set-Up - Lower Income (Below Rs. 150/PM),Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),Economic Set-Up - Upper Middle Income (Above Rs.500 But Below Rs. 1000 P.M.),Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),Economic Set-Up - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
11,State,Maharashtra,28217,10725,399,864,10454,50659,11593,6200,32866,50659,22441,19289,6931,1998,50659,33648,8918,8093,50659,39029,9961,1317,352,50659,45540,5119,50659
12,State,Manipur,139,13,NA,11,NA,163,NA,11,152,163,103,NA,50,10,163,110,43,10,163,163,NA,NA,NA,163,163,NA,163
13,State,Meghalaya,14,20,1,55,21,111,4,55,52,11,67,29,15,NA,111,97,8,6,111,97,13,1,NA,111,98,13,111
14,State,Nagaland,32,17,NA,283,73,405,279,87,39,405,24,157,161,63,405,320,59,26,405,271,86,48,NA,405,333,72,405
15,State,Orissa,516,28,5,21,2,572,164,90,318,572,406,94,57,15,572,357,106,109,572,481,66,23,2,572,461,111,572
16,State,Punjab,486,8,NA,13,708,1215,395,53,767,1215,623,352,207,33,1215,1107,60,48,1215,941,223,51,NA,1215,1206,9,1215
17,State,Rajasthan,3261,761,154,16,162,4354,426,838,3090,4354,2083,1205,803,263,4354,3495,711,148,4354,3496,634,211,13,4354,4182,127,4354
18,State,Sikkim ,24,NA,NA,6,20,50,5,15,30,50,36,14,NA,NA,50,20,16,14,50,18,16,12,4,50,50,NA,50
19,State,Tamil Nadu,20449,2083,1,2354,2659,27546,11811,2121,13614,27546,12842,9480,4444,780,27546,16019,5289,6238,24546,23852,3235,317,142,27546,24080,3466,27546
20,State,Tripura,700,124,NA,NA,NA,824,89,48,687,824,49,724,51,NA,824,250,424,150,824,430,270,124,NA,824,714,110,824
21,State,Uttar Pradesh,546,127,26,NA,NA,699,110,19,570,699,371,239,81,8,699,525,102,72,699,530,151,13,5,699,638,61,699
22,State,West Bengal ,2693,1435,4,161,506,4799,1297,416,3086,4799,3057,1152,370,220,4799,2447,1370,982,4799,3162,1300,337,NA,4799,4707,92,4799
Total (States),State,Total (States),103701,24958,1329,5368,17809,153165,51402,16922,84841,153165,72307,52714,21452,6692,153165,103750,26757,22658,153165,112337,30144,6618,1489,153165,138027,15138,153165
23,UT,A & N Islands,211,39,NA,11,42,303,NA,2,301,303,85,153,65,NA,303,271,31,1,303,162,104,37,NA,303,217,86,303
24,UT,Arunachal Pradesh,16,2,NA,NA,45,63,18,6,39,63,30,20,13,NA,63,48,15,NA,63,48,10,5,NA,63,59,4,63
25,UT,Chandigarh,172,NA,144,3,112,431,58,13,360,431,82,198,105,46,431,367,41,23,431,157,188,47,39,431,402,29,431
26,UT,D & N Haveli,20,1,NA,NA,NA,21,NA,15,6,21,6,14,1,NA,21,21,NA,NA,21,10,9,2,NA,21,21,NA,21
27,UT,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,"Goa, Daman & Diu",838,94,NA,306,12,1250,NA,3,1247,1250,856,319,53,22,1250,799,32,419,1250,1053,197,NA,NA,1250,1121,129,1250
29,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Mizoram,18,14,NA,301,13,346,NA,301,45,346,NA,113,229,4,346,201,91,54,346,28,273,45,NA,346,259,87,346
31,UT,Pondicherry,1243,13,NA,102,83,1441,197,NA,1244,1441,847,472,106,16,1441,933,492,16,1441,1145,296,NA,NA,1441,1417,24,1441
Total (UTs),UT,Total (UTs),2518,163,144,723,307,3855,273,340,3242,3855,1906,1289,572,88,3855,2640,702,513,3855,2603,1077,136,39,3855,3496,359,3855
Total (All-India),Total (All-India),Total (All-India),106219,25121,1473,6091,18116,157020,51675,17262,88083,157020,74213,54003,22024,6780,157020,106390,27549,23171,157020,114940,31221,6754,1528,157020,141523,15497,157020
1,City,Ahmedabad ,7155,861,36,161,NA,8213,1109,NA,7104,8213,1305,6273,635,NA,8213,6175,1937,101,8213,5881,1646,686,NA,8213,2692,5521,8213
2,City,Bangalore ,728,329,2,38,281,1378,198,135,1045,1378,359,316,528,175,1378,599,370,409,1378,686,441,237,14,1378,1214,164,1378
3,City,Bombay,1005,1250,5,65,25,2350,1388,86,876,2350,1647,424,193,86,2350,1857,455,38,2350,1871,445,33,1,2350,1685,665,2350
4,City,Calcutta,349,210,4,2,3,568,NA,NA,568,568,401,130,37,NA,568,320,92,156,568,451,117,NA,NA,568,563,5,568
5,City,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,City,Hyderabad,619,362,33,124,33,1171,50,27,1094,1171,447,296,428,NA,1171,937,142,92,1171,701,398,72,NA,1171,1171,NA,1171
7,City,Kanpur,29,8,3,NA,NA,40,10,NA,30,40,6,18,11,5,40,26,3,11,40,12,16,7,5,40,31,9,40
8,City,Madras,10124,791,NA,1037,1705,13657,6079,755,6823,13657,5813,4175,3112,557,13657,8725,2712,2220,13657,12059,1324,145,129,13657,11795,1862,13657
Total (Cities),City,Total (Cities),20009,3811,83,1427,2047,27377,8834,1003,17540,27377,9978,11632,4944,823,27377,18639,5711,3027,27377,21661,4387,1180,149,27377,19151,8226,27377
