SL. No.,Category,States/UTs/Cities,Murder - Incidence (I),Murder - Volume (V),Culpable Homicide Not Amounting to Murder - Incidence (I),Culpable Homicide Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Thefts - Incidence (I),Thefts - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Others -  Incidence (I),Others - Volume (V),Total Cognizable Crimes - Incidence (I),Total Cognizable Crimes - Volume (V)
11,State,Maharashtra,1536,2.6,23,*,358,0.6,821,1.4,564,1,2850,4.9,19168,33,58700,101.1,4576,7.9,3143,5.4,2466,4.2,28,*,56393,97.1,150626,259.3
12,State,Manipur,48,3.6,3,0.2,5,0.4,199,14.7,28,2.1,49,3.6,299,22.1,813,60.2,186,13.8,135,10,128,9.5,3,0.2,1467,108.7,3363,249.1
13,State,Meghalaya,62,5,4,0.3,9,0.7,4,0.3,14,1.1,53,4.3,232,18.9,600,48.8,141,11.5,26,2.1,37,3,NA,NA,712,57.9,1894,154
14,State,Nagaland,32,4.8,6,0.9,6,0.9,10,1.5,12,1.8,30,4.5,314,47.6,429,65,43,6.5,31,4.7,44,6.7,NA,NA,NA,NA,957,145
15,State,Orissa,458,1.8,35,0.1,94,0.4,170,0.7,277,1.1,556,2.2,7679,29.9,12516,48.7,2195,8.5,539,2.1,369,1.4,13,0.1,14688,57.2,39589,154.2
16,State,Punjab,560,3.7,145,0.9,81,0.5,299,1.9,2,*,25,0.2,1552,10.1,2672,17.4,21,0.1,518,3.4,457,3,7,*,6492,42.3,12831,83.6
17,State,Rajasthan,772,2.5,47,0.2,318,1,1649,5.3,127,0.4,1521,4.9,8384,26.8,14275,45.6,9031,28.8,1105,3.5,1643,5.2,6,*,24874,79.4,63752,203.6
18,State,Sikkim ,8,3.3,5,2.1,10,4.2,3,1.2,NA,NA,6,2.5,36,15,129,53.8,2,0.8,15,6.2,2,0.8,1,0.4,NA,NA,217,90.4
19,State,Tamil Nadu,908,2,25,0.1,118,0.3,683,1.5,44,0.1,243,0.5,11073,24.2,36897,80.7,8852,19.4,1873,4.1,1899,4.2,131,0.3,45227,98.9,107973,263.2
20,State,Tripura,34,1.7,6,0.3,13,0.7,47,2.4,72,3.7,143,7.3,569,29.2,1791,91.8,458,23.5,35,1.8,42,2.2,NA,NA,2145,110,5355,274.6
21,State,Uttar Pradesh,5325,5.3,1277,1.3,812,0.8,3223,3.2,6431,6.4,8881,8.8,39147,38.8,76248,75.6,13101,13,5897,5.8,2818,2.8,63,0.1,54054,53.6,217277,215.5
22,State,West Bengal ,909,1.7,378,0.7,495,0.9,1015,1.9,1332,2.5,1218,2.3,7229,13.7,37666,71.2,12402,23.4,1412,2.7,1255,2.4,92,0.2,28193,53.3,93596,177
Total (States),State,Total (States),19060,3,2447,0.4,4424,0.7,12718,2,13106,2.1,22148,3.5,179063,28.4,407198,64.7,95863,15.2,22299,3.5,18531,2.9,611,0.1,492803,78.3,1290271,205
23,UT,A & N Islands,8,4.7,2,1.2,1,0.6,8,4.7,NA,NA,12,7.1,85,50,167,98.2,29,17.1,17,10,9,5.3,NA,NA,363,213.5,701,412.4
24,UT,Arunachal Pradesh,10,1.7,4,0.7,3,0.5,6,1,3,0.5,12,2,59,10,146,24.7,13,2.2,11,1.9,4,0.7,NA,NA,172,29.2,443,75.1
25,UT,Chandigarh,6,1.4,6,1.4,3,0.7,24,5.6,2,0.5,7,1.6,187,43.5,1663,386.7,6,1.4,57,13.3,62,14.4,NA,NA,586,136.3,2609,606.7
26,UT,D & N Haveli,6,7.5,4,5,NA,NA,1,1.2,NA,NA,7,8.8,28,35,35,43.8,11,13.8,10,12.5,2,2.5,NA,NA,116,145,220,275
27,UT,Delhi,182,3.3,256,4.6,79,1.4,821,14.8,69,1.2,667,12,3738,67.4,25286,455.6,305,5.5,679,12.2,1114,20.1,22,0.4,10189,183.6,43407,782.1
28,UT,"Goa, Daman & Diu",10,0.9,4,0.4,4,0.4,7,0.7,4,0.4,29,2.6,441,41.2,566,52.9,119,11.1,24,2.2,31,2.9,NA,NA,942,88,2181,203.8
29,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,26.7,8,26.7,4,13.3,NA,NA,NA,NA,NA,NA,NA,NA,20,66.7
30,UT,Mizoram,21,5,4,1,29,6.9,7,1.7,8,1.9,39,9.3,71,16.9,229,54.5,2,0.5,62,14.8,26,6.2,NA,NA,273,65,771,183.6
31,UT,Pondicherry,11,2,1,0.2,15,2.7,24,4.3,3,0.5,2,0.4,311,55.5,1889,373.3,136,24.3,96,17.1,42,7.5,3,0.5,1812,323.6,4345,775.9
Total (UTs),UT,Total (UTs),254,2.9,281,3.2,134,1.5,898,10.1,89,1,775,8.7,4928,55.4,29989,337,625,7,956,10.7,1290,14.5,25,0.3,14453,162.4,54697,614.6
Total (All-India),Total (All-India),Total (All-India),19314,3,2728,0.4,4558,0.7,13616,2.1,13195,2.1,22923,3.6,183991,28.8,437187,68.5,96488,15.1,23255,3.6,19821,3.1,636,0.1,507256,79.4,1344968,210.7
1,City,Ahmedabad ,36,1.8,2,0.1,11,0.5,137,6.8,2,1,32,1.6,475,23.5,2655,131.4,193,9.6,146,7.2,209,10.3,1,*,4136,204.8,8035,397.8
2,City,Bangalore ,38,2,1,0.1,19,1,94,4.9,46,2.4,474,24.6,2764,143.2,10554,546.8,548,28.4,451,23.4,949,49.2,52,2.7,10073,521.9,26063,1350.4
3,City,Bombay,191,2.4,NA,NA,63,0.8,240,3,22,0.3,314,4,2525,32.1,17638,224.1,334,4.2,1045,13.3,1130,14.4,11,0.1,12647,160.7,36160,459.5
4,City,Calcutta,97,2.9,5,0.2,22,0.7,130,3.9,52,1.6,170,5.1,671,20.2,6400,192.8,818,24.6,323,9.7,370,11.1,58,1.7,3923,118.2,13039,392.7
5,City,Delhi,156,3.1,224,4.4,69,1.4,768,15.1,52,1,629,12.4,3450,67.8,24295,477.3,267,5.2,663,13,1092,21.5,22,0.4,9374,184.2,41061,806.7
6,City,Hyderabad,42,2,2,0.1,11,0.5,43,2,7,0.3,43,2,1268,59.8,4136,195.1,179,8.4,85,4,175,8.3,6,0.3,1775,83.7,7772,366.6
7,City,Kanpur,200,14.2,39,2.8,37,2.6,230,16.3,227,16.1,390,27.7,1674,118.7,4488,318.3,412,29.2,530,37.6,315,22.3,23,1.6,2830,200.7,11395,808.2
8,City,Madras,40,1.2,1,*,9,0.3,78,2.4,1,*,28,0.9,839,25.9,10597,327.1,356,11,548,16.9,886,27.3,61,1.9,5645,174.2,19089,589.2
Total (Cities),City,Total (Cities),800,3,274,1,241,0.9,1720,6.4,409,1.5,2080,7.7,13666,50.6,80763,299.1,3107,11.5,3791,14,5126,19,234,0.9,50403,186.7,162614,602.3
