SL. No.,Category,State/UT/City,Murder - 1990,Murder - 1991,Murder - Percentage Variation,Attempt to Commit Murder - 1990,Attempt to Commit Murder - 1991,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting to Murder - 1990,C.H. Not Amounting to Murder - 1991,C.H. Not Amounting to Murder - Percentage Variation,Rape - 1990,Rape - 1991,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1990,Kidnapping & Abduction - Total - 1991,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - Of Women & Girls - 1990,Kidnapping & Abduction - Of Women & Girls - 1991,Kidnapping & Abduction - Of Women & Girls - Percentage Variation,Kidnapping & Abduction - Of Others - 1990,Kidnapping & Abduction - Of Others - 1991,Kidnapping & Abduction - Of Others - Percentage Variation,Dacoity - 1990,Dacoity - 1991,Dacoity - Percentage Variation,Preparation & Assembly for Dacoity - 1990,Preparation & Assembly for Dacoity - 1991,Preparation & Assembly for Dacoity - Percentage Variation,Robbery - 1990,Robbery - 1991,Robbery - Percentage Variation,Burglary - 1990,Burglary - 1991,Burglary - Percentage Variation,Theft - 1990,Theft - 1991,Theft - Percentage Variation,Riots - 1990,Riots - 1991,Riots - Percentage Variation,Criminal Breach of Trust - 1990,Criminal Breach of Trust - 1991,Criminal Breach of Trust - Percentage Variation,Cheating - 1990,Cheating - 1991,Cheating - Percentage Variation,Counterfeiting - 1990,Counterfeiting - 1991,Counterfeiting - Percentage Variation,Other IPC Crimes - 1990,Other IPC Crimes - 1991,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1990,Total Cognizable Crimes Under IPC - 1991,Total Cognizable Crimes Under IPC - Percentage Variation
30,UT,Delhi,390,496,27.2,386,501,29.8,70,108,54.3,177,214,20.9,886,858,-3.2,841,609,-27.6,45,249,453.3,17,33,94.1,21,27,28.6,226,284,25.7,1552,1628,4.9,12206,13145,7.7,300,329,9.7,644,546,-15.2,1254,1354,8,35,71,102.9,13684,15282,11.7,31848,34876,9.5
31,UT,Lakshadweep,0,1,@,0,2,@,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,7,11,57.1,6,15,150,3,6,100,2,1,-50,0,0,NA,0,0,NA,12,18,50,30,54,80
32,UT,Pondicherry,24,28,16.7,20,23,15,1,0,-100,10,11,10,11,13,18.2,6,11,83.3,5,2,-60,7,4,-42.9,0,0,NA,14,15,7.1,204,252,23.5,935,2261,141.8,168,298,77.4,17,17,0,25,45,80,6,71,1083.3,1713,1979,15.5,3155,5017,59
Total (UTs),UT,Total (UTs),472,562,19.1,431,558,29.5,76,112,47.4,205,236,15.1,944,909,-3.7,878,646,-26.4,66,263,298.5,28,41,46.4,21,27,28.6,257,309,20.2,2028,2182,7.6,14165,16388,15.7,643,743,15.6,699,589,-15.7,1338,1458,9,46,149,223.9,17067,18558,8.7,38420,42821,11.5
Total (All-India),Total (All-India),Total (All-India),35045,39174,11.8,27095,29778,9.9,4281,4243,-0.9,10068,10410,3.4,18474,20079,8.7,14446,14283,-1.1,4028,5796,43.9,11089,10831,-2.3,1286,1393,8.3,25440,26428,3.9,131331,132087,0.6,353191,362928,2.8,102846,105309,2.4,16552,17495,5.7,24466,27466,12.3,2576,4467,73.4,840709,886287,5.4,1604449,1678375,4.6
33,City,Ahmedabad,152,136,-10.5,182,137,-24.7,3,9,200,20,26,30,161,203,26.1,120,164,36.7,41,39,-4.9,24,26,8.3,0,0,NA,96,134,39.6,914,905,-1,4319,5382,24.6,507,220,-56.6,163,581,256.4,145,837,477.2,18,23,27.8,8143,9398,15.4,14847,18017,21.43
34,City,Bangalore,132,126,-2.3,51,61,19.6,3,3,0,21,25,19,103,85,-17.5,46,32,-30.4,57,53,-7,21,22,4.8,0,1,@,129,134,3.9,1750,1854,5.9,7064,7688,8.8,305,1053,245.2,269,252,-6.3,718,625,-13,766,1395,82.1,11701,11984,2.4,23033,25311,9.9
35,City,Bombay,446,473,6.1,285,261,-8.4,5,6,20,107,114,6.5,303,332,9.6,187,164,-12.3,116,168,44.8,83,115,38.6,31,58,87.1,871,1136,30.4,2355,2665,13.2,15161,16201,6.9,250,220,-12,776,687,-11.5,1278,1255,-1.8,56,55,-1.8,16295,16319,0.1,38302,39897,4.2
36,City,Calcutta,76,92,21.1,163,149,-8.6,14,17,21.4,24,17,-29.2,139,110,-20.9,60,78,30,79,32,-59.5,41,21,-48.8,9,26,188.9,139,159,14.4,329,350,6.4,6320,6899,9.2,609,617,1.3,312,322,3.2,536,584,9,72,39,-45.8,4192,4401,5,12975,13803,6.4
37,City,Delhi,337,417,23.7,356,438,23,54,87,61.1,153,195,27.5,802,767,-4.4,784,551,-29.7,18,216,1100,15,29,93.3,15,23,53.3,202,264,30.7,1444,1509,4.5,11663,12587,7.9,263,292,11,590,515,-12.7,1218,1331,9.3,35,69,97.1,12363,13939,12.7,29510,32462,10
38,City,Hyderabad,249,178,-28.5,195,241,23.6,8,6,-25,27,38,40.7,56,79,41.1,21,33,57.1,35,46,31.4,34,18,-47.1,0,0,NA,82,126,53.7,1371,1493,8.9,3138,3749,19.5,651,658,1.1,86,84,-2.3,369,404,9.5,31,25,-19.4,2470,3637,47.2,8767,10736,22.5
39,City,Jaipur,42,56,33.3,55,57,3.6,3,4,33.3,13,22,69.2,123,134,8.9,120,121,0.8,3,43,333.3,4,2,-50,0,0,NA,61,78,27.9,498,641,28.7,1533,2149,40.2,996,1078,8.2,130,150,15.4,438,372,-15.1,8,19,137.5,2997,3479,16.1,6901,8241,19.4
40,City,Kanpur,159,196,23.3,186,231,24.2,37,39,5.4,28,23,-17.9,166,194,16.9,142,153,7.7,24,41,70.8,41,52,26.8,9,18,100,115,176,53,639,739,15.6,1538,2124,38.1,332,233,-29.8,247,288,16.6,227,231,1.8,16,50,212.5,2029,3118,53.7,5769,7712,33.7
41,City,Lucknow,102,143,40.2,113,130,15,13,28,115.4,36,28,-22.2,108,92,-14.8,95,29,-69.5,13,63,384.6,28,25,-10.7,9,21,133.3,121,135,11.6,707,691,-2.3,2460,2297,-6.6,267,241,-9.7,223,222,-0.4,400,242,-39.5,3,14,366.7,2871,2485,-13.4,7461,6794,-8.9
42,City,Madras,92,81,-12,0,118,@,2,3,50,20,26,30,40,24,-40,40,24,-40,0,0,NA,3,3,0,1,0,-100,120,134,11.7,851,747,-12.2,6723,6135,-8.7,184,458,148.9,173,126,-27.2,541,394,-27.2,324,449,38.6,3298,3935,19.3,1272,12633,2.1
43,City,Nagpur,122,143,17.2,65,68,4.6,2,2,0,46,51,10.9,58,87,50,39,70,79.5,19,17,-10.5,17,14,-17.6,0,0,NA,333,328,-1.5,849,792,-6.7,3084,3263,5.8,213,174,-18.3,120,123,2.5,183,177,-3.3,12,115,858.3,4494,4650,3.5,9598,9987,4.1
44,City,Pune,83,69,-16.9,54,40,-25.9,4,5,25,22,36,63.6,63,70,11.1,41,50,22,22,20,-9.1,9,13,44.4,1,7,600,126,143,13.5,789,990,25.5,2933,3398,15.9,180,178,-1.1,97,135,39.2,148,253,70.9,42,38,-9.5,5741,6036,5.1,10292,11411,10.9
