SL.No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of Others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
5,Tamil Nadu,Trichy,111,70,0,13,31,31,0,5,0,11,595,1633,312,32,80,110,4773,7776
1,Uttar Pradesh,Agra,70,115,12,26,126,95,31,39,3,110,463,1250,275,117,158,0,687,3451
2,Uttar Pradesh,Aligarh,53,96,12,12,49,38,11,17,10,45,176,460,100,37,54,0,837,1958
3,Uttar Pradesh,Allahabad,71,178,14,14,38,21,17,13,3,100,260,912,95,16,73,0,1070,2857
4,Uttar Pradesh,Bareilly,70,87,20,19,69,57,12,10,NA,78,258,977,78,64,54,0,859,2643
5,Uttar Pradesh,Gorakhpur,42,44,11,5,26,18,8,7,14,38,224,436,101,32,35,4,291,1310
6,Uttar Pradesh,Kanpur,196,231,39,23,194,153,41,52,18,176,739,2124,233,288,231,50,3178,7712
7,Uttar Pradesh,Lucknow,143,130,28,28,92,29,63,25,21,135,691,2297,241,222,242,14,2485,6794
8,Uttar Pradesh,Meerut,115,130,28,27,82,39,43,35,23,212,363,1277,147,95,115,0,529,3178
9,Uttar Pradesh,Moradabad,71,65,15,16,77,77,NA,16,3,107,203,735,102,66,37,0,1500,3013
10,Uttar Pradesh,Varanasi,28,110,10,10,80,35,45,10,7,60,325,936,195,45,40,6,1130,2992
1,West Bengal,Calcutta,92,149,17,17,110,78,32,21,26,159,350,6899,617,322,584,39,4401,13803
