SL.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Others IPC Crimes,Total Cognizable Crimes Under IPC
16,Andhra Pradesh,Nellore,66,36,2,34,28,24,4,26,3,49,256,585,101,16,34,6,2290,3532
17,Andhra Pradesh,Nizambad,153,70,6,28,54,21,33,114,0,69,286,448,221,18,33,4,1673,3177
18,Andhra Pradesh,Prakasham,111,83,1,12,27,16,11,52,6,48,183,509,278,24,37,9,2315,3695
19,Andhra Pradesh,Ranga Reddy,135,88,8,28,57,57,0,65,0,145,674,1012,225,38,68,3,3018,5564
20,Andhra Pradesh,Srikakulam,46,22,0,12,19,6,13,8,0,5,116,279,102,14,29,1,1488,2141
21,Andhra Pradesh,Vishakhapatnam,83,39,2,23,32,28,4,31,0,39,543,1566,136,63,94,23,2867,5541
22,Andhra Pradesh,Vizianagram,28,19,1,18,7,7,0,8,0,8,153,353,28,15,26,2,3619,4285
23,Andhra Pradesh,Warangal,157,51,6,17,59,12,47,59,0,35,210,491,327,11,30,7,1603,3063
24,Andhra Pradesh,Guntakal Rly.,0,0,0,0,0,0,0,0,0,2,0,179,0,1,2,1,77,262
25,Andhra Pradesh,Secunderabad Rly.,8,1,0,1,1,0,1,1,0,11,0,459,17,2,5,2,41,549
26,Andhra Pradesh,Vijyawada Rly.,2,1,0,0,1,1,0,0,0,5,1,248,12,0,1,1,22,294
27,Andhra Pradesh,Total,2794,1645,71,664,879,458,421,1033,9,1254,8012,20576,5384,629,1512,291,56923,101676
1,Arunachal Pradesh,Changlang,5,4,0,2,8,6,2,4,0,2,17,12,2,1,3,0,87,147
2,Arunachal Pradesh,Dibang Valley,6,7,0,1,5,3,2,0,0,3,11,17,1,1,3,0,69,124
3,Arunachal Pradesh,Kameng East,0,2,0,1,2,2,0,0,0,3,20,15,1,2,3,0,63,112
4,Arunachal Pradesh,Kameng West,2,5,0,7,3,3,0,2,0,5,19,28,0,2,1,0,78,152
5,Arunachal Pradesh,Lohit,4,1,0,4,5,4,1,6,0,4,15,28,0,2,2,0,102,173
6,Arunachal Pradesh,Siang East,5,0,5,6,3,2,1,4,0,16,24,48,6,6,4,0,130,257
7,Arunachal Pradesh,Siang West,3,3,1,4,3,1,2,1,0,7,18,33,3,4,2,0,109,191
8,Arunachal Pradesh,Subansiri Lower,23,3,1,6,12,8,4,10,0,7,47,66,2,7,3,0,190,377
9,Arunachal Pradesh,Subansiri Upper,4,5,1,0,5,4,1,2,0,1,10,11,1,2,3,0,77,122
10,Arunachal Pradesh,Tawang,0,1,0,0,0,0,0,0,0,0,0,13,0,3,2,0,17,36
11,Arunachal Pradesh,Tirap,3,3,0,2,2,2,0,1,0,4,10,19,1,7,6,0,112,170
12,Arunachal Pradesh,Total,55,34,8,33,48,35,13,30,0,52,191,290,17,37,32,0,1034,1861
1,Assam,Barpeta,51,11,0,19,62,55,7,57,1,53,27,567,405,37,30,0,772,2092
2,Assam,Bongaigaon,37,13,0,7,24,24,0,15,0,29,129,256,153,20,14,1,413,1111
3,Assam,Cachar,43,8,0,37,76,73,3,19,2,36,309,568,570,35,36,1,1163,2903
4,Assam,Darrang,71,1,2,21,25,3,22,33,1,30,122,189,112,12,10,0,364,993
5,Assam,Dheonaji,10,5,0,12,14,14,0,26,0,15,26,103,16,7,6,1,223,464
6,Assam,Dhubri,34,12,0,33,52,52,0,12,0,11,188,341,429,17,39,0,687,1855
7,Assam,Dibrugarh,82,4,0,10,29,20,9,13,4,32,42,287,89,15,6,0,644,1257
8,Assam,Goalpara,15,3,0,10,28,28,0,11,0,13,79,195,100,14,11,0,263,742
9,Assam,Golaghat,57,22,1,34,64,61,3,16,0,40,133,329,55,12,15,0,633,1411
10,Assam,Hailakandi,27,8,0,8,38,38,0,10,1,5,152,243,272,4,9,0,539,1316
11,Assam,Jorhat,42,6,0,15,68,47,21,10,0,39,163,311,66,15,15,1,632,1383
12,Assam,Karbi Anglang,25,7,2,14,42,39,3,23,0,42,103,244,125,8,5,0,445,1085
13,Assam,Kamrup,55,20,1,33,137,131,6,83,6,135,461,1516,260,108,126,3,1731,4675
14,Assam,Karimaganj,25,16,0,12,33,30,3,13,1,5,140,256,344,3,15,1,430,1294
15,Assam,Kokrajhar,30,13,3,20,20,20,0,17,0,17,83,146,91,0,14,1,382,837
16,Assam,Lakhimpur,29,10,1,34,50,34,16,37,0,30,152,284,73,7,25,0,657,1389
17,Assam,Morigaon,17,8,2,12,22,22,0,7,0,2,115,196,103,12,17,1,286,800
18,Assam,N.C. Hills,6,3,0,2,4,4,0,3,0,10,23,43,8,2,3,0,111,218
19,Assam,Nagaon,47,18,1,37,119,119,0,25,6,51,337,512,376,36,35,1,874,2475
20,Assam,Nalbari,44,13,0,9,46,46,0,81,0,43,116,157,128,7,10,1,412,1067
21,Assam,Sibsagar,62,10,5,32,97,97,0,7,0,42,118,536,77,21,20,2,1150,2179
22,Assam,Sonitpur,82,16,0,55,45,35,10,60,0,49,245,566,158,30,34,0,814,2154
23,Assam,Tinsukia,85,2,0,20,23,20,3,21,2,18,327,391,35,24,11,0,485,1444
24,Assam,Total,976,229,18,486,1118,1012,106,599,24,747,3590,8236,4045,446,506,14,14110,35144
1,Bihar,Araria,42,30,0,32,51,20,31,47,0,38,5,501,405,23,30,0,566,1770
2,Bihar,Aurangabad,60,5,0,5,27,24,3,60,3,48,125,220,267,17,23,0,1068,1928
3,Bihar,Banka,20,50,5,5,17,17,0,67,0,27,118,154,281,0,7,0,392,1143
4,Bihar,Begusarai,107,68,0,8,63,34,29,38,0,67,171,321,362,0,12,0,1409,2626
5,Bihar,Bhabhua,62,62,4,10,8,4,4,67,2,25,72,271,145,13,5,0,280,1026
6,Bihar,Bhagalpur,180,112,14,15,40,16,24,76,17,146,305,505,433,23,46,0,2258,4170
7,Bihar,Bhojpur,103,181,9,23,61,53,8,85,6,54,263,478,334,41,28,0,1271,2937
8,Bihar,Bokaro,65,51,3,10,38,31,7,33,1,73,260,569,247,15,23,0,815,2203
9,Bihar,Buxar,58,15,8,4,15,13,2,94,4,24,123,309,184,6,16,0,922,1782
10,Bihar,Champaran East,81,132,24,11,55,40,15,65,11,53,218,287,441,49,33,1,1381,2842
11,Bihar,Champaran West,75,150,12,18,82,16,66,57,6,29,180,447,510,22,41,1,238,1868
12,Bihar,Darbhanga,51,6,2,24,39,29,10,57,1,30,194,256,544,25,23,0,1565,2817
13,Bihar,Deoghar,42,15,6,10,17,17,0,43,2,34,196,259,212,20,21,0,850,1727
14,Bihar,Dhanbad,111,113,6,35,57,27,30,137,13,131,370,964,434,65,30,0,1685,4151
15,Bihar,Dumka,66,57,13,37,12,10,2,28,0,21,109,264,148,31,22,0,489,1297
16,Bihar,Garhwa,40,42,5,0,11,7,4,0,0,23,48,82,0,2,0,0,154,407
17,Bihar,Gaya,206,205,12,7,44,40,4,103,16,177,179,509,421,29,34,1,1253,3196
18,Bihar,Giridih,58,40,34,21,28,22,6,63,2,41,196,329,377,11,31,0,907,2138
19,Bihar,Godda,46,44,4,22,21,16,5,45,2,20,85,99,110,7,2,0,560,1067
20,Bihar,Gopalganj,77,62,9,5,68,58,10,96,3,62,117,395,244,24,27,0,1142,2331
21,Bihar,Gumla,123,106,16,36,29,29,0,37,3,50,81,193,61,16,10,0,540,1301
22,Bihar,Hazaribagh,118,47,45,35,19,13,6,93,15,113,277,600,338,18,39,0,2084,3841
23,Bihar,Jamshedpur,61,251,9,20,40,40,0,19,4,52,144,641,278,43,23,0,1101,2686
24,Bihar,Jamui,49,53,5,7,0,0,0,55,0,17,110,191,237,3,12,0,452,1191
25,Bihar,Jehanabad,77,50,3,7,61,3,58,69,7,32,93,206,323,11,14,0,536,1489
26,Bihar,Katihar,59,26,5,50,47,40,7,55,0,36,152,384,341,24,38,0,1183,2400
27,Bihar,Khagaria,59,53,1,7,36,25,11,24,7,31,19,378,501,1,8,0,260,1385
28,Bihar,Kishanganj,22,20,9,29,29,21,8,36,1,13,57,135,139,10,11,0,373,884
29,Bihar,Loharadagga,39,7,2,8,12,12,0,15,3,25,31,89,25,4,3,0,180,443
30,Bihar,Medhepura,41,43,2,7,29,16,13,42,2,48,21,348,251,8,12,0,382,1236
31,Bihar,Madhubani,49,73,4,12,46,36,10,42,4,29,294,287,452,15,5,0,2520,3832
32,Bihar,Munger,133,90,22,21,104,54,50,113,0,56,149,511,686,17,36,0,1431,3369
33,Bihar,Muzaffarpur,135,172,5,8,50,42,8,105,40,120,311,430,457,97,34,0,1769,3733
34,Bihar,Nalanda,128,124,6,13,74,15,59,48,2,46,113,392,154,18,22,3,2228,3371
35,Bihar,Nawadah,42,29,4,8,28,10,18,20,5,13,71,179,210,13,11,0,810,1443
36,Bihar,Palamau,135,88,23,24,45,30,15,123,0,49,142,360,265,0,3,0,1224,2481
37,Bihar,Patna,317,718,39,26,204,25,179,173,0,457,644,2873,684,209,215,0,4405,10964
38,Bihar,Purnia,58,19,7,29,56,9,47,100,8,87,190,354,574,32,34,0,803,2351
39,Bihar,Ranchi,268,84,19,47,75,62,13,65,14,307,294,1237,124,45,21,0,2316,4916
40,Bihar,Rohtas,108,67,3,16,76,3,73,137,6,57,313,685,130,7,54,0,791,2450
41,Bihar,Saharsa,27,53,6,7,33,25,8,15,0,21,97,121,226,12,9,0,781,1408
42,Bihar,Sahebganj,104,86,15,57,41,40,1,50,2,22,68,392,198,33,28,0,682,1778
43,Bihar,Samastipur,91,59,31,28,57,31,26,82,16,65,128,256,309,27,24,0,1372,2545
44,Bihar,Saran,113,86,5,3,37,9,28,82,0,89,218,248,330,1,14,0,104,1330
45,Bihar,Singhbhum,239,47,5,28,30,30,0,17,4,46,98,347,81,13,26,1,861,1843
46,Bihar,Sitamarhi,45,4,2,12,32,25,7,46,8,28,137,196,252,10,2,0,1609,2383
47,Bihar,Siwan,91,34,14,8,38,30,8,84,13,82,178,278,259,34,7,0,1361,2481
48,Bihar,Supaul,26,59,9,14,30,24,6,40,4,24,90,154,227,18,33,0,769,1497
49,Bihar,Vaishali,71,10,34,2,46,30,16,51,0,66,218,375,229,35,68,0,1455,2660
50,Bihar,Dhanbad Rly.,7,0,1,0,4,4,0,14,0,10,5,145,7,0,3,0,71,267
51,Bihar,Jamalpur Rly.,6,0,0,0,0,0,0,18,3,9,1,232,9,0,3,0,114,395
52,Bihar,Jamshedpur Rly.,6,3,0,2,4,4,0,4,1,6,7,140,10,0,0,0,99,282
53,Bihar,Katihar Rly.,9,0,0,2,6,5,1,16,0,16,20,242,13,0,3,0,125,452
54,Bihar,Muzaffarpur Rly.,13,0,1,1,0,0,0,10,2,12,19,169,22,0,13,0,188,450
55,Bihar,Patna Rly.,11,5,0,2,0,0,0,21,3,19,6,658,35,4,18,0,187,969
56,Bihar,Total,4430,4006,522,878,2172,1236,936,3182,266,3276,8130,21654,14536,1201,1310,7,54371,119932
1,Goa,North Goa,20,5,0,9,12,8,4,3,0,13,353,574,127,33,40,20,845,2054
2,Goa,South Goa,18,2,8,7,8,6,2,0,0,8,247,524,51,37,27,23,791,1751
3,Goa,Total,38,7,8,16,20,14,6,3,0,21,600,1098,178,70,67,43,1636,3805
1,Gujarat,Ahmedabad Commr.,136,137,9,26,203,164,39,26,0,134,905,5382,220,581,837,23,9398,18017
2,Gujarat,Ahmedabad Rural,46,18,1,9,50,45,5,31,0,59,194,690,106,95,91,1,3319,4710
3,Gujarat,Amreli,25,27,0,8,20,18,2,2,0,20,105,357,58,92,72,1,1405,2192
4,Gujarat,Anand,58,60,1,15,73,57,16,26,0,42,302,1088,112,189,450,1,4262,6679
5,Gujarat,Banaskantha,62,39,1,9,52,51,1,9,0,111,377,814,148,85,122,3,3648,5480
6,Gujarat,Bharuch,111,40,0,25,56,54,2,84,0,61,438,1049,261,137,153,1,4431,6847
7,Gujarat,Bhavnagar,96,41,0,14,26,24,2,5,0,56,214,576,114,117,63,5,2388,3715
8,Gujarat,Gandhinagar,10,6,1,3,11,11,0,3,0,12,138,666,69,33,71,0,1304,2327
9,Gujarat,Jamnagar,41,48,1,17,31,17,14,11,0,43,248,668,43,76,156,3,2567,3953
10,Gujarat,Junagadh,54,42,2,17,34,23,11,5,0,52,304,812,103,158,103,4,3199,4889
11,Gujarat,Kachchh,42,20,0,9,15,14,1,5,0,29,177,350,53,52,38,3,2076,2869
12,Gujarat,Kheda,47,22,2,23,56,56,0,5,0,40,228,695,74,120,207,3,2571,4093
13,Gujarat,Meshana,66,31,0,8,95,89,6,14,0,65,328,1291,244,243,274,4,3766,6429
14,Gujarat,Panchmahal,126,20,0,12,52,52,0,66,0,98,333,545,102,80,165,5,3946,5550
15,Gujarat,Patan,18,36,1,12,28,17,11,4,0,29,136,647,82,122,64,3,2200,3382
16,Gujarat,Porbandar,25,13,0,7,10,7,3,0,0,14,49,134,13,30,10,1,873,1179
17,Gujarat,Rajkot Commr.,39,27,3,9,20,17,3,2,0,21,186,508,58,122,200,1,1873,3069
18,Gujarat,Rajkot Rural,65,48,0,9,46,38,8,2,0,37,202,666,63,142,94,0,3250,4624
19,Gujarat,Sabarkantha,46,16,0,4,30,30,0,12,1,13,271,506,76,98,97,2,3015,4187
20,Gujarat,Surat Commr.,93,21,0,13,60,34,26,36,0,70,440,1430,172,76,294,0,1947,4652
21,Gujarat,Surat Rural,77,7,0,6,19,19,0,22,0,15,127,320,59,58,72,2,2419,3203
22,Gujarat,Surendranagar,48,30,0,7,15,10,5,3,0,19,161,543,71,43,43,1,2276,3260
23,Gujarat,Vadodara Rural,94,30,0,25,58,54,4,15,0,43,226,620,84,114,140,1,3504,4954
24,Gujarat,Vadodara Commr.,60,93,1,5,54,51,3,32,0,48,472,2343,414,152,227,7,3751,7659
25,Gujarat,Valsad,84,16,1,9,24,24,0,29,0,27,247,542,84,73,119,4,2811,4070
26,Gujarat,W.Rly,22,12,1,3,7,4,3,6,0,31,40,1763,15,26,17,0,540,2483
27,Gujarat,Total,1591,900,25,304,1145,980,165,455,1,1189,6848,25005,2898,3114,4179,79,76739,124472
1,Haryana,Ambala,34,12,5,10,20,16,4,1,0,24,286,370,6,15,30,0,1112,1925
2,Haryana,Bhiwani,31,14,4,10,11,8,3,2,0,8,126,161,47,11,29,0,1610,2062
3,Haryana,Faridabad,56,27,9,19,46,37,9,5,2,23,225,563,46,34,57,0,2734,3846
4,Haryana,Gurgaon,27,25,23,10,30,26,4,2,2,14,159,363,49,6,18,1,2001,2730
5,Haryana,Hissar,61,69,6,14,39,37,2,4,0,36,179,253,29,18,50,0,1858,2616
6,Haryana,Jind,39,17,6,8,17,14,3,1,2,11,98,146,19,5,22,1,605,997
7,Haryana,Kaithal,21,7,3,4,7,4,3,2,0,6,94,135,0,5,8,0,438,730
8,Haryana,Karnal,45,17,3,9,16,15,1,1,0,13,180,303,16,16,30,0,127,776
9,Haryana,Kurukshetra,25,14,2,11,11,8,3,1,0,11,126,200,0,10,32,0,666,1109
10,Haryana,Mahendragarh,11,2,6,4,5,5,0,1,0,2,58,107,20,4,10,1,817,1048
11,Haryana,Panipat,28,10,2,7,15,15,0,2,1,5,126,191,11,11,24,0,746,1179
12,Haryana,Rewari,24,7,5,2,9,4,5,1,0,7,73,102,23,8,7,0,1116,1384
13,Haryana,Rohtak,72,28,24,15,18,15,3,6,1,25,171,350,49,15,22,0,2497,3293
14,Haryana,Sirsa,33,44,4,4,18,16,2,4,0,14,173,150,16,4,25,0,1127,1616
15,Haryana,Sonepat,55,35,8,16,13,12,1,7,2,29,141,237,15,10,15,1,1153,1737
16,Haryana,Yamunanagar,17,7,2,7,17,16,1,3,2,3,119,218,13,1,8,1,581,999
17,Haryana,GRP,14,5,1,0,1,0,1,0,0,1,2,116,7,1,3,0,386,537
18,Haryana,Total,593,340,113,150,293,248,45,43,12,232,2334,3965,366,174,390,5,19574,28584
1,Himachal Pradesh,Bilaspur,5,4,0,3,6,5,1,3,0,7,47,38,42,9,6,0,283,453
2,Himachal Pradesh,Chamba,5,3,5,5,21,18,3,1,0,3,125,74,19,9,7,0,382,659
3,Himachal Pradesh,Hamirpur,6,2,0,3,4,3,1,0,0,1,42,28,4,7,5,0,247,349
4,Himachal Pradesh,Kangra,23,6,0,10,29,23,6,5,0,6,194,177,77,12,11,0,885,1435
5,Himachal Pradesh,Kinnaur,3,0,0,8,7,6,1,0,0,0,23,28,12,5,3,0,133,222
6,Himachal Pradesh,Kullu,8,1,1,5,13,13,0,0,0,2,67,52,14,9,9,0,326,507
7,Himachal Pradesh,Lahaul & Spiti,1,1,0,0,0,0,0,0,0,0,11,1,0,0,1,0,16,31
8,Himachal Pradesh,Mandi,8,9,4,14,25,22,3,2,0,3,133,215,78,10,20,1,908,1430
9,Himachal Pradesh,Shimla,15,17,1,20,37,36,1,0,0,8,137,268,163,20,55,2,1389,2132
10,Himachal Pradesh,Sirmur,10,8,1,13,20,17,3,0,0,1,57,94,44,11,3,0,369,631
11,Himachal Pradesh,Solan,8,2,0,7,6,3,3,2,0,6,99,108,71,19,15,0,507,850
12,Himachal Pradesh,UNA,10,4,0,3,6,4,2,2,0,4,35,38,27,5,10,0,355,499
13,Himachal Pradesh,Rly. & Traffic,1,0,0,0,0,0,0,0,0,1,3,3,0,1,0,0,2,11
14,Himachal Pradesh,Total,103,57,12,91,174,150,24,15,0,42,973,1124,551,117,145,3,5802,9209
1,Jammu Kashmir,Anantnag,50,3,0,1,23,8,15,5,0,3,194,56,25,4,3,0,305,672
2,Jammu Kashmir,Badgam,30,4,0,0,5,5,0,0,0,1,22,27,50,3,0,0,81,223
3,Jammu Kashmir,Baramulla,118,86,6,5,41,41,0,7,0,7,129,140,67,12,6,0,371,995
4,Jammu Kashmir,Doda,7,33,1,25,67,67,0,1,0,5,115,141,58,6,12,0,765,1236
5,Jammu Kashmir,Jammu,69,309,2,33,93,86,7,3,0,16,455,1073,240,34,119,0,2930,5376
6,Jammu Kashmir,Kargil,2,1,0,0,1,1,0,0,0,0,7,5,15,2,0,0,60,93
7,Jammu Kashmir,Kathua,9,18,1,14,38,37,1,1,0,1,69,133,107,7,10,0,723,1131
8,Jammu Kashmir,Kupwara,95,6,0,3,10,6,4,3,0,5,51,62,22,2,3,0,213,475
9,Jammu Kashmir,Leh,3,4,0,2,3,2,1,1,0,3,27,25,23,1,1,0,127,220
10,Jammu Kashmir,Pulwama,24,58,0,3,12,4,8,2,0,5,55,45,3,4,3,0,115,329
11,Jammu Kashmir,Punch,4,11,0,4,24,24,0,0,0,0,30,121,55,5,9,0,317,580
12,Jammu Kashmir,Rajouri,7,29,1,12,29,29,0,1,0,1,60,123,23,2,12,0,755,1055
13,Jammu Kashmir,Srinagar,109,8,2,4,21,21,0,2,0,8,504,260,55,23,8,0,553,1557
14,Jammu Kashmir,Udhampur,21,35,1,18,47,47,0,0,0,3,159,229,48,9,13,0,984,1567
15,Jammu Kashmir,Railways,2,0,0,0,1,1,0,0,0,1,0,18,0,0,0,0,14,36
16,Jammu Kashmir,Total,550,605,14,124,415,379,36,26,0,59,1877,2458,791,114,199,0,8313,15545
1,Karnataka,Bangalore Commr.,129,61,3,25,85,32,53,22,1,134,1854,7688,1053,252,625,1395,11984,25311
2,Karnataka,Bangalore Rural,104,33,3,13,27,20,7,18,0,24,606,979,422,20,34,3,4156,6442
3,Karnataka,Belgaum,140,39,2,7,44,4,40,8,0,32,412,787,637,37,106,16,3548,5815
4,Karnataka,Bellary,44,20,1,6,13,13,0,21,1,9,251,375,375,16,35,3,1938,3108
5,Karnataka,Bidar,42,33,1,2,1,1,0,1,0,19,129,286,181,3,23,4,1246,1971
6,Karnataka,Bijapur,95,48,2,11,34,34,0,28,1,21,196,529,862,30,72,2,3045,4976
7,Karnataka,Chikamagalur,38,14,0,2,0,0,0,5,0,10,203,301,88,21,9,9,1561,2261
8,Karnataka,ChitraDurga,62,24,2,7,24,18,6,11,0,24,488,655,695,35,30,26,2957,5040
9,Karnataka,Dharwad Commr.,12,5,0,1,10,8,2,9,0,21,268,442,93,11,47,3,771,1693
10,Karnataka,Dharwad Rural,88,18,0,3,18,5,13,18,0,16,275,462,509,25,43,4,2258,3737
11,Karnataka,Gulbarga,65,38,7,12,21,17,4,13,0,32,260,314,516,22,33,1,1950,3284
12,Karnataka,Hassan,102,1,0,4,4,2,2,6,0,24,498,252,347,0,0,0,2080,3318
13,Karnataka,K.G.F.,22,21,1,8,15,15,0,13,0,10,193,312,103,6,5,3,595,1307
14,Karnataka,Kannada North,31,6,3,1,5,0,5,20,0,6,183,258,216,7,18,13,1181,1948
15,Karnataka,Kannada South,56,31,3,4,10,5,5,6,0,15,492,452,547,16,44,43,2843,4562
16,Karnataka,Kodagu,33,24,0,9,9,0,9,1,0,7,220,176,90,2,25,4,1261,1861
17,Karnataka,Kolar,54,63,2,10,24,21,3,31,0,16,330,655,491,26,52,15,2571,4340
18,Karnataka,Mandya,47,3,0,1,3,0,3,3,0,8,348,439,194,6,10,20,2323,3405
19,Karnataka,Mysore Commr.,34,2,1,6,17,9,8,3,0,28,382,1105,123,19,43,20,1327,3110
20,Karnataka,Mysore Rural,79,3,2,9,11,6,5,48,0,7,551,746,467,6,9,25,2129,4092
21,Karnataka,Raichur,42,22,0,5,20,11,9,29,0,22,193,348,503,9,27,6,2185,3411
22,Karnataka,Shimoga,36,14,2,11,19,15,4,13,0,10,345,609,218,21,31,0,2584,3913
23,Karnataka,Tumkur,53,10,0,11,10,3,7,10,0,15,614,928,320,16,16,7,3151,5161
24,Karnataka,Railways,13,3,0,0,1,1,0,0,0,3,2,262,4,1,6,0,128,423
25,Karnataka,Total,1421,536,35,168,425,240,185,337,3,513,9293,19360,9054,607,1343,1622,59772,104489
1,Kerala,Alappuzha,33,22,8,16,7,7,0,3,0,5,284,278,535,25,80,0,4934,6230
2,Kerala,CB CID,43,5,4,0,0,0,0,13,0,8,19,3,15,16,123,309,70,628
3,Kerala,Idukki,45,20,2,5,12,10,2,7,0,10,166,339,262,20,38,0,2198,3124
4,Kerala,Kannur,26,25,0,11,9,7,2,0,0,6,280,158,962,14,46,0,3567,5104
5,Kerala,Kasaragod,21,12,0,8,2,1,1,0,0,7,124,101,519,16,33,0,1306,2149
6,Kerala,Kochy,42,30,1,4,7,4,3,6,1,18,649,622,576,44,104,0,6154,8258
7,Kerala,Kollam,55,19,4,15,12,8,4,4,0,19,266,255,542,18,44,0,4520,5773
8,Kerala,Kottayam,36,17,0,7,18,15,3,5,0,36,361,294,407,21,67,0,4729,5998
9,Kerala,Kozhikode,27,29,4,28,11,8,3,4,0,16,394,346,891,36,68,0,4948,6802
10,Kerala,Malappuram,29,12,0,18,10,9,1,0,0,16,294,210,473,26,53,2,3582,4725
11,Kerala,Palakkad,50,33,1,31,7,5,2,2,0,22,337,321,611,25,64,0,3705,5209
12,Kerala,Pathanamthitta,22,16,1,5,12,6,6,0,0,4,235,118,270,13,35,0,2919,3650
13,Kerala,Thirussur,36,28,1,19,9,3,6,4,0,9,267,366,594,34,128,0,4111,5606
14,Kerala,Thiruvananthapuram,83,76,6,29,26,13,13,22,3,39,619,646,992,39,97,0,6202,8879
15,Kerala,Wyanad,13,11,2,15,3,3,0,2,0,10,104,109,174,8,24,0,1319,1794
16,Kerala,Railways,0,0,0,0,0,0,0,0,0,1,10,95,14,0,3,0,51,174
17,Kerala,Total,561,355,34,211,145,99,46,72,4,226,4409,4261,7837,355,1007,311,54315,74103
1,Madhya Pradesh,Baitul,76,22,1,52,20,20,0,6,1,33,263,388,46,6,21,0,1411,2346
2,Madhya Pradesh,Balaghat,73,29,1,75,11,11,0,7,0,30,459,521,46,9,14,0,1933,3208
3,Madhya Pradesh,Bastar,103,60,0,52,24,24,0,7,0,46,439,549,103,34,71,0,1969,3457
4,Madhya Pradesh,Bhind,74,84,0,16,16,10,6,8,9,68,361,533,176,6,34,0,2055,3440
5,Madhya Pradesh,Bhopal,68,121,10,76,43,43,0,9,3,112,644,2197,125,53,206,2,7845,11514
6,Madhya Pradesh,Bilaspur,149,108,6,91,56,56,0,8,2,109,1374,2122,443,48,86,0,5163,9765
7,Madhya Pradesh,Chhatarpur,53,48,6,36,16,14,2,15,7,77,377,373,81,5,28,0,1295,2417
8,Madhya Pradesh,Chhindwara,77,40,0,71,13,13,0,6,0,27,231,513,44,6,17,0,2998,4043
9,Madhya Pradesh,Damoh,59,44,0,26,15,14,1,2,1,15,294,265,59,7,6,0,1964,2757
10,Madhya Pradesh,Dantewara,144,76,8,30,6,6,0,5,0,10,166,189,45,5,31,0,776,1491
11,Madhya Pradesh,Datiya,26,22,0,11,4,4,0,3,6,12,95,110,26,1,13,0,836,1165
12,Madhya Pradesh,Dewas,43,56,2,49,19,18,1,7,1,30,561,1048,102,25,25,0,2404,4372
13,Madhya Pradesh,Dhar,115,107,5,87,77,73,4,30,2,139,491,1831,184,25,23,0,4941,8057
14,Madhya Pradesh,Durg,72,98,3,110,37,34,3,19,2,102,959,1757,91,29,107,5,5434,8825
15,Madhya Pradesh,Guna,103,77,14,86,12,11,1,3,9,72,519,631,172,28,24,1,2984,4735
16,Madhya Pradesh,Gwalior,104,119,19,46,39,27,12,9,9,113,778,1213,197,25,61,0,4260,6992
17,Madhya Pradesh,Hoshangabad,64,64,6,57,11,11,0,1,1,36,365,466,98,11,14,1,2171,3366
18,Madhya Pradesh,Indore,122,348,1,75,63,63,0,8,0,119,1175,4002,160,87,103,0,8818,15081
19,Madhya Pradesh,Jabalpur,120,180,18,74,36,36,0,1,4,134,1051,2140,160,26,122,0,7398,11464
