SL. No.,Category,State/UT/City,Murder - Incidence (I),Murder - Volume (V),Attempt to Commit Murder - Incidence (I),Attempt to Commit Murder - Volume (V),C.H. Not Amounting to Murder - Incidence (I),C.H. Not Amounting to Murder - Volume (V),Rape - Incidence (I),Rape - Volume (V),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Volume (V),Kidnapping & Abduction - Of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Volume (V),Kidnapping & Abduction - Of Others - Incidence (I),Kidnapping & Abduction - Of Others - Volume (V),Dacoity - Incidence (I),Dacoity - Volume (V),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Volume (V),Robbery - Incidence (I),Robbery - Volume (V),Burglary - Incidence (I),Burglary - Volume (V),Theft - Incidence (I),Theft - Volume (V),Riots - Incidence (I),Riots - Volume (V),Criminal Breach of Trust - Incidence (I),Criminal Breach of Trust - Volume (V),Cheating - Incidence (I),Cheating - Volume (V),Counterfeiting - Incidence (I),Counterfeiting - Volume (V),Other IPC Crimes - incidence (I),Other IPC Crimes - Volume (V),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Volume (V)
11,State,Kerala,561,1.9,355,1.2,34,0.1,211,0.7,145,0.5,99,0.3,46,0.2,72,0.2,4,0,226,0.8,4409,15.1,4261,14.6,7837,26.9,355,1.2,1007,3.5,311,1.1,54315,186.5,74103,254.5
12,State,Madhya Pradesh,3415,5.1,3395,5.1,193,0.3,2596,3.9,1241,1.9,1151,1.7,90,0.1,342,0.5,127,0.2,650,4,21870,32.8,42536,63.8,5089,7.6,980,1.5,1812,2.7,26,0,132159,198.2,218431,327.5
13,State,Maharashtra,3044,3.8,1414,1.8,79,0.1,906,1.1,1278,1.6,839,1.1,439,0.6,884,1.1,109,0.1,3779,4.8,16500,20.8,58483,73.7,4644,5.9,2383,3,3256,4.1,337,0.4,95199,120,192295,242.4
14,State,Manipur,100,5.4,32,1.7,0,0,11,0.6,113,6.1,86,4.7,27,1.5,17,0.9,0,0,30,1.6,150,8.1,256,13.9,132,7.2,26,1.4,84,4.6,27,1.5,1122,60.9,2100,114.1
15,State,Meghalaya,108,6.1,13,0.7,1,0.1,28,1.6,22,1.2,20,1.1,2,0.1,22,1.2,1,0.1,52,2.9,169,9.5,549,30.9,41,2.3,24,1.4,45,2.5,1,0.1,650,36.6,1726,97.1
16,State,Mizoram,26,3.8,24,3.5,7,1,46,6.7,10,1.4,1,0.1,9,1.3,19,2.7,0,0,42,6.1,304,44,615,87,0,0,40,5.8,57,8.2,12,1.7,579,83.8,1781,257.7
17,State,Nagaland,49,4,36,2.9,3,0.2,13,1.1,36,2.9,13,1.1,23,1.9,27,2.2,0,0,91,7.4,308,25,388,31.4,19,1.5,45,3.6,62,5,2,0.2,562,45.5,1641,133
18,State,Orissa,721,2.3,734,2.3,90,0.3,313,1,310,1,310,1,0,0,312,1,0,0,825,2.6,5126,16.2,10743,33.9,2028,64,416,1.3,345,1.1,21,0.1,30097,94.9,52081,164.3
19,State,Punjab,3048,15,1981,9.8,125,0.6,64,0.3,394,1.9,100,0.5,294,1.4,78,0.4,35,0.2,475,2.3,1474,7.3,2723,13.4,27,0.1,151,0.7,353,1.7,2,0,5151,25.4,16081,79.2
20,State,Rajasthan,1421,3.2,1448,3.3,52,0.1,803,1.8,2218,5,2007,4.5,211,0.5,92,0.2,5,0,1257,2.8,7872,17.8,15013,34,18122,41,993,2.2,3678,8.3,88,0.2,60555,137.1,113617,257.2
21,State,Sikkim,9,2.2,2,0.5,1,0.2,9,2.2,4,1,4,1,0,0,1,0.2,0,0,9,2.2,93,23,111,27.4,9,2.2,6,1.5,11,2.7,0,0,204,50.4,469,115.8
22,State,Tamil Nadu,1650,3,1228,2.2,19,0,316,0.6,763,1.4,705,1.3,58,0.1,116,0.2,0,0,520,0.9,8499,15.2,28199,50.5,11123,19.9,558,1,1420,2.5,1190,2.1,77683,139,133284,238.5
23,State,Tripura,203,7.3,64,2.3,5,0.2,58,2.1,80,2.9,64,2.3,16,0.6,140,5,6,0.2,261,9.4,775,27.9,1098,39.6,516,18.6,14,0.5,20,0.7,1,0,2353,84.9,5594,201.7
24,State,Uttar Pradesh,9994,7.2,9588,6.9,1990,1.4,1417,1,4944,3.5,2824,2,2120,1.5,2353,1.7,532,0.4,7695,5.5,19132,13.7,50861,36.4,10317,7.4,3604,2.6,3077,2.2,164,0.1,82893,59.3,208561,149.3
25,State,West Bengal,1712,2.5,547,0.8,706,1,469,0.7,923,1.3,662,1,261,0.4,592,0.9,232,0.3,822,1.2,1376,2,26947,39.3,6842,10,802,1.2,1098,1.6,72,0.1,25933,37.9,69073,100.8
Total (States),State,Total (States),38612,4.6,29220,3.5,4131,0.5,10174,1.2,19170,2.3,13637,1.6,5533,0.7,10790,1.3,1366,0.2,26119,3.1,129905,15.5,346540,41.3,104566,12.5,16906,2,26008,3.1,4318,0.5,867729,103.5,1635554,195.1
26,UT,A & N Islands,9,3.2,5,1.8,1,0.4,2,0.7,8,2.8,8,2.8,0,0,0,0,0,0,0,0,60,21.4,89,31.7,10,3.6,4,1.4,0,0,3,1.1,360,128.1,551,196.1
27,UT,Chandigarh,18,2.8,25,3.9,3,0.5,7,1.1,22,3.4,14,2.2,8,1.2,1,0.2,0,0,2,0.3,158,24.5,725,112.2,33,5.1,13,2,57,8.8,1,0.2,564,87.3,1629,252.2
28,UT,D & N Haveli,4,2.9,1,0.7,0,0,1,0.7,4,2.9,2,1.4,2,1.4,2,1.4,0,0,3,2.2,49,35.3,96,69.1,37,26.6,4,2.9,1,0.7,0,0,235,169.1,437,314.4
29,UT,Daman & Diu,6,5.8,1,1,0,0,1,1,4,3.9,2,1.9,2,1.9,1,1,0,0,5,4.9,24,23.3,57,55.3,30,29.1,4,3.9,1,1,3,2.9,120,116.5,257,249.5
30,UT,Delhi,496,5.2,501,5.3,108,1.1,214,2.3,858,9,609,2.6,249,2.6,33,0.3,27,0.3,284,3,1628,17.1,13145,138.5,329,3.5,546,5.8,1354,14.3,71,0.7,15282,161,34876,367.3
31,UT,Lakshadweep,1,1.9,2,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21.2,15,28.8,6,11.5,1,1.9,0,0,0,0,18,34.6,54,103.8
32,UT,Pondicherry,28,3.5,23,2.9,0,0,11,1.4,13,1.6,11,0.3,2,0.3,4,0.5,0,0,15,1.9,252,31.6,2261,283.7,298,37.4,17,2.1,45,5.6,71,8.9,1979,248.3,5017,629.5
Total (UTs),UT,Total (UTs),562,4.9,558,4.8,112,1,236,2.1,909,7.9,646,2.3,263,2.3,41,0.4,27,0.2,309,2.7,2182,19,16388,142.4,743,6.5,589,5.1,1458,12.7,149,1.3,18558,161.2,42821,372
Total (All-India),Total (All-India),Total (All-India),39174,4.6,29778,3.5,4243,0.5,10410,1.2,20079,2.4,14283,0.7,5796,0.7,10831,1.3,1393,0.2,26428,3.1,132087,15.5,362928,42.7,105309,12.4,17495,2.1,27466,3.2,4467,0.5,886287,104.3,1678375,197.5
33,City,Ahmedabad,136,4.1,137,4.1,9,0.3,26,0.8,203,6.1,164,1.2,39,1.2,26,0.8,0,0,134,4,905,27.3,5382,162.1,220,6.6,581,17.5,837,25.2,23,0.7,9398,283.1,18017,542.7
34,City,Bangalore,129,3.1,61,1.5,3,0.1,25,0.6,85,2.1,32,1.3,53,1.3,22,0.5,1,0,134,3.2,1854,44.9,7688,186,1053,25.5,252,6.1,625,15.1,1395,33.8,11984,290,25311,612.4
35,City,Bombay,473,3.7,261,2,6,0,114,0.9,332,2.6,164,1.3,168,1.3,115,0.9,58,0.5,1136,8.9,2665,20.9,16201,127.1,220,1.7,687,5.4,1255,9.8,55,0.4,16319,128,39897,312.9
36,City,Calcutta,92,0.8,149,1.4,17,0.2,17,0.2,110,1,78,0.3,32,0.3,21,0.2,26,0.2,159,1.4,350,3.2,6899,62.8,617,5.6,322,2.9,584,5.3,39,0.4,4401,40.1,13803,125.7
37,City,Delhi,417,4.9,438,5.2,87,1,195,2.3,767,9,551,2.5,216,2.5,29,0.3,23,0.3,264,3.1,1509,17.8,12587,148.4,292,3.4,515,6.1,1331,15.7,69,0.8,13939,164.3,32462,382.7
38,City,Hyderabad,178,4.1,241,5.5,6,0.1,38,0.9,79,1.8,33,1.1,46,1.1,18,0.4,0,0,126,2.9,1493,34.3,3749,86.1,658,15.1,84,1.9,404,9.3,25,0.6,3637,83.5,10736,246.5
39,City,Jaipur,56,3.6,57,3.7,4,0.3,22,1.4,134,8.7,121,0.8,13,0.8,2,0.1,0,0,78,5.1,641,41.8,2149,140,1078,70.2,150,9.8,372,24.2,19,1.2,3479,226.6,8241,536.9
40,City,Kanpur,196,9.2,231,10.9,39,1.8,23,1.1,194,9.1,153,1.9,41,1.9,52,2.4,18,0.8,176,8.3,739,34.7,2124,99.8,233,10.9,288,13.5,231,10.9,50,2.3,3118,146.5,7712,362.2
41,City,Lucknow,143,8.8,130,8,28,1.7,28,1.7,92,5.6,29,3.9,63,3.9,25,1.5,21,1.3,135,8.3,691,42.4,2297,141,241,14.8,222,13.6,242,14.9,14,0.9,2485,152.5,6794,417.1
42,City,Madras,81,1.5,118,2.2,3,0.1,26,0.5,24,0.4,24,0,0,0,3,0.1,0,0,134,2.5,747,13.8,6135,113.6,458,8.5,126,2.3,394,7.3,449,8.3,3935,72.9,12633,233.9
43,City,Nagpur,143,8.5,68,4.1,2,0.1,51,3.1,87,5.2,70,1,17,1,14,0.8,0,0,328,19.6,792,47.3,3263,194.8,174,10.4,123,7.3,177,10.6,115,6.9,4650,277.6,9987,596.2
44,City,Pune,69,2.7,40,1.6,5,0.2,36,1.4,70,2.8,50,0.8,20,0.8,13,0.5,7,0.3,143,5.7,990,39.3,3398,135,178,7.1,135,5.4,253,10.1,38,1.5,6036,239.8,11411,453.4
