SL. No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abduction - Total - Male,Kidnapping & Abduction - Total - Female,Kidnapping & Abduction - Total - Total,Kidnapping & Abduction - Of Women & Girls - Male,Kidnapping & Abduction - Of Women & Girls - Female,Kidnapping & Abduction - Of Women & Girls - Total,Kidnapping & Abduction - Of Others - Male,Kidnapping & Abduction - Of Others - Female,Kidnapping & Abduction - Of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total
11,State,Kerala,1055,69,1124,1811,17,1828,67,0,67,256,0,256,145,0,145,95,0,95,50,0,50,287,0,287,24,0,24,298,1,299,2506,7,2513,3216,49,3265,41739,635,42374,273,5,278,658,28,686,460,4,464,64426,1831,66257,117221,2646,119867
12,State,Madhya Pradesh,7518,291,7809,8888,203,9091,332,38,370,3590,27,3617,1913,27,1940,1746,26,1772,167,1,168,1643,3,1646,760,0,760,3313,76,3389,13805,149,13954,82590,1652,84242,34232,590,34822,1477,18,1495,2206,26,2232,51,0,51,137560,6650,144210,299878,9750,309628
13,State,Maharashtra,6747,522,7269,5212,148,5360,119,44,163,1268,38,1306,1728,107,1835,1049,83,1132,679,24,703,3424,35,3459,429,0,429,4467,32,4499,11862,641,12503,28810,1213,30023,35834,2243,38077,2131,30,2161,2715,83,2798,74,2,76,137494,11485,148979,242314,16623,258937
14,State,Manipur,105,5,110,53,0,53,0,0,0,21,1,22,132,9,141,113,9,122,19,0,19,18,0,18,0,0,0,31,0,31,96,0,96,194,2,196,421,236,657,31,1,32,70,2,72,36,1,37,969,153,1122,2177,410,2587
15,State,Meghalaya,131,5,136,20,0,20,4,1,5,34,0,34,34,1,35,28,1,29,6,0,6,83,1,84,3,0,3,60,0,60,151,7,158,539,7,546,213,2,215,18,0,18,43,0,43,4,0,4,788,14,802,2125,38,2163
16,State,Mizoram,14,1,15,9,2,11,2,0,2,34,0,34,7,0,7,1,0,1,6,0,6,9,0,9,0,0,0,34,0,34,176,0,176,475,24,499,0,0,0,18,0,18,37,3,40,3,1,4,616,52,668,1434,83,1517
17,State,Nagaland,53,1,54,39,0,39,2,0,2,17,0,17,39,0,39,15,0,15,24,0,24,76,0,76,0,0,0,69,0,69,253,5,258,355,9,364,225,0,225,66,0,66,74,0,74,7,0,7,592,1,593,1867,16,1883
18,State,Orissa,1753,31,1784,1744,24,1768,113,3,116,411,0,411,371,3,374,371,3,374,0,,0,1317,0,1317,0,0,0,1055,13,1068,5076,25,5101,11783,130,11913,14210,51,14261,443,0,443,430,0,430,27,0,27,47270,141,47411,86003,421,86424
19,State,Punjab,1469,80,1549,1681,6,1687,208,14,222,100,3,103,199,22,221,95,20,115,104,2,106,89,0,89,153,0,153,239,0,239,585,5,590,1518,18,1536,79,2,81,131,6,137,413,17,430,1,0,1,7592,120,7712,14457,293,14750
20,State,Rajasthan,2695,149,2844,2757,63,2820,84,2,86,782,4,786,1649,50,1699,1266,48,1314,383,2,385,345,7,352,19,0,19,1252,14,1266,3765,24,3789,6266,100,6366,53409,3547,56956,408,12,420,1366,21,1387,14,0,14,74066,3756,77822,148877,7749,156626
21,State,Sikkim,12,3,15,4,0,4,1,0,1,9,1,10,3,0,3,3,0,3,0,0,0,2,0,2,0,0,0,21,0,21,55,0,55,65,1,66,55,0,55,4,0,4,10,0,10,0,0,0,238,9,247,479,14,493
22,State,Tamil Nadu,3849,183,4032,6084,178,6262,26,3,29,432,6,438,1400,74,1474,1280,57,1337,120,17,137,479,7,486,0,0,0,676,2,678,5311,89,5400,19549,414,19963,63381,8622,72003,450,11,461,770,26,796,161,1,162,106617,5666,112283,209185,15282,224467
23,State,Tripura,514,9,523,116,0,116,5,0,5,94,0,94,145,2,147,128,2,130,17,0,17,392,0,392,30,0,30,473,0,473,542,0,542,726,9,735,1383,48,1431,13,0,13,20,0,20,2,0,2,3064,111,3175,7519,179,7698
24,State,Uttar Pradesh,24809,527,25336,19920,96,20016,6278,83,6361,2124,6,2130,9204,238,9442,5080,211,5291,4124,27,4151,9991,13,10004,2585,0,2585,9937,12,9949,15369,55,15424,29180,178,29358,61198,328,61526,3305,6,3311,4027,27,4054,186,1,187,146913,1034,147947,345026,2604,347630
25,State,West Bengal,3502,147,3649,1275,40,1315,1117,24,1141,674,17,691,1150,68,1218,709,62,771,441,6,447,2543,27,2570,992,0,992,1306,8,1314,1201,5,1206,22773,648,23421,28207,503,28710,600,9,609,856,13,869,33,0,33,29464,1520,30984,95693,3029,98722
Total (States),State,Total (States),80777,2925,83702,70425,1288,71713,9768,227,9995,13696,174,13870,26799,1194,27993,17537,961,18498,9262,233,9495,34215,168,34383,6290,0,6290,33033,215,33248,89361,1286,90647,276621,6299,282920,526072,21925,547997,15211,296,15507,21509,480,21989,1297,22,1319,1203300,48105,1251405,2408374,84604,2492978
26,UT,A & N Islands,6,1,7,4,0,4,0,0,0,2,0,2,8,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,41,0,41,67,0,67,30,0,30,1,0,1,0,0,0,0,0,0,387,25,412,546,26,572
27,UT,Chandigarh,23,0,23,36,0,36,5,0,5,11,2,13,25,2,27,20,2,22,5,0,5,0,0,0,0,0,0,0,0,0,48,2,50,242,8,250,221,0,221,8,0,8,35,4,39,0,0,0,622,29,651,1276,47,1323
28,UT,D & N Haveli,4,1,5,0,0,0,0,0,0,1,0,1,6,0,6,2,0,2,4,0,4,6,0,6,0,0,0,3,0,3,43,0,43,58,1,59,190,7,197,1,0,1,0,1,1,0,0,0,255,25,280,567,35,602
29,UT,Daman & Diu,10,2,12,1,0,1,0,0,0,1,0,1,16,0,16,8,0,8,8,0,8,6,0,6,0,0,0,4,0,4,4,0,4,27,0,27,141,17,158,3,0,3,0,0,0,0,0,0,144,8,152,357,27,384
30,UT,Delhi,905,52,957,1102,23,1125,360,9,369,310,7,317,477,18,495,369,11,380,108,7,115,128,1,129,120,0,120,527,2,529,1212,11,1223,6660,145,6805,1643,35,1678,629,32,661,1591,67,1658,43,2,45,9833,841,10674,25540,1245,26785
31,UT,Lakshadweep,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,16,13,0,13,1,0,1,0,0,0,0,0,0,8,0,8,41,0,41
32,UT,Pondicherry,84,2,86,103,0,103,0,0,0,12,0,12,25,2,27,15,2,17,10,0,10,47,0,47,0,0,0,5,1,6,122,1,123,429,8,437,1871,19,1890,8,1,9,17,3,20,4,0,4,2379,151,2530,5106,188,5294
Total (UTs),UT,Total (UTs),1033,58,1091,1247,23,1270,365,9,374,337,9,346,557,22,579,422,15,437,135,7,142,187,1,188,120,0,120,539,3,542,1471,14,1485,7499,162,7661,4109,78,4187,651,33,684,1643,75,1718,47,2,49,13628,1079,14707,33433,1568,35001
Total (All-India),Total (All-India),Total (All-India),81810,2983,84793,71672,1311,72983,10133,236,10369,14033,183,14216,27356,1216,28572,17959,976,18935,9397,240,9637,34402,169,34571,6410,0,6410,33572,218,33790,90832,1300,92132,284120,6461,290581,530181,22003,552184,15862,329,16191,23152,555,23707,1344,24,1368,1216928,49184,1266112,2441807,86172,2527979
33,City,Ahmedabad,321,15,336,413,11,424,19,2,21,25,4,29,207,14,221,128,12,140,79,2,81,70,0,70,0,0,0,165,0,165,557,2,559,2005,64,2069,1092,41,1133,182,3,185,192,5,197,0,0,0,10098,886,10984,15346,1047,16393
34,City,Bangalore,208,11,219,210,4,214,3,0,3,51,0,51,57,3,60,33,1,34,24,2,26,36,0,36,8,0,8,160,1,161,591,9,600,2145,79,2224,1359,3,1362,107,4,111,304,17,321,40,4,44,9129,344,9473,14408,479,14887
35,City,Bombay,1079,37,1116,660,6,666,2,2,4,135,17,152,308,41,349,161,29,190,147,12,159,225,7,232,127,0,127,949,2,951,1087,26,1113,5166,167,5333,1595,152,1747,411,15,426,629,33,662,31,1,32,19122,887,20009,31526,1393,32919
36,City,Calcutta,71,5,76,73,2,75,14,0,14,14,0,14,92,5,97,54,5,59,38,0,38,41,0,41,49,0,49,120,3,123,314,4,318,4569,24,4593,1335,0,1335,151,0,151,346,2,348,6,0,6,6805,67,6872,14000,112,14112
37,City,Delhi,786,41,827,901,14,915,351,9,360,287,3,290,364,11,375,267,7,274,97,4,101,109,0,109,98,0,98,478,2,480,1072,5,1077,5980,125,6105,1013,21,1034,439,21,460,1382,63,1445,30,0,30,9548,771,10319,22838,1086,23924
38,City,Hyderabad,111,0,111,363,0,363,9,0,9,56,0,56,68,22,90,0,18,18,68,4,72,21,0,21,0,0,0,68,0,68,522,0,522,1163,6,1169,740,13,753,32,0,32,142,11,153,0,0,0,2349,133,2482,5644,185,5829
39,City,Jaipur,84,0,84,48,0,48,3,2,5,30,0,30,77,1,78,74,0,74,3,1,4,4,0,4,0,0,0,79,0,79,256,3,259,529,25,554,2443,199,2642,30,0,30,146,4,150,0,0,0,3492,155,3647,7221,389,7610
40,City,Kanpur,450,21,471,447,1,448,57,2,59,33,1,34,256,4,260,204,4,208,52,0,52,173,0,173,90,0,90,190,0,190,451,1,452,642,2,644,901,0,901,150,0,150,365,1,366,6,0,6,4543,83,4626,8754,116,8870
41,City,Lucknow,308,21,329,226,0,226,59,0,59,71,0,71,126,9,135,32,9,41,94,0,94,63,0,63,94,0,94,153,0,153,289,0,289,480,14,495,894,6,900,128,1,129,106,3,109,0,0,0,2691,107,2798,5688,161,5849
42,City,Madras,256,12,268,424,7,431,4,1,5,35,0,35,40,0,40,40,0,40,0,0,0,17,0,17,0,0,0,140,1,141,427,0,427,3088,37,3125,2389,16,2405,31,5,36,39,3,42,0,0,0,4681,125,4806,11571,207,11778
43,City,Nagpur,325,0,325,212,0,212,12,0,12,73,1,74,88,1,89,68,0,68,20,1,21,34,0,34,0,0,0,352,0,352,284,2,286,780,5,785,1198,11,1209,89,0,89,119,0,119,0,0,0,4708,15,4723,8274,35,8309
44,City,Pune,110,7,117,90,2,92,7,0,7,63,1,64,89,5,94,56,5,61,33,0,33,30,0,30,40,0,40,188,0,188,758,7,765,1705,80,1785,1557,72,1629,110,5,115,175,16,191,0,0,0,7923,1552,9475,12845,1747,14592
