SL. No.,Category,State/UT/City,Arms Act - Incidence (I),Arms Act - Volume (V),Narcotic Drugs and Psychotropic Substances Act - Incidence (I),Narcotic Drugs and Psychotropic Substances Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Explosives and Explosive Substances Act - Incidence (I),Explosives and Explosive Substances Act - Volume (V),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Registration of Foreigners Act - Incidence (I),Registration of Foreigners Act - Volume (V),Protection of Civil Rights Act - Incidence (I),Protection of Civil Rights Act - Volume (V),Indian Passport Act - Incidence (I),Indian Passport Act - Volume (V),Essential Commodities Act - Incidence (I),Essential Commodities Act - Volume (V),Terrorist & Disruptive Activites Act - Incidence (I),Terrorist & Disruptive Activites Act - Volume (V),Antiquity & Art Treasure Act - Incidence (I),Antiquity & Art Treasure Act - Volume (V),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Volume (V),Other LSL Crimes - Incidence (I),Other LSL Crimes - Volume (V),Total Cognizable Crimes Under LSL - Incidence (I),Total Cognizable Crimes Under LSL - Volume (V)
35,City,Bombay,325,2.5,584,4.6,7739,60.7,0,0,14146,110.9,98,0.8,571,4.5,0,0,1015,8,4,0,31,0.2,99,0.8,40,0.3,0,0,6,0,295789,2319.9,320447,2513.3
36,City,Calcutta,71,0.6,315,2.9,5116,46.6,1285,11.7,0,0,69,0.6,18,0.2,13,0.1,0,0,0,0,0,0,87,0.8,0,0,0,0,0,0,234004,2131.4,240978,2194.9
37,City,Delhi,2907,34.3,1155,13.6,2861,33.7,2670,31.5,0,0,29,0.3,169,2,0,0,122,1.4,2,0,0,0,202,2.4,27,0.3,0,0,4,0,1165,13.7,11313,133.4
38,City,Hyderabad,269,6.2,47,1.1,1141,26.2,4201,96.5,0,0,5,0.1,28,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,293880,6748.1,299573,6878.8
39,City,Jaipur,233,15.2,61,4,288,18.8,130,8.5,0,0,3,0.2,5,0.3,0,0,0,0,3,0.2,0,0,23,1.5,0,0,0,0,0,0,107,7,853,55.6
40,City,Kanpur,2617,122.9,682,32,366,17.2,1364,64.1,0,0,108,5.1,37,1.7,0,0,0,0,136,6.4,0,0,80,3.8,0,0,0,0,0,0,873,41,6263,294.2
41,City,Lucknow,1294,79.4,126,7.7,200,12.3,137,8.4,0,0,66,4.1,5,0.3,0,0,0,0,14,0.9,0,0,62,3.8,0,0,0,0,1,0.1,447,27.4,2352,144.4
42,City,Madras,1,0,148,2.7,4510,83.5,0,0,11129,206.1,2,0,2888,53.5,0,0,0,0,3,0.1,9,0.2,0,0,0,0,0,0,97,1.8,88118,1631.5,106905,1979.4
43,City,Nagpur,567,33.9,2007,119.8,119,7.1,1,0.1,5690,339.7,1,0.1,1,0.1,0,0,0,0,11,0.7,0,0,21,1.3,0,0,0,0,0,0,4408,263.2,12826,765.7
44,City,Pune,53,2.1,98,3.9,293,11.6,0,0,6473,257.2,3,0.1,2,0.1,1,0,51,2,5,0.2,0,0,8,0.3,1,0,0,0,0,0,3564,141.6,10552,419.2
