SL. No.,Category,State/UT/City,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs and Psychotropic Substances Act - Male,Narcotic Drugs and Psychotropic Substances Act - Female,Narcotic Drugs and Psychotropic Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives and Explosive Substances Act - Male,Explosives and Explosive Substances Act - Female,Explosives and Explosive Substances Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection of Civil Rights Act - Male,Protection of Civil Rights Act - Female,Protection of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Activites Act - Male,Terrorist & Disruptive Activites Act - Female,Terrorist & Disruptive Activites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other LSL Crimes - Male,Other LSL Crimes - Female,Other LSL Crimes - Total,Total Cognizable Crimes Under LSL - Male,Total Cognizable Crimes Under LSL - Female,Total Cognizable Crimes Under LSL - Total
11,State,Kerala,130,1,131,496,10,506,6578,2,6580,739,76,815,135,7,142,181,0,181,70,74,144,32,1,33,3,1,4,47,0,47,17,0,17,124,0,124,0,0,0,0,0,0,2,0,2,6237,734,6971,14791,906,15697
12,State,Madhya Pradesh,5330,12,5342,1206,25,1231,59210,104,59314,19192,1272,20464,4,0,4,548,8,556,22,0,22,17920,60,17980,16,0,16,1613,50,1663,0,0,0,688,4,692,21,0,21,0,0,0,277,83,360,134037,5430,139467,240084,7048,247132
13,State,Maharashtra,1751,9,1760,2654,93,2747,93862,21,93883,0,0,0,127092,8480,135572,210,2,212,43,620,663,4591,6,4597,771,336,1107,663,41,704,231,21,252,853,2,855,63,0,63,0,0,0,30,12,42,319570,17892,337462,552384,27535,579919
14,State,Manipur,13,0,13,198,40,238,281,0,281,1841,993,2834,0,0,0,2,0,2,0,0,0,0,0,0,22,2,24,0,0,0,41,0,41,5,0,5,243,11,254,0,0,0,0,0,0,85,3,88,2731,1049,3780
15,State,Meghalaya,50,0,50,20,0,20,99,3,102,2,0,2,0,0,0,9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,3,88,265,7,272
16,State,Mizoram,12,0,12,137,2,139,5,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,290,31,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1135,429,1564,1582,462,2044
17,State,Nagaland,55,1,56,137,17,154,10,0,10,55,22,77,1,0,1,10,1,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,14,194,449,55,504
18,State,Orissa,163,0,163,377,0,377,2557,0,2557,397,0,397,0,0,0,145,0,145,25,0,25,26,0,26,0,0,0,58,2,60,0,0,0,78,0,78,0,0,0,0,0,0,46,10,56,3333,82,3415,7205,94,7299
19,State,Punjab,2734,1,2735,1338,28,1366,3271,0,3271,10789,718,11507,0,0,0,114,0,114,0,0,0,415,0,415,19,0,19,0,0,0,79,6,85,208,0,208,24,0,24,0,0,0,0,0,0,285,3,288,19276,756,20032
20,State,Rajasthan,2433,0,2433,1026,15,1041,6196,9,6205,3120,80,3200,0,0,0,216,0,216,107,42,149,1132,0,1132,11,0,11,718,7,725,175,0,175,242,0,242,40,5,45,0,0,0,6,1,7,66490,51,66541,81912,210,82122
21,State,Sikkim,16,0,16,0,0,0,12,0,12,23,50,73,0,0,0,4,0,4,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,282,3,285,380,53,433
22,State,Tamil Nadu,217,0,217,4178,501,4679,39809,118,39927,0,0,0,218210,42525,260735,583,7,590,783,7325,8108,880,0,880,644,3,647,961,27,988,134,13,147,97,0,97,22,0,22,0,0,0,239,102,341,434597,22501,457098,70135,73122,774476
23,State,Tripura,100,0,100,1,0,1,18,0,18,0,0,0,0,0,0,27,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,185,2,187
24,State,Uttar Pradesh,40022,7,40029,4506,33,4539,30591,9,30600,29194,826,30020,10,0,10,1993,2,1995,218,38,256,1879,0,1879,105,0,105,1792,0,1792,18,2,20,3284,2,3286,97,0,97,0,0,0,839,99,938,154209,570,154779,268757,1588,270345
25,State,West Bengal,1034,13,1047,552,35,587,17778,0,17778,1435,19,1454,95,0,95,316,0,316,100,147,247,5103,123,5226,1417,181,1598,0,0,0,301,54,355,1675,3,1678,0,0,0,0,0,0,159,22,181,479591,973,480564,509556,1570,511126
Total (States),State,Total (States),62172,68,62240,18923,844,19767,361729,294,362023,95646,5284,100930,464469,82804,547273,6333,46,6379,1986,12296,14282,34607,222,34829,3484,571,4055,9334,264,9598,1461,101,1562,10164,35,10199,5015,38,5053,58,1,59,3732,842,4574,2596623,59289,2655912,3675736,162999,3838735
26,UT,A & N Islands,1,0,1,1,0,1,57,0,57,1251,362,1613,90,0,90,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,677,0,677,2086,362,2448
27,UT,Chandigarh,71,0,71,15,0,15,294,0,294,93,0,93,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,36,0,36,0,0,0,0,0,0,49,0,49,562,0,562
28,UT,D & N Haveli,6,0,6,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,5,1,6,28,1,29
29,UT,Daman & Diu,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,4,7,0,7
30,UT,Delhi,3302,0,3302,1341,71,1412,6206,0,6206,3666,467,4133,0,0,0,49,1,50,71,189,260,178,0,178,105,0,105,3,0,3,0,0,0,232,2,234,77,0,77,0,0,0,8,2,10,2026,154,2180,17264,886,18150
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,49,0,49,2,1,3,339,0,339,0,0,0,0,0,0,13,0,13,110,425,535,0,0,0,21,6,27,22,2,24,0,0,0,73,6,79,0,0,0,0,0,0,2,3,5,44470,567,45037,45101,1010,46111
Total (UTs),UT,Total (UTs),3429,0,32429,1359,72,1431,6897,0,6897,5016,829,5845,90,0,90,62,1,63,181,614,795,178,0,178,136,6,142,25,2,27,0,0,0,321,8,329,113,0,113,0,0,0,10,5,15,47231,722,47953,65048,2259,67307
Total (All-India),Total (All-India),Total (All-India),65601,68,65669,20282,916,21198,368626,294,368920,100662,6113,106775,464559,82804,547363,6395,47,6442,2167,12910,15077,34785,222,35007,3620,577,4197,9359,266,9625,1461,101,1562,10485,43,10528,5128,38,5166,58,1,59,3742,847,4589,2643854,60011,2703865,3740784,165258,3906042
33,City,Ahmedabad,56,0,56,41,2,43,15385,7,15392,0,0,0,14496,1821,16317,10,0,10,13,8,21,0,0,0,1,0,1,16,0,16,0,0,0,201,0,201,0,0,0,0,0,0,2,2,4,9742,535,10277,39963,2375,42338
34,City,Bangalore,18,0,18,43,8,51,1545,0,1545,434,11,445,0,0,0,14,0,14,222,690,912,0,0,0,31,4,35,39,5,44,3,0,3,276,4,280,1,0,1,0,0,0,184,68,252,311108,371,311479,313918,1161,315079
35,City,Bombay,270,7,277,758,34,792,38382,3,38385,0,0,0,7905,672,8577,120,1,121,19,564,583,0,0,0,681,336,1017,2,0,2,120,21,141,131,0,131,62,0,62,0,0,0,6,9,15,281560,16048,297608,330016,17695,347711
36,City,Calcutta,71,0,71,387,33,420,16423,0,16423,1393,17,1410,0,0,0,61,0,61,72,115,187,19,0,19,0,0,0,0,0,0,0,0,0,99,3,102,0,0,0,0,0,0,0,0,0,463599,632,464231,482124,800,482924
37,City,Delhi,3272,0,3272,1293,42,1335,6013,0,6013,3200,436,3636,0,0,0,42,0,42,71,189,260,73,0,73,105,0,105,3,0,3,0,0,0,227,2,229,62,0,62,0,0,0,8,2,10,,140,2134,16363,811,17174
38,City,Hyderabad,329,0,329,60,0,60,2477,0,2477,3817,220,4037,0,0,0,3,0,3,12,89,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1994,3061,294780,298420,3371,301791
39,City,Jaipur,232,0,232,63,5,68,692,0,692,137,1,138,0,0,0,4,0,4,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,0,2917179,1,131,1273,9,1282
40,City,Kanpur,2617,0,2617,676,4,680,1580,0,1580,1348,63,1411,0,0,0,92,0,92,24,21,45,0,0,0,0,0,0,302,0,302,0,0,0,81,0,81,0,0,0,0,0,0,0,0,0,130,1,966,7685,89,7774
41,City,Lucknow,1289,0,1289,132,0,132,923,0,923,147,0,147,0,0,0,40,0,40,14,9,23,0,0,0,0,0,0,34,0,34,0,0,0,95,1,96,0,0,0,0,0,0,0,0,0,965,2,388,3060,12,3072
42,City,Madras,1,0,1,107,53,160,5008,118,5126,0,0,0,6009,5127,11136,2,0,2,50,1077,1127,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,32,14,46,386,9503,97918,99633,15892,115525
43,City,Nagpur,567,0,567,126,16,142,6059,0,6059,0,0,0,5766,20,5786,0,0,0,2,5,7,0,0,0,0,0,0,11,2,13,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,88415,16,4396,16934,59,16993
44,City,Pune,49,1,50,118,6,124,1062,6,1068,0,0,0,6631,717,7348,3,0,3,0,2,2,1,0,1,53,0,53,4,1,5,0,0,0,18,0,18,1,0,1,0,0,0,0,0,0,4380,142,3573,11371,875,12246
