SI.No.,Category,State/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others Place - Number,Others Place - Value,Total - Number,Total - Value
33,City,Ahmedabad,348,87.6,0,0,0,0,0,0,3,0.2,167,41,3303,536.6,3821,665.4
34,City,Bangalore,3412,531.8,17,7,0,0,0,0,11,0.3,1162,304.3,3506,384.8,8108,1228.2
35,City,Bhopal,407,53.2,0,0,0,0,0,0,0,0,188,49.4,784,50.1,1379,152.8
36,City,Bombay,2101,856.9,107,44.4,0,0,0,0,7,5.5,1131,692.7,10936,4613.9,14282,6213.3
37,City,Calcutta,2174,325.1,0,0,0,0,0,0,0,0,693,113.9,1861,164.8,4728,603.8
38,City,Coimbatore,64,5.5,0,0,0,0,0,0,0,0,162,21.4,738,91.1,964,118
39,City,Delhi,9146,1340.4,319,80.2,0,0,867,72.6,10,1.4,4630,1556.8,6310,3068.9,21282,6120.2
40,City,Hyderabad,3068,443.2,0,0,0,0,0,0,0,0,0,0,0,0,3068,443.2
41,City,Indore,950,188,45,23.4,0,0,0,0,0,0,436,14.9,731,43.3,2162,399.7
42,City,Jaipur,1960,176.3,0,0,0,0,0,0,2,1.1,313,32.6,1018,274,3293,484.1
43,City,Kanpur,519,26.2,33,17.5,0,0,0,0,0,0,0,0,757,23.1,1309,66.7
44,City,Kochi,91,10.6,0,0,3,0.6,0,0,1,0.1,28,4.3,164,47.1,287,62.6
45,City,Lucknow,112,1.9,29,0.4,0,0,0,0,0,0,0,0,1772,198.7,1913,201
46,City,Ludhiana,44,68.2,2,0.2,0,0,0,0,0,0,18,9.4,254,133.4,318,211.1
47,City,Madras,1644,216.3,0,0,0,0,0,0,1,0,93,12.7,1309,207.7,3047,436.7
48,City,Madurai,340,39.1,28,12.1,11,0.2,0,0,0,0,92,19.3,581,24.5,1052,95.2
49,City,Nagpur,219,65.7,0,0,0,0,0,0,4,0.6,43,16.6,2044,212.5,2310,295.5
50,City,Patna,1291,165.4,41,4.3,0,0,0,0,0,0,0,0,101,12.6,1433,182.3
51,City,Pune,304,57.3,0,0,0,0,0,0,0,0,155,24.9,2080,512.4,2539,594.6
52,City,Surat,323,73.8,3,0,0,0,0,0,4,1.4,166,70.2,974,210,1470,355.3
53,City,Vadodra,641,103.1,8,0.2,1,0,0,0,1,0.1,63,10.5,735,97.5,1449,211.4
54,City,Varanasi,149,36.3,96,7.4,0,0,0,0,0,0,0,0,209,16.3,454,60
55,City,Vishakhapatnam,185,18,0,0,6,0.5,0,0,0,0,102,6,439,51.1,732,75.6
