SI.No.,State/UT,Estimated Mid Year Population,Rape - Incidence,Rape - Rate,Rape - percentage contribution to All India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - percentage contribution to All India,Dowry Deaths - Incidence,Dowry Deaths - Rate,Dowry Deaths - percentage contribution to All- India,Cruelty By Husband And Relatives - Incidence,Cruelty By Husband And Relatives - Rate,Cruelty By Husband and Relatives - percentage contribution to All India,Molestation - Incidence,Molestation - Rate,Molestation - percentage contribution to All India,Eve -Teasing - Incidence,Eve -Teasing - Rate,Eve -Teasing - percentage contribution to All India,Importation of Girls - Incidence,Importation of Girls - Rate,Importation of Girls - percentage contribution to All India,Sati Prev.Act - Incidence,Sati Prev.Act - Rate,Sati Prev.Act - percentage contribution to All India,Immoral Traffic (P) Act - Incidence,Immoral Traffic (P) Act - Rate,Immoral Traffic (P) Act - percentage contribution to All India,Indecent Representation of Women (P) Act - Incidence,Indecent Representation of Women (P) Act - Rate,Indecent Representation of Women (P) Act - percentage contribution to All India,Dowry Proh.Act - Incidence,Dowry Proh.Act - Rate,Dowry Proh.Act - percentage contribution to All India percentage contribution to All India,Total - Incidence,Total - Rate,Total - percentage contribution to All India
11,Kerala,314.6,588,1.9,3.8,160,0.5,1,25,0.1,0.4,1675,5.3,4.6,1561,5,5.1,70,0.2,1.2,0,0,0,0,0,0,41,0.1,0.5,12,0,16.4,2,0,0.1,4134,13.1,3.4
12,Madhya Pradesh,760.1,3518,4.6,22.9,941,1.2,6,550,0.7,9.2,2479,3.3,6.8,7822,10.3,25.4,748,1,12.9,8,0,10.3,0,0,0,16,0,0.2,0,0,0,88,0.1,3.3,16170,21.3,13.3
13,Maharashtra,882.7,1246,1.4,8.1,820,0.9,5.3,420,0.5,7,8111,9.2,22.2,3131,3.5,10.2,835,0.9,14.4,0,0,0,0,0,0,1653,1.9,19.9,30,0,41.1,24,0,0.9,16270,18.4,13.4
14,Manipur,23,9,0.4,0.1,62,2.7,0.4,0,0,0,1,0,0,13,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,3.7,0.1
15,Meghalaya,22.2,37,1.7,0.2,16,0.7,0.1,0,0,0,3,0.1,0,29,1.3,0.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,87,3.9,0.1
16,Mizoram,8.7,52,6,0.3,0,0,0,0,0,0,1,0.1,0,56,6.4,0.2,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,110,12.6,0.1
17,Nagaland,15.3,17,1.1,0.1,21,1.4,0.1,0,0,0,1,0.1,0,5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2.9,0
18,Orissa,349.5,679,1.9,4.4,514,1.5,3.3,240,0.7,4,935,2.7,2.6,1586,4.5,5.2,234,0.7,4,3,0,3.8,0,0,0,11,0,0.1,2,0,2.7,249,0.7,9.3,4453,12.7,3.7
19,Punjab,228.1,184,0.8,1.2,171,0.7,1.1,185,0.8,3.1,235,1,0.6,158,0.7,0.5,1,0,0,12,0,15.4,0,0,0,3,0,0,2,0,2.7,0,0,0,951,4.2,0.8
20,Rajasthan,510.4,1255,2.5,8.2,2409,4.7,15.4,356,0.7,5.9,4304,8.4,11.8,2815,5.5,9.2,38,0.1,0.7,0,0,0,0,0,0,41,0.1,0.5,1,0,1.4,2,0,0.1,11221,22,9.3
21,Sikkim,5.1,7,1.4,0,9,1.8,0.1,0,0,0,1,0.2,0,32,6.3,0.1,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9.8,0
22,Tamil Nadu,602.9,324,0.5,2.1,989,1.6,6.3,153,0.3,2.5,424,0.7,1.2,1461,2.4,4.7,1532,2.5,26.4,8,0,10.3,0,0,0,3863,6.4,46.4,1,0,1.4,289,0.5,10.8,9044,15,7.5
23,Tripura,34.5,98,2.8,0.6,56,1.6,0.4,9,0.3,0.1,119,3.4,0.3,93,2.7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,10.9,0.3
24,Uttar Pradesh,1607,1457,0.9,9.5,2460,1.5,15.8,1786,1.1,29.7,3393,2.1,9.3,2023,1.3,6.6,105,0.1,1.8,2,0,2.6,1,0,100,57,0,0.7,4,0,5.5,561,0.3,20.9,11849,7.4,9.8
25,West Bengal,761.4,824,1.1,5.4,853,1.1,5.5,247,0.3,4.1,3728,4.9,10.2,1277,1.7,4.2,63,0.1,1.1,1,0,1.3,0,0,0,28,0,0.3,0,0,0,2,0,0.1,7023,9.2,5.8
Total States,Total States,9402,14761,1.6,96.3,14660,1.6,93.9,5850,0.6,97.4,36432,3.9,99.6,30052,3.2,97.7,5601,0.6,96.6,78,0,100,1,0,100,8163,0.9,98.1,63,0,86.3,2674,0.3,99.6,118335,12.6,97.6
26,A & N Islands,3.5,9,2.6,0.1,1,0.3,0,2,0.6,0,5,1.4,0,10,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,7.7,0
27,Chandigarh,8.1,9,1.1,0.1,25,3.1,0.2,4,0.5,0.1,30,3.7,0.1,9,1.1,0,5,0.6,0.1,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,83,10.2,0.1
28,D & N Haveli,1.7,2,1.2,0,3,1.8,0,0,0,0,8,4.7,0,2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8.8,0
29,Daman & DIU,1.3,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,0
30,Delhi,124.7,544,4.4,3.5,925,7.4,5.9,148,1.2,2.5,113,0.9,0.3,675,5.4,2.2,185,1.5,3.2,0,0,0,0,0,0,117,0.9,1.4,8,0.1,11,10,0.1,0.4,2725,21.9,2.2
31,Lakshadweep,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,10.1,4,0.4,0,3,0.3,0,2,0.2,0,4,0.4,0,16,1.6,0.1,5,0.5,0.1,0,0,0,0,0,0,42,4.2,0.5,2,0.2,2.7,1,0.1,0,79,7.8,0.1
Total (UTs),Total (UTs),150.1,569,3.8,3.7,957,6.4,6.1,156,1,2.6,160,1.1,0.4,712,4.7,2.3,195,1.3,3.4,0,0,0,0,0,0,160,1.1,1.9,10,0.1,13.7,11,0.1,0.4,2930,19.5,2.4
Total (All -India),Total (All -India),9552.1,15330,1.6,100,15617,1.6,100,6006,0.6,100,36592,3.8,100,30764,3.2,100,5796,0.6,100,78,0,100,1,0,100,8323,0.9,100,73,0,100,2685,0.3,100,121265,12.7,100
