SI.No.,States/UTs,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband and Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
18,Orissa,92.02,93.93,80,95.55,90.7,90.74,90,72.56,100,73.94,53.44,59.52,93.49,85.88,85.01,63.64,71.15,96.44,98.56,95.7,97.77,94.17,95.37,85.87
19,Punjab,88.67,96.57,94.67,97.37,71.5,79.03,57.97,69.44,66.67,85.29,49.83,58.99,77.78,90.4,82.9,53.85,77.55,93.6,92.45,94.66,0,87.28,89.89,83.84
20,Rajasthan,82.02,95.73,96.67,96.69,73.98,73.63,75.19,73.19,100,65.67,25.82,28.45,97.36,75.41,66.37,9.78,59.22,96.87,97.38,98.67,96.77,98.36,92.11,80.55
21,Sikkim,100,66.67,0,83.33,50,50,NA,NA,NA,75,31.37,51.58,70.97,66.67,68.75,NA,0,93.42,NA,68.97,0,100,64.62,64.3
22,Tamil Nadu,94.62,97.14,95,96.97,80.48,84.88,53.33,86.47,50,76.64,65.73,82.75,95.62,71.72,74.91,5.71,68,96.47,98.29,98.75,99.8,99.72,94.44,91.06
23,Tripura,56.27,48.78,100,83.96,61.9,70.59,57.02,33.98,NA,29.17,19.6,42.09,68.13,66.67,55,NA,37.97,63.3,100,74.71,NA,81.15,61.82,54.23
24,Uttar Pradesh,87,87.12,90.83,93.66,75.56,77.39,72.05,75.72,100,58.7,32.14,31.44,83.81,57.53,63.34,57.97,65.59,92.62,91.4,94.57,99.01,81.82,82.63,71.02
25,West Bengal,68.23,77.76,70.02,88.6,70.48,71.45,65.25,51.9,76.61,43.55,21.45,15.77,79.68,63.45,48.88,23.88,65.81,75.03,92.68,90.58,83.33,93.8,64.81,54.11
Total States,Total States,80.6,88.95,85.28,93.76,76.66,78.12,73.21,61.95,87.56,57.98,35.87,40.52,90.3,72.07,70.08,20.71,62.16,95.06,94.37,96.8,98.55,95.49,88.69,77.6
26,A & N Islands,77.78,100,100,100,100,100,NA,NA,NA,NA,48.98,46.15,88.89,100,50,NA,NA,88.14,NA,100,NA,66.67,85.71,77.97
27,Chandigarh,51.85,75,75,75,90.91,100,84.62,NA,NA,77.78,32.81,26.27,87.5,42.11,47.62,NA,75,81.16,100,88.89,100,59.09,71.97,47.92
28,D & N Haveli,69.23,100,100,100,100,100,100,12.5,NA,33.33,13.16,52.63,58.33,66.67,100,NA,50,90,100,100,NA,85.71,80.98,67.3
29,Daman & DIU,85.71,100,NA,NA,100,100,100,0,NA,50,28.57,25,90,100,50,NA,NA,NA,NA,NA,NA,NA,80.5,66.55
30,Delhi,97.84,99.75,98,98.83,84.39,84.91,83.41,96.15,90,92.6,58.86,51.88,98.45,71.31,83.7,69.32,71.05,96.71,100,99.26,98.04,98.91,89.9,73.38
31,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.11,12.5,25,25,NA,NA,0,50,NA,NA,NA,NA,27.27,23.4
32,Pondicherry,88.46,100,100,100,60,33.33,100,100,NA,100,56.32,56.72,93.94,57.14,60,0,25,98.08,100,100,100,100,97.15,87.44
Total (UTs),Total (UTs),93.59,98.9,96.67,98.43,84.57,85.01,83.76,65.85,90,91.57,54.87,50.74,88.34,69.16,80.94,64.89,55.56,95.96,100,99.14,98.16,90.7,89.71,73.02
Total (All NAIndia),Total (All NAIndia),80.78,89.11,85.46,93.91,77,78.39,73.74,61.98,87.59,58.74,36.28,41.2,90.29,71.94,70.65,23.69,62.11,95.07,94.5,96.84,98.54,95.47,88.72,77.47
