SI.No,States,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - of Women & Girls,Kidnapping & Abduction - of others,Dacoity,Preparation and Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Arson,Hurt /Grievous Hurt,Dowry Deaths,Molestation,Sexual Harassment,Cruelty by Husband or Relatives,Others IPC Crimes,Total Cognizable Crimes Under IPC
19,Andhra Pradesh,Srikakulam,41,31,0,26,25,17,8,2,0,5,143,205,72,39,39,1,46,629,11,58,6,16,988,2383
20,Andhra Pradesh,Visakha Rural,84,41,3,48,45,31,14,5,0,13,392,859,63,89,169,10,59,1415,17,115,277,184,1646,5534
21,Andhra Pradesh,Vizianagaram,33,15,1,7,9,6,3,1,0,5,104,188,41,14,28,3,12,617,7,65,43,176,1313,2682
22,Andhra Pradesh,Warangal,174,71,7,32,28,18,10,18,0,24,167,378,274,15,77,4,0,797,43,104,0,25,1619,3857
23,Andhra Pradesh,West Godavari,76,68,1,70,57,42,15,7,0,21,226,669,81,46,143,8,34,1042,14,184,60,264,1900,4971
24,Andhra Pradesh,Guntakal Rly.,1,0,0,0,0,0,0,0,0,2,0,171,1,0,1,1,0,9,0,0,0,0,96,282
25,Andhra Pradesh,Secunderabad Rly.,14,1,0,2,0,0,0,1,0,1,0,309,11,0,3,1,1,6,1,1,0,0,59,411
26,Andhra Pradesh,Vijyawada Rly.,1,0,0,0,0,0,0,0,0,4,0,232,1,0,5,0,0,0,0,0,0,0,53,296
Andhra Pradesh,Andhra Pradesh,Total,2872,1324,121,947,1262,730,532,511,9,872,6963,15009,3657,759,3453,139,1149,23986,520,2899,1023,3870,43618,114963
1,Arunachal Pradesh,Changlang,8,5,0,4,2,0,2,8,1,3,30,42,0,5,1,0,1,15,0,5,0,0,42,172
2,Arunachal Pradesh,Dibang Valley,5,3,0,0,3,0,3,1,0,6,11,18,0,0,0,0,1,27,0,2,0,0,21,98
3,Arunachal Pradesh,Kameng East,6,3,0,1,4,2,2,3,0,2,9,14,2,3,1,0,2,17,0,2,0,0,30,99
4,Arunachal Pradesh,Kameng West,5,2,0,2,2,2,0,1,0,2,6,27,1,3,2,0,0,22,0,0,0,0,39,114
5,Arunachal Pradesh,Lohit,8,6,1,5,9,5,4,5,0,5,20,39,1,1,5,0,0,14,0,6,0,0,33,158
6,Arunachal Pradesh,Papum Pare,8,7,0,5,4,2,2,9,0,9,42,73,4,11,7,1,6,56,0,3,0,0,111,356
7,Arunachal Pradesh,Siang East,7,2,0,14,6,4,2,3,0,10,18,54,0,3,3,1,0,34,0,0,0,0,72,227
8,Arunachal Pradesh,Siang Upper,4,1,0,1,1,1,0,0,0,2,14,14,0,1,0,0,0,19,0,3,0,0,16,76
9,Arunachal Pradesh,Siang West,6,4,0,4,2,2,0,2,0,10,14,27,7,1,0,0,2,38,0,6,0,1,56,180
10,Arunachal Pradesh,Subansiri Lower,5,2,1,4,2,2,0,2,0,6,9,9,2,0,1,0,0,3,0,0,0,0,32,78
11,Arunachal Pradesh,Subansiri Upper,1,4,0,2,2,2,0,0,0,1,5,20,0,2,2,0,3,52,0,8,0,0,50,152
12,Arunachal Pradesh,Tawang,1,0,0,1,0,0,0,1,0,1,2,20,0,1,0,0,0,5,0,1,0,0,14,47
13,Arunachal Pradesh,Tirap,5,1,1,0,1,1,0,6,0,3,17,32,0,2,0,0,0,15,0,1,0,0,35,119
Arunachal Pradesh,Arunachal Pradesh,Total,69,40,3,43,38,23,15,41,1,60,197,389,17,33,22,2,15,317,0,37,0,1,551,1876
1,Assam,Barpeta,64,11,0,40,54,43,11,40,1,48,131,244,318,23,30,1,30,125,0,47,0,70,592,1869
2,Assam,Bongaigaon,40,12,0,20,26,22,4,15,0,31,80,144,72,11,10,1,9,41,0,12,0,18,263,805
3,Assam,Cachar,46,6,0,34,102,83,19,63,2,44,305,407,623,39,62,1,55,108,4,41,0,125,1086,3153
4,Assam,Darrang,109,20,2,29,47,24,23,74,0,94,84,285,88,37,20,6,28,245,0,38,0,14,201,1421
5,Assam,Dhemaji,16,9,0,33,29,20,9,12,1,27,47,117,19,8,20,0,6,168,0,35,0,31,22,600
6,Assam,Dhubri,53,8,1,42,47,42,5,13,2,12,102,224,462,17,43,2,20,249,4,64,4,62,228,1659
7,Assam,Dibrugarh,125,17,6,34,60,52,8,14,0,40,127,520,45,27,20,0,24,384,0,22,0,34,463,1962
8,Assam,Goalpara,43,9,1,17,41,35,6,26,0,19,113,138,96,8,19,0,0,51,0,0,0,0,407,988
9,Assam,Golaghat,67,11,0,28,49,42,7,16,5,51,93,235,47,14,10,0,25,216,0,15,0,16,266,1164
10,Assam,Hailakandi,22,14,0,27,41,41,0,11,0,5,152,235,153,9,24,1,65,163,0,45,27,8,211,1213
11,Assam,Jorhat,71,11,2,19,37,31,6,14,1,53,117,243,81,15,20,0,12,83,0,11,0,29,388,1207
12,Assam,Kamrup,101,36,9,61,127,112,15,96,5,182,670,1508,322,113,123,9,22,517,3,19,0,75,1311,5309
13,Assam,Karbi Anglong,37,6,1,8,42,29,13,28,0,57,71,173,32,13,10,0,0,93,0,27,0,0,192,790
14,Assam,Karimaganj,37,12,0,41,24,21,3,32,0,8,116,195,358,8,12,1,26,157,2,4,0,58,84,1175
15,Assam,Kokrajhar,54,27,0,15,28,12,16,42,0,30,103,216,65,11,14,0,11,148,2,8,0,10,102,886
16,Assam,Lakhimpur,41,18,1,53,61,56,5,14,0,33,127,257,74,19,63,0,13,278,0,42,1,31,245,1371
17,Assam,Morigaon,29,10,0,29,39,39,0,19,0,14,52,108,42,6,20,1,16,98,0,39,0,14,221,757
18,Assam,N.C. Hills,16,3,0,0,10,5,5,15,0,13,22,31,6,2,1,0,6,14,2,6,0,1,42,190
19,Assam,Nagaon,102,34,1,48,159,147,12,99,2,92,375,560,329,53,68,1,69,304,3,125,2,70,974,3470
20,Assam,Nalbari,100,45,0,20,56,40,16,60,1,41,82,234,107,9,10,0,0,162,0,0,0,0,254,1181
21,Assam,Sibsagar,65,16,2,38,77,77,0,19,0,32,115,407,71,7,20,0,23,294,0,30,0,33,428,1677
22,Assam,Sonitpur,112,37,0,55,101,92,9,53,0,55,227,379,126,18,44,1,19,335,2,34,0,43,310,1951
23,Assam,Tinsukia,102,4,0,26,48,48,0,23,2,46,163,513,71,16,20,0,17,210,0,22,0,33,448,1764
Assam,Assam,Total,1452,376,26,717,1305,1113,192,798,22,1027,3474,7373,3607,483,683,25,496,4443,22,686,34,775,8738,36562
1,Bihar,Araria,51,9,3,33,21,5,16,34,2,44,68,176,207,22,12,0,0,23,16,0,0,0,1347,2068
2,Bihar,Aurangabad,64,15,1,11,25,15,10,50,1,27,128,189,316,11,29,0,0,0,13,0,0,0,1204,2084
3,Bihar,Bagaha,56,5,3,7,43,6,37,7,2,8,27,90,120,10,3,0,6,8,4,0,0,0,656,1055
4,Bihar,Banka,73,26,5,21,19,2,17,42,2,38,67,82,283,18,8,0,4,19,8,3,0,11,806,1535
5,Bihar,Begusarai,160,157,2,19,57,28,29,28,0,66,98,273,161,10,22,0,5,31,10,1,0,40,1702,2842
6,Bihar,Bettiah,101,157,13,34,122,33,89,38,4,56,164,300,314,33,25,0,32,94,25,37,0,29,755,2333
7,Bihar,Bhabhua,48,48,7,8,39,3,36,41,3,24,68,195,222,38,30,2,14,399,14,5,2,26,172,1405
8,Bihar,Bhagalpur,101,84,6,21,61,39,22,21,14,63,158,273,178,11,41,0,6,10,13,4,0,2,1688,2755
9,Bihar,Bhojpur,138,142,0,18,52,6,46,48,0,57,108,244,222,0,0,0,0,0,21,0,11,0,0,1061
10,Bihar,Bokaro,91,86,5,44,41,34,7,38,2,69,112,609,217,46,32,0,14,58,10,24,1,24,923,2446
11,Bihar,Buxar,63,69,5,10,27,4,23,87,3,21,58,182,188,11,39,0,22,77,13,14,0,16,396,1301
12,Bihar,Chaibasa,162,47,3,70,20,17,3,5,1,22,30,250,42,9,14,0,0,0,0,0,0,0,854,1529
13,Bihar,Chatra,22,14,5,15,5,4,1,24,0,13,18,61,63,4,13,0,7,49,9,4,0,8,173,507
14,Bihar,Darbhanga,47,35,20,13,28,20,8,35,2,28,151,228,229,27,15,0,0,0,16,45,5,21,2217,3162
15,Bihar,Deoghar,44,9,10,29,23,0,23,31,5,31,109,171,168,27,15,0,26,74,12,11,0,23,506,1324
16,Bihar,Dhanbad,85,81,7,36,56,50,6,50,15,72,245,522,248,76,62,1,2,256,17,13,0,26,1324,3194
17,Bihar,Dumka,83,7,5,37,20,0,20,29,2,27,91,170,99,28,8,0,16,0,28,12,0,4,900,1566
18,Bihar,Garhwa,48,79,10,10,10,3,7,40,1,28,37,96,29,12,17,0,6,0,9,0,0,13,247,692
19,Bihar,Gaya,186,65,5,24,41,15,26,129,3,109,170,374,300,18,65,0,0,0,5,0,0,47,977,2518
20,Bihar,Giridih,61,85,21,54,21,17,4,50,4,25,93,195,273,18,9,0,6,0,0,0,0,0,1238,2153
21,Bihar,Godda,61,78,4,19,10,10,0,16,1,16,64,112,70,19,9,0,0,0,0,0,0,0,470,949
22,Bihar,Gopalganj,92,72,21,30,42,28,14,37,0,71,121,191,207,12,74,0,28,610,11,20,6,8,234,1887
23,Bihar,Gumla,149,61,11,74,31,27,4,13,1,33,52,97,45,21,41,0,0,0,0,12,0,14,551,1206
24,Bihar,Hazaribagh,147,12,6,29,30,19,11,61,8,83,101,323,197,15,39,1,14,157,25,14,0,32,971,2265
25,Bihar,Jamshedpur,68,63,7,49,39,32,7,9,4,20,168,611,124,39,121,0,0,0,9,0,0,0,1051,2382
26,Bihar,Jamui,50,90,0,11,23,6,17,25,0,18,46,101,146,0,0,0,0,15,6,0,0,0,474,1005
27,Bihar,Jehanabad,76,37,2,17,35,5,30,48,2,46,53,148,241,0,38,0,0,0,5,0,0,0,868,1616
28,Bihar,Katihar,65,85,2,63,74,68,6,48,1,34,112,174,365,24,47,0,18,345,18,18,0,23,822,2338
29,Bihar,Khagaria,72,129,0,4,8,6,2,12,2,27,16,81,414,0,0,0,0,0,0,0,0,0,535,1300
30,Bihar,Kishanganj,28,10,13,61,29,20,9,15,0,11,91,91,175,5,5,0,2,27,2,1,0,62,573,1201
31,Bihar,Kodarma,14,9,0,10,10,7,3,16,2,9,22,53,76,6,13,0,6,42,7,4,0,9,196,504
32,Bihar,Lakhisaraj,70,129,5,7,41,5,36,26,1,20,32,142,95,9,25,0,7,2,0,5,0,6,301,923
33,Bihar,Loharadagga,49,22,8,17,6,5,1,12,5,22,22,42,23,6,14,0,1,42,0,9,1,7,108,416
34,Bihar,Medhepura,44,30,2,18,33,14,19,16,2,29,25,87,286,18,17,0,0,13,45,0,0,0,524,1189
35,Bihar,Madhubani,55,103,0,34,44,18,26,31,4,31,242,225,448,0,10,1,0,0,12,21,0,5,1916,3182
36,Bihar,Motihari,101,154,11,28,91,39,52,37,4,53,155,311,374,56,80,0,28,543,30,0,0,34,1193,3283
37,Bihar,Munger,96,89,2,8,71,11,60,22,5,43,178,206,291,28,49,0,0,0,18,0,0,0,674,1780
38,Bihar,Muzaffarpur,139,102,50,35,120,52,68,113,7,126,196,436,376,61,19,19,0,50,35,46,0,18,2328,4276
39,Bihar,Nalanda,168,193,20,25,50,10,40,48,3,66,139,281,149,59,15,1,0,48,50,0,0,0,2500,3815
40,Bihar,Naugachia,66,53,1,5,11,3,8,17,1,22,11,53,82,3,10,0,2,49,2,0,0,3,246,637
41,Bihar,Nawadah,53,80,10,20,28,6,22,28,3,22,42,125,229,18,20,0,0,85,4,0,0,86,936,1789
42,Bihar,Pakur,28,32,4,19,6,6,0,10,1,5,24,54,48,10,6,0,0,3,0,12,0,0,215,477
43,Bihar,Palamau,105,19,16,25,31,6,25,90,0,45,84,157,296,6,14,0,50,346,13,16,4,33,597,1947
44,Bihar,Patna,492,689,35,29,187,29,158,133,17,370,460,1796,586,172,103,1,23,781,46,61,2,56,2601,8640
45,Bihar,Purnea,102,227,7,75,91,39,52,72,11,74,162,283,502,49,36,0,29,69,11,5,3,6,1204,3018
46,Bihar,Ranchi,278,123,49,57,50,36,14,60,9,203,206,720,134,66,41,2,5,161,5,89,0,57,1106,3421
47,Bihar,Rohtas,111,116,4,8,92,25,67,101,3,71,176,476,396,22,88,1,31,134,15,39,9,27,762,2682
48,Bihar,Saharsa,48,24,8,11,28,10,18,12,3,21,27,82,126,17,7,0,7,32,2,8,0,0,810,1273
49,Bihar,Sahebganj,63,83,0,23,20,7,13,20,0,8,18,205,65,4,22,0,3,11,0,13,4,22,245,829
50,Bihar,Samastipur,160,157,45,47,29,19,10,52,15,94,158,172,325,40,45,0,95,370,5,0,0,0,1190,2999
51,Bihar,Saran,138,71,0,12,71,10,61,117,8,102,189,318,314,15,77,1,26,201,61,5,0,79,2305,4110
52,Bihar,Sheikhpura,29,35,5,3,6,0,6,10,1,13,22,60,67,2,11,0,4,13,2,1,0,20,439,743
53,Bihar,Sheohar,13,21,2,5,9,6,3,0,0,1,6,28,41,4,2,0,0,31,4,13,0,10,226,416
54,Bihar,Sitamarhi,77,11,8,16,35,27,8,47,0,43,93,131,219,22,16,0,8,0,10,0,0,18,1153,1907
55,Bihar,Siwan,127,174,10,4,57,34,23,70,0,89,151,248,213,0,0,0,1,0,25,0,0,48,1288,2505
56,Bihar,Supaul,50,17,8,11,30,9,21,34,4,27,57,130,124,15,21,0,7,36,3,15,0,0,990,1579
57,Bihar,Vaishali,114,24,66,24,101,7,94,25,2,62,185,291,172,37,38,60,9,0,36,0,0,0,1761,3007
58,Bihar,Dhanbad Rly.,7,0,0,1,2,2,0,12,1,15,7,105,5,1,1,0,0,0,0,0,0,1,80,238
59,Bihar,Jamalpur Rly.,15,0,0,3,1,0,1,7,3,3,2,146,9,1,3,0,0,0,1,0,0,0,76,270
60,Bihar,Jamshedpur Rly.,3,0,0,2,3,0,3,1,0,4,13,148,3,2,2,0,0,0,0,0,0,0,82,263
61,Bihar,Katihar Rly.,13,0,0,1,3,3,0,12,2,20,8,161,15,0,13,0,0,0,0,3,0,0,140,391
62,Bihar,Muzaffarpur Rly.,16,8,0,2,5,1,4,8,2,13,14,233,26,4,4,0,0,0,0,0,0,0,115,450
63,Bihar,Patna Rly.,18,11,0,1,11,0,11,22,4,18,5,445,19,1,13,0,0,0,0,9,0,0,186,763
Bihar,Bihar,Total,5354,4663,578,1457,2425,968,1457,2392,208,2931,5955,14959,11997,1318,1668,90,570,5314,761,612,48,974,53127,117401
1,Goa,North Goa,29,8,3,10,3,2,1,5,0,45,297,402,101,20,37,2,19,101,2,7,4,4,511,1610
2,Goa,South Goa,14,3,3,5,6,3,3,2,0,20,252,382,54,14,11,2,19,99,1,8,3,4,383,1285
Goa,Goa,Total,43,11,6,15,9,5,4,7,0,65,549,784,155,34,48,4,38,200,3,15,7,8,894,2895
1,Gujarat,Ahmedabad,114,79,1,18,182,126,56,21,0,276,745,3821,304,150,234,8,14,1714,16,47,20,465,8332,16561
2,Gujarat,Ahmedabad Rural,53,27,1,8,63,27,36,27,0,70,155,350,127,88,77,0,22,684,0,42,0,110,1370,3274
3,Gujarat,Ahwa- Dang,11,0,0,1,2,2,0,1,0,0,11,16,6,0,3,0,0,28,0,4,0,17,89,189
4,Gujarat,Amreli,32,15,0,6,15,12,3,4,0,30,115,225,29,20,17,4,22,403,0,22,0,60,1174,2193
5,Gujarat,Anand,64,19,0,19,53,48,5,14,0,24,239,526,71,146,158,2,39,782,0,57,1,234,2524,4972
6,Gujarat,Banaskantha,60,32,0,24,42,41,1,14,0,69,302,601,138,35,157,4,23,1660,4,59,1,138,1544,4907
7,Gujarat,Bharuch,44,18,0,17,44,39,5,31,0,31,237,490,57,51,144,3,55,542,0,42,4,86,2093,3989
8,Gujarat,Bhavnagar,64,42,0,12,80,69,11,10,0,80,272,746,136,164,110,4,38,96,9,49,11,124,3289,5336
9,Gujarat,Gandhinagar,19,8,0,3,20,17,3,6,1,38,116,476,26,14,26,1,7,178,6,12,1,35,1155,2148
10,Gujarat,Jamnagar,36,26,0,16,31,27,4,6,0,29,242,325,42,53,99,3,13,445,1,28,3,156,2348,3902
11,Gujarat,Junagadh,47,44,0,16,32,24,8,3,0,43,281,429,113,100,105,5,15,883,4,51,4,224,2442,4841
12,Gujarat,Kheda North,49,14,0,20,57,57,0,9,0,14,228,478,73,71,148,3,15,544,0,55,0,123,2514,4415
13,Gujarat,Kutch,41,20,0,16,15,14,1,9,0,21,194,300,65,42,64,7,10,432,2,20,2,107,1868,3235
14,Gujarat,Meshana,58,30,0,9,83,81,2,8,0,55,345,938,187,113,64,10,61,772,0,68,0,141,3678,6620
15,Gujarat,Panchmahals,110,26,0,21,57,41,16,42,0,78,236,482,91,48,30,5,67,1224,0,64,0,38,3235,5854
16,Gujarat,Patan,27,37,0,9,27,17,10,6,0,38,141,364,105,38,71,2,12,449,0,39,0,80,1460,2905
17,Gujarat,Porbandar,18,13,0,14,12,11,1,1,0,10,51,151,11,26,28,1,4,133,0,14,1,55,755,1298
18,Gujarat,Rajkot Commr.,35,13,0,5,46,31,15,1,0,25,275,785,72,18,38,5,7,458,8,19,10,100,1933,3853
19,Gujarat,Rajkot Rural,53,63,3,12,63,54,9,8,0,41,280,614,81,144,79,5,28,709,5,62,0,172,3042,5464
20,Gujarat,Sabarkantha,41,9,0,12,37,36,1,12,0,18,187,225,115,61,45,5,17,404,2,66,1,178,2613,4048
21,Gujarat,Surat Commr.,98,49,0,15,69,47,22,23,0,62,511,1470,99,92,295,6,10,664,26,27,9,150,1383,5058
22,Gujarat,Surat Rural,80,12,0,17,26,26,0,11,0,33,120,202,57,73,55,3,18,335,0,26,3,40,2007,3118
23,Gujarat,Surendranagar,38,28,0,16,15,12,3,9,0,13,145,198,77,36,56,4,16,514,3,49,3,62,1823,3105
24,Gujarat,Vadodara Commr.,38,27,0,16,51,42,9,11,0,32,452,1449,197,121,202,8,8,457,0,29,13,162,3597,6870
25,Gujarat,Vadodara Rural,93,20,0,27,40,40,0,21,0,29,148,404,55,77,140,0,24,901,1,105,0,59,1436,3580
26,Gujarat,Valsad,76,27,0,21,42,29,13,29,3,25,265,431,67,68,90,2,24,499,0,11,1,54,2604,4339
27,Gujarat,W.Rly,16,9,0,5,5,3,2,5,0,60,29,1173,9,11,5,2,1,55,0,10,2,13,339,1749
Gujarat,Gujarat,Total,1415,707,5,375,1209,973,236,342,4,1244,6322,17669,2410,1860,2540,102,570,15965,87,1077,90,3183,60647,117823
1,Haryana,Ambala,17,7,3,9,28,21,7,0,0,2,122,234,5,18,53,1,7,195,8,17,0,46,807,1579
2,Haryana,Bhiwani,39,37,13,23,19,9,10,1,6,6,152,229,112,31,61,5,14,325,34,71,1,55,834,2068
3,Haryana,Faridabad,78,49,15,50,87,63,24,24,9,48,497,856,141,63,168,5,19,413,27,45,92,105,1957,4748
4,Haryana,Fatehabad,19,15,1,10,11,6,5,1,1,5,86,111,12,6,21,0,2,269,5,17,0,0,215,807
5,Haryana,Gurgaon,39,39,5,40,41,27,14,5,7,28,398,566,75,32,109,1,29,205,16,33,3,37,1491,3199
6,Haryana,Hissar,24,35,40,15,34,22,12,1,1,7,157,336,30,16,74,2,6,670,9,47,33,0,703,2240
7,Haryana,Jhajjar,51,16,2,12,13,2,11,2,2,14,93,128,31,5,8,0,10,143,11,29,13,12,346,941
8,Haryana,Jind,36,25,9,21,14,9,5,2,2,12,156,165,56,37,34,2,34,148,20,33,34,28,524,1392
9,Haryana,Kaithal,30,13,5,12,8,5,3,1,0,3,75,115,0,25,26,0,12,174,3,19,0,0,307,828
10,Haryana,Karnal,36,28,12,49,12,9,3,4,1,9,196,286,37,20,71,3,11,775,22,36,0,63,164,1835
11,Haryana,Kurukshetra,16,11,2,13,12,7,5,0,4,3,98,181,118,15,98,1,4,52,13,29,25,20,675,1390
12,Haryana,Mahendragarh,21,10,2,16,6,3,3,3,1,2,61,106,75,15,54,1,12,161,14,31,0,12,512,1115
13,Haryana,Panchkula,9,3,5,3,6,2,4,2,0,4,88,155,3,9,7,0,1,28,4,12,0,11,443,793
14,Haryana,Panipat,40,14,8,15,28,25,3,4,4,5,150,245,29,17,48,2,11,124,7,15,22,28,482,1298
15,Haryana,Rewari,14,9,2,13,14,9,5,4,1,14,120,162,39,34,41,0,23,156,18,32,0,17,653,1366
16,Haryana,Rohtak,36,28,2,21,14,9,5,2,2,11,201,365,39,7,44,3,16,173,15,25,13,28,600,1645
17,Haryana,Sirsa,27,28,2,17,24,20,4,0,0,5,120,157,26,10,29,0,1,419,8,18,0,28,260,1179
18,Haryana,Sonipat,53,35,5,14,29,21,8,2,9,19,127,273,11,10,39,3,6,232,14,16,21,21,731,1670
19,Haryana,Yamunanagar,22,10,4,18,27,22,5,0,1,4,121,208,9,13,62,4,5,153,15,17,0,22,652,1367
20,Haryana,GRP,2,4,0,2,1,0,1,0,0,0,0,101,14,2,3,0,0,12,4,4,30,0,342,521
Haryana,Haryana,Total,609,416,137,373,428,291,137,58,51,201,3018,4979,862,385,1050,33,223,4827,267,546,287,533,12698,31981
1,Himachal Pradesh,Bilaspur,6,7,0,5,7,5,2,0,0,1,33,37,49,5,12,0,10,127,0,26,1,18,337,681
2,Himachal Pradesh,Chamba,9,1,0,9,15,14,1,0,0,0,142,36,2,7,4,0,7,61,0,17,0,18,277,605
3,Himachal Pradesh,Hamirpur,8,5,0,5,5,5,0,0,0,3,49,27,19,3,5,0,12,208,2,7,1,10,179,548
4,Himachal Pradesh,Kangra,35,15,1,12,36,35,1,0,0,2,124,96,122,8,33,0,16,310,3,41,8,52,1018,1932
5,Himachal Pradesh,Kinnaur,1,0,0,5,3,3,0,0,0,0,34,17,19,1,1,0,0,35,0,8,0,2,43,169
6,Himachal Pradesh,Kullu,5,0,0,11,10,9,1,0,0,2,40,30,18,10,5,0,3,52,0,15,0,5,453,659
7,Himachal Pradesh,Lahaul-Spiti,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,2,0,5,0,0,24,38
8,Himachal Pradesh,Mandi,8,5,2,23,11,10,1,0,0,4,77,76,55,13,18,0,20,203,3,46,4,55,909,1532
9,Himachal Pradesh,Shimla,16,15,2,23,17,14,3,3,0,3,152,159,119,16,35,1,15,96,1,53,2,14,868,1610
10,Himachal Pradesh,Sirmaur,6,7,1,15,18,18,0,0,0,0,33,23,50,5,8,0,8,53,1,28,2,13,403,674
11,Himachal Pradesh,Solan,14,4,0,14,14,12,2,0,0,1,95,70,72,21,15,4,5,67,0,30,0,24,600,1050
12,Himachal Pradesh,UNA,9,5,1,7,6,5,1,1,0,3,41,41,49,3,6,0,6,91,2,12,0,10,447,740
13,Himachal Pradesh,G.R.P.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4
Himachal Pradesh,Himachal Pradesh,Total,117,64,7,129,142,130,12,4,0,19,821,616,575,93,142,5,103,1305,12,288,18,221,5561,10242
1,Jammu Kashmir,Anantnag,164,13,4,4,63,52,11,7,0,40,151,86,21,5,22,1,85,16,0,24,6,0,320,1032
2,Jammu Kashmir,Badgam,58,17,4,12,45,40,5,5,0,0,99,162,96,7,19,0,9,7,0,20,15,0,227,802
3,Jammu Kashmir,Baramulla,108,83,0,16,100,100,0,1,0,19,193,270,94,23,21,0,69,38,0,83,35,0,499,1652
4,Jammu Kashmir,Doda,13,33,0,9,16,16,0,7,0,9,73,52,28,6,8,0,27,17,0,9,7,0,575,889
5,Jammu Kashmir,Ganderbal,5,3,0,2,11,11,0,0,0,0,18,14,12,0,1,0,0,4,0,8,2,0,22,102
6,Jammu Kashmir,Jammu,44,134,1,14,64,64,0,1,0,1,253,494,81,17,55,2,0,122,11,40,95,1,2547,3977
7,Jammu Kashmir,Kargil,0,0,0,1,3,3,0,0,0,0,11,3,19,4,3,0,0,0,0,2,1,0,72,119
8,Jammu Kashmir,Kathua,13,31,0,7,18,16,2,2,0,3,93,79,61,5,8,0,25,46,0,10,12,5,580,998
9,Jammu Kashmir,Kulgam,11,2,0,1,2,2,0,0,0,1,7,5,2,1,5,0,4,0,0,2,0,0,16,59
10,Jammu Kashmir,Kupwara,157,185,1,2,43,38,5,0,0,4,29,51,42,8,9,0,75,18,0,75,5,0,178,882
11,Jammu Kashmir,Leh,5,0,0,1,0,0,0,0,0,0,6,7,9,3,4,0,0,3,0,2,0,0,78,118
12,Jammu Kashmir,Poonch,22,45,1,12,21,21,0,0,0,1,11,145,46,2,7,3,6,37,0,5,5,0,225,594
13,Jammu Kashmir,Pulwama,87,92,1,12,36,36,0,1,0,19,97,174,31,5,31,1,48,15,0,20,8,0,201,879
14,Jammu Kashmir,Rajouri,31,33,0,27,25,25,0,4,0,8,72,68,9,6,11,0,12,27,1,17,6,1,583,941
