SI.No.,Category,State/UT/City,Murder - Male,Murder - Female,Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C. H. Not Amounting to Murder - Male,C. H. Not Amounting to Murder - Female,C. H. Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abuduction - Total - Male,Kidnapping & Abuduction - Total - Female,Kidnapping & Abuduction - Total - Total,Kidnapping & Abuduction - of Women & Girls - Male,Kidnapping & Abuduction - of Women & Girls - Female,Kidnapping & Abuduction - of Women & Girls - Total,Kidnapping & Abuduction - of Others - Male,Kidnapping & Abuduction - of Others - Female,Kidnapping & Abuduction - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly For Dacoity - Male,Preparation & Assembly For Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Arson - Male,Arson - Female,Arson - Total,Hurt - Male,Hurt - Female,Hurt - Total,Dowry Deaths - Male,Dowry Deaths - Female,Dowry Deaths - Total,Molestation - Male,Molestation -Female,Molestation - Total,Sexual Harassment - Male,Sexual Harassment - Female,Sexual Harassment - Total,Cruelty By Husband And Relatives - Male,Cruelty By Husband And Relatives - Female,Cruelty By Husband And Relatives - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable crimes under IPC - Female,Total Cognizable Crimes under IPC - Total,Percentage of female to total
16,State,Mizoram,30,0,30,23,0,23,0,0,0,64,0,64,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,21,0,21,261,1,262,877,6,883,0,0,0,27,1,28,60,5,65,3,0,3,91,0,91,77,2,79,0,0,0,41,0,41,0,0,0,0,0,0,421,29,450,2005,44,2049,2.15
17,State,Nagaland,66,0,66,32,0,32,3,0,3,19,0,19,29,0,29,19,0,19,10,0,10,69,0,69,0,0,0,97,1,98,204,0,204,386,9,395,9,0,9,20,0,20,61,0,61,9,0,9,4,0,4,70,1,71,0,0,0,2,0,2,0,0,0,0,0,0,515,0,515,1595,11,1606,0.68
18,State,Orissa,1614,117,1731,2423,61,2484,153,0,153,806,4,810,590,6,596,572,6,578,18,0,18,1102,5,1107,85,0,85,1427,12,1439,3691,59,3750,6350,190,6540,12279,395,12674,314,2,316,434,12,446,7,0,7,593,4,597,7249,323,7572,392,160,552,2161,19,2180,424,0,424,1092,369,1461,36636,1591,38227,79822,3329,83151,4
19,State,Punjab,1282,108,1390,1084,58,1142,183,8,191,314,23,337,306,30,336,171,24,195,135,6,141,56,0,56,150,0,150,66,0,66,917,32,949,1573,48,1621,48,0,48,271,13,284,1493,85,1578,14,0,14,82,2,84,7052,273,7325,354,187,541,221,2,223,1,0,1,548,247,795,6336,211,6547,22351,1327,23678,5.6
20,State,Rajasthan,2478,197,2675,4437,218,4655,125,15,140,1275,12,1287,1847,116,1963,1441,107,1548,406,9,415,612,3,615,46,0,46,1342,10,1352,3886,63,3949,6354,227,6581,57792,5286,63078,345,2,347,2059,68,2127,28,0,28,962,23,985,20410,1405,21815,355,112,467,2979,16,2995,38,0,38,4081,1073,5154,102150,6591,108741,213601,15437,229038,6.74
21,State,Sikkim,16,2,18,6,1,7,8,0,8,12,0,13,7,0,7,7,0,7,0,0,0,0,0,0,0,0,0,15,2,17,47,2,49,95,2,97,175,35,210,8,0,8,29,1,30,0,0,0,0,0,0,133,1,134,0,0,0,37,2,39,1,0,1,1,0,1,172,4,176,763,52,815,6.38
22,State,Tamil Nadu,5619,282,5901,8114,367,8481,51,1,52,474,3,477,1405,69,1474,1280,63,1343,125,6,131,703,0,703,7,0,7,983,3,986,4264,34,4298,14896,456,15352,42993,3262,46255,320,2,322,748,9,757,61,0,61,1853,20,1873,29157,2257,31414,213,64,277,2183,23,2206,1291,1,1292,628,131,759,77548,5147,82695,193511,12131,205642,5.9
23,State,Tripura,259,6,267,27,0,27,4,0,4,102,0,102,202,3,205,110,0,110,92,3,95,156,0,156,0,0,0,106,0,106,216,0,216,520,11,531,615,0,615,28,0,28,21,0,21,0,0,0,51,0,51,547,0,547,15,2,17,101,0,101,0,0,0,195,36,231,1165,32,1197,4330,92,4422,2.08
24,State,Uttar Pradesh,18328,236,18564,14544,75,14619,3541,22,3563,2051,17,2068,5820,228,6048,3640,204,3844,2180,24,2204,3127,1,3128,623,0,623,5020,3,5023,4659,32,4691,13836,125,13961,29377,492,29869,2269,11,2280,3026,35,3061,77,1,78,1735,3,1738,41012,698,41710,4059,1331,5390,2639,10,2649,118,0,118,7573,1826,9399,71318,964,72282,234752,6110,240862,2.54
25,State,West Bengal,4307,170,4477,1043,66,1109,1197,38,1235,1022,1,1023,1280,151,1431,1101,137,1238,179,14,193,2149,5,2154,1414,0,1414,1799,0,1799,960,15,975,16366,249,16615,29657,917,30574,431,6,437,961,27,988,21,0,21,241,7,248,5793,188,5981,477,100,577,1425,0,1425,134,0,134,5162,702,5864,29697,1055,30752,105536,3697,109233,3.38
Total States,State,Total States,75110,3393,78503,69111,1922,71033,7637,224,7861,19036,296,19332,25606,1459,27065,16272,1244,17516,9334,215,9549,24386,101,24487,4844,5,4849,27700,127,27827,63922,1123,65045,153396,3968,157364,430961,24605,455566,13419,313,13732,26698,874,27572,922,17,939,15339,234,15573,398341,23300,421641,11486,3571,15057,36764,303,37067,6517,51,6568,63364,17139,80503,912090,46260,958350,2386649,129285,2515934,5.14
26,UT,A & N Islands,19,0,19,5,0,5,0,0,0,7,0,7,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,50,3,53,58,2,60,0,0,0,12,0,12,4,0,4,7,0,7,99,11,110,1,0,1,10,0,10,0,0,0,1,1,2,271,36,307,573,53,626,8.47
27,UT,Chandigarh,23,4,27,33,1,34,6,0,6,13,0,13,35,2,37,17,1,18,18,1,19,0,0,0,0,0,0,13,0,13,109,4,113,334,6,340,292,7,299,22,3,25,110,10,120,3,0,3,2,0,2,160,9,169,5,4,9,21,0,21,8,0,8,43,28,71,577,26,603,1809,104,1913,5.44
28,UT,D & N Haveli,8,1,9,10,0,10,3,0,3,3,0,3,6,0,6,1,0,1,5,0,5,8,0,8,0,0,0,3,0,3,11,0,11,26,0,26,96,1,97,1,0,1,3,0,3,0,0,0,1,1,2,41,0,41,0,0,0,5,0,5,0,0,0,10,1,11,145,11,156,380,15,395,3.8
29,UT,Daman & DIU,17,6,23,16,0,16,0,0,0,1,0,1,12,2,14,2,0,0,12,2,14,1,0,1,0,0,0,1,0,1,9,0,9,10,0,10,103,27,130,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,5,134,304,40,344,11.63
30,UT,Delhi,844,68,912,928,31,959,336,13,349,662,21,683,606,36,642,402,28,430,204,8,212,165,1,166,85,1,86,984,5,989,1893,14,1907,8539,206,8745,1163,53,1216,353,5,358,1505,74,1579,25,0,25,19,0,19,4070,187,4257,242,115,357,873,23,896,233,2,235,603,258,861,25931,958,26889,50059,2071,52130,3.97
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,2,5,7,71.43
32,UT,Pondicherry,130,1,131,87,0,87,1,0,1,9,0,9,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,5,0,5,47,0,47,161,10,171,465,1,466,3,0,3,7,0,7,0,0,0,9,0,9,614,34,648,4,0,4,23,1,24,8,0,8,7,2,9,2787,60,2847,4368,110,4478,2.46
Total (UTs),UT,Total (UTs),1041,80,1121,1079,32,1111,346,13,359,695,21,716,665,41,706,426,29,455,239,12,251,174,1,175,85,1,86,1006,5,1011,2094,18,2112,9120,225,9345,2177,91,2268,382,8,390,1639,84,1723,32,0,32,38,1,39,4984,241,5225,252,119,371,932,24,956,249,2,251,664,290,954,29841,1101,30942,57495,2398,59893,4
Total (All-India),Total (All -India),Total (All-India),76151,3473,79624,70190,1954,72144,7983,237,8220,19731,317,20048,26271,1500,27771,16698,1273,17971,9573,227,9800,24560,102,24662,4929,6,4935,28706,132,28838,66016,1141,67157,162516,4193,166709,433138,24696,457834,13801,321,14122,28337,958,29295,954,17,971,15377,235,15612,403325,23541,426866,11738,3690,15428,37696,327,38023,6766,53,6819,64028,17429,81457,941931,47361,989292,2444144,131683,2575827,5.11
33,City,Ahmedabad,218,18,236,206,10,216,3,0,3,55,1,56,222,28,250,135,23,158,87,5,92,153,0,153,0,0,0,281,6,287,379,5,384,1326,56,1382,1789,84,1873,149,4,153,383,3,386,0,0,0,15,0,15,3267,379,3646,35,4,39,51,1,52,29,0,29,871,406,1277,11647,918,12565,21079,1923,23002,8.36
34,City,Bangalore,369,29,398,587,20,607,0,0,0,49,6,55,144,10,154,74,8,82,70,2,72,102,0,102,6,0,6,480,1,481,769,11,780,1853,78,1931,1349,97,1446,131,6,137,403,33,436,27,1,28,3,0,3,3211,276,3487,61,34,95,221,20,241,28,0,28,365,149,514,8585,865,9450,18743,1636,20379,8.03
35,City,Bhopal,122,0,122,207,6,213,0,0,0,69,0,69,53,0,53,40,0,40,13,0,13,5,0,5,6,0,6,126,0,126,297,7,304,524,17,541,522,12,534,22,0,22,181,10,191,0,0,0,12,0,12,906,17,923,28,10,38,152,0,152,51,0,51,106,18,124,7325,289,7614,10714,386,11100,3.48
36,City,Bombay,490,38,528,348,5,353,20,1,21,149,12,161,134,22,156,64,18,82,70,4,74,167,1,168,205,0,205,554,2,556,1088,10,1098,4321,126,4447,1884,109,1993,599,17,616,718,47,765,35,2,37,8,1,9,5345,150,5495,57,26,83,245,0,245,27,0,27,270,133,403,7472,497,7969,24136,1199,25335,4.73
37,City,Calcutta,129,3,132,116,5,121,9,0,9,28,1,29,110,11,121,82,8,90,28,3,31,171,0,171,211,0,211,299,0,299,113,0,113,2377,19,2396,704,0,704,123,0,123,312,0,312,1,0,1,9,0,9,1150,0,1150,9,3,12,123,0,123,110,0,110,134,41,175,1512,32,1544,7750,115,7865,1.46
38,City,Coimbatore,114,4,118,85,1,86,0,0,0,3,0,3,43,0,43,3,0,3,40,0,40,0,0,0,0,0,0,19,0,19,72,0,72,574,41,615,1432,184,1616,9,0,9,27,0,27,4,0,4,70,0,70,203,7,210,4,10,14,2,0,2,218,0,218,11,4,15,1781,33,1814,4671,284,4955,5.73
39,City,Delhi,807,61,868,874,24,898,306,10,316,561,14,575,549,28,577,364,22,386,185,6,191,120,1,121,71,1,72,807,3,810,1697,9,1706,7645,175,7820,938,42,980,293,2,295,1410,56,1466,22,0,22,15,0,15,3794,154,3948,165,97,262,769,17,786,203,2,205,541,243,784,23824,866,24690,45411,1805,47216,3.82
40,City,Hyderabad,153,0,153,157,0,157,2,0,2,37,0,37,69,0,69,43,0,43,26,0,26,18,0,18,0,0,0,39,0,39,433,21,454,674,74,748,411,0,411,13,0,13,139,0,139,4,0,4,0,0,0,787,0,787,0,15,15,43,0,43,0,0,0,156,27,183,6873,1343,8216,10008,1480,11488,12.88
41,City,Indore,225,8,233,313,4,317,11,1,12,47,2,49,44,4,48,31,4,35,13,0,13,122,0,0,11,0,11,57,0,57,275,4,279,589,8,597,289,14,303,30,0,30,62,1,63,1,0,1,4,0,4,1929,105,2034,54,35,89,96,0,96,17,0,17,138,52,190,4816,115,4931,9008,353,9361,3.77
42,City,Jaipur,59,1,60,84,0,84,0,1,1,59,2,61,135,0,135,117,0,117,18,0,18,23,0,18,0,0,0,60,1,61,309,2,311,840,39,879,3219,228,3447,30,2,32,199,8,207,2,0,2,12,1,13,160,3,163,21,3,24,110,0,110,0,0,0,290,37,327,5169,266,5435,10776,594,11370,5.22
43,City,Kanpur,424,24,448,274,1,275,88,2,90,44,0,44,199,20,219,136,20,156,63,0,63,34,0,122,23,0,23,199,0,199,169,0,169,466,1,467,779,0,779,98,5,103,155,2,157,0,0,0,6,0,6,1389,6,1395,179,63,242,99,0,99,0,0,0,305,137,442,1938,6,1944,6956,267,7223,3.7
44,City,Kochi,38,1,39,37,0,37,8,0,8,17,3,20,9,4,13,1,3,4,8,1,9,6,0,23,0,0,0,11,0,11,102,6,108,172,7,179,1259,204,1463,20,0,20,92,6,98,0,0,0,10,0,10,779,58,837,0,0,0,54,0,54,4,0,4,54,18,72,3681,45,3726,6370,352,6722,5.24
45,City,Lucknow,301,0,301,251,0,251,31,0,31,51,0,51,114,0,114,98,0,98,16,0,16,68,0,34,9,0,9,102,0,102,121,0,121,357,0,357,687,0,687,65,0,65,97,0,97,4,0,4,16,0,16,335,6,341,58,9,67,41,0,41,0,0,0,233,28,261,2374,2,2376,5281,45,5326,0.84
46,City,Ludhiana,63,2,65,40,3,43,8,0,8,11,0,11,22,4,26,14,3,17,8,1,9,63,0,6,32,0,32,15,0,15,75,20,95,184,1,185,0,0,0,30,6,36,103,0,103,6,0,6,1,0,1,210,7,217,24,2,26,12,0,12,0,0,0,64,14,78,410,17,427,1316,76,1392,5.46
47,City,Madras,249,8,257,475,11,486,2,0,2,18,0,18,67,3,70,67,3,70,0,0,0,51,0,68,0,0,0,148,0,148,331,0,331,2108,36,2144,769,16,785,21,0,21,86,0,86,0,0,0,0,0,0,935,16,951,16,7,23,17,0,17,0,0,0,112,7,119,2231,211,2442,7653,315,7968,3.95
48,City,Madurai,69,5,74,190,1,191,0,0,0,5,0,5,16,11,27,16,11,27,0,0,0,372,0,63,0,0,0,76,0,76,71,0,71,702,38,740,648,11,659,4,0,4,5,0,5,0,0,0,4,0,4,251,1,252,10,4,14,7,0,7,30,0,30,8,3,11,981,22,1003,3140,96,3236,2.97
49,City,Nagpur,222,0,222,160,0,160,0,0,0,38,0,38,71,1,72,50,0,50,21,1,22,58,0,51,9,0,9,240,0,240,227,1,228,518,2,520,1168,0,1168,25,0,25,101,0,101,0,0,0,10,0,10,1043,0,1043,11,0,11,79,0,79,24,0,24,176,7,183,2480,11,2491,6653,22,6675,0.33
50,City,Patna,716,0,716,874,0,874,45,0,45,22,0,22,290,31,321,0,31,31,290,0,290,21,0,372,48,0,48,887,0,887,356,0,356,1726,0,1726,997,0,997,305,0,305,184,0,184,3,0,3,35,0,35,1158,0,1158,113,0,113,81,0,81,2,0,2,103,7,110,2996,6,3002,11313,44,11357,0.39
51,City,Pune,70,11,81,91,0,91,0,0,NA,58,1,59,90,31,121,55,30,85,35,1,36,58,3,61,22,0,22,106,1,107,548,39,587,1162,78,1240,3440,1177,4617,101,5,106,198,18,216,0,0,0,11,0,11,2225,115,2340,14,5,19,92,2,94,135,0,135,209,171,380,2795,259,3054,11425,1916,13341,14.36
52,City,Surat,165,14,179,124,6,130,0,0,0,19,0,19,79,1,80,55,0,55,24,1,25,21,0,21,0,0,0,95,0,95,483,7,490,834,30,864,402,28,430,70,9,79,224,16,240,6,0,6,16,0,16,1215,66,1281,0,52,52,37,2,39,12,0,12,314,96,410,1091,108,1199,5207,435,5642,7.71
53,City,Vadodra,55,5,60,45,3,48,0,0,0,27,1,28,61,7,68,47,7,54,14,0,14,58,0,58,0,0,0,34,3,37,176,19,195,451,34,475,703,123,826,116,21,137,245,30,275,0,1,1,6,0,6,819,112,931,0,0,0,32,0,32,13,0,13,294,144,438,4141,454,4594,7276,947,8223,11.52
54,City,Varanasi,168,5,173,175,0,175,22,0,22,14,0,14,50,2,52,24,2,26,26,0,26,13,0,13,6,0,6,47,0,47,21,0,21,86,2,88,303,0,303,23,0,23,47,0,47,0,0,0,3,0,3,272,13,285,17,5,22,4,0,4,0,0,0,31,0,31,378,0,378,1680,27,1707,1.58
55,City,Vishakhapatnam,32,0,32,52,3,55,0,0,0,49,3,52,9,0,9,9,0,9,0,0,0,14,0,14,0,0,0,8,0,8,135,1,136,433,28,461,137,2,139,43,1,44,71,3,74,0,0,0,3,0,3,473,39,512,24,14,38,56,4,60,203,0,203,181,57,238,795,55,850,2718,210,2928,7.17
