SI.No.,Category,State/UT/City,Residential Permises - Number,Residential Permises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Others places - Number,Others Places - Value,Total - Number,Total - Value
17,State,Nagaland,30,6.2,31,4.5,0,0,0,0,0,0,41,19.7,53,12,155,42.5
18,State,Orissa,486,47.9,277,34.1,0,0,22,1.6,0,0,39,6.5,215,19.6,1039,109.7
19,State,Punjab,11,7.3,4,0.8,0,0,1,0,0,0,0,0,19,44.3,35,52.4
20,State,Rajasthan,41,6,42,21.9,0,0,16,0.8,1,1.1,15,2.4,1232,264,1347,296.1
21,State,Sikkim,4,0,3,0.8,0,0,0,0,0,0,0,0,2,0,9,0.8
22,State,Tamil Nadu,189,78.6,61,32.9,1,0,15,0.7,1,0,28,35.4,431,120.8,726,268.3
23,State,Tripura,72,3.6,5,0.1,0,0,0,0,0,0,7,0.3,27,0.8,111,4.7
24,State,Uttar Pradesh,888,158.6,2294,1017.3,0,0,55,13,21,39.1,26,6.3,1174,362.3,4458,1596.5
25,State,West Bengal,119,49.4,224,60.7,0,0,42,6.2,2,0.2,73,37.9,393,71.8,853,226.2
Total States,State,Total States,5180,1135.7,5012,1985.9,5,0.4,340,40.8,71,103.9,1036,683.4,9855,2861.5,21499,6811.6
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,7,0.3,7,0.3
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,2,0.3,2,12,4,12.3
29,UT,Daman & DIU,2,0.3,0,0,0,0,0,0,0,0,1,0.1,0,0,3,0.4
30,UT,Delhi,217,164.6,49,33.1,0,0,11,0.4,0,0,58,31.7,290,142,625,371.8
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,1,0.1,0,0,0,0,0,0,0,0,0,0,2,2.4,3,2.5
Total (UTs),UT,Total (UTs),220,165,49,33.1,0,0,11,0.4,0,0,61,32.2,301,156.7,642,387.3
Total (All -India),Total (All -India),Total (All -India),5400,1300.7,5061,2019,5,0.4,351,41.2,71,103.9,1097,715.6,10156,3018.2,22141,7198.9
33,City,Ahmedabad,25,11.7,3,4.9,0,0,0,0,2,2.2,19,0.8,227,63.2,276,82.8
34,City,Bangalore,256,56.2,1,1.5,0,0,0,0,0,0,26,15.5,326,71,609,144.2
35,City,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,112,21.8,112,21.8
36,City,Bombay,69,97.7,22,19.2,0,0,0,0,0,0,105,209.3,332,542.6,528,868.8
37,City,Calcutta,17,10,85,43.6,0,0,0,0,0,0,44,24.6,61,28.6,207,106.7
38,City,Coimbatore,3,9.5,0,0,0,0,0,0,0,0,0,0,9,7.3,12,16.8
39,City,Delhi,173,136.6,41,28.7,0,0,11,0.4,0,0,49,26.8,277,145.3,551,337.8
40,City,Hyderabad,69,19.7,0,0,0,0,0,0,0,0,0,0,0,0,69,19.7
41,City,Indore,0,0,0,0,0,0,0,0,0,0,15,1.2,23,14.1,38,15.3
42,City,Jaipur,7,1,2,0.2,0,0,0,0,1,1.1,12,2.4,53,10.2,75,14.9
43,City,Kanpur,40,10.9,142,35.2,0,0,0,0,0,0,1,0.1,16,0.5,199,46.6
44,City,Kochi,5,1,1,3,0,0,0,0,0,0,2,0.1,9,6.8,17,10.9
45,City,Lucknow,17,7.7,90,39.7,0,0,0,0,0,0,0,0,16,2.1,123,49.5
46,City,Ludhiana,3,0.9,3,0.8,0,0,0,0,0,0,0,0,3,0.8,9,2.5
47,City,Madras,34,25.8,0,0,0,0,0,0,0,0,12,7.9,81,39.9,127,73.5
48,City,Madurai,3,1.1,2,2,0,0,0,0,0,0,7,0.2,37,5.5,49,7
49,City,Nagpur,13,1.7,0,0,0,0,0,0,0,0,47,1,181,13.8,241,16.6
50,City,Patna,45,8.6,147,39.6,0,0,0,0,0,0,24,8.3,76,22.1,292,78.5
51,City,Pune,15,2.2,4,3.1,0,0,0,0,0,0,9,20.3,61,20.3,89,45.9
52,City,Surat,23,10.8,1,3.5,0,0,0,0,0,0,11,15.3,27,47.8,62,77.5
53,City,Vadodra,14,1.1,1,0.1,0,0,0,0,0,0,0,0,17,2.2,32,3.4
54,City,Varanasi,6,0.9,38,10.9,0,0,0,0,0,0,0,0,13,0.7,57,12.4
55,City,Vishakhapatnam,4,0.8,0,0,0,0,0,0,1,7.3,0,0,5,0,10,8.2
