SI.No.,State/UT,Area (In Sqr. Kms),Estimated Mid- Year population ( in 000),Total Cases for Insvestigation (Including Pending Cases From Preious Year) - IPC,Total Cases For insvestigation (Including Pending Cases From Preious Year) - SLL,Total Cases For insvestigation (Including Pending Cases From Preious Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. To A.S.I.,Actual Police Strength (of Ranks) - Head Constable to Constables,Actual Police Strength (of Ranks) - Teeth to Tail Ratio,Actual Police Strength of I.Os. (Insp.+SI+A.S.I. of Civil Police),No. of Policemen per 100 Sqr.Kms. of Area,"No. of Policemen per - 1,000 of Population","No. of Policemen per 1,00,000 of Population",No. of IPC Cases Per Civil policeman,Work Load Of I.Os - IPC,Work Load Of I.Os - SLL,Work Load Of I.Os - Total,Total Police Expenditure (Rs. In Crores),Unit Cost Per Policemen (per Annum)
14,Manipur,22327,2301,7063,1688,8751,4702,9437,14139,33.3,1272,12867,4.86E-02,767,63.3,6.1,614,1.5,9.2,2.2,11.4,95.66,67657
15,Meghalaya,22429,2224,3373,338,3711,5586,1815,7401,75.5,1024,6377,4.58E-02,890,33,3.3,333,0.6,3.8,0.4,4.2,63.72,86096
16,Mizoram,21081,868,5069,1828,6897,2948,3852,6800,43.4,1149,5651,4.51E-02,868,32.3,7.8,783,1.7,5.8,2.1,7.9,50.45,74191
17,Nagaland,16579,1532,2917,1040,3957,7535,9345,16880,44.6,1176,15704,5.07E-02,681,101.8,11,1102,0.4,4.3,1.5,5.8,123.51,73169
18,Orissa,155707,34946,65528,4910,70438,27473,7293,34766,79,5839,28927,4.51E-02,5069,22.3,1,99,2.4,12.9,1,13.9,177.18,50964
19,Punjab,50362,22809,20109,26202,46311,50637,17198,67835,74.6,7466,60369,4.72E-02,5977,134.7,3,297,0.4,3.4,4.4,7.7,439.29,64759
20,Rajasthan,342239,51043,172502,21647,194149,48666,10947,59613,81.6,6243,53370,4.79E-02,5411,17.4,1.2,117,3.5,31.9,4,35.9,406.57,68202
21,Sikkim,7096,510,663,604,1267,1908,1174,3082,61.9,347,2735,4.72E-02,248,43.4,6,604,0.3,2.7,2.4,5.1,21.26,68981
22,Tamil Nadu,130058,60294,188939,635563,824502,64824,10012,74836,86.6,6963,67873,4.86E-02,5921,57.5,1.2,124,2.9,31.9,107.3,139.3,539.51,72092
23,Tripura,10486,3455,5417,1365,6782,5899,6330,12229,48.2,1101,11128,4.86E-02,912,116.6,3.5,354,0.9,5.9,1.5,7.4,98.16,80268
24,Uttar Pradesh,294411,160704,179202,481092,660294,131950,33518,165468,79.7,15499,149969,4.86E-02,13034,56.2,1,103,1.4,13.7,36.9,50.7,1693.49,102345
25,West Bengal,88752,76141,93770,699767,793537,57851,22967,80818,71.6,13312,67506,4.51E-02,11812,91.1,1.1,106,1.6,7.9,59.2,67.2,431.38,53377
Total States,Total States,3155441,940208,2069594,5275340,7344934,942185,278423,1220608,77.2,138117,1082491,4.72E-02,114798,38.7,1.3,130,2.2,18,46,64,9304.25,76226
26,A & N Islands,8249,352,667,3220,3887,2043,509,2552,80.1,365,2187,4.58E-02,332,30.9,7.3,725,0.3,2,9.7,11.7,20.2,79154
27,Chandigarh,114,809,2648,211,2859,2503,1517,4020,62.3,455,3565,4.72E-02,394,3526.3,5,497,1.1,6.7,0.5,7.3,49.02,121940
28,D & N Haveli,491,174,466,23,489,222,0,222,100,17,205,1:12,15,45.2,1.3,128,2.1,31.1,1.5,32.6,1.23,55405
29,Daman & DIU,112,127,442,16,458,325,0,325,100,25,300,1:12,21,290.2,2.6,256,1.4,21,0.8,21.8,2,61538
30,Delhi,1483,12470,119276,24141,143417,38667,10234,48901,79.1,8697,40204,4.51E-02,7855,3297.4,3.9,392,3.1,15.2,3.1,18.3,506.33,103542
31,Lakshadweep,32,65,86,5,91,332,0,332,100,53,279,4.51E-02,51,1037.5,5.1,511,0.3,1.7,0.1,1.8,0.45,13554
32,Pondicherry,492,1014,2669,3192,5861,1101,881,1982,55.5,169,1813,4.93E-02,112,402.8,2,195,2.4,23.8,28.5,52.3,15.72,79314
Total (UTs),Total (UTs),10973,15011,126254,30808,157062,45193,13141,58334,77.5,9781,48553,4.51E-02,8780,531.6,3.9,389,2.8,14.4,3.5,17.9,594.95,101990
Total (All-India),Total (All-India),3166414,955219,2195848,5306148,7501996,987378,291564,1278942,77.2,147898,1131044,4.72E-02,123578,40.4,1.3,134,2.2,17.8,42.9,60.7,9899.2,77401
